timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,HEAD,Head_main,0x09,2,0,0.000,-0.770,-0.078,+0.675,+1.3,-16.9,+2.3,+0.971,+0.044,-0.237,29.0
2025-06-01T15:00:00.016,0.017,1,HEAD,Head_main,0x09,2,1,0.000,-0.767,-0.072,+0.686,+1.1,-16.0,+2.1,+0.969,+0.043,-0.241,29.0
2025-06-01T15:00:00.033,0.033,2,HEAD,Head_main,0x09,2,2,0.000,-0.765,-0.067,+0.696,+0.7,-14.0,+1.8,+0.968,+0.042,-0.246,29.0
2025-06-01T15:00:00.050,0.050,3,HEAD,Head_main,0x09,2,3,0.000,-0.763,-0.066,+0.706,+0.3,-9.2,+1.4,+0.968,+0.042,-0.249,29.0
2025-06-01T15:00:00.066,0.067,4,HEAD,Head_main,0x09,2,4,0.000,-0.763,-0.065,+0.711,+0.1,-7.4,+1.9,+0.967,+0.041,-0.251,29.0
2025-06-01T15:00:00.083,0.083,5,HEAD,Head_main,0x09,2,5,0.000,-0.761,-0.067,+0.719,-0.3,-8.0,+3.5,+0.966,+0.041,-0.253,29.0
2025-06-01T15:00:00.100,0.100,6,HEAD,Head_main,0x09,2,6,0.000,-0.759,-0.070,+0.726,-1.0,-5.7,+5.0,+0.966,+0.040,-0.255,29.0
2025-06-01T15:00:00.116,0.117,7,HEAD,Head_main,0x09,2,7,0.000,-0.757,-0.073,+0.732,-1.2,-3.1,+4.7,+0.966,+0.038,-0.257,29.0
2025-06-01T15:00:00.133,0.133,8,HEAD,Head_main,0x09,2,8,0.000,-0.755,-0.074,+0.735,-1.7,-1.6,+6.1,+0.966,+0.037,-0.257,29.0
2025-06-01T15:00:00.150,0.150,9,HEAD,Head_main,0x09,2,9,0.000,-0.753,-0.075,+0.739,-2.5,-0.9,+9.2,+0.966,+0.035,-0.258,29.0
2025-06-01T15:00:00.166,0.167,10,HEAD,Head_main,0x09,2,10,0.000,-0.750,-0.072,+0.742,-1.8,+0.3,+7.5,+0.966,+0.032,-0.257,29.0
2025-06-01T15:00:00.183,0.183,11,HEAD,Head_main,0x09,2,11,0.000,-0.749,-0.070,+0.744,-1.2,+1.3,+7.7,+0.966,+0.031,-0.257,29.0
2025-06-01T15:00:00.200,0.200,12,HEAD,Head_main,0x09,2,12,0.000,-0.746,-0.064,+0.745,-0.8,+2.7,+10.0,+0.966,+0.028,-0.257,29.0
2025-06-01T15:00:00.216,0.217,13,HEAD,Head_main,0x09,2,13,0.000,-0.744,-0.059,+0.747,+0.6,+3.7,+9.2,+0.966,+0.025,-0.256,29.0
2025-06-01T15:00:00.233,0.233,14,HEAD,Head_main,0x09,2,14,0.000,-0.743,-0.054,+0.748,+1.2,+3.2,+6.4,+0.967,+0.023,-0.255,29.0
2025-06-01T15:00:00.250,0.250,15,HEAD,Head_main,0x09,2,15,0.000,-0.743,-0.053,+0.749,+2.1,+3.7,+5.7,+0.967,+0.022,-0.254,29.0
2025-06-01T15:00:00.266,0.267,16,HEAD,Head_main,0x09,2,16,0.000,-0.744,-0.049,+0.751,+3.3,+5.4,+7.0,+0.967,+0.019,-0.253,29.0
2025-06-01T15:00:00.283,0.283,17,HEAD,Head_main,0x09,2,17,0.000,-0.747,-0.046,+0.752,+2.8,+4.4,+4.9,+0.968,+0.017,-0.251,29.0
2025-06-01T15:00:00.300,0.300,18,HEAD,Head_main,0x09,2,18,0.000,-0.749,-0.046,+0.753,+2.9,+4.7,+4.8,+0.968,+0.016,-0.250,29.0
2025-06-01T15:00:00.316,0.317,19,HEAD,Head_main,0x09,2,19,0.000,-0.754,-0.046,+0.753,+3.5,+6.6,+6.7,+0.969,+0.014,-0.248,29.0
2025-06-01T15:00:00.333,0.333,20,HEAD,Head_main,0x09,2,20,0.000,-0.758,-0.044,+0.753,+2.6,+6.7,+7.8,+0.969,+0.012,-0.247,29.0
2025-06-01T15:00:00.350,0.350,21,HEAD,Head_main,0x09,2,21,0.000,-0.760,-0.034,+0.753,+1.3,+4.9,+6.8,+0.970,+0.009,-0.245,29.0
