timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WA,Chest,0x55,2,0,1.024,-0.895,-0.168,+0.414,+5.5,+40.0,+9.9,+0.996,+0.011,+0.089,29.0
2025-06-01T15:00:00.016,0.017,1,WA,Chest,0x55,2,1,1.024,-0.903,-0.166,+0.407,+5.3,+39.5,+9.9,+0.995,+0.009,+0.101,29.0
2025-06-01T15:00:00.033,0.033,2,WA,Chest,0x55,2,2,1.024,-0.910,-0.165,+0.400,+4.8,+38.5,+10.2,+0.994,+0.006,+0.112,29.0
2025-06-01T15:00:00.050,0.050,3,WA,Chest,0x55,2,3,1.024,-0.917,-0.165,+0.393,+3.1,+28.4,+7.9,+0.992,+0.003,+0.123,29.0
2025-06-01T15:00:00.066,0.067,4,WA,Chest,0x55,2,4,1.024,-0.920,-0.166,+0.390,+2.3,+27.7,+8.2,+0.992,+0.002,+0.129,29.0
2025-06-01T15:00:00.083,0.083,5,WA,Chest,0x55,2,5,1.024,-0.927,-0.167,+0.384,+2.2,+36.2,+11.4,+0.990,-0.001,+0.139,29.0
2025-06-01T15:00:00.100,0.100,6,WA,Chest,0x55,2,6,1.024,-0.934,-0.169,+0.379,+0.9,+35.3,+12.2,+0.989,-0.005,+0.149,29.0
2025-06-01T15:00:00.116,0.117,7,WA,Chest,0x55,2,7,1.024,-0.941,-0.170,+0.374,+0.0,+26.1,+9.7,+0.987,-0.008,+0.159,29.0
2025-06-01T15:00:00.133,0.133,8,WA,Chest,0x55,2,8,1.024,-0.944,-0.170,+0.372,-0.6,+25.6,+10.6,+0.986,-0.010,+0.164,29.0
2025-06-01T15:00:00.150,0.150,9,WA,Chest,0x55,2,9,1.024,-0.952,-0.170,+0.368,-1.4,+34.0,+15.1,+0.985,-0.015,+0.174,29.0
2025-06-01T15:00:00.166,0.167,10,WA,Chest,0x55,2,10,1.024,-0.961,-0.169,+0.364,-1.3,+25.5,+12.1,+0.983,-0.019,+0.184,29.0
2025-06-01T15:00:00.183,0.183,11,WA,Chest,0x55,2,11,1.024,-0.965,-0.168,+0.362,-1.3,+25.9,+13.0,+0.982,-0.022,+0.189,29.0
2025-06-01T15:00:00.200,0.200,12,WA,Chest,0x55,2,12,1.024,-0.974,-0.164,+0.360,-1.5,+35.3,+18.0,+0.980,-0.027,+0.199,29.0
2025-06-01T15:00:00.216,0.217,13,WA,Chest,0x55,2,13,1.024,-0.982,-0.158,+0.358,-1.0,+36.6,+18.5,+0.977,-0.032,+0.209,29.0
2025-06-01T15:00:00.233,0.233,14,WA,Chest,0x55,2,14,1.024,-0.989,-0.151,+0.357,-0.4,+28.4,+14.1,+0.975,-0.037,+0.219,29.0
2025-06-01T15:00:00.250,0.250,15,WA,Chest,0x55,2,15,1.024,-0.992,-0.147,+0.357,+0.3,+30.1,+14.2,+0.974,-0.040,+0.225,29.0
2025-06-01T15:00:00.266,0.267,16,WA,Chest,0x55,2,16,1.024,-1.002,-0.142,+0.358,+1.2,+42.3,+19.4,+0.971,-0.045,+0.236,29.0
2025-06-01T15:00:00.283,0.283,17,WA,Chest,0x55,2,17,1.024,-1.016,-0.140,+0.358,+1.5,+33.6,+14.9,+0.967,-0.051,+0.249,29.0
2025-06-01T15:00:00.300,0.300,18,WA,Chest,0x55,2,18,1.024,-1.024,-0.138,+0.356,+2.7,+36.5,+15.0,+0.965,-0.054,+0.255,29.0
2025-06-01T15:00:00.316,0.317,19,WA,Chest,0x55,2,19,1.024,-1.039,-0.127,+0.350,+4.8,+51.3,+18.7,+0.961,-0.059,+0.269,29.0
2025-06-01T15:00:00.333,0.333,20,WA,Chest,0x55,2,20,1.024,-1.042,-0.101,+0.338,+6.6,+53.5,+14.9,+0.957,-0.063,+0.284,29.0
2025-06-01T15:00:00.350,0.350,21,WA,Chest,0x55,2,21,1.024,-1.028,-0.062,+0.321,+6.0,+40.4,+7.8,+0.952,-0.066,+0.299,29.0
2025-06-01T15:00:00.366,0.367,22,WA,Chest,0x55,2,22,1.024,-1.016,-0.040,+0.310,+7.3,+38.9,+2.6,+0.949,-0.067,+0.307,29.0
2025-06-01T15:00:00.383,0.383,23,WA,Chest,0x55,2,23,1.024,-0.992,-0.000,+0.282,+10.5,+48.8,-1.7,+0.945,-0.066,+0.321,29.0
2025-06-01T15:00:00.400,0.400,24,WA,Chest,0x55,2,24,1.024,-0.974,+0.029,+0.247,+8.4,+33.9,-4.8,+0.940,-0.064,+0.334,29.0
2025-06-01T15:00:00.416,0.417,25,WA,Chest,0x55,2,25,1.024,-0.968,+0.039,+0.229,+8.6,+29.9,-7.9,+0.938,-0.062,+0.340,29.0
2025-06-01T15:00:00.433,0.433,26,WA,Chest,0x55,2,26,1.024,-0.965,+0.051,+0.194,+11.6,+36.1,-12.2,+0.935,-0.058,+0.351,29.0
2025-06-01T15:00:00.450,0.450,27,WA,Chest,0x55,2,27,1.024,-0.972,+0.051,+0.162,+8.6,+24.4,-9.6,+0.931,-0.053,+0.360,29.0
2025-06-01T15:00:00.466,0.467,28,WA,Chest,0x55,2,28,1.024,-0.977,+0.047,+0.147,+8.4,+21.2,-8.7,+0.930,-0.051,+0.364,29.0
2025-06-01T15:00:00.483,0.483,29,WA,Chest,0x55,2,29,1.024,-0.990,+0.030,+0.122,+10.9,+25.6,-9.5,+0.927,-0.046,+0.372,29.0
2025-06-01T15:00:00.500,0.500,30,WA,Chest,0x55,2,30,1.024,-1.001,+0.005,+0.102,+10.1,+22.4,-5.6,+0.925,-0.043,+0.378,29.0
2025-06-01T15:00:00.516,0.517,31,WA,Chest,0x55,2,31,1.024,-1.008,-0.023,+0.089,+6.9,+15.2,-1.3,+0.922,-0.041,+0.384,29.0
2025-06-01T15:00:00.533,0.533,32,WA,Chest,0x55,2,32,1.024,-1.011,-0.038,+0.086,+5.5,+13.7,+3.8,+0.921,-0.041,+0.387,29.0
2025-06-01T15:00:00.550,0.550,33,WA,Chest,0x55,2,33,1.024,-1.017,-0.067,+0.081,+5.7,+17.4,+10.6,+0.919,-0.042,+0.392,29.0
2025-06-01T15:00:00.566,0.567,34,WA,Chest,0x55,2,34,1.024,-1.020,-0.088,+0.076,+3.8,+16.9,+17.2,+0.917,-0.045,+0.396,29.0
2025-06-01T15:00:00.583,0.583,35,WA,Chest,0x55,2,35,1.024,-1.014,-0.095,+0.067,+1.9,+12.6,+15.7,+0.915,-0.050,+0.401,29.0
2025-06-01T15:00:00.600,0.600,36,WA,Chest,0x55,2,36,1.025,-1.005,-0.092,+0.060,+0.9,+12.3,+17.3,+0.914,-0.053,+0.403,29.0
2025-06-01T15:00:00.616,0.617,37,WA,Chest,0x55,2,37,1.025,-0.976,-0.078,+0.040,+0.1,+15.7,+22.8,+0.911,-0.059,+0.407,29.0
2025-06-01T15:00:00.633,0.633,38,WA,Chest,0x55,2,38,1.025,-0.940,-0.062,+0.013,-1.8,+14.6,+21.3,+0.909,-0.065,+0.411,29.0
2025-06-01T15:00:00.650,0.650,39,WA,Chest,0x55,2,39,1.025,-0.911,-0.055,-0.020,-2.7,+10.3,+14.8,+0.907,-0.071,+0.415,29.0
2025-06-01T15:00:00.666,0.667,40,WA,Chest,0x55,2,40,1.025,-0.901,-0.054,-0.037,-5.1,+9.9,+13.1,+0.906,-0.074,+0.417,29.0
2025-06-01T15:00:00.683,0.683,41,WA,Chest,0x55,2,41,1.025,-0.892,-0.054,-0.068,-9.0,+13.2,+16.1,+0.904,-0.079,+0.420,29.0
2025-06-01T15:00:00.700,0.700,42,WA,Chest,0x55,2,42,1.026,-0.895,-0.057,-0.091,-11.3,+13.5,+14.9,+0.902,-0.084,+0.423,29.0
2025-06-01T15:00:00.716,0.717,43,WA,Chest,0x55,2,43,1.026,-0.906,-0.059,-0.104,-9.2,+10.4,+10.7,+0.900,-0.090,+0.426,29.0
2025-06-01T15:00:00.733,0.733,44,WA,Chest,0x55,2,44,1.026,-0.913,-0.060,-0.107,-8.9,+10.5,+10.5,+0.899,-0.092,+0.428,29.0
2025-06-01T15:00:00.750,0.750,45,WA,Chest,0x55,2,45,1.027,-0.927,-0.057,-0.107,-10.7,+13.6,+13.9,+0.897,-0.097,+0.431,29.0
2025-06-01T15:00:00.766,0.767,46,WA,Chest,0x55,2,46,1.027,-0.938,-0.048,-0.098,-7.0,+9.7,+10.4,+0.895,-0.102,+0.435,29.0
2025-06-01T15:00:00.783,0.783,47,WA,Chest,0x55,2,47,1.027,-0.943,-0.041,-0.091,-5.2,+8.4,+10.5,+0.894,-0.105,+0.436,29.0
2025-06-01T15:00:00.800,0.800,48,WA,Chest,0x55,2,48,1.028,-0.951,-0.022,-0.072,-5.2,+9.7,+14.2,+0.892,-0.109,+0.439,29.0
2025-06-01T15:00:00.816,0.817,49,WA,Chest,0x55,2,49,1.028,-0.960,-0.001,-0.050,-2.3,+7.6,+14.9,+0.890,-0.113,+0.441,29.0
2025-06-01T15:00:00.833,0.833,50,WA,Chest,0x55,2,50,1.028,-0.970,+0.019,-0.029,+0.1,+4.6,+11.8,+0.889,-0.117,+0.442,29.0
2025-06-01T15:00:00.850,0.850,51,WA,Chest,0x55,2,51,1.028,-0.975,+0.027,-0.020,+2.9,+3.3,+12.7,+0.888,-0.119,+0.443,29.0
2025-06-01T15:00:00.866,0.867,52,WA,Chest,0x55,2,52,1.028,-0.984,+0.040,-0.007,+6.2,+3.6,+17.9,+0.887,-0.123,+0.444,29.0
2025-06-01T15:00:00.883,0.883,53,WA,Chest,0x55,2,53,1.028,-0.989,+0.047,-0.002,+6.1,+2.3,+13.9,+0.886,-0.127,+0.445,29.0
2025-06-01T15:00:00.900,0.900,54,WA,Chest,0x55,2,54,1.030,-0.990,+0.048,-0.001,+6.8,+1.9,+14.2,+0.886,-0.129,+0.446,29.0
2025-06-01T15:00:00.916,0.917,55,WA,Chest,0x55,2,55,1.030,-0.988,+0.047,-0.001,+8.6,+1.9,+18.7,+0.885,-0.133,+0.447,29.0
2025-06-01T15:00:00.933,0.933,56,WA,Chest,0x55,2,56,1.030,-0.982,+0.041,-0.002,+7.0,+0.7,+18.0,+0.884,-0.136,+0.448,29.0
2025-06-01T15:00:00.950,0.950,57,WA,Chest,0x55,2,57,1.032,-0.975,+0.034,-0.001,+4.1,-0.5,+12.9,+0.883,-0.140,+0.448,29.0
2025-06-01T15:00:00.966,0.967,58,WA,Chest,0x55,2,58,1.032,-0.970,+0.031,-0.000,+2.4,-2.4,+11.9,+0.883,-0.142,+0.448,29.0
2025-06-01T15:00:00.983,0.983,59,WA,Chest,0x55,2,59,1.032,-0.962,+0.024,+0.005,+2.0,-5.5,+14.9,+0.883,-0.145,+0.447,29.0
2025-06-01T15:00:01.000,1.000,60,WA,Chest,0x55,2,60,1.033,-0.955,+0.020,+0.015,+0.8,-6.0,+10.4,+0.883,-0.149,+0.445,29.0
2025-06-01T15:00:01.016,1.017,61,WA,Chest,0x55,2,61,1.033,-0.952,+0.019,+0.021,+0.1,-8.5,+9.2,+0.883,-0.151,+0.444,29.0
2025-06-01T15:00:01.033,1.033,62,WA,Chest,0x55,2,62,1.033,-0.948,+0.018,+0.034,-0.3,-13.7,+10.6,+0.884,-0.154,+0.441,29.0
2025-06-01T15:00:01.050,1.050,63,WA,Chest,0x55,2,63,1.034,-0.946,+0.018,+0.049,-0.8,-16.6,+8.0,+0.886,-0.156,+0.437,29.0
2025-06-01T15:00:01.066,1.067,64,WA,Chest,0x55,2,64,1.034,-0.945,+0.020,+0.066,-0.7,-13.9,+4.3,+0.888,-0.158,+0.432,29.0
2025-06-01T15:00:01.083,1.083,65,WA,Chest,0x55,2,65,1.034,-0.945,+0.020,+0.074,-0.7,-15.6,+2.0,+0.889,-0.159,+0.429,29.0
2025-06-01T15:00:01.100,1.100,66,WA,Chest,0x55,2,66,1.037,-0.946,+0.020,+0.088,-1.0,-21.9,+0.5,+0.892,-0.159,+0.424,29.0
2025-06-01T15:00:01.116,1.117,67,WA,Chest,0x55,2,67,1.037,-0.948,+0.018,+0.100,-1.4,-22.7,-2.1,+0.894,-0.159,+0.418,29.0
2025-06-01T15:00:01.133,1.133,68,WA,Chest,0x55,2,68,1.037,-0.949,+0.015,+0.108,-1.5,-17.0,-2.9,+0.897,-0.158,+0.412,29.0
2025-06-01T15:00:01.150,1.150,69,WA,Chest,0x55,2,69,1.038,-0.950,+0.012,+0.112,-2.4,-16.4,-4.2,+0.899,-0.158,+0.409,29.0
2025-06-01T15:00:01.166,1.167,70,WA,Chest,0x55,2,70,1.038,-0.951,+0.007,+0.117,-4.6,-20.8,-6.6,+0.902,-0.157,+0.403,29.0
