timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WE,R_Wrist,0x03,2,0,1.246,-0.339,+0.873,-0.438,+59.8,+30.9,-38.6,+0.238,-0.545,+0.804,29.0
2025-06-01T15:00:00.016,0.017,1,WE,R_Wrist,0x03,2,1,1.246,-0.349,+0.844,-0.450,+60.5,+29.5,-36.6,+0.236,-0.528,+0.816,29.0
2025-06-01T15:00:00.033,0.033,2,WE,R_Wrist,0x03,2,2,1.246,-0.359,+0.815,-0.461,+61.3,+25.8,-31.8,+0.235,-0.511,+0.827,29.0
2025-06-01T15:00:00.050,0.050,3,WE,R_Wrist,0x03,2,3,1.251,-0.368,+0.789,-0.470,+46.4,+17.4,-21.1,+0.233,-0.494,+0.837,29.0
2025-06-01T15:00:00.066,0.067,4,WE,R_Wrist,0x03,2,4,1.251,-0.372,+0.777,-0.474,+46.7,+14.5,-17.0,+0.233,-0.486,+0.843,29.0
2025-06-01T15:00:00.083,0.083,5,WE,R_Wrist,0x03,2,5,1.251,-0.379,+0.754,-0.481,+62.6,+16.9,-18.9,+0.231,-0.469,+0.852,29.0
2025-06-01T15:00:00.100,0.100,6,WE,R_Wrist,0x03,2,6,1.255,-0.384,+0.733,-0.487,+62.5,+13.7,-13.6,+0.229,-0.452,+0.862,29.0
2025-06-01T15:00:00.116,0.117,7,WE,R_Wrist,0x03,2,7,1.255,-0.389,+0.713,-0.492,+46.6,+8.7,-7.3,+0.228,-0.436,+0.871,29.0
2025-06-01T15:00:00.133,0.133,8,WE,R_Wrist,0x03,2,8,1.255,-0.391,+0.705,-0.495,+45.9,+6.9,-3.5,+0.227,-0.428,+0.875,29.0
2025-06-01T15:00:00.150,0.150,9,WE,R_Wrist,0x03,2,9,1.259,-0.395,+0.689,-0.500,+60.0,+7.9,-1.3,+0.225,-0.412,+0.883,29.0
2025-06-01T15:00:00.166,0.167,10,WE,R_Wrist,0x03,2,10,1.259,-0.397,+0.677,-0.507,+44.0,+5.1,+1.5,+0.223,-0.397,+0.890,29.0
2025-06-01T15:00:00.183,0.183,11,WE,R_Wrist,0x03,2,11,1.259,-0.398,+0.673,-0.510,+42.3,+4.5,+4.3,+0.222,-0.389,+0.894,29.0
2025-06-01T15:00:00.200,0.200,12,WE,R_Wrist,0x03,2,12,1.267,-0.400,+0.667,-0.518,+54.3,+5.8,+7.9,+0.220,-0.375,+0.900,29.0
2025-06-01T15:00:00.216,0.217,13,WE,R_Wrist,0x03,2,13,1.267,-0.399,+0.665,-0.527,+51.3,+5.9,+10.3,+0.217,-0.362,+0.906,29.0
2025-06-01T15:00:00.233,0.233,14,WE,R_Wrist,0x03,2,14,1.267,-0.396,+0.666,-0.537,+36.5,+4.6,+8.8,+0.215,-0.350,+0.912,29.0
2025-06-01T15:00:00.250,0.250,15,WE,R_Wrist,0x03,2,15,1.270,-0.394,+0.668,-0.543,+33.9,+5.1,+9.7,+0.213,-0.344,+0.915,29.0
2025-06-01T15:00:00.266,0.267,16,WE,R_Wrist,0x03,2,16,1.270,-0.389,+0.673,-0.555,+42.7,+7.2,+13.3,+0.210,-0.333,+0.919,29.0
2025-06-01T15:00:00.283,0.283,17,WE,R_Wrist,0x03,2,17,1.270,-0.385,+0.681,-0.568,+30.2,+5.7,+10.2,+0.207,-0.323,+0.924,29.0
2025-06-01T15:00:00.300,0.300,18,WE,R_Wrist,0x03,2,18,1.273,-0.383,+0.685,-0.574,+27.8,+6.2,+10.2,+0.205,-0.318,+0.926,29.0
2025-06-01T15:00:00.316,0.317,19,WE,R_Wrist,0x03,2,19,1.273,-0.380,+0.695,-0.586,+34.6,+9.1,+13.7,+0.201,-0.309,+0.930,29.0
2025-06-01T15:00:00.333,0.333,20,WE,R_Wrist,0x03,2,20,1.273,-0.374,+0.706,-0.598,+31.4,+10.7,+13.8,+0.198,-0.301,+0.933,29.0
2025-06-01T15:00:00.350,0.350,21,WE,R_Wrist,0x03,2,21,1.276,-0.358,+0.720,-0.608,+21.9,+9.1,+10.3,+0.193,-0.293,+0.936,29.0
2025-06-01T15:00:00.366,0.367,22,WE,R_Wrist,0x03,2,22,1.276,-0.346,+0.729,-0.612,+20.4,+10.8,+9.7,+0.191,-0.290,+0.938,29.0
2025-06-01T15:00:00.383,0.383,23,WE,R_Wrist,0x03,2,23,1.276,-0.313,+0.748,-0.618,+26.4,+16.1,+11.4,+0.186,-0.283,+0.941,29.0
2025-06-01T15:00:00.400,0.400,24,WE,R_Wrist,0x03,2,24,1.279,-0.272,+0.768,-0.622,+19.3,+13.5,+6.8,+0.180,-0.277,+0.944,29.0
2025-06-01T15:00:00.416,0.417,25,WE,R_Wrist,0x03,2,25,1.279,-0.251,+0.777,-0.624,+18.3,+16.2,+3.2,+0.177,-0.273,+0.945,29.0
2025-06-01T15:00:00.433,0.433,26,WE,R_Wrist,0x03,2,26,1.279,-0.209,+0.791,-0.628,+22.7,+25.3,-0.9,+0.171,-0.267,+0.948,29.0
2025-06-01T15:00:00.450,0.450,27,WE,R_Wrist,0x03,2,27,1.282,-0.172,+0.798,-0.632,+15.4,+22.2,-5.1,+0.163,-0.261,+0.951,29.0
2025-06-01T15:00:00.466,0.467,28,WE,R_Wrist,0x03,2,28,1.282,-0.155,+0.799,-0.635,+12.4,+27.4,-12.0,+0.159,-0.258,+0.953,29.0
2025-06-01T15:00:00.483,0.483,29,WE,R_Wrist,0x03,2,29,1.282,-0.127,+0.795,-0.641,+12.8,+42.8,-23.8,+0.150,-0.253,+0.956,29.0
2025-06-01T15:00:00.500,0.500,30,WE,R_Wrist,0x03,2,30,1.283,-0.108,+0.784,-0.650,+7.6,+51.7,-34.3,+0.139,-0.249,+0.959,29.0
2025-06-01T15:00:00.516,0.517,31,WE,R_Wrist,0x03,2,31,1.283,-0.098,+0.767,-0.661,+2.8,+43.9,-31.4,+0.126,-0.246,+0.961,29.0
