t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,0.996373,0.004011,-0.084995,0.004011,0.995565,0.093994,0.084995,-0.093994,0.991938,0.988565,-0.148529,-0.026058,0.150375,0.983896,0.096622,0.011288,-0.099436,0.994980,0.990100,-0.082047,0.113890,0.053323,0.970406,0.235519,-0.129843,-0.227114,0.965174,0.998647,-0.007821,-0.051418,0.021610,0.961644,0.273449,0.047307,-0.274190,0.960511,0.972242,0.201864,0.118309,-0.155661,0.935541,-0.317069,-0.174688,0.289852,0.940994,0.997523,0.032245,-0.062519,-0.045402,0.973970,-0.222082,0.053730,0.224371,0.973021,0.993986,0.016816,-0.108208,-0.018693,0.999691,-0.016361,0.107900,0.018285,0.993994,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.997681,0.067605,-0.007892,-0.067425,0.997500,0.021151,0.009302,-0.020570,0.999745,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.983907,-0.076203,-0.161619,0.128384,0.930592,0.342806,0.124279,-0.358039,0.925399,0.890026,0.454490,0.035947,-0.455363,0.890050,0.021327,-0.022301,-0.035350,0.999126,0.857624,-0.514268,0.003005,0.513625,0.856228,-0.055348,0.025891,0.049012,0.998463,0.999535,-0.011579,-0.028198,0.009793,0.997987,-0.062658,0.028867,0.062352,0.997637,0.196333,0.977332,0.079221,-0.977569,0.188818,0.093308,0.076235,-0.095763,0.992481,0.249792,-0.956254,0.152256,0.962933,0.261850,0.064773,-0.101807,0.130433,0.986216,0.589553,-0.687401,0.424156,0.807008,0.523482,-0.273323,-0.034155,0.503435,0.863358,0.795498,0.561348,-0.228192,-0.542872,0.492911,-0.679948,-0.269210,0.664776,0.696849,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016664,0.000960,0.006165,0.000300,0.997135,0.002946,-0.075589,0.003545,0.996324,0.085597,0.075563,-0.085620,0.993458,0.986121,-0.158194,-0.050403,0.162711,0.981195,0.103839,0.033028,-0.110599,0.993316,0.989516,-0.098052,0.106040,0.069012,0.965983,0.249228,-0.126870,-0.239297,0.962622,0.997780,-0.019373,-0.063717,0.036314,0.960270,0.276699,0.055826,-0.278398,0.958842,0.970972,0.218551,0.097200,-0.179365,0.934128,-0.308598,-0.158242,0.282206,0.946213,0.992141,0.052751,-0.113460,-0.078527,0.968477,-0.236401,0.097413,0.243453,0.965009,0.993350,0.027892,-0.111701,-0.026819,0.999579,0.011100,0.111963,-0.008030,0.993680,1.000000,-0.000322,0.000069,0.000320,0.999744,0.022624,-0.000076,-0.022624,0.999744,1.000000,-0.000232,0.000393,0.000236,0.999952,-0.009804,-0.000391,0.009804,0.999952,0.997541,0.065394,-0.025210,-0.065663,0.997792,-0.010010,0.024500,0.011640,0.999632,1.000000,0.000035,0.000295,-0.000035,1.000000,0.000213,-0.000295,-0.000213,1.000000,1.000000,-0.000020,0.000309,0.000020,1.000000,0.000201,-0.000309,-0.000201,1.000000,0.974037,-0.104640,-0.200757,0.184707,0.880071,0.437445,0.130906,-0.463169,0.876549,0.881243,0.470749,0.042491,-0.468820,0.881980,-0.048166,-0.060150,0.022526,0.997935,0.831247,-0.552695,-0.059638,0.548544,0.832908,-0.073239,0.090152,0.028165,0.995530,0.999377,0.000928,-0.035287,-0.006127,0.989042,-0.147509,0.034764,0.147633,0.988431,0.170324,0.978205,0.118763,-0.976901,0.151842,0.150362,0.129051,-0.141630,0.981472,0.280764,-0.946032,0.161851,0.955409,0.291553,0.046793,-0.091456,0.141496,0.985705,0.622892,-0.704423,0.340284,0.782285,0.557580,-0.277729,0.005903,0.439195,0.898373,0.790149,0.553139,-0.264012,-0.538173,0.419990,-0.730738,-0.293317,0.719476,0.629539,1.000000,-0.000149,0.000114,0.000149,1.000000,0.000545,-0.000114,-0.000545,1.000000,1.000000,0.000047,0.000484,-0.000047,1.000000,-0.000237,-0.000484,0.000237,1.000000,1.000000,-0.000031,0.000036,0.000031,1.000000,0.000233,-0.000036,-0.000233,1.000000,1.000000,0.000010,0.000162,-0.000010,1.000000,-0.000101,-0.000162,0.000101,1.000000
0.033329,0.003910,0.006863,-0.005431,0.997233,0.006393,-0.074061,0.000109,0.996168,0.087458,0.074336,-0.087224,0.993411,0.984528,-0.152458,-0.086375,0.162124,0.979579,0.118917,0.066481,-0.131081,0.989140,0.988345,-0.109751,0.105495,0.077478,0.959172,0.272005,-0.131041,-0.260661,0.956496,0.998601,-0.023793,-0.047230,0.034983,0.966955,0.252536,0.039660,-0.253835,0.966434,0.968500,0.215593,0.124611,-0.164897,0.930237,-0.327824,-0.186594,0.296950,0.936485,0.990110,0.070197,-0.121469,-0.099651,0.961338,-0.256707,0.098753,0.266273,0.958826,0.993087,0.024717,-0.114752,-0.024425,0.999694,0.003946,0.114814,-0.001115,0.993386,1.000000,-0.000195,0.000158,0.000193,0.999961,0.008792,-0.000160,-0.008792,0.999961,1.000000,-0.000262,0.000091,0.000262,0.999985,-0.005548,-0.000090,0.005548,0.999985,0.997554,0.050740,-0.048070,-0.052497,0.997971,-0.036016,0.046145,0.038452,0.998194,1.000000,-0.000020,0.000184,0.000020,1.000000,0.000336,-0.000184,-0.000336,1.000000,1.000000,-0.000064,0.000189,0.000064,1.000000,0.000306,-0.000189,-0.000306,1.000000,0.970510,-0.126826,-0.205000,0.216327,0.833434,0.508518,0.106361,-0.537869,0.836292,0.841603,0.539865,-0.015832,-0.539411,0.838696,-0.075004,-0.027214,0.071663,0.997058,0.780331,-0.621921,-0.065555,0.617715,0.782885,-0.074295,0.097528,0.017481,0.995079,0.996740,0.029518,-0.075090,-0.041218,0.986355,-0.159386,0.069361,0.161962,0.984356,0.210027,0.964542,0.159837,-0.966053,0.179579,0.185724,0.150435,-0.193417,0.969515,0.384526,-0.915924,0.114988,0.916549,0.393647,0.070563,-0.109895,0.078259,0.990857,0.653174,-0.726441,0.213652,0.751750,0.588299,-0.297953,0.090754,0.355228,0.930364,0.777590,0.576892,-0.250097,-0.537410,0.403285,-0.740643,-0.326411,0.710321,0.623618,1.000000,-0.000242,-0.000102,0.000242,1.000000,0.000481,0.000102,-0.000481,1.000000,1.000000,0.000121,0.000521,-0.000121,1.000000,-0.000020,-0.000521,0.000020,1.000000,1.000000,-0.000047,-0.000030,0.000047,1.000000,0.000206,0.000029,-0.000206,1.000000,1.000000,0.000020,0.000169,-0.000020,1.000000,-0.000009,-0.000169,0.000009,1.000000
0.049993,0.006710,0.006476,-0.014142,0.997327,0.008648,-0.072553,-0.002445,0.996365,0.085147,0.073026,-0.084742,0.993723,0.980446,-0.151472,-0.125630,0.168664,0.975695,0.139898,0.101386,-0.158351,0.982164,0.988602,-0.114337,0.097940,0.081114,0.952576,0.293292,-0.126829,-0.282005,0.950993,0.999327,-0.020394,-0.030494,0.026971,0.971893,0.233875,0.024868,-0.234540,0.971788,0.959964,0.218568,0.175208,-0.148270,0.927120,-0.344186,-0.237667,0.304428,0.922409,0.987364,0.090463,-0.130108,-0.121606,0.958977,-0.256076,0.101605,0.268662,0.957861,0.993063,0.014238,-0.116719,-0.016309,0.999726,-0.016806,0.116448,0.018593,0.993023,1.000000,-0.000118,0.000029,0.000117,0.999996,0.002729,-0.000029,-0.002729,0.999996,1.000000,-0.000122,-0.000127,0.000122,0.999998,-0.001917,0.000127,0.001917,0.999998,0.997559,0.034217,-0.060865,-0.037164,0.998157,-0.047964,0.059112,0.050109,0.996993,1.000000,-0.000029,0.000049,0.000029,1.000000,-0.000001,-0.000049,0.000001,1.000000,1.000000,-0.000038,0.000047,0.000038,1.000000,-0.000013,-0.000047,0.000013,1.000000,0.974286,-0.118650,-0.191546,0.203621,0.827625,0.523044,0.096469,-0.548597,0.830503,0.805388,0.586847,-0.083438,-0.591938,0.803637,-0.061460,0.030986,0.098889,0.994616,0.748175,-0.662695,-0.032710,0.660618,0.748609,-0.056293,0.061792,0.020508,0.997878,0.992250,0.053861,-0.111977,-0.066581,0.991345,-0.113151,0.104913,0.119729,0.987248,0.254020,0.941486,0.221535,-0.952624,0.203927,0.225658,0.167277,-0.268362,0.948684,0.467911,-0.883326,0.028195,0.875476,0.467643,0.121870,-0.120836,-0.032341,0.992146,0.672581,-0.720036,0.170830,0.724272,0.593111,-0.351638,0.151870,0.360233,0.920417,0.772124,0.592020,-0.230946,-0.528807,0.397051,-0.750142,-0.352402,0.701329,0.619637,1.000000,-0.000058,0.000060,0.000058,1.000000,0.000073,-0.000060,-0.000073,1.000000,1.000000,-0.000043,0.000090,0.000043,1.000000,-0.000029,-0.000090,0.000029,1.000000,1.000000,-0.000011,0.000024,0.000011,1.000000,0.000031,-0.000024,-0.000031,1.000000,1.000000,-0.000011,0.000027,0.000011,1.000000,-0.000012,-0.000027,0.000012,1.000000
0.066657,0.008753,0.005797,-0.021884,0.997559,0.010360,-0.069055,-0.004560,0.996487,0.083628,0.069679,-0.083109,0.994102,0.974245,-0.154798,-0.163964,0.181248,0.970167,0.161014,0.134148,-0.186585,0.973237,0.990061,-0.111517,0.085695,0.079708,0.946936,0.311382,-0.115873,-0.301456,0.946413,0.999688,-0.013486,-0.021023,0.017864,0.974324,0.224443,0.017456,-0.224748,0.974261,0.949763,0.228344,0.214029,-0.139686,0.921256,-0.363009,-0.280066,0.314876,0.906871,0.984149,0.099992,-0.146466,-0.134588,0.958929,-0.249681,0.115484,0.265436,0.957187,0.992822,0.001243,-0.119594,-0.005547,0.999349,-0.035662,0.119471,0.036069,0.992182,1.000000,-0.000018,0.000004,0.000018,1.000000,0.000746,-0.000004,-0.000746,1.000000,1.000000,-0.000003,0.000154,0.000004,1.000000,-0.000777,-0.000154,0.000777,1.000000,0.997643,0.021026,-0.065314,-0.024495,0.998306,-0.052783,0.064093,0.054258,0.996468,1.000000,-0.000001,0.000011,0.000001,1.000000,-0.000076,-0.000011,0.000076,1.000000,1.000000,0.000003,0.000014,-0.000003,1.000000,-0.000076,-0.000014,0.000076,1.000000,0.977130,-0.105558,-0.184594,0.187223,0.838656,0.511471,0.100821,-0.534334,0.839239,0.783372,0.608492,-0.126752,-0.616791,0.786229,-0.037580,0.076789,0.107619,0.991222,0.737869,-0.674944,-0.000272,0.674343,0.737228,-0.041911,0.028488,0.030741,0.999121,0.987546,0.074816,-0.138406,-0.082554,0.995279,-0.051027,0.133935,0.061817,0.989060,0.278356,0.921382,0.271245,-0.944793,0.211837,0.249982,0.172869,-0.325854,0.929481,0.520805,-0.851970,-0.053941,0.845011,0.505510,0.174402,-0.121317,-0.136410,0.983196,0.692578,-0.699953,0.174361,0.700454,0.594832,-0.394384,0.172335,0.395274,0.902252,0.772444,0.596937,-0.216787,-0.514211,0.387530,-0.765119,-0.372717,0.702486,0.606297,1.000000,0.000034,0.000079,-0.000034,1.000000,-0.000018,-0.000079,0.000018,1.000000,1.000000,-0.000046,-0.000051,0.000046,1.000000,-0.000054,0.000051,0.000054,1.000000,1.000000,0.000007,0.000027,-0.000007,1.000000,-0.000008,-0.000027,0.000008,1.000000,1.000000,-0.000008,-0.000018,0.000008,1.000000,-0.000023,0.000018,0.000023,1.000000
0.083322,0.009665,0.004402,-0.028979,0.997602,0.012330,-0.068102,-0.006572,0.996432,0.084140,0.068897,-0.083490,0.994124,0.967707,-0.161308,-0.193708,0.196735,0.963738,0.180290,0.157601,-0.212577,0.964351,0.991305,-0.106010,0.077947,0.074675,0.940995,0.330079,-0.108339,-0.321388,0.940730,0.999852,-0.008250,-0.015077,0.011357,0.975586,0.219324,0.012899,-0.219463,0.975536,0.942562,0.241830,0.230423,-0.140089,0.912416,-0.384542,-0.303235,0.330175,0.893886,0.981538,0.096810,-0.164957,-0.137894,0.955834,-0.259549,0.132545,0.277504,0.951537,0.992511,-0.009346,-0.121798,0.003215,0.998722,-0.050436,0.122114,0.049667,0.991273,1.000000,-0.000033,-0.000031,0.000033,1.000000,0.000221,0.000031,-0.000221,1.000000,1.000000,-0.000019,0.000011,0.000019,1.000000,-0.000293,-0.000011,0.000293,1.000000,0.997742,0.013938,-0.065703,-0.017695,0.998220,-0.056954,0.064793,0.057988,0.996212,1.000000,-0.000012,-0.000021,0.000012,1.000000,-0.000015,0.000021,0.000015,1.000000,1.000000,-0.000006,-0.000025,0.000006,1.000000,-0.000015,0.000025,0.000015,1.000000,0.977604,-0.098453,-0.186002,0.179661,0.850703,0.493990,0.109598,-0.516344,0.849339,0.772337,0.617439,-0.149215,-0.626909,0.778771,-0.022389,0.102380,0.110836,0.988551,0.739590,-0.672688,0.022278,0.673011,0.738744,-0.036251,0.007928,0.041804,0.999094,0.983329,0.090760,-0.157562,-0.090836,0.995843,0.006733,0.157518,0.007692,0.987486,0.291438,0.908141,0.300571,-0.940640,0.214926,0.262685,0.173954,-0.359286,0.916872,0.547642,-0.829131,-0.112388,0.827644,0.517074,0.218266,-0.122858,-0.212548,0.969396,0.709942,-0.680876,0.179975,0.681780,0.600406,-0.417959,0.176520,0.419430,0.890460,0.775832,0.594828,-0.210393,-0.502235,0.380386,-0.776573,-0.381896,0.708157,0.593859,1.000000,-0.000000,0.000001,0.000000,1.000000,-0.000060,-0.000001,0.000060,1.000000,1.000000,-0.000036,-0.000031,0.000036,1.000000,0.000044,0.000031,-0.000044,1.000000,1.000000,-0.000000,0.000001,0.000000,1.000000,-0.000026,-0.000001,0.000026,1.000000,1.000000,-0.000004,-0.000012,0.000004,1.000000,0.000018,0.000012,-0.000018,1.000000
0.099986,0.009575,0.002653,-0.036470,0.997440,0.012768,-0.070358,-0.006692,0.996279,0.085931,0.071193,-0.085240,0.993814,0.962972,-0.164351,-0.213715,0.207452,0.957991,0.198035,0.172189,-0.235038,0.956613,0.991596,-0.102930,0.078371,0.069107,0.933552,0.351716,-0.109365,-0.343344,0.932820,0.999949,-0.002764,-0.009705,0.004791,0.976484,0.215537,0.008881,-0.215573,0.976447,0.938984,0.253509,0.232469,-0.143133,0.902550,-0.406098,-0.312764,0.348046,0.883766,0.979529,0.090703,-0.179710,-0.139802,0.948844,-0.283109,0.144838,0.302438,0.942100,0.992333,-0.017010,-0.122416,0.009260,0.997932,-0.063607,0.123244,0.061986,0.990439,1.000000,-0.000072,-0.000214,0.000072,1.000000,0.000012,0.000214,-0.000012,1.000000,1.000000,-0.000020,-0.000213,0.000020,1.000000,-0.000176,0.000213,0.000176,1.000000,0.997890,0.010986,-0.063996,-0.014971,0.997955,-0.062139,0.063182,0.062966,0.996014,1.000000,-0.000030,-0.000117,0.000030,1.000000,-0.000008,0.000117,0.000008,1.000000,1.000000,-0.000008,-0.000126,0.000008,1.000000,-0.000012,0.000126,0.000012,1.000000,0.977224,-0.094875,-0.189819,0.176544,0.859802,0.479138,0.117748,-0.501736,0.856969,0.768815,0.618733,-0.161532,-0.629127,0.777100,-0.017741,0.114549,0.115264,0.986708,0.746789,-0.664023,0.037126,0.665043,0.746006,-0.034527,-0.004770,0.050475,0.998714,0.979582,0.102092,-0.173195,-0.094087,0.994107,0.053837,0.177671,-0.036442,0.983415,0.300500,0.901236,0.312207,-0.937405,0.218670,0.271028,0.175990,-0.374108,0.910533,0.558974,-0.816215,-0.146086,0.818764,0.515471,0.252815,-0.131049,-0.260927,0.956422,0.723081,-0.668294,0.174747,0.667172,0.610121,-0.427358,0.178984,0.425600,0.887034,0.781504,0.588396,-0.207465,-0.493608,0.379736,-0.782401,-0.381580,0.713856,0.587202,1.000000,0.000001,-0.000066,-0.000001,1.000000,-0.000218,0.000066,0.000218,1.000000,1.000000,-0.000040,-0.000111,0.000040,1.000000,0.000188,0.000111,-0.000188,1.000000,1.000000,0.000000,-0.000020,-0.000000,1.000000,-0.000094,0.000020,0.000094,1.000000,1.000000,-0.000004,-0.000040,0.000004,1.000000,0.000079,0.000040,-0.000079,1.000000
0.116650,0.008871,0.000867,-0.044726,0.997236,0.011666,-0.073373,-0.005163,0.996088,0.088212,0.074115,-0.087589,0.993396,0.960598,-0.161355,-0.226309,0.210489,0.954062,0.213215,0.181509,-0.252449,0.950434,0.991065,-0.103820,0.083738,0.065148,0.924609,0.375304,-0.116389,-0.366495,0.923111,0.999985,0.002900,-0.004553,-0.001866,0.977160,0.212496,0.005066,-0.212484,0.977151,0.937820,0.259321,0.230751,-0.143381,0.894788,-0.422843,-0.316125,0.363465,0.876332,0.977640,0.088028,-0.190973,-0.145406,0.939049,-0.311520,0.151911,0.332324,0.930851,0.992395,-0.022080,-0.121097,0.012880,0.997007,-0.076231,0.122418,0.074092,0.989709,1.000000,-0.000110,-0.000403,0.000110,1.000000,-0.000142,0.000403,0.000142,1.000000,1.000000,-0.000011,-0.000417,0.000011,1.000000,-0.000224,0.000417,0.000224,1.000000,0.998068,0.010272,-0.061282,-0.014373,0.997658,-0.066873,0.060451,0.067625,0.995878,1.000000,-0.000047,-0.000211,0.000047,1.000000,-0.000049,0.000211,0.000049,1.000000,1.000000,-0.000005,-0.000221,0.000005,1.000000,-0.000055,0.000221,0.000055,1.000000,0.977206,-0.090435,-0.192070,0.171922,0.867890,0.466057,0.124548,-0.488455,0.863655,0.769572,0.615887,-0.168650,-0.627350,0.778487,-0.019755,0.119125,0.121005,0.985478,0.757202,-0.651512,0.046661,0.653055,0.756525,-0.034479,-0.012837,0.056580,0.998316,0.976109,0.108903,-0.188018,-0.093060,0.991479,0.091155,0.196343,-0.071481,0.977926,0.307742,0.898884,0.311934,-0.934464,0.223829,0.276909,0.179089,-0.376707,0.908856,0.561023,-0.812374,-0.159067,0.815261,0.508909,0.276334,-0.143536,-0.284711,0.947807,0.732160,-0.661010,0.164340,0.656703,0.621007,-0.427891,0.180784,0.421207,0.888764,0.788454,0.580341,-0.203824,-0.487386,0.387308,-0.782590,-0.375226,0.716378,0.588225,1.000000,0.000023,-0.000086,-0.000023,1.000000,-0.000392,0.000086,0.000392,1.000000,1.000000,-0.000062,-0.000230,0.000062,1.000000,0.000296,0.000230,-0.000296,1.000000,1.000000,0.000004,-0.000026,-0.000004,1.000000,-0.000169,0.000026,0.000169,1.000000,1.000000,-0.000008,-0.000080,0.000008,1.000000,0.000126,0.000080,-0.000126,1.000000
0.133315,0.007873,-0.000783,-0.053825,0.997125,0.009913,-0.075117,-0.003074,0.995880,0.090629,0.075706,-0.090138,0.993048,0.960249,-0.153373,-0.233234,0.206799,0.952082,0.225330,0.187498,-0.264605,0.945954,0.990045,-0.107667,0.090654,0.062870,0.914549,0.399560,-0.125927,-0.389883,0.912214,0.999970,0.007665,0.000521,-0.007604,0.977787,0.209463,0.001096,-0.209461,0.977816,0.938425,0.258205,0.229542,-0.139424,0.890939,-0.432192,-0.316102,0.373576,0.872079,0.975591,0.088476,-0.200980,-0.154089,0.927903,-0.339489,0.156454,0.362172,0.918887,0.992713,-0.025038,-0.117870,0.014742,0.996062,-0.087429,0.119595,0.085054,0.989173,1.000000,-0.000119,-0.000504,0.000119,1.000000,-0.000249,0.000504,0.000249,1.000000,1.000000,0.000006,-0.000520,-0.000006,1.000000,-0.000294,0.000520,0.000294,1.000000,0.998249,0.010747,-0.058161,-0.014826,0.997425,-0.070164,0.057257,0.070904,0.995838,1.000000,-0.000051,-0.000259,0.000051,1.000000,-0.000091,0.000259,0.000091,1.000000,1.000000,0.000003,-0.000267,-0.000003,1.000000,-0.000097,0.000267,0.000097,1.000000,0.977739,-0.082926,-0.192743,0.163729,0.876003,0.453665,0.131223,-0.475123,0.870080,0.772313,0.611558,-0.171840,-0.624058,0.780966,-0.025388,0.118675,0.126846,0.984798,0.769646,-0.636394,0.051461,0.638244,0.769019,-0.035428,-0.017028,0.060112,0.998046,0.972915,0.110863,-0.202843,-0.087666,0.988896,0.119996,0.213894,-0.098963,0.971831,0.312671,0.899752,0.304440,-0.931971,0.228685,0.281305,0.183484,-0.371685,0.910046,0.556490,-0.815737,-0.157770,0.815928,0.500719,0.289037,-0.156780,-0.289575,0.944228,0.737039,-0.657759,0.155323,0.651088,0.629391,-0.424207,0.181267,0.413787,0.892145,0.795149,0.572739,-0.199267,-0.483413,0.400273,-0.778520,-0.366128,0.715368,0.595146,1.000000,0.000049,-0.000077,-0.000049,1.000000,-0.000486,0.000077,0.000486,1.000000,1.000000,-0.000077,-0.000310,0.000077,1.000000,0.000332,0.000310,-0.000332,1.000000,1.000000,0.000009,-0.000022,-0.000009,1.000000,-0.000209,0.000022,0.000209,1.000000,1.000000,-0.000011,-0.000106,0.000011,1.000000,0.000141,0.000106,-0.000141,1.000000
0.149979,0.006767,-0.002273,-0.063851,0.997164,0.008071,-0.074823,-0.001070,0.995652,0.093139,0.075250,-0.092795,0.992838,0.961210,-0.142464,-0.236175,0.198794,0.951407,0.235171,0.191195,-0.272999,0.942823,0.988846,-0.112631,0.097454,0.061165,0.903689,0.423798,-0.135801,-0.413110,0.900499,0.999920,0.011226,0.005769,-0.012172,0.978590,0.205461,-0.003339,-0.205515,0.978648,0.940243,0.251851,0.229161,-0.132449,0.890513,-0.435251,-0.313689,0.378890,0.870656,0.973397,0.089880,-0.210762,-0.163715,0.916371,-0.365323,0.160301,0.390109,0.906708,0.993205,-0.026528,-0.113310,0.015570,0.995209,-0.096519,0.115327,0.094099,0.988860,1.000000,-0.000101,-0.000497,0.000101,1.000000,-0.000308,0.000497,0.000308,1.000000,1.000000,0.000023,-0.000508,-0.000024,1.000000,-0.000337,0.000508,0.000337,1.000000,0.998423,0.011761,-0.054884,-0.015701,0.997288,-0.071908,0.053889,0.072656,0.995900,1.000000,-0.000043,-0.000253,0.000043,1.000000,-0.000118,0.000253,0.000118,1.000000,1.000000,0.000010,-0.000258,-0.000010,1.000000,-0.000121,0.000258,0.000121,1.000000,0.978467,-0.072860,-0.193116,0.153145,0.883548,0.442594,0.138379,-0.462638,0.875681,0.775994,0.606858,-0.171920,-0.620133,0.783834,-0.032245,0.115188,0.131635,0.984583,0.782830,-0.620007,0.052616,0.621961,0.782193,-0.036577,-0.018478,0.061359,0.997945,0.969980,0.109135,-0.217321,-0.079282,0.986736,0.141657,0.229898,-0.120175,0.965766,0.314772,0.902762,0.293154,-0.930022,0.231625,0.285321,0.189675,-0.362451,0.912498,0.547453,-0.823566,-0.148440,0.819600,0.491858,0.293822,-0.168970,-0.282515,0.944264,0.738443,-0.657340,0.150354,0.649799,0.634101,-0.419140,0.180177,0.407211,0.895386,0.800857,0.566442,-0.194348,-0.481094,0.415292,-0.772063,-0.356618,0.711812,0.605101,1.000000,0.000067,-0.000051,-0.000067,1.000000,-0.000481,0.000051,0.000481,1.000000,1.000000,-0.000080,-0.000328,0.000080,1.000000,0.000297,0.000328,-0.000297,1.000000,1.000000,0.000012,-0.000013,-0.000012,1.000000,-0.000207,0.000013,0.000207,1.000000,1.000000,-0.000012,-0.000112,0.000012,1.000000,0.000126,0.000112,-0.000126,1.000000
