t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.991969,-0.112508,-0.057795,0.119279,0.984113,0.131510,0.042081,-0.137347,0.989629,0.994570,-0.061556,0.083912,0.045298,0.981981,0.183468,-0.093694,-0.178671,0.979438,0.999895,0.013695,-0.004828,-0.011976,0.965770,0.259125,0.008211,-0.259040,0.965832,0.984170,0.153273,0.088976,-0.114422,0.932912,-0.341442,-0.135341,0.325856,0.935682,0.996930,0.018002,-0.076203,-0.032373,0.980902,-0.191792,0.071295,0.193670,0.978473,0.995931,-0.003790,-0.090037,0.004531,0.999957,0.008034,0.090003,-0.008410,0.995906,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.998140,0.059585,-0.012919,-0.059627,0.998217,-0.002862,0.012725,0.003627,0.999912,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.994128,-0.107495,-0.012439,0.108179,0.984402,0.138746,-0.002670,-0.139277,0.990250,0.897689,0.428873,0.101109,-0.428735,0.903106,-0.024196,-0.101689,-0.021628,0.994581,0.869739,-0.490106,-0.057874,0.484041,0.870027,-0.093578,0.096215,0.053375,0.993929,0.997066,0.044366,0.062381,-0.018193,0.928909,-0.369861,-0.074356,0.367640,0.926991,0.189409,0.981723,0.018554,-0.976372,0.186307,0.109484,0.104027,-0.038853,0.993815,0.281452,-0.948354,0.146320,0.946166,0.299676,0.122327,-0.159857,0.104014,0.981645,0.552053,-0.810383,0.196259,0.756106,0.387321,-0.527529,0.351485,0.439616,0.826557,0.716435,0.695151,-0.059034,-0.511551,0.465902,-0.721977,-0.474379,0.547449,0.689394,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016664,-0.003152,0.016735,-0.001190,0.999997,0.001131,0.001971,-0.001112,0.999954,-0.009488,-0.001982,0.009485,0.999953,0.988162,-0.123764,-0.090652,0.134524,0.983095,0.124207,0.073748,-0.134932,0.988107,0.990879,-0.076614,0.110859,0.051446,0.975417,0.214277,-0.124550,-0.206619,0.970462,0.999765,0.019027,-0.010361,-0.015283,0.958349,0.285189,0.015356,-0.284964,0.958415,0.982330,0.171099,0.075853,-0.139224,0.938889,-0.314807,-0.125081,0.298684,0.946120,0.993254,0.022488,-0.113753,-0.047424,0.973997,-0.221540,0.105813,0.225440,0.968494,0.995009,0.001389,-0.099779,-0.000499,0.999960,0.008944,0.099787,-0.008850,0.994969,1.000000,-0.000329,0.000237,0.000325,0.999847,0.017490,-0.000243,-0.017490,0.999847,1.000000,0.000325,0.000199,-0.000329,0.999766,0.021649,-0.000192,-0.021649,0.999766,0.997888,0.062521,-0.017607,-0.062953,0.997698,-0.025197,0.015991,0.026252,0.999527,1.000000,-0.000006,0.000173,0.000006,1.000000,0.000039,-0.000173,-0.000039,1.000000,1.000000,-0.000029,0.000163,0.000029,1.000000,0.000026,-0.000163,-0.000026,1.000000,0.988185,-0.153253,-0.001966,0.150588,0.968453,0.198552,-0.028525,-0.196502,0.980088,0.886090,0.456558,0.079996,-0.451711,0.889268,-0.071828,-0.103932,0.027511,0.994204,0.832412,-0.544976,-0.100453,0.534457,0.837424,-0.114353,0.146442,0.041501,0.988348,0.997512,0.057275,0.041110,-0.032899,0.893887,-0.447084,-0.062354,0.444619,0.893547,0.196243,0.974445,0.109298,-0.964181,0.171478,0.202362,0.178448,-0.145095,0.973193,0.290481,-0.950791,0.107785,0.938976,0.304920,0.159208,-0.184240,0.054960,0.981344,0.585251,-0.788047,0.190952,0.737380,0.419300,-0.529583,0.337270,0.450743,0.826486,0.707972,0.697105,-0.113223,-0.500013,0.381537,-0.777442,-0.498760,0.607020,0.618679,1.000000,-0.000141,0.000159,0.000141,1.000000,0.000140,-0.000159,-0.000140,1.000000,1.000000,-0.000084,0.000251,0.000084,1.000000,-0.000091,-0.000251,0.000091,1.000000,1.000000,-0.000029,0.000052,0.000029,1.000000,0.000060,-0.000052,-0.000060,1.000000,1.000000,-0.000016,0.000084,0.000016,1.000000,-0.000039,-0.000084,0.000039,1.000000
0.033329,-0.003469,0.021854,-0.004203,0.999998,0.000864,0.001572,-0.000854,0.999982,-0.005964,-0.001577,0.005963,0.999981,0.984024,-0.124242,-0.127519,0.138927,0.983769,0.113571,0.111339,-0.129473,0.985312,0.986542,-0.096082,0.132301,0.063566,0.970858,0.231073,-0.150647,-0.219553,0.963899,0.999640,0.026266,0.005499,-0.026739,0.957480,0.287257,0.002280,-0.287300,0.957838,0.977012,0.185115,0.105732,-0.144406,0.939528,-0.310539,-0.156824,0.288132,0.944662,0.990272,0.051595,-0.129229,-0.082061,0.966569,-0.242921,0.112375,0.251162,0.961400,0.994930,-0.003262,-0.100521,0.001853,0.999899,-0.014104,0.100557,0.013846,0.994835,1.000000,0.000025,-0.000113,-0.000025,0.999979,0.006528,0.000113,-0.006528,0.999979,1.000000,0.000136,-0.000240,-0.000135,0.999999,0.001576,0.000240,-0.001576,0.999999,0.998251,0.053268,-0.025657,-0.054253,0.997752,-0.039352,0.023503,0.040675,0.998896,1.000000,0.000056,-0.000014,-0.000056,1.000000,0.000283,0.000014,-0.000283,1.000000,1.000000,0.000052,0.000010,-0.000052,1.000000,0.000283,-0.000010,-0.000283,1.000000,0.983729,-0.175717,0.037419,0.162657,0.959552,0.229790,-0.076283,-0.219964,0.972521,0.865187,0.501173,0.016658,-0.497281,0.861795,-0.100105,-0.064526,0.078326,0.994837,0.784223,-0.611076,-0.107608,0.601586,0.791294,-0.109307,0.151945,0.020986,0.988166,0.997904,0.062113,-0.018168,-0.063653,0.891379,-0.448767,-0.011680,0.448983,0.893464,0.229787,0.963514,0.137254,-0.948848,0.190412,0.251854,0.216530,-0.188106,0.957983,0.357390,-0.932580,0.050669,0.912807,0.360262,0.192339,-0.197626,-0.022489,0.980020,0.609442,-0.784123,0.117184,0.710160,0.474183,-0.520406,0.352496,0.400377,0.845840,0.678440,0.726229,-0.110949,-0.509243,0.356030,-0.783527,-0.529519,0.588076,0.611372,1.000000,-0.000085,-0.000244,0.000085,1.000000,0.000277,0.000244,-0.000277,1.000000,1.000000,0.000297,0.000213,-0.000297,1.000000,0.000075,-0.000213,-0.000075,1.000000,1.000000,-0.000010,-0.000076,0.000010,1.000000,0.000120,0.000076,-0.000120,1.000000,1.000000,0.000046,0.000067,-0.000046,1.000000,0.000035,-0.000067,-0.000035,1.000000
0.049993,-0.002537,0.023094,-0.009789,0.999999,0.000256,0.001297,-0.000251,0.999992,-0.004086,-0.001298,0.004085,0.999991,0.978708,-0.117974,-0.167967,0.139768,0.982333,0.124444,0.150319,-0.145271,0.977906,0.983458,-0.108290,0.145199,0.070213,0.966847,0.245515,-0.166972,-0.231259,0.958457,0.999105,0.030817,0.028960,-0.037756,0.958484,0.282635,-0.019047,-0.283476,0.958790,0.968283,0.189444,0.162908,-0.128357,0.936552,-0.326182,-0.214365,0.294926,0.931164,0.986633,0.077385,-0.143409,-0.111563,0.962237,-0.248303,0.118778,0.260983,0.958008,0.995362,-0.010976,-0.095568,0.006737,0.998984,-0.044562,0.095960,0.043712,0.994425,1.000000,0.000033,-0.000376,-0.000032,0.999998,0.002131,0.000376,-0.002131,0.999998,1.000000,0.000111,-0.000404,-0.000111,1.000000,0.000483,0.000404,-0.000483,1.000000,0.998704,0.042290,-0.028322,-0.043619,0.997891,-0.048077,0.026229,0.049250,0.998442,1.000000,0.000029,-0.000165,-0.000029,1.000000,0.000057,0.000165,-0.000057,1.000000,1.000000,0.000045,-0.000149,-0.000045,1.000000,0.000061,0.000149,-0.000061,1.000000,0.984132,-0.157694,0.081341,0.135883,0.964598,0.226025,-0.114104,-0.211386,0.970719,0.844919,0.532261,-0.053011,-0.534818,0.838962,-0.100561,-0.009051,0.113317,0.993518,0.756108,-0.647486,-0.095203,0.642713,0.762075,-0.078494,0.123376,-0.001838,0.992358,0.995989,0.054044,-0.071315,-0.078548,0.909797,-0.407554,0.042856,0.411521,0.910392,0.268721,0.949815,0.160126,-0.934799,0.217080,0.281116,0.232248,-0.225227,0.946221,0.423152,-0.905417,-0.034104,0.885635,0.405374,0.226545,-0.191293,-0.126066,0.973403,0.630590,-0.773040,0.069031,0.676847,0.504231,-0.536310,0.379782,0.384916,0.841193,0.655772,0.749728,-0.088725,-0.507927,0.351190,-0.786559,-0.558546,0.560869,0.611108,1.000000,0.000093,-0.000225,-0.000093,1.000000,-0.000066,0.000225,0.000066,1.000000,1.000000,0.000194,-0.000129,-0.000194,1.000000,0.000130,0.000129,-0.000130,1.000000,1.000000,0.000021,-0.000069,-0.000021,1.000000,-0.000028,0.000069,0.000028,1.000000,1.000000,0.000032,-0.000045,-0.000032,1.000000,0.000057,0.000045,-0.000057,1.000000
0.066657,-0.001063,0.023705,-0.016146,0.999990,0.000490,0.004417,-0.000466,0.999986,-0.005303,-0.004419,0.005301,0.999976,0.972356,-0.106009,-0.208051,0.138032,0.979613,0.145967,0.188335,-0.170649,0.967165,0.981607,-0.114775,0.152561,0.072651,0.963556,0.257451,-0.176550,-0.241632,0.954172,0.998560,0.028288,0.045592,-0.040026,0.958618,0.281867,-0.035732,-0.283286,0.958370,0.958768,0.183324,0.217154,-0.101763,0.934916,-0.339966,-0.265345,0.303850,0.915023,0.982646,0.093054,-0.160461,-0.131846,0.958877,-0.251341,0.130474,0.268135,0.954505,0.995770,-0.014758,-0.090690,0.008199,0.997351,-0.072280,0.091516,0.071231,0.993253,1.000000,0.000041,-0.000256,-0.000040,1.000000,0.000628,0.000256,-0.000628,1.000000,1.000000,0.000085,-0.000257,-0.000085,1.000000,0.000086,0.000257,-0.000086,1.000000,0.999074,0.035093,-0.024883,-0.036320,0.998053,-0.050709,0.023055,0.051566,0.998403,1.000000,0.000022,-0.000121,-0.000022,1.000000,-0.000025,0.000121,0.000025,1.000000,1.000000,0.000036,-0.000111,-0.000036,1.000000,-0.000019,0.000111,0.000019,1.000000,0.986049,-0.128428,0.105894,0.104986,0.973516,0.203087,-0.129171,-0.189136,0.973418,0.832985,0.544458,-0.098495,-0.552084,0.829658,-0.082888,0.036588,0.123422,0.991680,0.752394,-0.653076,-0.085990,0.651389,0.757074,-0.050309,0.097957,-0.018160,0.995025,0.993338,0.049557,-0.104038,-0.084235,0.928343,-0.362054,0.078640,0.368406,0.926333,0.295990,0.936548,0.187797,-0.927744,0.235081,0.289875,0.227334,-0.260028,0.938459,0.463933,-0.878344,-0.115230,0.868564,0.425419,0.254197,-0.174251,-0.218015,0.960264,0.648943,-0.758622,0.058016,0.646178,0.509288,-0.568401,0.401655,0.406348,0.820704,0.644790,0.761684,-0.063895,-0.493759,0.351251,-0.795503,-0.583479,0.544481,0.602572,1.000000,0.000109,-0.000111,-0.000109,1.000000,-0.000096,0.000111,0.000096,1.000000,1.000000,0.000099,-0.000152,-0.000099,1.000000,0.000061,0.000152,-0.000061,1.000000,1.000000,0.000023,-0.000034,-0.000023,1.000000,-0.000041,0.000034,0.000041,1.000000,1.000000,0.000018,-0.000052,-0.000018,1.000000,0.000027,0.000052,-0.000027,1.000000
0.083322,-0.000235,0.024157,-0.022504,0.999973,0.001892,0.007121,-0.001841,0.999972,-0.007226,-0.007135,0.007213,0.999949,0.966479,-0.093559,-0.239094,0.135753,0.976638,0.166584,0.217922,-0.193457,0.956600,0.980302,-0.118230,0.158209,0.071793,0.959552,0.272224,-0.183994,-0.255504,0.949139,0.998313,0.020743,0.054233,-0.035390,0.957846,0.285096,-0.046033,-0.286534,0.956964,0.951441,0.174057,0.253899,-0.078717,0.934942,-0.345957,-0.297597,0.309171,0.903244,0.979355,0.093431,-0.179261,-0.139090,0.954946,-0.262170,0.146690,0.281691,0.948226,0.996057,-0.013940,-0.087616,0.005440,0.995317,-0.096514,0.088551,0.095657,0.991468,1.000000,0.000133,-0.000018,-0.000133,1.000000,0.000139,0.000018,-0.000139,1.000000,1.000000,0.000143,0.000002,-0.000143,1.000000,-0.000029,-0.000002,0.000029,1.000000,0.999241,0.033758,-0.019451,-0.034706,0.998113,-0.050658,0.017704,0.051294,0.998527,1.000000,0.000059,-0.000007,-0.000059,1.000000,-0.000042,0.000007,0.000042,1.000000,1.000000,0.000061,0.000007,-0.000061,1.000000,-0.000033,-0.000007,0.000033,1.000000,0.987854,-0.106411,0.113234,0.084674,0.979659,0.181929,-0.130290,-0.170131,0.976770,0.829563,0.544411,-0.124262,-0.554062,0.830185,-0.061705,0.069568,0.120038,0.990329,0.759846,-0.644972,-0.081521,0.644639,0.763736,-0.033876,0.084109,-0.026811,0.996096,0.990937,0.049439,-0.124901,-0.087918,0.941696,-0.324776,0.101562,0.332813,0.937508,0.315706,0.924890,0.211918,-0.924762,0.249906,0.286987,0.212471,-0.286577,0.934200,0.486212,-0.855974,-0.175799,0.859414,0.432003,0.273461,-0.158129,-0.284044,0.945682,0.665300,-0.744100,0.060751,0.621422,0.506835,-0.597455,0.413775,0.435239,0.799598,0.642419,0.765168,-0.042614,-0.473541,0.352625,-0.807103,-0.602542,0.538678,0.588871,1.000000,0.000101,0.000013,-0.000101,1.000000,0.000063,-0.000013,-0.000063,1.000000,1.000000,0.000066,-0.000037,-0.000066,1.000000,-0.000104,0.000037,0.000104,1.000000,1.000000,0.000021,0.000005,-0.000021,1.000000,0.000027,-0.000005,-0.000027,1.000000,1.000000,0.000013,-0.000014,-0.000013,1.000000,-0.000045,0.000014,0.000045,1.000000
0.099986,-0.000032,0.023573,-0.028830,0.999973,0.002488,0.006861,-0.002431,0.999963,-0.008243,-0.006881,0.008226,0.999942,0.962617,-0.081966,-0.258167,0.131493,0.974682,0.180842,0.236808,-0.208028,0.949024,0.978830,-0.120945,0.165121,0.068524,0.953826,0.292439,-0.192865,-0.274933,0.941921,0.998255,0.012726,0.057665,-0.028823,0.957287,0.287699,-0.051541,-0.288859,0.955983,0.947129,0.166532,0.274252,-0.064142,0.935777,-0.346709,-0.314376,0.310787,0.896983,0.976715,0.084804,-0.197067,-0.139685,0.948557,-0.284124,0.162835,0.305036,0.938317,0.996312,-0.011092,-0.085086,0.001198,0.993311,-0.115462,0.085798,0.114934,0.989661,1.000000,0.000107,0.000114,-0.000107,1.000000,-0.000087,-0.000114,0.000087,1.000000,1.000000,0.000102,0.000132,-0.000102,1.000000,-0.000140,-0.000132,0.000140,1.000000,0.999263,0.035439,-0.014744,-0.036130,0.998116,-0.049596,0.012959,0.050092,0.998661,1.000000,0.000047,0.000055,-0.000047,1.000000,-0.000065,-0.000055,0.000065,1.000000,1.000000,0.000044,0.000064,-0.000044,1.000000,-0.000058,-0.000064,0.000058,1.000000,0.989598,-0.092715,0.110002,0.073617,0.983290,0.166499,-0.123601,-0.156669,0.979886,0.830801,0.538786,-0.139568,-0.548847,0.834724,-0.044749,0.092390,0.113779,0.989201,0.771605,-0.630912,-0.081089,0.631302,0.775166,-0.023995,0.077996,-0.032677,0.996418,0.989186,0.049657,-0.138003,-0.089012,0.951093,-0.295803,0.116565,0.304889,0.945228,0.334113,0.914983,0.226216,-0.921817,0.267175,0.280841,0.196525,-0.302362,0.932714,0.499487,-0.839444,-0.214121,0.853900,0.435345,0.285185,-0.146180,-0.325284,0.934249,0.681286,-0.729618,0.059219,0.601607,0.511990,-0.613136,0.417035,0.453347,0.787755,0.649247,0.760210,-0.023632,-0.451950,0.360619,-0.815901,-0.611735,0.540402,0.577708,1.000000,0.000071,0.000101,-0.000071,1.000000,0.000096,-0.000101,-0.000096,1.000000,1.000000,-0.000004,0.000013,0.000004,1.000000,-0.000169,-0.000013,0.000169,1.000000,1.000000,0.000013,0.000033,-0.000013,1.000000,0.000041,-0.000033,-0.000041,1.000000,1.000000,0.000002,0.000003,-0.000002,1.000000,-0.000073,-0.000003,0.000073,1.000000
0.116650,-0.000225,0.022519,-0.035667,0.999988,0.002186,0.004276,-0.002149,0.999960,-0.008727,-0.004294,0.008718,0.999953,0.960356,-0.070460,-0.269725,0.125015,0.973641,0.190773,0.249173,-0.216930,0.943851,0.976892,-0.125456,0.173040,0.064798,0.945344,0.319572,-0.203675,-0.300975,0.931628,0.998301,0.005912,0.057969,-0.022332,0.957699,0.286904,-0.053821,-0.287711,0.956204,0.944481,0.161468,0.286153,-0.055303,0.936613,-0.345973,-0.323878,0.310939,0.893543,0.974002,0.074761,-0.213847,-0.141087,0.938741,-0.314421,0.177240,0.336417,0.924883,0.996598,-0.008011,-0.082023,-0.002546,0.991796,-0.127808,0.082374,0.127582,0.988401,1.000000,0.000032,0.000071,-0.000032,1.000000,-0.000187,-0.000071,0.000187,1.000000,1.000000,0.000034,0.000080,-0.000034,1.000000,-0.000214,-0.000080,0.000214,1.000000,0.999226,0.037698,-0.011222,-0.038195,0.998116,-0.048007,0.009392,0.048399,0.998784,1.000000,0.000014,0.000032,-0.000014,1.000000,-0.000079,-0.000032,0.000079,1.000000,1.000000,0.000015,0.000035,-0.000015,1.000000,-0.000078,-0.000035,0.000078,1.000000,0.991443,-0.081757,0.101771,0.065711,0.986180,0.152090,-0.112799,-0.144101,0.983113,0.833664,0.531844,-0.148820,-0.541722,0.839909,-0.033015,0.107436,0.108143,0.988313,0.785919,-0.612583,-0.084104,0.613575,0.789463,-0.016543,0.076531,-0.038603,0.996320,0.988170,0.048478,-0.145502,-0.086968,0.958567,-0.271266,0.126323,0.280711,0.951443,0.350377,0.907441,0.231919,-0.918450,0.284362,0.274934,0.183537,-0.309337,0.933073,0.507562,-0.828781,-0.235589,0.850664,0.438560,0.289889,-0.136935,-0.347544,0.927611,0.695263,-0.716834,0.052530,0.587007,0.524128,-0.617019,0.414768,0.459826,0.785193,0.661369,0.750045,-0.004869,-0.431550,0.375203,-0.820358,-0.613479,0.544660,0.571829,1.000000,0.000055,0.000102,-0.000055,1.000000,0.000010,-0.000102,-0.000010,1.000000,1.000000,-0.000050,-0.000028,0.000050,1.000000,-0.000121,0.000028,0.000121,1.000000,1.000000,0.000009,0.000034,-0.000009,1.000000,0.000004,-0.000034,-0.000004,1.000000,1.000000,-0.000006,-0.000010,0.000006,1.000000,-0.000053,0.000010,0.000053,1.000000
0.133315,-0.000599,0.021174,-0.043447,0.999998,0.001535,0.001016,-0.001525,0.999954,-0.009437,-0.001030,0.009435,0.999955,0.958922,-0.057973,-0.277682,0.116771,0.972781,0.200155,0.258520,-0.224358,0.939591,0.974565,-0.132768,0.180545,0.061539,0.933194,0.354064,-0.215491,-0.333948,0.917629,0.998360,0.000395,0.057248,-0.016571,0.959162,0.282370,-0.054799,-0.282856,0.957596,0.942669,0.157382,0.294289,-0.048452,0.937018,-0.345903,-0.330193,0.311813,0.890924,0.970831,0.066077,-0.230481,-0.146140,0.925152,-0.350338,0.190081,0.373801,0.907823,0.996916,-0.005806,-0.078260,-0.004787,0.990902,-0.134501,0.078329,0.134461,0.987818,1.000000,-0.000031,-0.000057,0.000031,1.000000,-0.000217,0.000057,0.000217,1.000000,1.000000,-0.000016,-0.000056,0.000016,1.000000,-0.000241,0.000056,0.000241,1.000000,0.999187,0.039401,-0.008503,-0.039751,0.998155,-0.045890,0.006679,0.046191,0.998910,1.000000,-0.000013,-0.000031,0.000013,1.000000,-0.000078,0.000031,0.000078,1.000000,1.000000,-0.000007,-0.000032,0.000007,1.000000,-0.000082,0.000032,0.000082,1.000000,0.993276,-0.070565,0.091782,0.057654,0.988972,0.136417,-0.100396,-0.130209,0.986391,0.836881,0.525310,-0.153881,-0.534781,0.844617,-0.025104,0.116783,0.103301,0.987770,0.801489,-0.591286,-0.089425,0.592890,0.805218,-0.010272,0.078080,-0.044786,0.995941,0.987669,0.045928,-0.149666,-0.082658,0.964871,-0.249384,0.132955,0.258680,0.956770,0.361920,0.902616,0.233019,-0.915614,0.297237,0.270742,0.175114,-0.311343,0.934024,0.511596,-0.823037,-0.246740,0.849399,0.441135,0.289692,-0.129582,-0.357786,0.924769,0.706077,-0.706699,0.045067,0.577038,0.537305,-0.615086,0.410466,0.460304,0.787171,0.674215,0.738424,0.012824,-0.413721,0.392016,-0.821680,-0.611776,0.548683,0.569804,1.000000,0.000053,0.000047,-0.000053,1.000000,-0.000106,-0.000047,0.000106,1.000000,1.000000,-0.000061,-0.000103,0.000061,1.000000,-0.000025,0.000103,0.000025,1.000000,1.000000,0.000008,0.000016,-0.000008,1.000000,-0.000046,-0.000016,0.000046,1.000000,1.000000,-0.000008,-0.000035,0.000008,1.000000,-0.000012,0.000035,0.000012,1.000000
0.149979,-0.001112,0.019617,-0.052337,0.999998,0.000806,-0.001743,-0.000825,0.999944,-0.010573,0.001734,0.010574,0.999943,0.957834,-0.044323,-0.283884,0.107471,0.971578,0.210918,0.266466,-0.232534,0.935373,0.971980,-0.142410,0.187012,0.058406,0.916951,0.394703,-0.227691,-0.372721,0.899575,0.998368,-0.003491,0.056993,-0.012329,0.961404,0.274865,-0.055753,-0.275119,0.959792,0.941489,0.153359,0.300132,-0.041919,0.936851,-0.347208,-0.334427,0.314311,0.888464,0.967179,0.058303,-0.247318,-0.154429,0.907810,-0.389914,0.201785,0.415310,0.887018,0.997247,-0.005123,-0.073969,-0.005108,0.990492,-0.137473,0.073970,0.137473,0.987740,1.000000,-0.000060,-0.000174,0.000060,1.000000,-0.000214,0.000174,0.000214,1.000000,1.000000,-0.000035,-0.000178,0.000035,1.000000,-0.000236,0.000178,0.000236,1.000000,0.999171,0.040223,-0.006299,-0.040459,0.998243,-0.043283,0.004547,0.043502,0.999043,1.000000,-0.000026,-0.000089,0.000026,1.000000,-0.000070,0.000089,0.000070,1.000000,1.000000,-0.000015,-0.000092,0.000015,1.000000,-0.000075,0.000092,0.000075,1.000000,0.994872,-0.059152,0.082046,0.049011,0.991498,0.120538,-0.088479,-0.115898,0.989312,0.840246,0.519293,-0.155952,-0.528256,0.848859,-0.019612,0.122197,0.098862,0.987570,0.816760,-0.568992,-0.095662,0.571208,0.820790,-0.005055,0.081395,-0.050514,0.995401,0.987389,0.042678,-0.152453,-0.077502,0.970002,-0.230411,0.138046,0.239320,0.961077,0.368629,0.900279,0.231540,-0.913554,0.304810,0.269276,0.171848,-0.310787,0.934815,0.512958,-0.820568,-0.252075,0.849401,0.442754,0.287205,-0.124064,-0.361437,0.924106,0.714942,-0.698047,0.039858,0.570142,0.549046,-0.611136,0.404717,0.459651,0.790522,0.685913,0.727129,0.028406,-0.398353,0.407868,-0.821559,-0.608965,0.552202,0.569416,1.000000,0.000059,-0.000016,-0.000059,1.000000,-0.000188,0.000016,0.000188,1.000000,1.000000,-0.000050,-0.000163,0.000050,1.000000,0.000055,0.000163,-0.000055,1.000000,1.000000,0.000009,-0.000004,-0.000009,1.000000,-0.000082,0.000004,0.000082,1.000000,1.000000,-0.000005,-0.000055,0.000005,1.000000,0.000022,0.000055,-0.000022,1.000000
