t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.991978,-0.112351,-0.057943,0.119132,0.984167,0.131233,0.042282,-0.137083,0.989657,0.994563,-0.061613,0.083959,0.045355,0.981997,0.183370,-0.093745,-0.178565,0.979452,0.999895,0.013677,-0.004832,-0.011958,0.965764,0.259147,0.008211,-0.259062,0.965826,0.984222,0.153096,0.088711,-0.114383,0.933022,-0.341156,-0.134999,0.325626,0.935811,0.996938,0.017931,-0.076112,-0.032276,0.980928,-0.191672,0.071223,0.193542,0.978503,0.995928,-0.003798,-0.090069,0.004538,0.999958,0.008013,0.090035,-0.008389,0.995903,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.998140,0.059573,-0.012930,-0.059614,0.998218,-0.002801,0.012740,0.003567,0.999912,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.994136,-0.107411,-0.012501,0.108105,0.984407,0.138770,-0.002600,-0.139307,0.990246,0.897677,0.428921,0.101008,-0.428783,0.903084,-0.024181,-0.101590,-0.021604,0.994592,0.869707,-0.490175,-0.057776,0.484121,0.869989,-0.093515,0.096104,0.053360,0.993940,0.997069,0.044393,0.062313,-0.018253,0.928953,-0.369747,-0.074300,0.367526,0.927041,0.189465,0.981713,0.018512,-0.976360,0.186367,0.109497,0.104045,-0.038821,0.993815,0.281518,-0.948327,0.146369,0.946139,0.299752,0.122346,-0.159898,0.104043,0.981635,0.552313,-0.810133,0.196556,0.756129,0.387556,-0.527322,0.351025,0.439869,0.826618,0.716521,0.695062,-0.059037,-0.511656,0.466149,-0.721743,-0.474136,0.547351,0.689639,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016664,-0.003163,0.016747,-0.001176,0.999999,0.001037,0.001375,-0.001024,0.999955,-0.009468,-0.001385,0.009467,0.999954,0.988185,-0.123576,-0.090659,0.134317,0.983159,0.123922,0.073819,-0.134635,0.988142,0.990841,-0.076661,0.111161,0.051426,0.975414,0.214296,-0.124856,-0.206616,0.970423,0.999767,0.019043,-0.010123,-0.015365,0.958325,0.285267,0.015134,-0.285045,0.958395,0.982385,0.170927,0.075516,-0.139170,0.938917,-0.314748,-0.124703,0.298694,0.946167,0.993325,0.022514,-0.113134,-0.047325,0.973969,-0.221688,0.105198,0.225562,0.968532,0.995019,0.001295,-0.099674,-0.000412,0.999961,0.008876,0.099681,-0.008791,0.994981,1.000000,-0.000328,0.000236,0.000324,0.999846,0.017560,-0.000242,-0.017560,0.999846,1.000000,0.000326,0.000210,-0.000331,0.999766,0.021624,-0.000203,-0.021624,0.999766,0.997893,0.062469,-0.017499,-0.062898,0.997703,-0.025142,0.015889,0.026190,0.999531,1.000000,-0.000004,0.000177,0.000004,1.000000,0.000040,-0.000177,-0.000040,1.000000,1.000000,-0.000028,0.000167,0.000028,1.000000,0.000027,-0.000167,-0.000027,1.000000,0.988198,-0.153170,-0.001889,0.150493,0.968477,0.198508,-0.028576,-0.196449,0.980098,0.886070,0.456604,0.079952,-0.451752,0.889242,-0.071892,-0.103922,0.027583,0.994203,0.832326,-0.545121,-0.100382,0.534621,0.837333,-0.114254,0.146335,0.041430,0.988367,0.997504,0.057289,0.041266,-0.032835,0.893837,-0.447188,-0.062504,0.444717,0.893488,0.196270,0.974440,0.109292,-0.964181,0.171510,0.202335,0.178419,-0.145090,0.973199,0.290647,-0.950724,0.107923,0.938903,0.305113,0.159271,-0.184352,0.055038,0.981318,0.585352,-0.787945,0.191063,0.737353,0.419355,-0.529578,0.337155,0.450870,0.826464,0.708013,0.697028,-0.113447,-0.500366,0.381772,-0.777100,-0.498349,0.606961,0.619068,1.000000,-0.000142,0.000163,0.000142,1.000000,0.000146,-0.000163,-0.000146,1.000000,1.000000,-0.000084,0.000256,0.000084,1.000000,-0.000095,-0.000256,0.000095,1.000000,1.000000,-0.000029,0.000053,0.000029,1.000000,0.000062,-0.000053,-0.000062,1.000000,1.000000,-0.000016,0.000085,0.000016,1.000000,-0.000041,-0.000085,0.000041,1.000000
0.033329,-0.003510,0.021862,-0.004158,1.000000,0.000705,0.000113,-0.000704,0.999982,-0.005896,-0.000117,0.005896,0.999983,0.984059,-0.124175,-0.127310,0.138785,0.983838,0.113147,0.111203,-0.129012,0.985388,0.986423,-0.096249,0.133066,0.063515,0.970795,0.231350,-0.151447,-0.219757,0.963728,0.999636,0.026274,0.006052,-0.026905,0.957416,0.287456,0.001758,-0.287515,0.957775,0.977113,0.184915,0.105146,-0.144362,0.939486,-0.310687,-0.156234,0.288397,0.944679,0.990428,0.051787,-0.127945,-0.082008,0.966383,-0.243678,0.111024,0.251838,0.961380,0.994958,-0.003462,-0.100231,0.002040,0.999896,-0.014288,0.100270,0.014012,0.994862,1.000000,0.000029,-0.000102,-0.000029,0.999979,0.006554,0.000102,-0.006554,0.999979,1.000000,0.000138,-0.000225,-0.000138,0.999999,0.001541,0.000225,-0.001541,0.999999,0.998262,0.053178,-0.025419,-0.054152,0.997759,-0.039312,0.023272,0.040620,0.998904,1.000000,0.000058,-0.000007,-0.000058,1.000000,0.000285,0.000007,-0.000285,1.000000,1.000000,0.000053,0.000017,-0.000053,1.000000,0.000284,-0.000017,-0.000284,1.000000,0.983718,-0.175704,0.037787,0.162588,0.959636,0.229485,-0.076583,-0.219605,0.972578,0.865155,0.501230,0.016593,-0.497336,0.861750,-0.100218,-0.064532,0.078452,0.994827,0.784061,-0.611289,-0.107579,0.601840,0.791135,-0.109062,0.151778,0.020766,0.988196,0.997916,0.062093,-0.017579,-0.063365,0.891168,-0.449226,-0.012228,0.449404,0.893245,0.229905,0.963471,0.137362,-0.948840,0.190513,0.251809,0.216441,-0.188227,0.957979,0.357652,-0.932465,0.050926,0.912683,0.360569,0.192354,-0.197726,-0.022317,0.980003,0.609399,-0.784163,0.117136,0.710022,0.473989,-0.520772,0.352849,0.400527,0.845622,0.678420,0.726177,-0.111411,-0.509958,0.356302,-0.782938,-0.528856,0.587976,0.612042,1.000000,-0.000087,-0.000238,0.000087,1.000000,0.000288,0.000238,-0.000288,1.000000,1.000000,0.000296,0.000222,-0.000296,1.000000,0.000067,-0.000222,-0.000067,1.000000,1.000000,-0.000011,-0.000074,0.000011,1.000000,0.000125,0.000074,-0.000125,1.000000,1.000000,0.000046,0.000070,-0.000046,1.000000,0.000031,-0.000070,-0.000031,1.000000
0.049993,-0.002619,0.023097,-0.009675,0.999999,0.000072,-0.001187,-0.000077,0.999992,-0.003896,0.001186,0.003897,0.999992,0.978756,-0.118201,-0.167526,0.139806,0.982430,0.123632,0.149969,-0.144427,0.978085,0.983234,-0.108621,0.146467,0.070155,0.966732,0.245984,-0.168314,-0.231584,0.958144,0.999082,0.030788,0.029802,-0.037975,0.958367,0.283003,-0.019849,-0.283875,0.958656,0.968465,0.189323,0.161962,-0.128462,0.936434,-0.326480,-0.213477,0.295378,0.931225,0.986866,0.077755,-0.141599,-0.111621,0.961854,-0.249756,0.116777,0.262281,0.957900,0.995405,-0.011256,-0.095089,0.007008,0.998968,-0.044885,0.095496,0.044012,0.994456,1.000000,0.000037,-0.000360,-0.000036,0.999998,0.002140,0.000360,-0.002140,0.999998,1.000000,0.000112,-0.000387,-0.000112,1.000000,0.000473,0.000387,-0.000473,1.000000,0.998719,0.042164,-0.027982,-0.043477,0.997897,-0.048075,0.025896,0.049230,0.998452,1.000000,0.000031,-0.000157,-0.000031,1.000000,0.000058,0.000157,-0.000058,1.000000,1.000000,0.000046,-0.000140,-0.000046,1.000000,0.000061,0.000140,-0.000061,1.000000,0.984052,-0.157771,0.082156,0.135858,0.964748,0.225396,-0.114821,-0.210640,0.970797,0.844869,0.532324,-0.053184,-0.534898,0.838891,-0.100730,-0.009005,0.113552,0.993491,0.755865,-0.647772,-0.095184,0.643048,0.761831,-0.078120,0.123118,-0.002159,0.992390,0.996077,0.053972,-0.070125,-0.078037,0.909396,-0.408544,0.041722,0.412414,0.910041,0.269019,0.949700,0.160308,-0.934757,0.217345,0.281052,0.232073,-0.225457,0.946209,0.423556,-0.905244,-0.033682,0.885435,0.405861,0.226454,-0.191326,-0.125739,0.973439,0.630435,-0.773204,0.068607,0.676612,0.504049,-0.536778,0.380458,0.384823,0.840930,0.655728,0.749694,-0.089328,-0.509044,0.351629,-0.785641,-0.557580,0.560639,0.612200,1.000000,0.000090,-0.000217,-0.000090,1.000000,-0.000053,0.000217,0.000053,1.000000,1.000000,0.000192,-0.000119,-0.000192,1.000000,0.000121,0.000119,-0.000121,1.000000,1.000000,0.000020,-0.000067,-0.000020,1.000000,-0.000023,0.000067,0.000023,1.000000,1.000000,0.000032,-0.000042,-0.000032,1.000000,0.000053,0.000042,-0.000053,1.000000
0.066657,-0.001177,0.023711,-0.015953,1.000000,0.000293,0.000783,-0.000289,0.999987,-0.005112,-0.000784,0.005111,0.999987,0.972402,-0.106633,-0.207520,0.138316,0.979764,0.144677,0.187893,-0.169387,0.967473,0.981278,-0.115242,0.154312,0.072620,0.963481,0.257743,-0.178380,-0.241711,0.953811,0.998513,0.028179,0.046674,-0.040255,0.958407,0.282552,-0.036770,-0.284010,0.958116,0.959058,0.183324,0.215871,-0.102062,0.934736,-0.340371,-0.264181,0.304403,0.915176,0.982947,0.093589,-0.158289,-0.132090,0.958222,-0.253698,0.127933,0.270280,0.954244,0.995823,-0.015094,-0.090049,0.008541,0.997316,-0.072724,0.090905,0.071651,0.993279,1.000000,0.000044,-0.000240,-0.000043,1.000000,0.000638,0.000240,-0.000638,1.000000,1.000000,0.000086,-0.000240,-0.000086,1.000000,0.000090,0.000240,-0.000090,1.000000,0.999090,0.034944,-0.024456,-0.036149,0.998058,-0.050721,0.022636,0.051559,0.998413,1.000000,0.000024,-0.000113,-0.000024,1.000000,-0.000021,0.000113,0.000021,1.000000,1.000000,0.000036,-0.000102,-0.000036,1.000000,-0.000015,0.000102,0.000015,1.000000,0.985874,-0.128544,0.107372,0.104961,0.973741,0.202017,-0.130521,-0.187893,0.973478,0.832876,0.544561,-0.098843,-0.552239,0.829531,-0.083130,0.036724,0.123822,0.991625,0.752107,-0.653416,-0.085919,0.651772,0.756773,-0.049873,0.097609,-0.018490,0.995053,0.993544,0.049428,-0.102110,-0.083532,0.927772,-0.363676,0.076759,0.369858,0.925912,0.296545,0.936333,0.187995,-0.927640,0.235611,0.289778,0.227035,-0.260323,0.938449,0.464409,-0.878163,-0.114689,0.868317,0.426026,0.254021,-0.174212,-0.217556,0.960375,0.648718,-0.758888,0.057045,0.645874,0.509363,-0.568679,0.402507,0.405756,0.820579,0.644760,0.761648,-0.064628,-0.495286,0.351879,-0.794275,-0.582217,0.544126,0.604111,1.000000,0.000104,-0.000106,-0.000104,1.000000,-0.000082,0.000106,0.000082,1.000000,1.000000,0.000098,-0.000139,-0.000098,1.000000,0.000055,0.000139,-0.000055,1.000000,1.000000,0.000022,-0.000033,-0.000022,1.000000,-0.000035,0.000033,0.000035,1.000000,1.000000,0.000018,-0.000048,-0.000018,1.000000,0.000024,0.000048,-0.000024,1.000000
0.083322,-0.000266,0.023154,-0.022047,0.999996,0.001507,0.002403,-0.001490,0.999974,-0.007121,-0.002414,0.007118,0.999972,0.966498,-0.094534,-0.238629,0.136235,0.976875,0.164786,0.217533,-0.191775,0.957027,0.979872,-0.118787,0.160436,0.071717,0.959506,0.272404,-0.186298,-0.255416,0.948713,0.998252,0.020404,0.055475,-0.035476,0.957509,0.286212,-0.047278,-0.287679,0.956559,0.951851,0.174013,0.252385,-0.079014,0.934726,-0.346475,-0.296202,0.309851,0.903469,0.979739,0.094080,-0.176807,-0.139508,0.953982,-0.265435,0.143699,0.284723,0.947778,0.996117,-0.014370,-0.086861,0.005885,0.995251,-0.097161,0.087844,0.096273,0.991471,1.000000,0.000093,0.000027,-0.000093,1.000000,0.000111,-0.000027,-0.000111,1.000000,1.000000,0.000097,0.000041,-0.000097,1.000000,-0.000067,-0.000041,0.000067,1.000000,0.999257,0.033581,-0.018938,-0.034503,0.998118,-0.050691,0.017201,0.051307,0.998535,1.000000,0.000042,0.000013,-0.000042,1.000000,-0.000042,-0.000013,0.000042,1.000000,1.000000,0.000041,0.000023,-0.000041,1.000000,-0.000035,-0.000023,0.000035,1.000000,0.987577,-0.106506,0.115534,0.084600,0.979977,0.180242,-0.132417,-0.168229,0.976814,0.829383,0.544568,-0.124781,-0.554303,0.830003,-0.061999,0.069806,0.120587,0.990245,0.759591,-0.645293,-0.081356,0.644996,0.763455,-0.033418,0.083676,-0.027090,0.996125,0.991286,0.049220,-0.122183,-0.087029,0.941009,-0.327000,0.098880,0.334784,0.937093,0.316526,0.924573,0.212076,-0.924576,0.250724,0.286875,0.212064,-0.286884,0.934198,0.486617,-0.855875,-0.175162,0.859194,0.432584,0.273235,-0.158083,-0.283459,0.945865,0.664936,-0.744543,0.059298,0.621123,0.507123,-0.597522,0.414809,0.434145,0.799657,0.642335,0.765191,-0.043460,-0.475481,0.353383,-0.805629,-0.601102,0.538149,0.590823,1.000000,0.000071,0.000036,-0.000071,1.000000,0.000060,-0.000036,-0.000060,1.000000,1.000000,0.000024,-0.000016,-0.000024,1.000000,-0.000096,0.000016,0.000096,1.000000,1.000000,0.000014,0.000012,-0.000014,1.000000,0.000026,-0.000012,-0.000026,1.000000,1.000000,0.000007,-0.000007,-0.000007,1.000000,-0.000042,0.000007,0.000042,1.000000
0.099986,-0.000027,0.022127,-0.028218,0.999997,0.002064,0.000946,-0.002057,0.999964,-0.008235,-0.000962,0.008233,0.999966,0.962576,-0.083224,-0.257918,0.132162,0.974999,0.178634,0.236603,-0.206035,0.949509,0.978309,-0.121589,0.167711,0.068373,0.953775,0.292641,-0.195541,-0.274826,0.941400,0.998180,0.012265,0.059041,-0.028862,0.956840,0.289180,-0.052946,-0.290358,0.955452,0.947670,0.166269,0.272537,-0.064287,0.935573,-0.347233,-0.312712,0.311542,0.897303,0.977158,0.085524,-0.194546,-0.140292,0.947224,-0.288245,0.159626,0.308954,0.937586,0.996378,-0.011594,-0.084235,0.001723,0.993209,-0.116328,0.085012,0.115761,0.989632,1.000000,0.000076,0.000152,-0.000076,1.000000,-0.000108,-0.000152,0.000108,1.000000,1.000000,0.000066,0.000167,-0.000066,1.000000,-0.000168,-0.000167,0.000168,1.000000,0.999278,0.035263,-0.014135,-0.035923,0.998124,-0.049571,0.012361,0.050043,0.998671,1.000000,0.000033,0.000072,-0.000033,1.000000,-0.000064,-0.000072,0.000064,1.000000,1.000000,0.000028,0.000079,-0.000028,1.000000,-0.000059,-0.000079,0.000059,1.000000,0.989239,-0.092687,0.113205,0.073395,0.983716,0.164058,-0.126567,-0.153984,0.979934,0.830519,0.539062,-0.140178,-0.549229,0.834454,-0.045105,0.092658,0.114450,0.989098,0.771377,-0.631227,-0.080808,0.631639,0.774903,-0.023616,0.077526,-0.032824,0.996450,0.989679,0.049322,-0.134544,-0.087949,0.950330,-0.298560,0.113135,0.307312,0.944860,0.335254,0.914534,0.226347,-0.921527,0.268351,0.280670,0.195942,-0.302681,0.932733,0.499738,-0.839478,-0.213400,0.853770,0.435847,0.284805,-0.146078,-0.324522,0.934530,0.680876,-0.730147,0.057380,0.601226,0.512473,-0.613106,0.418252,0.451948,0.787914,0.649127,0.760282,-0.024585,-0.454245,0.361504,-0.814233,-0.610160,0.539709,0.580017,1.000000,0.000047,0.000121,-0.000047,1.000000,0.000096,-0.000121,-0.000096,1.000000,1.000000,-0.000037,0.000032,0.000037,1.000000,-0.000165,-0.000032,0.000165,1.000000,1.000000,0.000008,0.000040,-0.000008,1.000000,0.000041,-0.000040,-0.000041,1.000000,1.000000,-0.000004,0.000009,0.000004,1.000000,-0.000072,-0.000009,0.000072,1.000000
0.116650,-0.000207,0.020875,-0.034957,0.999994,0.001836,-0.002905,-0.001861,0.999959,-0.008821,0.002889,0.008827,0.999957,0.960238,-0.072009,-0.269736,0.125931,0.974007,0.188284,0.249166,-0.214766,0.944347,0.976286,-0.126193,0.175898,0.064535,0.945236,0.319945,-0.206640,-0.301006,0.930965,0.998217,0.005366,0.059454,-0.022340,0.957163,0.288686,-0.055358,-0.289500,0.955576,0.945144,0.160922,0.284266,-0.055208,0.936409,-0.346541,-0.321955,0.311837,0.893925,0.974482,0.075438,-0.211410,-0.141838,0.936921,-0.319470,0.173974,0.341304,0.923712,0.996669,-0.008587,-0.081098,-0.001947,0.991653,-0.128922,0.081528,0.128650,0.988333,1.000000,0.000014,0.000099,-0.000014,1.000000,-0.000200,-0.000099,0.000200,1.000000,1.000000,0.000012,0.000106,-0.000012,1.000000,-0.000230,-0.000106,0.000230,1.000000,0.999240,0.037530,-0.010542,-0.037994,0.998129,-0.047901,0.008725,0.048265,0.998796,1.000000,0.000006,0.000045,-0.000006,1.000000,-0.000078,-0.000045,0.000078,1.000000,1.000000,0.000005,0.000046,-0.000005,1.000000,-0.000078,-0.000046,0.000078,1.000000,0.991024,-0.081569,0.105911,0.065299,0.986692,0.148910,-0.116648,-0.140658,0.983163,0.833282,0.532264,-0.149457,-0.542259,0.839547,-0.033416,0.107690,0.108889,0.988203,0.785697,-0.612922,-0.083707,0.613920,0.789200,-0.016286,0.076043,-0.038593,0.996357,0.988792,0.048046,-0.141357,-0.085786,0.957741,-0.274542,0.122193,0.283591,0.951128,0.351863,0.906836,0.232037,-0.918036,0.285921,0.274697,0.182761,-0.309675,0.933113,0.507649,-0.828977,-0.234713,0.850625,0.438973,0.289378,-0.136855,-0.346556,0.927992,0.694869,-0.717369,0.050390,0.586453,0.524717,-0.617045,0.416208,0.458317,0.785313,0.661244,0.750147,-0.005985,-0.434171,0.376185,-0.818524,-0.611762,0.543842,0.574442,1.000000,0.000039,0.000117,-0.000039,1.000000,0.000014,-0.000117,-0.000014,1.000000,1.000000,-0.000071,-0.000014,0.000071,1.000000,-0.000121,0.000014,0.000121,1.000000,1.000000,0.000006,0.000039,-0.000006,1.000000,0.000005,-0.000039,-0.000005,1.000000,1.000000,-0.000009,-0.000005,0.000009,1.000000,-0.000053,0.000005,0.000053,1.000000
0.133315,-0.000575,0.019435,-0.042668,0.999971,0.001341,-0.007490,-0.001413,0.999953,-0.009612,0.007476,0.009622,0.999926,0.958720,-0.059880,-0.277976,0.118038,0.973176,0.197471,0.258696,-0.222131,0.940072,0.973869,-0.133655,0.183616,0.061144,0.932942,0.354796,-0.218723,-0.334298,0.916736,0.998269,-0.000232,0.058805,-0.016529,0.958572,0.284369,-0.056435,-0.284849,0.956910,0.943428,0.156639,0.292245,-0.048143,0.936751,-0.346670,-0.328063,0.312989,0.891299,0.971335,0.066589,-0.228198,-0.147005,0.922658,-0.356498,0.186810,0.379825,0.905999,0.996991,-0.006455,-0.077254,-0.004114,0.990719,-0.135863,0.077414,0.135772,0.987711,1.000000,-0.000042,-0.000038,0.000042,1.000000,-0.000223,0.000038,0.000223,1.000000,1.000000,-0.000030,-0.000038,0.000030,1.000000,-0.000249,0.000038,0.000249,1.000000,0.999199,0.039246,-0.007766,-0.039560,0.998172,-0.045695,0.005959,0.045965,0.998925,1.000000,-0.000018,-0.000023,0.000018,1.000000,-0.000078,0.000023,0.000078,1.000000,1.000000,-0.000013,-0.000025,0.000013,1.000000,-0.000082,0.000025,0.000082,1.000000,0.992818,-0.070220,0.096854,0.057052,0.989527,0.132595,-0.105150,-0.126117,0.986427,0.836401,0.525889,-0.154514,-0.535484,0.844159,-0.025539,0.117004,0.104100,0.987660,0.801250,-0.591691,-0.088881,0.593282,0.804931,-0.010165,0.077557,-0.044587,0.995990,0.988410,0.045460,-0.144843,-0.081442,0.963978,-0.253208,0.128114,0.262070,0.956507,0.363778,0.901840,0.233130,-0.915060,0.299197,0.270454,0.174155,-0.311714,0.934080,0.511557,-0.823393,-0.245630,0.849413,0.441467,0.289144,-0.129641,-0.356554,0.925236,0.705722,-0.707205,0.042630,0.576231,0.537933,-0.615294,0.412207,0.458791,0.787144,0.674132,0.738523,0.011453,-0.416667,0.393050,-0.819695,-0.609865,0.547810,0.572685,1.000000,0.000043,0.000057,-0.000043,1.000000,-0.000103,-0.000057,0.000103,1.000000,1.000000,-0.000074,-0.000093,0.000074,1.000000,-0.000026,0.000093,0.000026,1.000000,1.000000,0.000006,0.000019,-0.000006,1.000000,-0.000045,-0.000019,0.000045,1.000000,1.000000,-0.000010,-0.000032,0.000010,1.000000,-0.000013,0.000032,0.000013,1.000000
0.149979,-0.001076,0.017822,-0.051501,0.999932,0.000843,-0.011616,-0.000968,0.999941,-0.010798,0.011606,0.010809,0.999874,0.957539,-0.046660,-0.284503,0.109187,0.972000,0.208074,0.266829,-0.230303,0.935822,0.971176,-0.143575,0.190272,0.057891,0.916413,0.396024,-0.231227,-0.373594,0.898310,0.998274,-0.004207,0.058577,-0.012204,0.960794,0.276993,-0.057445,-0.277230,0.959085,0.942313,0.152553,0.297951,-0.041462,0.936450,-0.348343,-0.332157,0.315894,0.888754,0.967697,0.058565,-0.245221,-0.155439,0.904381,-0.397408,0.198498,0.422688,0.884270,0.997326,-0.005843,-0.072850,-0.004355,0.990276,-0.139051,0.072954,0.138997,0.987602,1.000000,-0.000068,-0.000163,0.000068,1.000000,-0.000218,0.000163,0.000218,1.000000,1.000000,-0.000045,-0.000167,0.000045,1.000000,-0.000242,0.000167,0.000242,1.000000,0.999181,0.040081,-0.005505,-0.040281,0.998263,-0.042986,0.003772,0.043173,0.999061,1.000000,-0.000029,-0.000084,0.000029,1.000000,-0.000070,0.000084,0.000070,1.000000,1.000000,-0.000019,-0.000087,0.000019,1.000000,-0.000076,0.000087,0.000076,1.000000,0.994389,-0.058647,0.088035,0.048226,0.992060,0.116151,-0.094148,-0.111253,0.989322,0.839660,0.520055,-0.156572,-0.529146,0.848293,-0.020079,0.122377,0.099709,0.987462,0.816496,-0.569492,-0.094937,0.571668,0.820469,-0.005121,0.080809,-0.050091,0.995470,0.988245,0.042234,-0.146927,-0.076326,0.969035,-0.234830,0.132460,0.243284,0.960868,0.370879,0.899326,0.231651,-0.912856,0.307183,0.268945,0.170710,-0.311210,0.934883,0.512839,-0.821067,-0.250689,0.849433,0.443020,0.286701,-0.124340,-0.359975,0.924639,0.714610,-0.698540,0.037077,0.569032,0.549660,-0.611618,0.406860,0.458166,0.790284,0.685905,0.727201,0.026706,-0.401636,0.408921,-0.819434,-0.606813,0.551328,0.572551,1.000000,0.000053,-0.000009,-0.000053,1.000000,-0.000187,0.000009,0.000187,1.000000,1.000000,-0.000058,-0.000158,0.000058,1.000000,0.000055,0.000158,-0.000055,1.000000,1.000000,0.000008,-0.000002,-0.000008,1.000000,-0.000081,0.000002,0.000081,1.000000,1.000000,-0.000007,-0.000053,0.000007,1.000000,0.000022,0.000053,-0.000022,1.000000
