t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,0.997526,0.050915,0.048464,0.050915,-0.048010,-0.997548,-0.048464,0.997548,-0.050483,0.980601,-0.179932,-0.077756,0.193881,0.948717,0.249693,0.028840,-0.259925,0.965198,0.996964,-0.057782,0.052194,0.030286,0.905294,0.423705,-0.071734,-0.420838,0.904295,0.999887,0.004133,-0.014479,-0.001645,0.985813,0.167842,0.014968,-0.167799,0.985708,0.980517,0.166864,0.103646,-0.113453,0.911799,-0.394652,-0.160357,0.375204,0.912966,0.983510,-0.047185,-0.174588,-0.039037,0.887220,-0.459692,0.176588,0.458927,0.870748,0.998679,0.009420,-0.050517,-0.005985,0.997686,0.067725,0.051038,-0.067333,0.996424,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.997907,0.062340,-0.017213,-0.062854,0.997537,-0.031145,0.015229,0.032161,0.999367,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.994387,-0.100743,-0.032327,0.104602,0.981979,0.157402,0.015887,-0.159900,0.987005,0.919867,0.365641,0.141957,-0.364685,0.930523,-0.033643,-0.144395,-0.020823,0.989301,0.909773,-0.400220,-0.110172,0.393460,0.915991,-0.078412,0.132299,0.027989,0.990815,0.999198,0.017790,0.035884,-0.007761,0.964958,-0.262289,-0.039293,0.261800,0.964322,0.207561,0.978119,0.014169,-0.976686,0.206402,0.059016,0.054801,-0.026088,0.998156,0.281972,-0.955533,0.086311,0.954846,0.288265,0.071913,-0.093596,0.062136,0.993669,0.447615,-0.871174,0.201734,0.855593,0.351642,-0.379878,0.260002,0.342642,0.902771,0.632203,0.763187,0.133659,-0.452665,0.503821,-0.735703,-0.628820,0.404611,0.663985,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016668,-0.000267,0.000405,-0.000515,0.997360,0.052081,0.050611,0.053752,-0.060787,-0.996702,-0.048833,0.996791,-0.063426,0.977562,-0.174529,-0.117954,0.199019,0.948706,0.245661,0.069029,-0.263623,0.962153,0.991192,-0.093513,0.093778,0.038036,0.879285,0.474774,-0.126855,-0.467026,0.875097,0.999496,0.003827,-0.031503,0.001921,0.983590,0.180407,0.031677,-0.180377,0.983087,0.977382,0.183111,0.105803,-0.130006,0.914836,-0.382327,-0.166800,0.359925,0.917950,0.972648,-0.028979,-0.230468,-0.088974,0.870034,-0.484897,0.214567,0.492140,0.843658,0.997976,0.009359,-0.062907,-0.004030,0.996431,0.084320,0.063471,-0.083895,0.994451,1.000000,-0.000354,0.000621,0.000354,1.000000,-0.000027,-0.000621,0.000027,1.000000,1.000000,-0.000374,0.000580,0.000374,1.000000,-0.000169,-0.000579,0.000169,1.000000,0.998008,0.057906,-0.025029,-0.059128,0.996936,-0.051208,0.021987,0.052586,0.998374,1.000000,-0.000152,0.000299,0.000152,1.000000,-0.000030,-0.000299,0.000030,1.000000,1.000000,-0.000160,0.000271,0.000161,1.000000,-0.000103,-0.000271,0.000103,1.000000,0.990418,-0.137633,-0.011387,0.136992,0.968669,0.207154,-0.017481,-0.206729,0.978242,0.904417,0.403167,0.139591,-0.395126,0.914921,-0.082434,-0.160949,0.019399,0.986772,0.879298,-0.454338,-0.142872,0.443505,0.890438,-0.102096,0.173605,0.026408,0.984461,0.999420,0.020522,0.027170,-0.009677,0.936251,-0.351199,-0.032645,0.350733,0.935906,0.197863,0.973090,0.118091,-0.973213,0.180627,0.142235,0.117077,-0.143070,0.982763,0.303099,-0.951190,0.058040,0.943951,0.308031,0.118633,-0.130721,0.018830,0.991240,0.478955,-0.863327,0.158962,0.826080,0.382002,-0.414326,0.296975,0.329759,0.896139,0.636800,0.769752,0.044358,-0.431446,0.403426,-0.806909,-0.639015,0.494701,0.589008,1.000000,-0.000327,0.000383,0.000327,1.000000,0.000076,-0.000383,-0.000076,1.000000,1.000000,-0.000341,0.000378,0.000341,1.000000,0.000030,-0.000378,-0.000030,1.000000,1.000000,-0.000064,0.000131,0.000064,1.000000,0.000032,-0.000131,-0.000032,1.000000,1.000000,-0.000069,0.000121,0.000069,1.000000,0.000013,-0.000121,-0.000013,1.000000
0.033335,0.000128,0.001683,-0.002045,0.997345,0.051924,0.051066,0.054013,-0.057036,-0.996910,-0.048851,0.997021,-0.059689,0.973356,-0.169578,-0.154341,0.202683,0.951050,0.233289,0.107226,-0.258355,0.960081,0.984464,-0.127010,0.121238,0.045750,0.852176,0.521251,-0.169520,-0.507606,0.844748,0.999357,0.011375,-0.034009,-0.005496,0.985735,0.168214,0.035437,-0.167919,0.985164,0.969491,0.206830,0.131562,-0.142331,0.911946,-0.384833,-0.199573,0.354367,0.913562,0.969070,-0.008555,-0.246638,-0.125865,0.842515,-0.523762,0.212277,0.538605,0.815379,0.997361,0.000560,-0.072605,0.005429,0.996596,0.082265,0.072404,-0.082442,0.993962,1.000000,0.000038,0.000442,-0.000038,1.000000,0.000188,-0.000442,-0.000188,1.000000,1.000000,-0.000010,0.000464,0.000010,1.000000,0.000155,-0.000464,-0.000155,1.000000,0.998316,0.045322,-0.036204,-0.047453,0.997049,-0.060350,0.033362,0.061966,0.997521,1.000000,0.000016,0.000229,-0.000016,1.000000,0.000080,-0.000229,-0.000080,1.000000,1.000000,-0.000004,0.000231,0.000004,1.000000,0.000063,-0.000231,-0.000063,1.000000,0.987907,-0.149723,0.040295,0.136831,0.964095,0.227593,-0.072924,-0.219327,0.972922,0.889537,0.446133,0.098438,-0.433955,0.892459,-0.123291,-0.142856,0.066954,0.987476,0.833360,-0.533335,-0.145135,0.520552,0.845589,-0.118337,0.185838,0.023067,0.982310,0.999456,0.032670,-0.004606,-0.032020,0.926825,-0.374127,-0.007954,0.374071,0.927366,0.209882,0.965449,0.154459,-0.966230,0.180655,0.183750,0.149498,-0.187809,0.970762,0.376279,-0.926108,0.027183,0.912879,0.375598,0.159933,-0.158325,-0.035365,0.986753,0.534662,-0.841647,0.075944,0.782813,0.459417,-0.419691,0.318341,0.283842,0.904485,0.629689,0.776835,0.004305,-0.439949,0.361172,-0.822192,-0.640262,0.515831,0.569194,1.000000,-0.000082,0.000204,0.000082,1.000000,0.000354,-0.000204,-0.000354,1.000000,1.000000,-0.000022,0.000388,0.000022,1.000000,-0.000145,-0.000388,0.000145,1.000000,1.000000,-0.000015,0.000076,0.000015,1.000000,0.000151,-0.000076,-0.000151,1.000000,1.000000,-0.000008,0.000121,0.000008,1.000000,-0.000062,-0.000121,0.000062,1.000000
0.050003,0.000172,0.004078,-0.005708,0.997377,0.051342,0.051014,0.053911,-0.056715,-0.996934,-0.048291,0.997069,-0.059334,0.966954,-0.167686,-0.192045,0.212114,0.947041,0.241084,0.141448,-0.273853,0.951313,0.980488,-0.149641,0.127478,0.048619,0.812936,0.580319,-0.190472,-0.562798,0.804350,0.999361,0.020875,-0.029018,-0.015920,0.986731,0.161583,0.032006,-0.161018,0.986432,0.957606,0.230907,0.172255,-0.144742,0.902639,-0.405331,-0.249078,0.363215,0.897795,0.966530,-0.000662,-0.256554,-0.156193,0.791796,-0.590477,0.203529,0.610785,0.765191,0.996773,-0.010965,-0.079517,0.016704,0.997273,0.071881,0.078512,-0.072977,0.994239,1.000000,0.000253,0.000224,-0.000254,1.000000,0.000458,-0.000224,-0.000458,1.000000,1.000000,0.000188,0.000294,-0.000188,1.000000,0.000488,-0.000294,-0.000488,1.000000,0.998406,0.034841,-0.044400,-0.037890,0.996842,-0.069793,0.041828,0.071364,0.996573,1.000000,0.000109,0.000125,-0.000109,1.000000,0.000224,-0.000125,-0.000224,1.000000,1.000000,0.000081,0.000151,-0.000081,1.000000,0.000241,-0.000150,-0.000241,1.000000,0.986690,-0.131330,0.095890,0.107135,0.968630,0.224227,-0.122330,-0.210970,0.969808,0.881638,0.468713,0.054971,-0.458700,0.878480,-0.133668,-0.110943,0.092631,0.989500,0.805462,-0.577320,-0.133918,0.566367,0.816378,-0.112939,0.174529,0.015122,0.984536,0.998375,0.039724,-0.040856,-0.051636,0.933907,-0.353767,0.024103,0.355302,0.934441,0.235406,0.958598,0.160234,-0.958090,0.201194,0.203922,0.163241,-0.201523,0.965785,0.435566,-0.900095,-0.010560,0.884254,0.425645,0.192149,-0.168457,-0.093031,0.981309,0.591261,-0.805271,0.044142,0.739057,0.519110,-0.429325,0.322809,0.286466,0.902071,0.626589,0.779289,-0.009728,-0.446353,0.348602,-0.824164,-0.638871,0.520754,0.566268,1.000000,0.000047,-0.000079,-0.000046,1.000000,0.000480,0.000079,-0.000480,1.000000,1.000000,0.000225,0.000353,-0.000225,1.000000,-0.000069,-0.000353,0.000069,1.000000,1.000000,0.000011,-0.000016,-0.000011,1.000000,0.000205,0.000016,-0.000205,1.000000,1.000000,0.000041,0.000107,-0.000041,1.000000,-0.000030,-0.000107,0.000030,1.000000
0.066670,0.000237,0.006940,-0.011272,0.997526,0.049989,0.049425,0.052343,-0.058843,-0.996894,-0.046926,0.997015,-0.061314,0.959524,-0.167793,-0.226183,0.225326,0.939184,0.259155,0.168943,-0.299631,0.938978,0.979155,-0.158671,0.126802,0.040115,0.763062,0.645079,-0.199114,-0.626546,0.753521,0.999275,0.027226,-0.026618,-0.022632,0.986891,0.159792,0.030620,-0.159074,0.986792,0.944054,0.254545,0.209689,-0.143807,0.889922,-0.432849,-0.296786,0.378478,0.876739,0.963947,-0.014582,-0.265696,-0.175140,0.716960,-0.674755,0.200332,0.696962,0.688557,0.996166,-0.019913,-0.085185,0.024957,0.997972,0.058556,0.083846,-0.060457,0.994643,1.000000,0.000266,0.000059,-0.000266,1.000000,0.000564,-0.000058,-0.000564,1.000000,1.000000,0.000204,0.000131,-0.000204,1.000000,0.000609,-0.000131,-0.000609,1.000000,0.998420,0.029192,-0.048008,-0.032921,0.996345,-0.078816,0.045532,0.080272,0.995732,1.000000,0.000114,0.000044,-0.000114,1.000000,0.000280,-0.000044,-0.000280,1.000000,1.000000,0.000088,0.000070,-0.000088,1.000000,0.000304,-0.000070,-0.000304,1.000000,0.985176,-0.107990,0.133290,0.078031,0.974057,0.212425,-0.152772,-0.198875,0.968044,0.880287,0.473870,0.023278,-0.467632,0.874891,-0.126041,-0.080092,0.100067,0.991752,0.798370,-0.589788,-0.121475,0.580810,0.807472,-0.103193,0.158950,0.011832,0.987216,0.996545,0.047078,-0.068423,-0.066692,0.944586,-0.321417,0.049500,0.324870,0.944463,0.263562,0.950898,0.162259,-0.950320,0.227072,0.212908,0.165609,-0.210312,0.963505,0.469254,-0.882110,-0.041007,0.865649,0.450328,0.218761,-0.174505,-0.138152,0.974917,0.642536,-0.765040,0.043143,0.699996,0.563141,-0.439180,0.311695,0.312389,0.897363,0.635398,0.771997,-0.017019,-0.444575,0.347712,-0.825499,-0.631366,0.532087,0.564146,1.000000,0.000054,-0.000254,-0.000054,1.000000,0.000418,0.000254,-0.000418,1.000000,1.000000,0.000297,0.000290,-0.000297,1.000000,0.000061,-0.000290,-0.000061,1.000000,1.000000,0.000013,-0.000072,-0.000013,1.000000,0.000178,0.000072,-0.000178,1.000000,1.000000,0.000055,0.000084,-0.000055,1.000000,0.000026,-0.000084,-0.000026,1.000000
0.083338,0.000567,0.009808,-0.018337,0.997801,0.048129,0.045566,0.048441,-0.060369,-0.997000,-0.045234,0.997015,-0.062568,0.953155,-0.168995,-0.250872,0.237785,0.931245,0.276118,0.186960,-0.322837,0.927805,0.979079,-0.159638,0.126172,0.025142,0.710235,0.703516,-0.201920,-0.685625,0.699390,0.999214,0.027588,-0.028463,-0.022817,0.987479,0.156089,0.032413,-0.155317,0.987333,0.931834,0.276802,0.234662,-0.144443,0.876143,-0.459902,-0.332899,0.394657,0.856402,0.961529,-0.041674,-0.271526,-0.184099,0.635858,-0.749528,0.203888,0.770680,0.603723,0.995803,-0.023916,-0.088340,0.028139,0.998504,0.046876,0.087087,-0.049165,0.994987,1.000000,0.000163,-0.000058,-0.000163,1.000000,0.000393,0.000058,-0.000393,1.000000,1.000000,0.000127,-0.000009,-0.000127,1.000000,0.000424,0.000009,-0.000424,1.000000,0.998407,0.028785,-0.048537,-0.032911,0.995711,-0.086463,0.045840,0.087923,0.995072,1.000000,0.000070,-0.000016,-0.000070,1.000000,0.000184,0.000016,-0.000184,1.000000,1.000000,0.000055,-0.000001,-0.000055,1.000000,0.000200,0.000001,-0.000200,1.000000,0.983996,-0.090112,0.153727,0.058330,0.978067,0.199954,-0.168373,-0.187787,0.967671,0.882016,0.471218,0.001145,-0.467937,0.876155,-0.115702,-0.055524,0.101516,0.993283,0.802471,-0.586242,-0.111180,0.578303,0.810021,-0.097111,0.146989,0.013633,0.989044,0.994623,0.052621,-0.089193,-0.076359,0.954462,-0.288397,0.069955,0.293657,0.953348,0.290645,0.942548,0.164710,-0.942922,0.252900,0.216654,0.162552,-0.218278,0.962253,0.485943,-0.871769,-0.062276,0.854838,0.459251,0.241536,-0.181963,-0.170608,0.968392,0.683048,-0.729054,0.043883,0.666526,0.597643,-0.445608,0.298646,0.333621,0.894152,0.648370,0.761001,-0.022222,-0.437199,0.348280,-0.829191,-0.623276,0.547338,0.558523,1.000000,0.000033,-0.000236,-0.000033,1.000000,0.000201,0.000236,-0.000201,1.000000,1.000000,0.000213,0.000146,-0.000213,1.000000,0.000097,-0.000146,-0.000097,1.000000,1.000000,0.000009,-0.000066,-0.000009,1.000000,0.000085,0.000066,-0.000085,1.000000,1.000000,0.000038,0.000036,-0.000038,1.000000,0.000041,-0.000036,-0.000041,1.000000
0.100005,0.001280,0.012535,-0.026315,0.998167,0.045261,0.040184,0.042928,-0.061384,-0.997191,-0.042667,0.997087,-0.063214,0.949524,-0.165321,-0.266596,0.242684,0.925634,0.290356,0.198768,-0.340398,0.919032,0.978951,-0.159599,0.127210,0.010762,0.662792,0.748726,-0.203809,-0.731597,0.650559,0.999228,0.024159,-0.030986,-0.019302,0.988731,0.148452,0.034223,-0.147740,0.988434,0.922993,0.291925,0.250727,-0.143274,0.865398,-0.480166,-0.357152,0.407267,0.840581,0.959434,-0.066200,-0.274051,-0.188875,0.570749,-0.799107,0.209315,0.818452,0.535092,0.995754,-0.023970,-0.088880,0.027615,0.998818,0.040003,0.087816,-0.042288,0.995239,1.000000,0.000034,-0.000183,-0.000034,1.000000,0.000064,0.000183,-0.000064,1.000000,1.000000,0.000040,-0.000164,-0.000040,1.000000,0.000078,0.000164,-0.000078,1.000000,0.998390,0.031203,-0.047360,-0.035497,0.995060,-0.092713,0.044233,0.094245,0.994566,1.000000,0.000015,-0.000080,-0.000015,1.000000,0.000004,0.000080,-0.000004,1.000000,1.000000,0.000017,-0.000079,-0.000017,1.000000,0.000010,0.000079,-0.000010,1.000000,0.983888,-0.076325,0.161677,0.045448,0.981362,0.186715,-0.172914,-0.176358,0.969019,0.885319,0.464766,-0.014216,-0.463419,0.879422,-0.108901,-0.038111,0.103000,0.993951,0.811507,-0.574382,-0.107439,0.566943,0.818454,-0.093322,0.141536,0.014820,0.989822,0.992930,0.053487,-0.105971,-0.079364,0.962996,-0.257566,0.088273,0.264155,0.960432,0.313311,0.935204,0.165017,-0.936477,0.275422,0.217149,0.157629,-0.222569,0.962089,0.493082,-0.866648,-0.076099,0.849327,0.460582,0.257890,-0.188450,-0.191794,0.963173,0.711502,-0.701695,0.037287,0.639596,0.624733,-0.447913,0.291003,0.342539,0.893299,0.660785,0.750161,-0.024916,-0.428268,0.349566,-0.833300,-0.616400,0.561303,0.552259,1.000000,0.000046,-0.000125,-0.000046,1.000000,-0.000084,0.000125,0.000084,1.000000,1.000000,0.000079,-0.000068,-0.000079,1.000000,0.000060,0.000068,-0.000060,1.000000,1.000000,0.000012,-0.000029,-0.000012,1.000000,-0.000037,0.000029,0.000037,1.000000,1.000000,0.000011,-0.000034,-0.000011,1.000000,0.000025,0.000034,-0.000025,1.000000
0.116673,0.002373,0.015088,-0.034727,0.998532,0.041580,0.034721,0.037251,-0.061708,-0.997399,-0.039329,0.997228,-0.063166,0.948752,-0.153795,-0.276076,0.237870,0.922676,0.303457,0.208058,-0.353575,0.911974,0.978328,-0.161959,0.129011,0.000817,0.626071,0.779766,-0.207060,-0.762761,0.612635,0.999320,0.019011,-0.031589,-0.014515,0.990475,0.136928,0.033891,-0.136377,0.990077,0.918174,0.296162,0.263144,-0.136764,0.860320,-0.491066,-0.371823,0.414895,0.830428,0.957871,-0.080943,-0.275556,-0.192348,0.531686,-0.824810,0.213272,0.843065,0.493718,0.995928,-0.021897,-0.087448,0.025326,0.998946,0.038290,0.086517,-0.040348,0.995433,1.000000,-0.000055,-0.000306,0.000055,1.000000,-0.000196,0.000306,0.000196,1.000000,1.000000,-0.000018,-0.000312,0.000018,1.000000,-0.000184,0.000312,0.000184,1.000000,0.998370,0.033997,-0.045849,-0.038354,0.994470,-0.097765,0.042272,0.099364,0.994153,1.000000,-0.000023,-0.000144,0.000023,1.000000,-0.000137,0.000144,0.000137,1.000000,1.000000,-0.000008,-0.000153,0.000008,1.000000,-0.000131,0.000153,0.000131,1.000000,0.984747,-0.063097,0.162147,0.034828,0.984550,0.171608,-0.170470,-0.163343,0.971730,0.889199,0.456851,-0.024728,-0.456751,0.883276,-0.105842,-0.026513,0.105409,0.994075,0.822066,-0.558526,-0.110706,0.551447,0.829392,-0.089529,0.141823,0.012550,0.989812,0.991603,0.049630,-0.119417,-0.076135,0.970476,-0.228867,0.104532,0.236037,0.966105,0.329638,0.930101,0.162023,-0.931608,0.292614,0.215602,0.153121,-0.222012,0.962946,0.495919,-0.864436,-0.082544,0.846930,0.460494,0.265809,-0.191764,-0.201729,0.960485,0.729875,-0.683089,0.025913,0.619794,0.645304,-0.446585,0.288336,0.342012,0.894366,0.671923,0.740211,-0.024655,-0.420460,0.353842,-0.835470,-0.609700,0.571738,0.548983,1.000000,0.000072,-0.000047,-0.000072,1.000000,-0.000311,0.000047,0.000311,1.000000,1.000000,-0.000012,-0.000251,0.000012,1.000000,0.000033,0.000251,-0.000033,1.000000,1.000000,0.000017,-0.000004,-0.000017,1.000000,-0.000134,0.000004,0.000134,1.000000,1.000000,-0.000007,-0.000094,0.000007,1.000000,0.000014,0.000094,-0.000014,1.000000
0.133340,0.003619,0.017378,-0.043390,0.998837,0.037718,0.030048,0.032320,-0.061143,-0.997606,-0.035791,0.997416,-0.062291,0.949875,-0.136436,-0.281286,0.225958,0.921423,0.316105,0.216055,-0.363819,0.906066,0.977217,-0.167032,0.130951,-0.004471,0.600643,0.799505,-0.212198,-0.781875,0.586211,0.999470,0.013550,-0.029589,-0.009814,0.992365,0.122944,0.031029,-0.122588,0.991972,0.916732,0.290734,0.273998,-0.125311,0.860500,-0.493799,-0.379340,0.418346,0.825280,0.956662,-0.086609,-0.278022,-0.195670,0.515897,-0.834005,0.215663,0.852261,0.476592,0.996221,-0.019086,-0.084725,0.022522,0.998955,0.039775,0.083878,-0.041533,0.995610,1.000000,-0.000093,-0.000386,0.000093,1.000000,-0.000290,0.000386,0.000290,1.000000,1.000000,-0.000046,-0.000404,0.000046,1.000000,-0.000272,0.000404,0.000272,1.000000,0.998356,0.036086,-0.044531,-0.040447,0.994036,-0.101272,0.040611,0.102907,0.993862,1.000000,-0.000040,-0.000185,0.000040,1.000000,-0.000186,0.000185,0.000186,1.000000,1.000000,-0.000020,-0.000199,0.000020,1.000000,-0.000176,0.000199,0.000176,1.000000,0.986126,-0.049556,0.158426,0.024583,0.987472,0.155870,-0.164165,-0.149813,0.974990,0.892943,0.449050,-0.031733,-0.449770,0.886965,-0.104884,-0.018952,0.107928,0.993978,0.831794,-0.542366,-0.118148,0.535638,0.840106,-0.085521,0.145640,0.007851,0.989306,0.990681,0.042753,-0.129317,-0.068708,0.976667,-0.203470,0.117601,0.210459,0.970503,0.340627,0.926999,0.156991,-0.928142,0.304884,0.213537,0.150085,-0.218447,0.964238,0.497694,-0.863392,-0.082788,0.845809,0.461976,0.266806,-0.192112,-0.202811,0.960188,0.741210,-0.671129,0.013908,0.606380,0.660525,-0.442730,0.287943,0.336590,0.896547,0.681934,0.731092,-0.021697,-0.414351,0.361704,-0.835155,-0.602727,0.578510,0.549587,1.000000,0.000081,-0.000038,-0.000081,1.000000,-0.000419,0.000038,0.000419,1.000000,1.000000,-0.000046,-0.000338,0.000046,1.000000,0.000048,0.000338,-0.000048,1.000000,1.000000,0.000019,-0.000001,-0.000019,1.000000,-0.000180,0.000001,0.000180,1.000000,1.000000,-0.000013,-0.000122,0.000013,1.000000,0.000020,0.000122,-0.000020,1.000000
0.150008,0.004735,0.019357,-0.052373,0.999070,0.034103,0.026403,0.028412,-0.059834,-0.997804,-0.032448,0.997626,-0.060747,0.951765,-0.117298,-0.283522,0.211346,0.920502,0.328647,0.222433,-0.372715,0.900892,0.975790,-0.173760,0.132824,-0.006752,0.583077,0.812389,-0.218607,-0.793617,0.567788,0.999637,0.008700,-0.025484,-0.005891,0.994105,0.108263,0.026275,-0.108074,0.993796,0.917148,0.280475,0.283148,-0.111894,0.863088,-0.492503,-0.382516,0.420015,0.822963,0.955496,-0.086789,-0.281949,-0.199522,0.513878,-0.834338,0.217299,0.853462,0.473692,0.996549,-0.016233,-0.081407,0.019702,0.998924,0.041995,0.080638,-0.043454,0.995796,1.000000,-0.000098,-0.000406,0.000098,1.000000,-0.000247,0.000406,0.000247,1.000000,1.000000,-0.000057,-0.000421,0.000057,1.000000,-0.000222,0.000421,0.000222,1.000000,0.998367,0.037371,-0.043216,-0.041659,0.993810,-0.102991,0.039100,0.104623,0.993743,1.000000,-0.000042,-0.000196,0.000042,1.000000,-0.000160,0.000196,0.000160,1.000000,1.000000,-0.000024,-0.000209,0.000024,1.000000,-0.000145,0.000209,0.000145,1.000000,0.987681,-0.036704,0.152113,0.014878,0.989725,0.142209,-0.155770,-0.138194,0.978079,0.896318,0.441913,-0.036424,-0.443201,0.890333,-0.104307,-0.013665,0.109635,0.993878,0.839618,-0.528354,-0.126031,0.522008,0.849020,-0.081686,0.150162,0.002796,0.988658,0.990152,0.034857,-0.135590,-0.059588,0.981330,-0.182871,0.126684,0.189149,0.973742,0.348788,0.924745,0.152296,-0.925369,0.314067,0.212258,0.148453,-0.214963,0.965273,0.499881,-0.862450,-0.079363,0.844869,0.465418,0.263785,-0.190565,-0.198913,0.961311,0.748860,-0.662721,0.002937,0.596849,0.672486,-0.437647,0.288062,0.329489,0.899142,0.690797,0.722850,-0.016957,-0.409710,0.372004,-0.832917,-0.595766,0.582324,0.553138,1.000000,0.000064,-0.000069,-0.000064,1.000000,-0.000419,0.000069,0.000419,1.000000,1.000000,-0.000043,-0.000330,0.000043,1.000000,0.000089,0.000330,-0.000089,1.000000,1.000000,0.000016,-0.000012,-0.000016,1.000000,-0.000180,0.000012,0.000180,1.000000,1.000000,-0.000012,-0.000119,0.000012,1.000000,0.000038,0.000119,-0.000038,1.000000
