t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.992364,-0.123305,-0.002966,0.122881,0.986306,0.110003,-0.010638,-0.109527,0.993927,0.996779,-0.033237,0.072990,0.007573,0.945025,0.326911,-0.079843,-0.325305,0.942232,0.999554,0.013932,-0.026418,-0.010440,0.991722,0.127979,0.027982,-0.127646,0.991425,0.989418,0.133423,0.057007,-0.109356,0.943981,-0.311354,-0.095356,0.301825,0.948583,0.995214,-0.013266,-0.096811,-0.020914,0.938866,-0.343648,0.095451,0.344029,0.934095,0.997627,0.000533,-0.068852,0.000370,0.999914,0.013096,0.068853,-0.013090,0.997541,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.998097,0.058442,-0.019653,-0.058585,0.998259,-0.006790,0.019222,0.007929,0.999784,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.991710,-0.128276,0.007540,0.125242,0.978045,0.166560,-0.028741,-0.164235,0.986002,0.872407,0.476770,0.107688,-0.477825,0.878282,-0.017465,-0.102907,-0.036220,0.994031,0.849236,-0.526918,-0.033991,0.522168,0.847646,-0.094004,0.078345,0.062082,0.994991,0.997549,0.069266,0.009911,-0.061694,0.937499,-0.342475,-0.033014,0.341024,0.939475,0.246057,0.968964,-0.023765,-0.961143,0.247089,0.123093,0.125145,-0.007446,0.992111,0.312369,-0.936585,0.158851,0.936308,0.331793,0.115068,-0.160477,0.112789,0.980574,0.480782,-0.866764,0.132547,0.773069,0.347678,-0.530551,0.413779,0.357547,0.837226,0.651347,0.757540,0.043354,-0.470646,0.448166,-0.760026,-0.595180,0.474637,0.648445,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016668,-0.001595,0.014926,0.000953,0.999962,-0.008668,0.000133,0.008668,0.999961,-0.001901,-0.000116,0.001902,0.999998,0.989641,-0.139196,-0.035142,0.141442,0.987280,0.072614,0.024587,-0.076832,0.996741,0.992836,-0.042959,0.111492,0.002123,0.939324,0.343024,-0.119463,-0.340330,0.932687,0.999238,0.018407,-0.034407,-0.013371,0.989885,0.141243,0.036659,-0.140675,0.989377,0.986239,0.159210,0.044561,-0.143377,0.957842,-0.248962,-0.082320,0.239146,0.967488,0.989123,-0.009670,-0.146774,-0.041589,0.938736,-0.342120,0.141091,0.344502,0.928123,0.996886,0.008826,-0.078355,-0.006788,0.999633,0.026238,0.078558,-0.025625,0.996580,1.000000,-0.000661,0.000562,0.000640,0.999334,0.036472,-0.000585,-0.036472,0.999335,1.000000,-0.000053,0.000268,0.000052,1.000000,0.000119,-0.000268,-0.000119,1.000000,0.997912,0.059881,-0.024212,-0.060556,0.997768,-0.028144,0.022472,0.029551,0.999311,1.000000,-0.000001,0.000142,0.000001,1.000000,0.000079,-0.000142,-0.000079,1.000000,1.000000,-0.000022,0.000133,0.000022,1.000000,0.000073,-0.000133,-0.000073,1.000000,0.985075,-0.168932,0.033004,0.156628,0.959263,0.235120,-0.071379,-0.226442,0.971406,0.848517,0.522583,0.083228,-0.520499,0.852581,-0.046758,-0.095394,-0.003645,0.995433,0.799996,-0.597987,-0.049171,0.590679,0.799306,-0.110493,0.105376,0.059349,0.992660,0.996779,0.079676,-0.009126,-0.076001,0.902171,-0.424631,-0.025600,0.423957,0.905321,0.259449,0.962572,0.078369,-0.949272,0.239250,0.204064,0.177677,-0.127338,0.975816,0.341272,-0.932573,0.117651,0.918409,0.357475,0.169520,-0.200147,0.050199,0.978479,0.517543,-0.842398,0.150048,0.753901,0.365989,-0.545606,0.404701,0.395496,0.824500,0.663409,0.745505,-0.064110,-0.458227,0.337039,-0.822455,-0.591537,0.575001,0.565206,1.000000,-0.000143,0.000096,0.000143,1.000000,0.000153,-0.000096,-0.000153,1.000000,1.000000,-0.000028,0.000241,0.000028,1.000000,-0.000027,-0.000241,0.000027,1.000000,1.000000,-0.000029,0.000030,0.000029,1.000000,0.000065,-0.000030,-0.000065,1.000000,1.000000,-0.000005,0.000081,0.000005,1.000000,-0.000012,-0.000081,0.000012,1.000000
0.033335,0.000077,0.020215,0.002406,0.999976,-0.006450,-0.002386,0.006475,0.999923,0.010581,0.002317,-0.010597,0.999941,0.988048,-0.138493,-0.067680,0.139764,0.990080,0.014402,0.065014,-0.023690,0.997603,0.989534,-0.059242,0.131577,0.012651,0.943944,0.329864,-0.143743,-0.324747,0.934814,0.999669,0.017213,-0.019105,-0.014281,0.989445,0.144202,0.021386,-0.143882,0.989364,0.984197,0.165120,0.063962,-0.148694,0.966797,-0.207830,-0.096155,0.195035,0.976071,0.986598,0.019389,-0.162012,-0.069942,0.947322,-0.312553,0.147417,0.319696,0.935982,0.996719,0.001508,-0.080930,-0.001092,0.999986,0.005187,0.080937,-0.005082,0.996706,1.000000,-0.000432,0.000265,0.000428,0.999917,0.012906,-0.000270,-0.012906,0.999917,1.000000,-0.000268,0.000153,0.000268,1.000000,0.000746,-0.000153,-0.000746,1.000000,0.998504,0.047743,-0.026665,-0.048669,0.998194,-0.035229,0.024935,0.036474,0.999023,1.000000,-0.000091,0.000090,0.000091,1.000000,0.000342,-0.000090,-0.000342,1.000000,1.000000,-0.000115,0.000077,0.000115,1.000000,0.000309,-0.000077,-0.000309,1.000000,0.978660,-0.187240,0.084654,0.159355,0.951650,0.262619,-0.129734,-0.243525,0.961179,0.817605,0.575709,0.009019,-0.574275,0.816500,-0.059457,-0.041594,0.043434,0.998190,0.737686,-0.674285,-0.034040,0.669149,0.736909,-0.095941,0.089776,0.047997,0.994805,0.995063,0.082303,-0.055461,-0.098406,0.890749,-0.443714,0.012882,0.446981,0.894450,0.289840,0.951652,0.101739,-0.934784,0.258676,0.243446,0.205359,-0.165665,0.964564,0.416695,-0.907072,0.059874,0.882995,0.419530,0.210511,-0.216068,-0.034851,0.975756,0.551547,-0.824357,0.127405,0.736534,0.409596,-0.538283,0.391553,0.390727,0.833078,0.633382,0.765112,-0.115894,-0.485295,0.276076,-0.829621,-0.602757,0.581710,0.546166,1.000000,-0.000352,-0.000125,0.000352,1.000000,0.000222,0.000125,-0.000222,1.000000,1.000000,0.000121,0.000378,-0.000121,1.000000,0.000259,-0.000378,-0.000259,1.000000,1.000000,-0.000064,-0.000038,0.000064,1.000000,0.000097,0.000038,-0.000097,1.000000,1.000000,0.000014,0.000124,-0.000014,1.000000,0.000113,-0.000124,-0.000113,1.000000
0.050003,0.001799,0.020930,0.002643,0.999962,-0.007474,-0.004394,0.007556,0.999792,0.018935,0.004251,-0.018967,0.999811,0.985808,-0.134106,-0.100981,0.133134,0.990963,-0.016339,0.102260,0.002664,0.994754,0.987524,-0.067454,0.142291,0.019135,0.948314,0.316756,-0.156303,-0.310082,0.937773,0.999754,0.021276,0.006299,-0.021989,0.988001,0.152872,-0.002971,-0.152972,0.988226,0.980439,0.164714,0.107745,-0.140791,0.969446,-0.200880,-0.137541,0.181781,0.973673,0.983708,0.049850,-0.172725,-0.099527,0.951127,-0.292321,0.149712,0.304750,0.940592,0.996972,-0.007661,-0.077379,0.005182,0.999469,-0.032186,0.077585,0.031687,0.996482,1.000000,-0.000210,-0.000202,0.000211,0.999978,0.006579,0.000200,-0.006579,0.999978,1.000000,-0.000093,-0.000230,0.000093,1.000000,0.000667,0.000230,-0.000667,1.000000,0.998965,0.039477,-0.022590,-0.040155,0.998732,-0.030377,0.021362,0.031253,0.999283,1.000000,-0.000044,-0.000114,0.000044,1.000000,0.000318,0.000114,-0.000318,1.000000,1.000000,-0.000040,-0.000113,0.000040,1.000000,0.000314,0.000113,-0.000314,1.000000,0.976899,-0.166072,0.134492,0.129840,0.961121,0.243696,-0.169734,-0.220604,0.960481,0.794329,0.603553,-0.069029,-0.607039,0.792969,-0.052001,0.023352,0.083209,0.996258,0.701780,-0.712345,-0.008347,0.710780,0.700931,-0.059049,0.047914,0.035507,0.998220,0.992536,0.068555,-0.100860,-0.104823,0.902260,-0.418257,0.062328,0.425708,0.902712,0.329937,0.938625,0.100621,-0.918840,0.294867,0.262271,0.216505,-0.178988,0.959734,0.480247,-0.877098,-0.007881,0.852308,0.464513,0.240414,-0.207205,-0.122175,0.970639,0.589252,-0.796549,0.135247,0.709926,0.430538,-0.557352,0.385730,0.424436,0.819187,0.607841,0.782713,-0.133754,-0.505269,0.251308,-0.825559,-0.612562,0.569390,0.548236,1.000000,-0.000171,-0.000369,0.000171,1.000000,0.000067,0.000369,-0.000067,1.000000,1.000000,0.000233,0.000105,-0.000233,1.000000,0.000382,-0.000105,-0.000382,1.000000,1.000000,-0.000030,-0.000119,0.000030,1.000000,0.000030,0.000119,-0.000030,1.000000,1.000000,0.000041,0.000033,-0.000041,1.000000,0.000165,-0.000033,-0.000165,1.000000
0.066670,0.003214,0.021095,0.002535,0.999934,-0.011043,-0.003275,0.011110,0.999716,0.021096,0.003041,-0.021131,0.999772,0.982862,-0.124836,-0.135638,0.121714,0.992078,-0.031103,0.138446,0.014061,0.990270,0.986148,-0.068074,0.151257,0.018978,0.952221,0.304821,-0.164780,-0.297728,0.940322,0.999360,0.024969,0.025617,-0.029001,0.984746,0.171561,-0.020942,-0.172195,0.984840,0.975014,0.155390,0.158751,-0.122679,0.972420,-0.198367,-0.185197,0.173935,0.967186,0.979303,0.070366,-0.189774,-0.122398,0.952637,-0.278392,0.161197,0.295858,0.941533,0.997262,-0.011977,-0.072970,0.006509,0.997184,-0.074715,0.073659,0.074035,0.994532,1.000000,-0.000148,-0.000334,0.000151,0.999937,0.011266,0.000332,-0.011266,0.999936,1.000000,0.000095,-0.000355,-0.000095,1.000000,0.000404,0.000355,-0.000404,1.000000,0.999226,0.037211,-0.012767,-0.037463,0.999095,-0.020118,0.012007,0.020580,0.999716,1.000000,0.000021,-0.000187,-0.000021,1.000000,0.000232,0.000187,-0.000231,1.000000,1.000000,0.000041,-0.000173,-0.000041,1.000000,0.000238,0.000173,-0.000238,1.000000,0.978472,-0.133747,0.157176,0.100098,0.973567,0.205298,-0.180479,-0.185145,0.965996,0.784043,0.609250,-0.118703,-0.616392,0.786732,-0.033374,0.073055,0.099335,0.992369,0.694983,-0.718959,0.009803,0.718849,0.694446,-0.031650,0.015947,0.029043,0.999451,0.989313,0.056942,-0.134231,-0.104206,0.920029,-0.377741,0.101987,0.387691,0.916130,0.363891,0.926160,0.099050,-0.907008,0.328139,0.263934,0.211943,-0.185882,0.959441,0.516974,-0.853426,-0.066347,0.834421,0.485131,0.261512,-0.190994,-0.190556,0.962917,0.620097,-0.768487,0.157823,0.683412,0.430343,-0.589705,0.385263,0.473532,0.792048,0.603303,0.785416,-0.138373,-0.506707,0.243516,-0.827012,-0.615852,0.569053,0.544890,1.000000,0.000004,-0.000410,-0.000004,1.000000,0.000001,0.000410,-0.000001,1.000000,1.000000,0.000257,-0.000069,-0.000257,1.000000,0.000302,0.000069,-0.000302,1.000000,1.000000,0.000000,-0.000134,-0.000000,1.000000,-0.000000,0.000134,0.000000,1.000000,1.000000,0.000052,-0.000024,-0.000052,1.000000,0.000129,0.000024,-0.000129,1.000000
0.083338,0.004465,0.021449,0.002334,0.999909,-0.013477,-0.000533,0.013485,0.999708,0.020035,0.000263,-0.020040,0.999799,0.979430,-0.114371,-0.166241,0.108856,0.993172,-0.041945,0.169903,0.022986,0.985193,0.984823,-0.067897,0.159729,0.018055,0.955390,0.294794,-0.172620,-0.287436,0.942116,0.999083,0.023767,0.035617,-0.030149,0.981125,0.191012,-0.030405,-0.191910,0.980941,0.969665,0.141068,0.199624,-0.103303,0.976648,-0.188379,-0.221537,0.162042,0.961594,0.974165,0.080233,-0.211105,-0.136993,0.953083,-0.269937,0.179543,0.291883,0.939451,0.997565,-0.010963,-0.068882,0.003464,0.994138,-0.108065,0.069663,0.107564,0.991755,1.000000,-0.000194,0.000022,0.000193,0.999878,0.015646,-0.000025,-0.015646,0.999878,1.000000,0.000114,-0.000167,-0.000114,1.000000,0.000099,0.000167,-0.000099,1.000000,0.999256,0.038541,-0.001531,-0.038556,0.999182,-0.012224,0.001058,0.012274,0.999924,1.000000,0.000038,-0.000095,-0.000038,1.000000,0.000094,0.000095,-0.000094,1.000000,1.000000,0.000049,-0.000082,-0.000049,1.000000,0.000102,0.000082,-0.000102,1.000000,0.981576,-0.106092,0.158914,0.078695,0.982342,0.169739,-0.174116,-0.154106,0.972592,0.780807,0.608493,-0.141692,-0.616190,0.787478,-0.013762,0.103205,0.098055,0.989815,0.702798,-0.711257,0.013709,0.711378,0.702546,-0.019271,0.004076,0.023296,0.999720,0.986290,0.047660,-0.157987,-0.099386,0.935833,-0.338140,0.131734,0.349206,0.927740,0.389406,0.915863,0.097763,-0.900215,0.355984,0.250778,0.194876,-0.185662,0.963096,0.536767,-0.836653,-0.109059,0.825293,0.493758,0.274034,-0.175423,-0.237098,0.955516,0.636429,-0.752843,0.167886,0.663848,0.423779,-0.616212,0.392764,0.503625,0.769479,0.610756,0.780381,-0.134099,-0.495699,0.244761,-0.833292,-0.617463,0.575411,0.536323,1.000000,0.000059,-0.000206,-0.000059,1.000000,0.000017,0.000206,-0.000017,1.000000,1.000000,0.000131,-0.000060,-0.000131,1.000000,0.000097,0.000060,-0.000097,1.000000,1.000000,0.000009,-0.000067,-0.000009,1.000000,0.000006,0.000067,-0.000006,1.000000,1.000000,0.000030,-0.000021,-0.000030,1.000000,0.000041,0.000021,-0.000041,1.000000
0.100005,0.005467,0.021859,0.001271,0.999889,-0.014890,0.000851,0.014872,0.999728,0.017976,-0.001118,-0.017962,0.999838,0.976441,-0.104686,-0.188688,0.096812,0.994021,-0.050500,0.192846,0.031042,0.980738,0.983035,-0.071356,0.168967,0.019174,0.956153,0.292238,-0.182411,-0.284041,0.941301,0.998975,0.020770,0.040229,-0.028491,0.978954,0.202083,-0.035185,-0.203022,0.978542,0.965788,0.126951,0.226135,-0.087824,0.980572,-0.175403,-0.244009,0.149542,0.958174,0.968873,0.084790,-0.232583,-0.148686,0.950491,-0.272874,0.197931,0.298962,0.933512,0.997885,-0.007387,-0.064590,-0.000819,0.992017,-0.126104,0.065006,0.125890,0.989912,1.000000,-0.000284,0.000467,0.000275,0.999822,0.018877,-0.000472,-0.018877,0.999822,1.000000,0.000069,0.000023,-0.000069,1.000000,-0.000149,-0.000023,0.000149,1.000000,0.999146,0.040637,0.007518,-0.040570,0.999137,-0.008885,-0.007873,0.008572,0.999932,1.000000,0.000026,0.000000,-0.000026,1.000000,-0.000032,-0.000000,0.000032,1.000000,1.000000,0.000029,0.000010,-0.000029,1.000000,-0.000024,-0.000010,0.000024,1.000000,0.984574,-0.086540,0.152069,0.064415,0.987357,0.144835,-0.162680,-0.132805,0.977700,0.780999,0.606643,-0.148406,-0.613331,0.789826,0.000886,0.117752,0.090330,0.988926,0.715502,-0.698599,0.004045,0.698582,0.715406,-0.013326,0.006416,0.012360,0.999903,0.983719,0.037393,-0.175779,-0.090695,0.947716,-0.305954,0.155148,0.316915,0.935678,0.407801,0.908135,0.094811,-0.896205,0.378239,0.231846,0.174686,-0.179517,0.968121,0.547187,-0.825723,-0.136996,0.820923,0.497498,0.280324,-0.163315,-0.265853,0.950079,0.641621,-0.750173,0.159885,0.650844,0.422178,-0.631005,0.405863,0.508926,0.759124,0.620195,0.775019,-0.121261,-0.479938,0.252610,-0.840147,-0.620498,0.579253,0.528629,1.000000,0.000077,0.000006,-0.000077,1.000000,0.000019,-0.000006,-0.000019,1.000000,1.000000,-0.000010,-0.000023,0.000010,1.000000,-0.000070,0.000023,0.000070,1.000000,1.000000,0.000012,0.000003,-0.000012,1.000000,0.000007,-0.000003,-0.000007,1.000000,1.000000,0.000003,-0.000009,-0.000003,1.000000,-0.000031,0.000009,0.000031,1.000000
0.116673,0.006218,0.022219,-0.001316,0.999873,-0.015940,0.000148,0.015936,0.999752,0.015545,-0.000396,-0.015541,0.999879,0.974282,-0.095351,-0.204164,0.085962,0.994812,-0.054397,0.208292,0.035448,0.977424,0.980678,-0.079690,0.178663,0.022746,0.953524,0.300456,-0.194303,-0.290587,0.936913,0.998950,0.017994,0.042142,-0.026183,0.978895,0.202679,-0.037605,-0.203570,0.978338,0.963437,0.114903,0.242045,-0.075588,0.983243,-0.165889,-0.257051,0.141528,0.955978,0.963577,0.088404,-0.252395,-0.161976,0.943903,-0.287767,0.212797,0.318168,0.923843,0.998199,-0.003420,-0.059887,-0.004479,0.991337,-0.131265,0.059817,0.131297,0.989537,1.000000,-0.000376,0.000774,0.000359,0.999767,0.021605,-0.000782,-0.021605,0.999766,1.000000,0.000026,0.000072,-0.000026,1.000000,-0.000245,-0.000072,0.000245,1.000000,0.999005,0.042466,0.013630,-0.042353,0.999067,-0.008477,-0.013977,0.007891,0.999871,1.000000,0.000009,0.000026,-0.000009,1.000000,-0.000079,-0.000026,0.000079,1.000000,1.000000,0.000011,0.000032,-0.000011,1.000000,-0.000074,-0.000032,0.000074,1.000000,0.986963,-0.071694,0.144095,0.053136,0.990253,0.128747,-0.151920,-0.119412,0.981153,0.783200,0.604172,-0.146881,-0.609649,0.792614,0.009513,0.122167,0.082096,0.989108,0.729312,-0.684061,-0.012866,0.684019,0.729419,-0.008084,0.014915,-0.002904,0.999885,0.981476,0.025733,-0.189849,-0.079425,0.956424,-0.280971,0.174346,0.290845,0.940751,0.420067,0.903048,0.089708,-0.893313,0.394071,0.216102,0.159799,-0.170915,0.972241,0.551814,-0.819716,-0.153518,0.819466,0.498773,0.282314,-0.154846,-0.281587,0.946959,0.642581,-0.752833,0.142592,0.642126,0.427571,-0.636284,0.418047,0.500426,0.758163,0.627380,0.771820,-0.103382,-0.464475,0.264340,-0.845214,-0.625025,0.578289,0.524333,1.000000,0.000071,0.000080,-0.000071,1.000000,-0.000007,-0.000080,0.000007,1.000000,1.000000,-0.000073,-0.000015,0.000073,1.000000,-0.000105,0.000015,0.000105,1.000000,1.000000,0.000011,0.000028,-0.000011,1.000000,-0.000005,-0.000028,0.000005,1.000000,1.000000,-0.000009,-0.000006,0.000009,1.000000,-0.000047,0.000006,0.000047,1.000000
0.133340,0.006724,0.022555,-0.005428,0.999857,-0.016801,-0.001799,0.016823,0.999777,0.012794,0.001584,-0.012822,0.999917,0.972902,-0.086189,-0.214553,0.076354,0.995632,-0.053729,0.218247,0.035891,0.975233,0.977880,-0.092125,0.187787,0.028052,0.947434,0.318718,-0.207278,-0.306400,0.929061,0.998962,0.015891,0.042684,-0.023964,0.980338,0.195867,-0.038732,-0.196686,0.979701,0.962217,0.104667,0.251363,-0.065197,0.984876,-0.160527,-0.264364,0.138074,0.954488,0.958329,0.091913,-0.270477,-0.177410,0.933595,-0.311331,0.223900,0.346342,0.910997,0.998484,0.000089,-0.055047,-0.007210,0.991596,-0.129174,0.054573,0.129375,0.990093,0.999999,-0.000445,0.000931,0.000423,0.999713,0.023973,-0.000941,-0.023972,0.999712,1.000000,0.000006,0.000013,-0.000006,1.000000,-0.000233,-0.000013,0.000233,1.000000,0.998876,0.044103,0.017344,-0.043948,0.998991,-0.009218,-0.017733,0.008446,0.999807,1.000000,-0.000003,-0.000001,0.000003,1.000000,-0.000066,0.000001,0.000066,1.000000,1.000000,0.000003,0.000003,-0.000003,1.000000,-0.000067,-0.000003,0.000067,1.000000,0.988775,-0.059061,0.137243,0.042857,0.992069,0.118158,-0.143134,-0.110950,0.983465,0.786569,0.600949,-0.142016,-0.605493,0.795734,0.013621,0.121193,0.075276,0.989771,0.742572,-0.669032,-0.031352,0.669300,0.742988,-0.002521,0.024981,-0.019111,0.999505,0.979457,0.014058,-0.201164,-0.067562,0.962790,-0.261671,0.190000,0.269886,0.943960,0.427968,0.899935,0.083426,-0.890688,0.404299,0.207886,0.153354,-0.163275,0.974589,0.552486,-0.817504,-0.162625,0.820013,0.498103,0.281909,-0.149458,-0.289105,0.945558,0.644162,-0.754692,0.124481,0.635893,0.437943,-0.635488,0.425083,0.488514,0.762010,0.631664,0.770600,-0.084714,-0.451202,0.276576,-0.848482,-0.630410,0.574179,0.522400,1.000000,0.000058,0.000046,-0.000058,1.000000,-0.000045,-0.000046,0.000045,1.000000,1.000000,-0.000071,-0.000038,0.000071,1.000000,-0.000053,0.000038,0.000053,1.000000,1.000000,0.000008,0.000017,-0.000008,1.000000,-0.000021,-0.000017,0.000021,1.000000,1.000000,-0.000009,-0.000014,0.000009,1.000000,-0.000024,0.000014,0.000024,1.000000
0.150008,0.007023,0.022895,-0.010720,0.999839,-0.017520,-0.003992,0.017558,0.999798,0.009789,0.003820,-0.009858,0.999944,0.972178,-0.077374,-0.221097,0.067927,0.996435,-0.050028,0.224180,0.033617,0.973968,0.974809,-0.107117,0.195636,0.033955,0.938175,0.344491,-0.220441,-0.329170,0.918179,0.998983,0.014441,0.042711,-0.022125,0.982429,0.185319,-0.039284,-0.186075,0.981750,0.961712,0.095866,0.256748,-0.056093,0.985846,-0.157991,-0.268260,0.137541,0.953477,0.953275,0.094763,-0.286857,-0.193785,0.920252,-0.339977,0.231764,0.379680,0.895616,0.998727,0.002947,-0.050353,-0.009201,0.992184,-0.124442,0.049593,0.124747,0.990948,0.999999,-0.000488,0.000992,0.000463,0.999668,0.025774,-0.001004,-0.025774,0.999667,1.000000,0.000001,-0.000079,-0.000001,1.000000,-0.000183,0.000079,0.000183,1.000000,0.998766,0.045717,0.019412,-0.045529,0.998913,-0.010019,-0.019849,0.009123,0.999761,1.000000,-0.000008,-0.000044,0.000008,1.000000,-0.000033,0.000044,0.000033,1.000000,1.000000,0.000001,-0.000043,-0.000001,1.000000,-0.000040,0.000043,0.000040,1.000000,0.990121,-0.047865,0.131790,0.033234,0.993258,0.111058,-0.136217,-0.105581,0.985037,0.790381,0.597189,-0.136614,-0.601109,0.799024,0.015103,0.118177,0.070183,0.990509,0.754441,-0.654577,-0.048457,0.655450,0.755233,0.002897,0.034700,-0.033947,0.998821,0.977640,0.003570,-0.210255,-0.056620,0.967400,-0.246842,0.202519,0.253227,0.945971,0.433500,0.897867,0.076891,-0.887818,0.410903,0.207215,0.154457,-0.158093,0.975269,0.550645,-0.817798,-0.167319,0.821839,0.496030,0.280239,-0.146183,-0.291821,0.945236,0.648720,-0.753073,0.109746,0.630782,0.451395,-0.631155,0.425767,0.478669,0.767854,0.633947,0.770383,-0.067982,-0.440314,0.287268,-0.850647,-0.635795,0.569199,0.521323,1.000000,0.000048,-0.000024,-0.000048,1.000000,-0.000079,0.000024,0.000079,1.000000,1.000000,-0.000043,-0.000074,0.000043,1.000000,0.000021,0.000074,-0.000021,1.000000,1.000000,0.000006,-0.000007,-0.000006,1.000000,-0.000036,0.000007,0.000036,1.000000,1.000000,-0.000003,-0.000026,0.000003,1.000000,0.000008,0.000026,-0.000008,1.000000
