t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.992357,-0.123362,-0.002915,0.122931,0.986291,0.110085,-0.010706,-0.109602,0.993918,0.996782,-0.033213,0.072958,0.007558,0.945012,0.326947,-0.079805,-0.325344,0.942222,0.999554,0.013926,-0.026415,-0.010435,0.991724,0.127961,0.027979,-0.127629,0.991427,0.989408,0.133467,0.057078,-0.109367,0.943945,-0.311460,-0.095448,0.301918,0.948544,0.995209,-0.013267,-0.096863,-0.020935,0.938852,-0.343684,0.095499,0.344066,0.934076,0.997627,0.000541,-0.068843,0.000362,0.999914,0.013094,0.068844,-0.013087,0.997542,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.998097,0.058448,-0.019648,-0.058591,0.998259,-0.006800,0.019217,0.007938,0.999784,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.991709,-0.128283,0.007540,0.125249,0.978044,0.166562,-0.028742,-0.164236,0.986002,0.872413,0.476763,0.107668,-0.477818,0.878285,-0.017458,-0.102887,-0.036215,0.994033,0.849253,-0.526893,-0.033974,0.522145,0.847661,-0.093994,0.078323,0.062086,0.994993,0.997549,0.069266,0.009903,-0.061696,0.937496,-0.342484,-0.033007,0.341034,0.939471,0.246045,0.968967,-0.023778,-0.961143,0.247079,0.123106,0.125160,-0.007436,0.992109,0.312356,-0.936592,0.158836,0.936307,0.331782,0.115110,-0.160510,0.112764,0.980572,0.480719,-0.866806,0.132501,0.773034,0.347598,-0.530654,0.413917,0.357524,0.837168,0.651275,0.757604,0.043321,-0.470610,0.448026,-0.760131,-0.595288,0.474667,0.648324,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016668,-0.001580,0.014910,0.000977,0.999961,-0.008841,0.000179,0.008841,0.999960,-0.001571,-0.000165,0.001572,0.999999,0.989653,-0.139130,-0.035056,0.141367,0.987301,0.072479,0.024527,-0.076684,0.996754,0.992838,-0.042883,0.111506,0.002073,0.939400,0.342817,-0.119449,-0.340131,0.932761,0.999237,0.018486,-0.034405,-0.013458,0.989916,0.141016,0.036665,-0.140446,0.989409,0.986217,0.159348,0.044547,-0.143492,0.957755,-0.249229,-0.082379,0.239402,0.967420,0.989126,-0.009675,-0.146749,-0.041573,0.938742,-0.342104,0.141069,0.344485,0.928132,0.996887,0.008896,-0.078339,-0.006863,0.999634,0.026181,0.078543,-0.025561,0.996583,1.000000,-0.000660,0.000560,0.000639,0.999336,0.036417,-0.000583,-0.036416,0.999337,1.000000,-0.000052,0.000265,0.000052,1.000000,0.000117,-0.000265,-0.000117,1.000000,0.997910,0.059915,-0.024205,-0.060590,0.997765,-0.028180,0.022463,0.029588,0.999310,1.000000,-0.000001,0.000141,0.000001,1.000000,0.000078,-0.000141,-0.000078,1.000000,1.000000,-0.000022,0.000132,0.000022,1.000000,0.000072,-0.000132,-0.000072,1.000000,0.985067,-0.168979,0.032993,0.156678,0.959261,0.235096,-0.071375,-0.226416,0.971412,0.848477,0.522650,0.083204,-0.520571,0.852539,-0.046723,-0.095354,-0.003670,0.995437,0.799988,-0.598005,-0.049079,0.590706,0.799289,-0.110470,0.105290,0.059383,0.992667,0.996783,0.079621,-0.009158,-0.075963,0.902129,-0.424727,-0.025556,0.424056,0.905275,0.259527,0.962556,0.078298,-0.949254,0.239343,0.204040,0.177660,-0.127279,0.975826,0.341338,-0.932542,0.117703,0.918388,0.357548,0.169480,-0.200132,0.050247,0.978480,0.517371,-0.842527,0.149918,0.753859,0.365806,-0.545786,0.404999,0.395391,0.824404,0.663324,0.745569,-0.064260,-0.458244,0.336799,-0.822544,-0.591620,0.575060,0.565059,1.000000,-0.000141,0.000095,0.000141,1.000000,0.000152,-0.000095,-0.000152,1.000000,1.000000,-0.000028,0.000239,0.000028,1.000000,-0.000028,-0.000239,0.000028,1.000000,1.000000,-0.000029,0.000030,0.000029,1.000000,0.000065,-0.000030,-0.000065,1.000000,1.000000,-0.000005,0.000080,0.000005,1.000000,-0.000012,-0.000080,0.000012,1.000000
0.033335,0.000105,0.020200,0.002460,0.999974,-0.006902,-0.002264,0.006928,0.999910,0.011449,0.002184,-0.011465,0.999932,0.988091,-0.138284,-0.067478,0.139518,0.990122,0.013896,0.064890,-0.023145,0.997624,0.989531,-0.059124,0.131655,0.012610,0.944165,0.329231,-0.143770,-0.324124,0.935026,0.999666,0.017435,-0.019084,-0.014516,0.989524,0.143636,0.021389,-0.143311,0.989447,0.984157,0.165433,0.063769,-0.149001,0.966666,-0.208222,-0.096090,0.195421,0.976001,0.986621,0.019378,-0.161874,-0.069863,0.947376,-0.312406,0.147302,0.319536,0.936055,0.996723,0.001672,-0.080868,-0.001269,0.999987,0.005035,0.080875,-0.004916,0.996712,1.000000,-0.000427,0.000259,0.000423,0.999917,0.012878,-0.000264,-0.012878,0.999917,1.000000,-0.000262,0.000147,0.000262,1.000000,0.000737,-0.000148,-0.000737,1.000000,0.998500,0.047817,-0.026659,-0.048745,0.998186,-0.035324,0.024922,0.036571,0.999020,1.000000,-0.000089,0.000087,0.000089,1.000000,0.000337,-0.000087,-0.000337,1.000000,1.000000,-0.000112,0.000075,0.000112,1.000000,0.000305,-0.000075,-0.000305,1.000000,0.978634,-0.187405,0.084591,0.159535,0.951626,0.262594,-0.129710,-0.243488,0.961191,0.817448,0.575933,0.008951,-0.574508,0.816346,-0.059321,-0.041472,0.043349,0.998199,0.737596,-0.674396,-0.033799,0.669279,0.736804,-0.095843,0.089539,0.048072,0.994823,0.995067,0.082192,-0.055545,-0.098348,0.890641,-0.443944,0.012981,0.447217,0.894331,0.290072,0.951605,0.101520,-0.934728,0.258966,0.243352,0.205284,-0.165483,0.964611,0.416983,-0.906931,0.060021,0.882890,0.419848,0.210315,-0.215941,-0.034706,0.975789,0.551143,-0.824665,0.127157,0.736534,0.409196,-0.538588,0.392122,0.390494,0.832919,0.633305,0.765119,-0.116266,-0.485474,0.275770,-0.829618,-0.602694,0.581845,0.546092,1.000000,-0.000345,-0.000124,0.000345,1.000000,0.000217,0.000124,-0.000217,1.000000,1.000000,0.000121,0.000370,-0.000121,1.000000,0.000255,-0.000370,-0.000255,1.000000,1.000000,-0.000063,-0.000038,0.000063,1.000000,0.000095,0.000038,-0.000095,1.000000,1.000000,0.000014,0.000121,-0.000014,1.000000,0.000111,-0.000121,-0.000111,1.000000
0.050003,0.001848,0.020885,0.002734,0.999957,-0.008244,-0.004157,0.008327,0.999756,0.020441,0.003988,-0.020475,0.999782,0.985901,-0.133697,-0.100624,0.132625,0.991015,-0.017299,0.102033,0.003710,0.994774,0.987515,-0.067317,0.142415,0.019147,0.948679,0.315661,-0.156356,-0.308994,0.938124,0.999746,0.021619,0.006343,-0.022332,0.988141,0.151914,-0.002984,-0.152017,0.988373,0.980402,0.165204,0.107326,-0.141286,0.969275,-0.201355,-0.137293,0.182245,0.973621,0.983753,0.049810,-0.172481,-0.099362,0.951241,-0.292008,0.149526,0.304402,0.940735,0.996986,-0.007415,-0.077226,0.004923,0.999463,-0.032402,0.077425,0.031924,0.996487,1.000000,-0.000201,-0.000209,0.000202,0.999979,0.006401,0.000208,-0.006401,0.999979,1.000000,-0.000085,-0.000236,0.000086,1.000000,0.000656,0.000236,-0.000656,1.000000,0.998960,0.039603,-0.022586,-0.040285,0.998721,-0.030540,0.021348,0.031418,0.999278,1.000000,-0.000041,-0.000117,0.000041,1.000000,0.000311,0.000117,-0.000311,1.000000,1.000000,-0.000037,-0.000115,0.000037,1.000000,0.000308,0.000115,-0.000308,1.000000,0.976868,-0.166407,0.134303,0.130206,0.961064,0.243727,-0.169632,-0.220602,0.960500,0.794001,0.603974,-0.069127,-0.607461,0.792662,-0.051753,0.023537,0.083084,0.996265,0.701606,-0.712520,-0.008024,0.710978,0.700749,-0.058833,0.047542,0.035573,0.998236,0.992529,0.068408,-0.101027,-0.104789,0.902068,-0.418680,0.062492,0.426138,0.902497,0.330353,0.938524,0.100197,-0.918713,0.295396,0.262120,0.216408,-0.178645,0.959819,0.480738,-0.876831,-0.007681,0.852111,0.465082,0.240012,-0.206878,-0.121928,0.970739,0.588549,-0.797131,0.134875,0.709975,0.429810,-0.557852,0.386711,0.424082,0.818907,0.607783,0.782651,-0.134380,-0.505668,0.250963,-0.825420,-0.612291,0.569628,0.548292,1.000000,-0.000162,-0.000367,0.000162,1.000000,0.000062,0.000367,-0.000063,1.000000,1.000000,0.000233,0.000096,-0.000233,1.000000,0.000376,-0.000096,-0.000376,1.000000,1.000000,-0.000029,-0.000118,0.000029,1.000000,0.000028,0.000118,-0.000028,1.000000,1.000000,0.000041,0.000030,-0.000041,1.000000,0.000162,-0.000030,-0.000162,1.000000
0.066670,0.003292,0.021015,0.002668,0.999921,-0.012238,-0.002888,0.012302,0.999653,0.023282,0.002602,-0.023315,0.999725,0.983005,-0.124229,-0.135164,0.120917,0.992131,-0.032476,0.138135,0.015581,0.990291,0.986141,-0.067859,0.151400,0.019003,0.952723,0.303245,-0.164820,-0.296165,0.940808,0.999346,0.025460,0.025685,-0.029469,0.984958,0.170263,-0.020963,-0.170908,0.985064,0.974995,0.156124,0.158144,-0.123419,0.972219,-0.198892,-0.184802,0.174401,0.967178,0.979371,0.070296,-0.189448,-0.122138,0.952828,-0.277851,0.160980,0.295258,0.941758,0.997285,-0.011646,-0.072718,0.006175,0.997164,-0.075009,0.073386,0.074356,0.994528,1.000000,-0.000136,-0.000343,0.000140,0.999939,0.011072,0.000341,-0.011072,0.999939,1.000000,0.000105,-0.000360,-0.000105,1.000000,0.000390,0.000360,-0.000390,1.000000,0.999219,0.037412,-0.012755,-0.037666,0.999084,-0.020326,0.011982,0.020791,0.999712,1.000000,0.000025,-0.000190,-0.000025,1.000000,0.000223,0.000190,-0.000223,1.000000,1.000000,0.000045,-0.000175,-0.000045,1.000000,0.000230,0.000175,-0.000230,1.000000,0.978462,-0.134244,0.156814,0.100645,0.973491,0.205390,-0.180229,-0.185184,0.966035,0.783536,0.609884,-0.118794,-0.617013,0.786258,-0.033048,0.073247,0.099192,0.992369,0.694740,-0.719190,0.010146,0.719094,0.694205,-0.031357,0.015508,0.029081,0.999457,0.989285,0.056761,-0.134509,-0.104216,0.919773,-0.378359,0.102242,0.388323,0.915834,0.364489,0.925996,0.098386,-0.906782,0.328901,0.263763,0.211884,-0.185353,0.959557,0.517598,-0.853063,-0.066145,0.834163,0.485900,0.260908,-0.190432,-0.190221,0.963095,0.619129,-0.769366,0.157339,0.683496,0.429293,-0.590373,0.386668,0.473058,0.791646,0.603309,0.785249,-0.139292,-0.507285,0.243089,-0.826783,-0.615370,0.569466,0.545003,1.000000,0.000014,-0.000407,-0.000014,1.000000,-0.000003,0.000407,0.000003,1.000000,1.000000,0.000257,-0.000080,-0.000257,1.000000,0.000292,0.000080,-0.000292,1.000000,1.000000,0.000002,-0.000133,-0.000002,1.000000,-0.000002,0.000133,0.000002,1.000000,1.000000,0.000052,-0.000028,-0.000052,1.000000,0.000125,0.000028,-0.000125,1.000000
0.083338,0.004583,0.021327,0.002521,0.999885,-0.015174,0.000027,0.015169,0.999622,0.022930,-0.000375,-0.022927,0.999737,0.979615,-0.113559,-0.165709,0.107740,0.993217,-0.043718,0.169550,0.024973,0.985205,0.984824,-0.067551,0.159871,0.018064,0.956038,0.292685,-0.172614,-0.285356,0.942750,0.999065,0.024387,0.035709,-0.030729,0.981400,0.189500,-0.030423,-0.190420,0.981231,0.969673,0.142041,0.198893,-0.104287,0.976444,-0.188896,-0.221039,0.162425,0.961644,0.974257,0.080133,-0.210719,-0.136606,0.953393,-0.269038,0.179339,0.290897,0.939796,0.997592,-0.010555,-0.068553,0.003062,0.994092,-0.108499,0.069293,0.108028,0.991730,1.000000,-0.000181,0.000010,0.000180,0.999881,0.015435,-0.000013,-0.015435,0.999881,1.000000,0.000125,-0.000170,-0.000125,1.000000,0.000083,0.000170,-0.000083,1.000000,0.999245,0.038816,-0.001499,-0.038831,0.999168,-0.012451,0.001014,0.012500,0.999921,1.000000,0.000042,-0.000097,-0.000042,1.000000,0.000085,0.000097,-0.000085,1.000000,1.000000,0.000054,-0.000082,-0.000054,1.000000,0.000093,0.000082,-0.000093,1.000000,0.981598,-0.106712,0.158362,0.079382,0.982266,0.169856,-0.173680,-0.154159,0.972661,0.780139,0.609330,-0.141775,-0.617001,0.786849,-0.013365,0.103412,0.097901,0.989809,0.702496,-0.711549,0.014083,0.711679,0.702249,-0.018947,0.003591,0.023333,0.999721,0.986242,0.047446,-0.158353,-0.099423,0.935553,-0.338903,0.132068,0.349985,0.927399,0.390131,0.915649,0.096874,-0.899899,0.356908,0.250596,0.194883,-0.184942,0.963233,0.537490,-0.836209,-0.108904,0.824985,0.494683,0.273293,-0.174657,-0.236736,0.955746,0.635240,-0.753981,0.167283,0.663940,0.422487,-0.617000,0.394531,0.503009,0.768978,0.610874,0.780077,-0.135326,-0.496386,0.244202,-0.833047,-0.616793,0.576061,0.536395,1.000000,0.000070,-0.000202,-0.000070,1.000000,0.000015,0.000202,-0.000015,1.000000,1.000000,0.000131,-0.000071,-0.000131,1.000000,0.000085,0.000071,-0.000085,1.000000,1.000000,0.000012,-0.000066,-0.000012,1.000000,0.000005,0.000066,-0.000005,1.000000,1.000000,0.000030,-0.000024,-0.000030,1.000000,0.000035,0.000024,-0.000035,1.000000
0.100005,0.005638,0.021687,0.001527,0.999852,-0.017148,0.001592,0.017110,0.999620,0.021618,-0.001962,-0.021588,0.999765,0.976654,-0.103690,-0.188137,0.095387,0.994045,-0.052685,0.192479,0.033509,0.980729,0.983050,-0.070833,0.169103,0.019150,0.956978,0.289528,-0.182336,-0.281382,0.942113,0.998955,0.021498,0.040344,-0.029170,0.979267,0.200461,-0.035198,-0.201429,0.978871,0.965820,0.128136,0.225329,-0.089048,0.980386,-0.175825,-0.243439,0.149751,0.958286,0.968986,0.084657,-0.232164,-0.148131,0.950973,-0.271491,0.197798,0.297461,0.934020,0.997913,-0.006902,-0.064202,-0.001290,0.991940,-0.126702,0.064559,0.126520,0.989861,1.000000,-0.000270,0.000454,0.000262,0.999826,0.018642,-0.000459,-0.018642,0.999826,1.000000,0.000080,0.000021,-0.000080,1.000000,-0.000165,-0.000021,0.000165,1.000000,0.999131,0.040981,0.007576,-0.040911,0.999121,-0.009136,-0.007944,0.008818,0.999930,1.000000,0.000030,-0.000001,-0.000030,1.000000,-0.000042,0.000001,0.000042,1.000000,1.000000,0.000034,0.000010,-0.000034,1.000000,-0.000033,-0.000010,0.000033,1.000000,0.984625,-0.087257,0.151327,0.065214,0.987286,0.144962,-0.162052,-0.132864,0.977797,0.780186,0.607661,-0.148519,-0.614315,0.789060,0.001358,0.118016,0.090178,0.988909,0.715135,-0.698972,0.004467,0.698961,0.715042,-0.012979,0.005878,0.012405,0.999906,0.983654,0.037146,-0.176197,-0.090738,0.947431,-0.306823,0.155537,0.317795,0.935315,0.408608,0.907883,0.093744,-0.895820,0.379259,0.231665,0.174772,-0.178638,0.968268,0.548006,-0.825191,-0.136927,0.820563,0.498554,0.279500,-0.162375,-0.265524,0.950332,0.640230,-0.751522,0.159126,0.650916,0.420725,-0.631901,0.407939,0.508139,0.758538,0.620445,0.774576,-0.122802,-0.480683,0.251867,-0.839945,-0.619671,0.580168,0.528595,1.000000,0.000089,0.000010,-0.000089,1.000000,0.000018,-0.000010,-0.000018,1.000000,1.000000,-0.000010,-0.000032,0.000010,1.000000,-0.000083,0.000032,0.000083,1.000000,1.000000,0.000014,0.000005,-0.000014,1.000000,0.000006,-0.000005,-0.000006,1.000000,1.000000,0.000003,-0.000012,-0.000003,1.000000,-0.000037,0.000012,0.000037,1.000000
0.116673,0.006448,0.021985,-0.000982,0.999822,-0.018814,0.001075,0.018788,0.999624,0.019969,-0.001450,-0.019945,0.999800,0.974507,-0.094214,-0.203615,0.084270,0.994812,-0.056990,0.207928,0.038379,0.977391,0.980710,-0.078958,0.178809,0.022684,0.954574,0.297109,-0.194145,-0.287321,0.937952,0.998929,0.018825,0.042278,-0.026960,0.979221,0.200996,-0.037616,-0.201920,0.978679,0.963486,0.116277,0.241194,-0.077044,0.983083,-0.166169,-0.256435,0.141519,0.956145,0.963705,0.088244,-0.251962,-0.161228,0.944619,-0.285834,0.212785,0.316083,0.924561,0.998227,-0.002857,-0.059454,-0.005026,0.991236,-0.132008,0.059310,0.132073,0.989464,1.000000,-0.000362,0.000761,0.000346,0.999772,0.021343,-0.000768,-0.021342,0.999772,1.000000,0.000037,0.000071,-0.000037,1.000000,-0.000260,-0.000071,0.000260,1.000000,0.998986,0.042872,0.013713,-0.042754,0.999047,-0.008773,-0.014076,0.008178,0.999867,1.000000,0.000013,0.000025,-0.000013,1.000000,-0.000088,-0.000025,0.000088,1.000000,1.000000,0.000016,0.000033,-0.000016,1.000000,-0.000082,-0.000033,0.000082,1.000000,0.987038,-0.072509,0.143176,0.054044,0.990185,0.128890,-0.151117,-0.119482,0.981269,0.782252,0.605353,-0.147069,-0.610792,0.791727,0.010067,0.122533,0.081953,0.989075,0.728873,-0.684537,-0.012391,0.684500,0.728972,-0.007705,0.014307,-0.002866,0.999894,0.981395,0.025452,-0.190305,-0.079465,0.956140,-0.281924,0.174783,0.291801,0.940374,0.420925,0.902768,0.088502,-0.892877,0.395143,0.215948,0.159980,-0.169919,0.972386,0.552728,-0.819093,-0.153553,0.819056,0.499943,0.281432,-0.153751,-0.281323,0.947216,0.641004,-0.754355,0.141644,0.642168,0.426013,-0.637286,0.420398,0.499462,0.757498,0.627758,0.771263,-0.105229,-0.465244,0.263377,-0.845092,-0.624073,0.579471,0.524163,1.000000,0.000082,0.000085,-0.000082,1.000000,-0.000007,-0.000085,0.000007,1.000000,1.000000,-0.000073,-0.000023,0.000073,1.000000,-0.000119,0.000023,0.000119,1.000000,1.000000,0.000013,0.000029,-0.000013,1.000000,-0.000005,-0.000029,0.000005,1.000000,1.000000,-0.000009,-0.000009,0.000009,1.000000,-0.000052,0.000009,0.000052,1.000000
0.133340,0.007019,0.022246,-0.005009,0.999793,-0.020343,-0.000678,0.020352,0.999630,0.018031,0.000311,-0.018041,0.999837,0.973128,-0.084963,-0.214016,0.074457,0.995611,-0.056692,0.217894,0.039233,0.975184,0.977935,-0.091166,0.187969,0.027953,0.948770,0.314727,-0.207032,-0.302528,0.930384,0.998941,0.016825,0.042833,-0.024841,0.980662,0.194128,-0.038738,-0.194987,0.980041,0.962278,0.106211,0.250481,-0.066869,0.984741,-0.160665,-0.263723,0.137855,0.954697,0.958467,0.091737,-0.270047,-0.176466,0.934603,-0.308831,0.224056,0.343658,0.911975,0.998509,0.000735,-0.054585,-0.007837,0.991481,-0.130017,0.054025,0.130251,0.990008,0.999999,-0.000431,0.000919,0.000409,0.999719,0.023688,-0.000929,-0.023688,0.999719,1.000000,0.000017,0.000013,-0.000017,1.000000,-0.000246,-0.000013,0.000246,1.000000,0.998854,0.044567,0.017449,-0.044405,0.998968,-0.009577,-0.017857,0.008792,0.999802,1.000000,0.000001,-0.000002,-0.000001,1.000000,-0.000074,0.000002,0.000074,1.000000,1.000000,0.000007,0.000003,-0.000007,1.000000,-0.000074,-0.000003,0.000074,1.000000,0.988870,-0.059978,0.136159,0.043876,0.992006,0.118321,-0.142167,-0.111030,0.983596,0.785493,0.602286,-0.142310,-0.606789,0.794735,0.014264,0.121690,0.075148,0.989719,0.742061,-0.669624,-0.030822,0.669893,0.742455,-0.002093,0.024286,-0.019094,0.999523,0.979359,0.013747,-0.201659,-0.067601,0.962509,-0.262691,0.190487,0.270901,0.943572,0.428854,0.899635,0.082103,-0.890212,0.405398,0.207788,0.153649,-0.162199,0.974722,0.553489,-0.816796,-0.162772,0.819562,0.499369,0.280980,-0.148220,-0.288921,0.945809,0.642426,-0.756360,0.123321,0.635906,0.436324,-0.636588,0.427682,0.487382,0.761280,0.632152,0.769961,-0.086851,-0.451978,0.275376,-0.848460,-0.629364,0.575611,0.522085,1.000000,0.000069,0.000050,-0.000069,1.000000,-0.000044,-0.000050,0.000044,1.000000,1.000000,-0.000070,-0.000046,0.000070,1.000000,-0.000065,0.000046,0.000065,1.000000,1.000000,0.000010,0.000018,-0.000010,1.000000,-0.000021,-0.000018,0.000021,1.000000,1.000000,-0.000009,-0.000017,0.000009,1.000000,-0.000030,0.000017,0.000030,1.000000
0.150008,0.007388,0.022497,-0.010210,0.999759,-0.021786,-0.002666,0.021826,0.999636,0.015867,0.002320,-0.015921,0.999871,0.972398,-0.076104,-0.220570,0.065889,0.996402,-0.053314,0.223834,0.037310,0.973913,0.974892,-0.105914,0.195879,0.033824,0.939870,0.339855,-0.220096,-0.324696,0.919853,0.998961,0.015483,0.042866,-0.023106,0.982744,0.183520,-0.039285,-0.184319,0.982081,0.961785,0.097558,0.255837,-0.057960,0.985737,-0.157997,-0.267601,0.137131,0.953722,0.953417,0.094582,-0.286445,-0.192646,0.921622,-0.336898,0.232130,0.376387,0.896911,0.998749,0.003678,-0.049876,-0.009912,0.992064,-0.125339,0.049020,0.125677,0.990859,0.999999,-0.000474,0.000986,0.000448,0.999675,0.025475,-0.000998,-0.025475,0.999675,1.000000,0.000012,-0.000080,-0.000012,1.000000,-0.000195,0.000080,0.000195,1.000000,0.998740,0.046235,0.019536,-0.046037,0.998885,-0.010446,-0.019997,0.009534,0.999755,1.000000,-0.000004,-0.000045,0.000004,1.000000,-0.000040,0.000045,0.000040,1.000000,1.000000,0.000005,-0.000043,-0.000005,1.000000,-0.000046,0.000043,0.000046,1.000000,0.990237,-0.048884,0.130540,0.034367,0.993201,0.111228,-0.135090,-0.105656,0.985184,0.789180,0.598680,-0.137029,-0.602559,0.797917,0.015836,0.118818,0.070070,0.990440,0.753865,-0.655283,-0.047865,0.656154,0.754620,0.003385,0.033902,-0.033959,0.998848,0.977525,0.003235,-0.210797,-0.056662,0.967123,-0.247915,0.203065,0.254288,0.945570,0.434396,0.897556,0.075460,-0.887305,0.412015,0.207202,0.154885,-0.156964,0.975384,0.551720,-0.817018,-0.167589,0.821361,0.497368,0.279270,-0.144815,-0.291730,0.945475,0.646866,-0.754866,0.108358,0.630772,0.449758,-0.632332,0.428591,0.477383,0.767082,0.634526,0.769689,-0.070396,-0.441091,0.285824,-0.850731,-0.634677,0.570862,0.520866,1.000000,0.000059,-0.000022,-0.000059,1.000000,-0.000077,0.000022,0.000077,1.000000,1.000000,-0.000042,-0.000081,0.000042,1.000000,0.000009,0.000081,-0.000009,1.000000,1.000000,0.000008,-0.000006,-0.000008,1.000000,-0.000035,0.000006,0.000035,1.000000,1.000000,-0.000003,-0.000028,0.000003,1.000000,0.000003,0.000028,-0.000003,1.000000
