t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,0.999996,-0.002004,-0.002006,-0.002004,0.001007,-0.999997,0.002006,0.999997,0.001003,0.982309,-0.168505,-0.081700,0.184027,0.949399,0.254510,0.034679,-0.265042,0.963613,0.994644,-0.044295,0.093384,-0.008450,0.865638,0.500599,-0.103011,-0.498707,0.860628,0.999766,0.011450,-0.018368,-0.007864,0.982776,0.184634,0.020165,-0.184446,0.982636,0.983809,0.153778,0.092039,-0.106071,0.913574,-0.392595,-0.144457,0.376476,0.915094,0.988759,-0.025432,-0.147336,-0.052684,0.862964,-0.502511,0.139925,0.504625,0.851924,0.998003,-0.003868,-0.063049,0.008297,0.997503,0.070141,0.062620,-0.070524,0.995543,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.997726,0.063056,-0.023789,-0.064069,0.996950,-0.044569,0.020906,0.045992,0.998723,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.994122,-0.107976,-0.007862,0.107531,0.976374,0.187432,-0.012562,-0.187176,0.982246,0.921415,0.364176,0.135537,-0.365443,0.930691,-0.016309,-0.132082,-0.034504,0.990638,0.893972,-0.432191,-0.118426,0.425561,0.901578,-0.077806,0.140397,0.019159,0.989910,0.998266,0.045412,0.037451,-0.033066,0.958998,-0.281479,-0.048698,0.279752,0.958836,0.198076,0.978798,0.052158,-0.978233,0.194043,0.073532,0.061852,-0.065588,0.995928,0.341858,-0.928428,0.145445,0.928791,0.357369,0.098160,-0.143112,0.101531,0.984485,0.451561,-0.851405,0.266839,0.861687,0.338546,-0.377997,0.231491,0.400620,0.886518,0.534362,0.835651,0.127063,-0.316831,0.337387,-0.886447,-0.783630,0.433425,0.445047,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016668,-0.001643,0.001286,-0.001154,0.999998,-0.000475,-0.001924,-0.001930,-0.015057,-0.999885,0.000446,0.999887,-0.015058,0.977882,-0.163375,-0.130593,0.191956,0.948982,0.250172,0.083059,-0.269706,0.959354,0.986408,-0.089388,0.137874,-0.004137,0.825307,0.564669,-0.164263,-0.557564,0.813720,0.999253,0.013331,-0.036282,-0.005565,0.978485,0.206245,0.038251,-0.205889,0.977827,0.981461,0.167339,0.093442,-0.121265,0.919721,-0.373374,-0.148420,0.355121,0.922963,0.978071,-0.014456,-0.207771,-0.104757,0.828068,-0.550754,0.180010,0.560442,0.808394,0.997056,-0.004583,-0.076542,0.010115,0.997350,0.072049,0.076009,-0.072611,0.994460,1.000000,-0.000291,0.000926,0.000291,1.000000,-0.000003,-0.000926,0.000003,1.000000,1.000000,-0.000372,0.000880,0.000372,1.000000,-0.000053,-0.000880,0.000053,1.000000,0.997708,0.060692,-0.029902,-0.062230,0.996626,-0.053512,0.026554,0.055250,0.998119,1.000000,-0.000125,0.000446,0.000125,1.000000,-0.000016,-0.000446,0.000016,1.000000,1.000000,-0.000159,0.000414,0.000160,1.000000,-0.000038,-0.000414,0.000038,1.000000,0.989199,-0.146263,0.009584,0.140375,0.964136,0.225246,-0.042185,-0.221468,0.974255,0.912358,0.389351,0.126526,-0.382347,0.920838,-0.076603,-0.146336,0.021513,0.989001,0.862439,-0.485232,-0.144047,0.475888,0.874272,-0.095803,0.172422,0.014074,0.984923,0.998786,0.045096,0.019835,-0.034608,0.928792,-0.368983,-0.035062,0.367849,0.929224,0.187158,0.969269,0.159652,-0.974299,0.162421,0.156077,0.125349,-0.184760,0.974757,0.340940,-0.934936,0.098261,0.918223,0.353598,0.178426,-0.201561,0.029393,0.979035,0.495720,-0.839295,0.223262,0.825001,0.374752,-0.423007,0.271360,0.393884,0.878191,0.579421,0.814875,0.015844,-0.247986,0.194783,-0.948980,-0.776385,0.545929,0.314939,1.000000,-0.000319,0.000556,0.000319,1.000000,0.000292,-0.000556,-0.000292,1.000000,1.000000,-0.000288,0.000644,0.000288,1.000000,0.000115,-0.000644,-0.000115,1.000000,1.000000,-0.000062,0.000188,0.000062,1.000000,0.000125,-0.000188,-0.000125,1.000000,1.000000,-0.000059,0.000208,0.000059,1.000000,0.000049,-0.000208,-0.000049,1.000000
0.033335,-0.002112,0.003325,-0.003726,0.999981,-0.001592,-0.005919,-0.005941,-0.014370,-0.999879,0.001507,0.999896,-0.014379,0.973644,-0.153750,-0.168456,0.193210,0.948504,0.251018,0.121187,-0.276950,0.953212,0.976675,-0.134396,0.167465,0.001144,0.783150,0.621832,-0.214722,-0.607136,0.765036,0.999111,0.024106,-0.034579,-0.016580,0.978956,0.203395,0.038754,-0.202640,0.978486,0.974803,0.185887,0.123307,-0.123223,0.909520,-0.396975,-0.185942,0.371779,0.909509,0.973544,0.006705,-0.228403,-0.146551,0.785232,-0.601609,0.175316,0.619166,0.765440,0.995972,-0.015537,-0.088310,0.020154,0.998463,0.051635,0.087372,-0.053207,0.994754,1.000000,0.000038,0.000283,-0.000038,1.000000,0.000275,-0.000283,-0.000275,1.000000,1.000000,-0.000003,0.000288,0.000003,1.000000,0.000260,-0.000288,-0.000260,1.000000,0.997988,0.047905,-0.041545,-0.049948,0.997519,-0.049616,0.039065,0.051591,0.997904,1.000000,0.000016,0.000148,-0.000016,1.000000,0.000128,-0.000148,-0.000128,1.000000,1.000000,-0.000001,0.000146,0.000001,1.000000,0.000122,-0.000146,-0.000122,1.000000,0.985756,-0.154641,0.066114,0.134754,0.961454,0.239682,-0.100630,-0.227359,0.968598,0.905604,0.415566,0.084768,-0.403534,0.905773,-0.129366,-0.130541,0.082948,0.987967,0.818287,-0.558643,-0.135369,0.548887,0.829332,-0.104555,0.170675,0.011254,0.985263,0.998396,0.052259,-0.021767,-0.056611,0.920907,-0.385649,-0.000109,0.386262,0.922389,0.203928,0.958997,0.196820,-0.966731,0.165553,0.194994,0.154415,-0.230037,0.960853,0.392956,-0.917310,0.064241,0.888655,0.396782,0.229904,-0.236383,-0.033254,0.971091,0.582056,-0.801819,0.135268,0.758618,0.475565,-0.445350,0.292762,0.361835,0.885080,0.584904,0.809815,-0.045679,-0.245850,0.123339,-0.961429,-0.772945,0.573574,0.271235,1.000000,-0.000058,0.000075,0.000058,1.000000,0.000312,-0.000075,-0.000312,1.000000,1.000000,0.000080,0.000300,-0.000080,1.000000,-0.000017,-0.000300,0.000017,1.000000,1.000000,-0.000010,0.000033,0.000010,1.000000,0.000133,-0.000033,-0.000133,1.000000,1.000000,0.000012,0.000094,-0.000012,1.000000,-0.000007,-0.000094,0.000007,1.000000
0.050003,-0.002524,0.004987,-0.007933,0.999978,-0.003726,-0.005578,-0.005632,-0.014704,-0.999876,0.003643,0.999885,-0.014724,0.967500,-0.145348,-0.206922,0.198867,0.942786,0.267593,0.156189,-0.300047,0.941051,0.970356,-0.163836,0.177671,0.000986,0.737826,0.674990,-0.241678,-0.654805,0.716116,0.999096,0.035606,-0.023244,-0.030074,0.978157,0.205681,0.030060,-0.204796,0.978343,0.963937,0.206390,0.168014,-0.115215,0.892727,-0.435619,-0.239898,0.400551,0.884312,0.969575,0.016176,-0.244260,-0.177867,0.732117,-0.657548,0.168191,0.680987,0.712719,0.995068,-0.025559,-0.095849,0.028453,0.999176,0.028941,0.095030,-0.031526,0.994975,1.000000,0.000058,-0.000167,-0.000058,1.000000,0.000438,0.000167,-0.000438,1.000000,1.000000,0.000061,-0.000155,-0.000061,1.000000,0.000432,0.000155,-0.000432,1.000000,0.998022,0.038923,-0.049362,-0.041443,0.997834,-0.051088,0.047266,0.053032,0.997474,1.000000,0.000025,-0.000079,-0.000025,1.000000,0.000215,0.000079,-0.000215,1.000000,1.000000,0.000026,-0.000074,-0.000026,1.000000,0.000215,0.000074,-0.000215,1.000000,0.983549,-0.132755,0.122501,0.101293,0.966829,0.234482,-0.149566,-0.218217,0.964371,0.904086,0.424872,0.045966,-0.414314,0.897785,-0.149421,-0.104752,0.116045,0.987705,0.795740,-0.593615,-0.120076,0.585725,0.804722,-0.096688,0.154023,0.006607,0.988045,0.996431,0.054160,-0.064752,-0.073830,0.931032,-0.357391,0.040930,0.360896,0.931708,0.245588,0.947820,0.203283,-0.955668,0.201592,0.214617,0.162438,-0.246978,0.955309,0.437238,-0.898715,0.033667,0.865329,0.430604,0.256488,-0.245006,-0.083014,0.965961,0.666073,-0.739825,0.094897,0.684252,0.555427,-0.472546,0.296893,0.379684,0.876182,0.584642,0.808109,-0.071789,-0.259321,0.102296,-0.960358,-0.768730,0.580082,0.269366,1.000000,-0.000005,-0.000287,0.000005,1.000000,0.000132,0.000287,-0.000132,1.000000,1.000000,0.000244,0.000009,-0.000244,1.000000,0.000135,-0.000009,-0.000135,1.000000,1.000000,0.000001,-0.000085,-0.000001,1.000000,0.000056,0.000085,-0.000056,1.000000,1.000000,0.000045,-0.000004,-0.000045,1.000000,0.000058,0.000004,-0.000058,1.000000
0.066670,-0.002725,0.006470,-0.013705,0.999981,-0.005708,-0.002425,-0.002521,-0.016931,-0.999853,0.005666,0.999840,-0.016945,0.959772,-0.138691,-0.244137,0.209243,0.933086,0.292520,0.187231,-0.331837,0.924570,0.967784,-0.174867,0.181152,-0.011592,0.687768,0.725838,-0.251516,-0.704554,0.663584,0.998913,0.044150,-0.014971,-0.040043,0.977010,0.209399,0.023872,-0.208572,0.977716,0.951370,0.226419,0.208878,-0.104655,0.875293,-0.472133,-0.289729,0.427313,0.856423,0.965919,0.001817,-0.258838,-0.195163,0.661996,-0.723652,0.170035,0.749505,0.639790,0.994431,-0.031766,-0.100493,0.033138,0.999379,0.012016,0.100049,-0.015279,0.994865,1.000000,0.000023,-0.000270,-0.000023,1.000000,0.000427,0.000270,-0.000427,1.000000,1.000000,0.000040,-0.000267,-0.000040,1.000000,0.000425,0.000267,-0.000425,1.000000,0.998060,0.035097,-0.051433,-0.037987,0.997689,-0.056326,0.049337,0.058171,0.997087,1.000000,0.000010,-0.000133,-0.000010,1.000000,0.000206,0.000133,-0.000206,1.000000,1.000000,0.000017,-0.000131,-0.000017,1.000000,0.000209,0.000131,-0.000209,1.000000,0.981463,-0.109097,0.157567,0.072201,0.972069,0.223315,-0.177529,-0.207799,0.961927,0.905386,0.424066,0.021070,-0.416642,0.896901,-0.148246,-0.081763,0.125441,0.988726,0.794759,-0.596864,-0.110058,0.590350,0.802327,-0.088083,0.140876,0.005032,0.990014,0.993742,0.058695,-0.095033,-0.086435,0.942984,-0.321419,0.070749,0.327622,0.942156,0.289419,0.934700,0.206331,-0.944370,0.243649,0.220909,0.156211,-0.258788,0.953219,0.459976,-0.887897,0.007804,0.853702,0.444643,0.271082,-0.244163,-0.118029,0.962525,0.727609,-0.681310,0.080008,0.621454,0.605269,-0.497438,0.290484,0.411662,0.863802,0.594193,0.800744,-0.075783,-0.263512,0.104784,-0.958948,-0.759932,0.589770,0.273267,1.000000,-0.000020,-0.000359,0.000020,1.000000,0.000010,0.000359,-0.000010,1.000000,1.000000,0.000243,-0.000078,-0.000243,1.000000,0.000199,0.000078,-0.000199,1.000000,1.000000,-0.000001,-0.000108,0.000001,1.000000,0.000004,0.000108,-0.000004,1.000000,1.000000,0.000044,-0.000034,-0.000044,1.000000,0.000085,0.000034,-0.000085,1.000000
0.083338,-0.002447,0.008398,-0.021084,0.999976,-0.006933,-0.000079,-0.000210,-0.018847,-0.999822,0.006930,0.999798,-0.018848,0.952261,-0.131643,-0.275444,0.220227,0.921061,0.321164,0.211422,-0.366492,0.906082,0.967098,-0.176942,0.182793,-0.029854,0.634616,0.772250,-0.252647,-0.752299,0.608454,0.998817,0.047212,-0.011624,-0.043797,0.977437,0.206637,0.021117,-0.205883,0.978349,0.939985,0.245698,0.236773,-0.095698,0.855888,-0.508231,-0.327522,0.455070,0.828034,0.963040,-0.026086,-0.268093,-0.203029,0.583775,-0.786120,0.177013,0.811496,0.556903,0.994174,-0.034545,-0.102103,0.034868,0.999391,0.001376,0.101993,-0.004928,0.994773,1.000000,-0.000010,-0.000203,0.000010,1.000000,0.000244,0.000203,-0.000244,1.000000,1.000000,0.000005,-0.000204,-0.000005,1.000000,0.000235,0.000204,-0.000235,1.000000,0.998147,0.035123,-0.049688,-0.038163,0.997369,-0.061630,0.047392,0.063412,0.996862,1.000000,-0.000004,-0.000099,0.000004,1.000000,0.000103,0.000099,-0.000103,1.000000,1.000000,0.000002,-0.000101,-0.000002,1.000000,0.000103,0.000101,-0.000103,1.000000,0.980236,-0.090832,0.175747,0.052046,0.975475,0.213870,-0.190863,-0.200496,0.960923,0.907817,0.419337,0.005083,-0.414494,0.899044,-0.141117,-0.063746,0.126002,0.989980,0.804639,-0.584794,-0.102817,0.579076,0.811157,-0.081824,0.131251,0.006300,0.991329,0.991295,0.062814,-0.115713,-0.094184,0.952432,-0.289832,0.092004,0.298207,0.950057,0.325366,0.921868,0.210467,-0.934488,0.279475,0.220514,0.144464,-0.268427,0.952406,0.469889,-0.882646,-0.011840,0.848238,0.447778,0.282818,-0.244326,-0.142937,0.959101,0.767301,-0.637954,0.065302,0.574083,0.637940,-0.513285,0.285793,0.431333,0.855730,0.606455,0.792221,-0.067813,-0.260713,0.117556,-0.958232,-0.751160,0.598805,0.277835,1.000000,-0.000022,-0.000232,0.000022,1.000000,-0.000063,0.000232,0.000063,1.000000,1.000000,0.000134,-0.000076,-0.000134,1.000000,0.000136,0.000076,-0.000136,1.000000,1.000000,-0.000001,-0.000065,0.000001,1.000000,-0.000027,0.000065,0.000027,1.000000,1.000000,0.000022,-0.000035,-0.000022,1.000000,0.000058,0.000035,-0.000058,1.000000
0.100005,-0.001692,0.010904,-0.029690,0.999969,-0.007867,0.000073,-0.000084,-0.019963,-0.999801,0.007867,0.999770,-0.019963,0.946683,-0.120746,-0.298684,0.226462,0.908820,0.350374,0.229144,-0.399334,0.887708,0.966436,-0.179084,0.184200,-0.046048,0.584629,0.809993,-0.252745,-0.791289,0.556760,0.998898,0.045869,-0.009901,-0.043023,0.979452,0.197036,0.018736,-0.196393,0.980346,0.931123,0.260976,0.254758,-0.086648,0.836829,-0.540563,-0.354263,0.481257,0.801804,0.960894,-0.050363,-0.272298,-0.208168,0.517093,-0.830230,0.182616,0.854446,0.486387,0.994221,-0.035073,-0.101460,0.034751,0.999384,-0.004938,0.101570,0.001383,0.994827,1.000000,-0.000035,-0.000167,0.000035,1.000000,-0.000027,0.000167,0.000027,1.000000,1.000000,-0.000012,-0.000166,0.000012,1.000000,-0.000044,0.000166,0.000044,1.000000,0.998259,0.036864,-0.046047,-0.039879,0.996998,-0.066369,0.043462,0.068090,0.996732,1.000000,-0.000015,-0.000080,0.000015,1.000000,-0.000047,0.000080,0.000047,1.000000,1.000000,-0.000005,-0.000081,0.000005,1.000000,-0.000052,0.000081,0.000052,1.000000,0.980518,-0.075485,0.181345,0.036951,0.977612,0.207144,-0.192921,-0.196408,0.961356,0.911438,0.411406,-0.005167,-0.408309,0.902888,-0.134448,-0.050648,0.124650,0.990907,0.819071,-0.564934,-0.099857,0.559968,0.825118,-0.074944,0.124732,0.005467,0.992175,0.989367,0.063776,-0.130712,-0.096685,0.959795,-0.263524,0.108650,0.273359,0.955756,0.352891,0.911126,0.212878,-0.925966,0.307402,0.219296,0.134367,-0.274506,0.952151,0.473466,-0.880464,-0.024782,0.845859,0.446650,0.291594,-0.245669,-0.159022,0.956221,0.793210,-0.607183,0.046329,0.538093,0.663267,-0.520128,0.285085,0.437500,0.852831,0.616848,0.785280,-0.053236,-0.256416,0.136550,-0.956873,-0.744143,0.603896,0.285588,1.000000,0.000017,-0.000069,-0.000017,1.000000,-0.000159,0.000069,0.000159,1.000000,1.000000,0.000003,-0.000113,-0.000003,1.000000,0.000025,0.000113,-0.000025,1.000000,1.000000,0.000007,-0.000011,-0.000007,1.000000,-0.000069,0.000011,0.000069,1.000000,1.000000,-0.000004,-0.000047,0.000004,1.000000,0.000011,0.000047,-0.000011,1.000000
0.116673,-0.000572,0.013774,-0.039063,0.999961,-0.008781,-0.001101,-0.001277,-0.020102,-0.999797,0.008757,0.999759,-0.020113,0.943385,-0.105631,-0.314430,0.226675,0.897361,0.378630,0.242162,-0.428468,0.870501,0.965431,-0.184041,0.184587,-0.056905,0.542260,0.838281,-0.254372,-0.819806,0.513042,0.999096,0.041771,-0.007916,-0.039620,0.982327,0.182929,0.015418,-0.182450,0.983094,0.924821,0.270618,0.267342,-0.076375,0.820570,-0.566421,-0.372656,0.503420,0.779549,0.959481,-0.064176,-0.274366,-0.213096,0.471795,-0.855570,0.184352,0.879370,0.439003,0.994451,-0.034301,-0.099452,0.033647,0.999400,-0.008247,0.099675,0.004855,0.995008,1.000000,-0.000052,-0.000192,0.000052,1.000000,-0.000220,0.000192,0.000220,1.000000,1.000000,-0.000016,-0.000189,0.000016,1.000000,-0.000240,0.000189,0.000240,1.000000,0.998352,0.038829,-0.042249,-0.041762,0.996607,-0.070919,0.039352,0.072566,0.996587,1.000000,-0.000022,-0.000092,0.000022,1.000000,-0.000151,0.000092,0.000151,1.000000,1.000000,-0.000007,-0.000092,0.000007,1.000000,-0.000158,0.000092,0.000158,1.000000,0.982065,-0.060144,0.178693,0.023129,0.979029,0.202404,-0.187119,-0.194640,0.962861,0.915675,0.401779,-0.010650,-0.399682,0.907465,-0.129468,-0.042354,0.122807,0.991526,0.834625,-0.541336,-0.101764,0.537262,0.840806,-0.066292,0.121450,0.000655,0.992597,0.988023,0.061971,-0.141319,-0.095058,0.965846,-0.241050,0.121554,0.251597,0.960169,0.374055,0.902933,0.211649,-0.918327,0.328762,0.220435,0.129455,-0.276818,0.952162,0.474715,-0.879614,-0.030406,0.844946,0.445789,0.295530,-0.246398,-0.165984,0.954850,0.811556,-0.583664,0.026694,0.509656,0.684832,-0.520823,0.285705,0.436282,0.853247,0.624951,0.779869,-0.035211,-0.252718,0.159429,-0.954314,-0.738627,0.605298,0.296723,1.000000,0.000056,0.000023,-0.000056,1.000000,-0.000250,-0.000023,0.000250,1.000000,1.000000,-0.000079,-0.000174,0.000079,1.000000,-0.000043,0.000174,0.000043,1.000000,1.000000,0.000015,0.000020,-0.000015,1.000000,-0.000108,-0.000020,0.000108,1.000000,1.000000,-0.000020,-0.000067,0.000020,1.000000,-0.000018,0.000067,0.000018,1.000000
0.133340,0.000703,0.016667,-0.048916,0.999952,-0.009435,-0.002528,-0.002709,-0.019222,-0.999812,0.009385,0.999771,-0.019247,0.941813,-0.088494,-0.324278,0.222722,0.886846,0.404844,0.251758,-0.453511,0.854953,0.964263,-0.191190,0.183420,-0.062555,0.508429,0.858829,-0.257456,-0.839611,0.478299,0.999326,0.036355,-0.005050,-0.035004,0.985370,0.166796,0.011040,-0.166507,0.985978,0.920750,0.275453,0.276306,-0.065854,0.807761,-0.585820,-0.384555,0.521198,0.761886,0.958672,-0.068806,-0.276068,-0.217902,0.446337,-0.867930,0.182938,0.892216,0.412898,0.994762,-0.033179,-0.096685,0.032409,0.999429,-0.009520,0.096945,0.006336,0.995270,1.000000,-0.000053,-0.000227,0.000053,1.000000,-0.000268,0.000227,0.000268,1.000000,1.000000,-0.000014,-0.000225,0.000014,1.000000,-0.000286,0.000225,0.000286,1.000000,0.998413,0.040318,-0.039322,-0.043201,0.996212,-0.075465,0.036131,0.077044,0.996373,1.000000,-0.000023,-0.000109,0.000023,1.000000,-0.000174,0.000109,0.000174,1.000000,1.000000,-0.000006,-0.000110,0.000006,1.000000,-0.000180,0.000110,0.000180,1.000000,0.984133,-0.044571,0.171744,0.009594,0.979886,0.199325,-0.177174,-0.194515,0.964766,0.919693,0.392439,-0.012517,-0.390791,0.911809,-0.126043,-0.038051,0.120812,0.991946,0.849088,-0.517344,-0.106795,0.514217,0.855754,-0.057154,0.120959,-0.006387,0.992637,0.987175,0.058901,-0.148381,-0.091299,0.970748,-0.222066,0.130961,0.232765,0.963675,0.390646,0.896949,0.207069,-0.911273,0.344962,0.224907,0.130299,-0.276556,0.952123,0.475964,-0.878969,-0.029509,0.844134,0.447171,0.295763,-0.246771,-0.165683,0.954805,0.825370,-0.564506,0.009830,0.487179,0.703294,-0.517720,0.285343,0.432100,0.855494,0.631464,0.775245,-0.015761,-0.249410,0.183823,-0.950791,-0.734199,0.604322,0.309431,1.000000,0.000069,0.000031,-0.000069,1.000000,-0.000289,-0.000031,0.000289,1.000000,1.000000,-0.000094,-0.000209,0.000094,1.000000,-0.000051,0.000209,0.000051,1.000000,1.000000,0.000017,0.000022,-0.000017,1.000000,-0.000125,-0.000022,0.000125,1.000000,1.000000,-0.000023,-0.000079,0.000023,1.000000,-0.000022,0.000079,0.000022,1.000000
0.150008,0.001900,0.019329,-0.059107,0.999947,-0.009659,-0.003637,-0.003806,-0.017560,-0.999839,0.009593,0.999799,-0.017595,0.941235,-0.071661,-0.330061,0.217004,0.877150,0.428388,0.258815,-0.474839,0.841156,0.963068,-0.199351,0.180996,-0.064514,0.481783,0.873913,-0.261416,-0.853314,0.451129,0.999528,0.030703,-0.001222,-0.030170,0.988155,0.150465,0.005827,-0.150358,0.988614,0.918370,0.277287,0.282327,-0.056454,0.797953,-0.600070,-0.391675,0.535147,0.748470,0.958194,-0.067727,-0.277989,-0.222418,0.434868,-0.872594,0.179987,0.897944,0.401624,0.995080,-0.032307,-0.093656,0.031530,0.999455,-0.009772,0.093920,0.006771,0.995557,1.000000,-0.000040,-0.000234,0.000040,1.000000,-0.000215,0.000234,0.000215,1.000000,1.000000,-0.000005,-0.000233,0.000005,1.000000,-0.000228,0.000233,0.000228,1.000000,0.998448,0.041232,-0.037437,-0.044112,0.995844,-0.079683,0.033996,0.081211,0.996117,1.000000,-0.000017,-0.000113,0.000017,1.000000,-0.000141,0.000113,0.000141,1.000000,1.000000,-0.000002,-0.000114,0.000002,1.000000,-0.000144,0.000114,0.000144,1.000000,0.986121,-0.030044,0.163286,-0.002897,0.980227,0.197853,-0.166001,-0.195580,0.966536,0.922992,0.384621,-0.012379,-0.383103,0.915363,-0.123868,-0.036311,0.119071,0.992222,0.861254,-0.495565,-0.112505,0.493292,0.868471,-0.049195,0.122087,-0.013128,0.992433,0.986687,0.055653,-0.152810,-0.086974,0.974540,-0.206659,0.137418,0.217198,0.966406,0.404139,0.892498,0.200296,-0.904555,0.357439,0.232417,0.135839,-0.275107,0.951769,0.478114,-0.877967,-0.024088,0.842673,0.450817,0.294391,-0.247606,-0.161051,0.955381,0.836369,-0.548157,-0.003137,0.469488,0.719268,-0.512088,0.282961,0.426822,0.858927,0.636887,0.770950,0.003303,-0.246327,0.207548,-0.946703,-0.730546,0.602129,0.322091,1.000000,0.000059,-0.000003,-0.000059,1.000000,-0.000268,0.000003,0.000268,1.000000,1.000000,-0.000066,-0.000201,0.000066,1.000000,-0.000028,0.000201,0.000028,1.000000,1.000000,0.000015,0.000010,-0.000015,1.000000,-0.000115,-0.000010,0.000115,1.000000,1.000000,-0.000017,-0.000075,0.000017,1.000000,-0.000012,0.000075,0.000012,1.000000
