t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.992036,-0.125536,-0.010276,0.125845,0.984438,0.122659,-0.005282,-0.122975,0.992396,0.996346,-0.041034,0.074904,0.014906,0.947108,0.320570,-0.084096,-0.318282,0.944259,0.999552,0.016514,-0.024971,-0.012887,0.990207,0.139007,0.027022,-0.138623,0.989976,0.988240,0.140745,0.059772,-0.112708,0.934625,-0.337302,-0.103338,0.326599,0.939497,0.995533,-0.007172,-0.094145,-0.024684,0.942664,-0.332830,0.091134,0.333667,0.938275,0.997493,0.001069,-0.070752,-0.000320,0.999944,0.010599,0.070760,-0.010550,0.997438,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.998033,0.059626,-0.019345,-0.059773,0.998187,-0.007090,0.018888,0.008233,0.999788,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.991677,-0.128669,0.004489,0.126094,0.977694,0.167972,-0.026002,-0.166008,0.985782,0.873800,0.474227,0.107620,-0.475357,0.879638,-0.016543,-0.102512,-0.036703,0.994055,0.850378,-0.525106,-0.033471,0.520493,0.848817,-0.092721,0.077099,0.061427,0.995129,0.997689,0.067130,0.010456,-0.059378,0.936360,-0.345983,-0.033017,0.344563,0.938183,0.247758,0.968477,-0.025838,-0.960973,0.249051,0.120431,0.123070,-0.005008,0.992385,0.307984,-0.937987,0.159143,0.937156,0.327930,0.119169,-0.163966,0.112440,0.980037,0.481037,-0.865440,0.140056,0.773599,0.343850,-0.532271,0.412490,0.364390,0.834909,0.654083,0.755506,0.037229,-0.471526,0.445722,-0.760917,-0.591471,0.480149,0.647780,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016668,-0.001669,0.014368,0.000972,0.999965,-0.008336,0.000489,0.008337,0.999963,-0.002247,-0.000470,0.002251,0.999997,0.988955,-0.140972,-0.045773,0.144501,0.985750,0.086116,0.032981,-0.091779,0.995233,0.992421,-0.050155,0.112185,0.009214,0.940717,0.339066,-0.122541,-0.335463,0.934050,0.999231,0.020889,-0.033182,-0.015534,0.987928,0.154135,0.036001,-0.153501,0.987493,0.984929,0.166560,0.046613,-0.147452,0.949475,-0.277046,-0.090403,0.265997,0.959725,0.989398,-0.004654,-0.145158,-0.044755,0.941075,-0.335223,0.138165,0.338166,0.930889,0.996660,0.009712,-0.081079,-0.007935,0.999722,0.022205,0.081272,-0.021488,0.996460,1.000000,-0.000626,0.000501,0.000608,0.999383,0.035130,-0.000523,-0.035130,0.999383,1.000000,-0.000051,0.000298,0.000051,1.000000,0.000128,-0.000298,-0.000128,1.000000,0.997817,0.061494,-0.024067,-0.062174,0.997655,-0.028632,0.022250,0.030066,0.999300,1.000000,0.000004,0.000157,-0.000004,1.000000,0.000085,-0.000157,-0.000085,1.000000,1.000000,-0.000022,0.000149,0.000022,1.000000,0.000078,-0.000149,-0.000078,1.000000,0.984894,-0.170638,0.029440,0.159042,0.958667,0.235932,-0.068482,-0.227685,0.971324,0.850885,0.518983,0.081555,-0.516889,0.854781,-0.046634,-0.093914,-0.002475,0.995577,0.801045,-0.596628,-0.048603,0.589338,0.800272,-0.110658,0.104917,0.059998,0.992669,0.996996,0.077119,-0.007197,-0.072760,0.900677,-0.428354,-0.026552,0.427591,0.903582,0.259755,0.962493,0.078329,-0.948982,0.239407,0.205228,0.178778,-0.127642,0.975575,0.335824,-0.934350,0.119219,0.919497,0.352647,0.173684,-0.204323,0.051294,0.977559,0.517590,-0.840781,0.158706,0.755252,0.361771,-0.546550,0.402114,0.402752,0.822250,0.665511,0.743179,-0.069144,-0.458604,0.334063,-0.823459,-0.588879,0.579730,0.563148,1.000000,-0.000150,0.000111,0.000150,1.000000,0.000172,-0.000111,-0.000172,1.000000,1.000000,-0.000029,0.000262,0.000029,1.000000,-0.000038,-0.000262,0.000038,1.000000,1.000000,-0.000031,0.000035,0.000031,1.000000,0.000074,-0.000035,-0.000074,1.000000,1.000000,-0.000005,0.000088,0.000005,1.000000,-0.000016,-0.000088,0.000016,1.000000
0.033335,0.000075,0.019402,0.002111,0.999978,-0.006201,-0.002295,0.006224,0.999930,0.010102,0.002232,-0.010116,0.999946,0.986962,-0.140108,-0.079214,0.142731,0.989352,0.028453,0.074384,-0.039388,0.996451,0.989090,-0.065479,0.131959,0.018443,0.943778,0.330066,-0.146152,-0.324031,0.934689,0.999650,0.019567,-0.017825,-0.016547,0.987599,0.156121,0.020658,-0.155771,0.987577,0.982771,0.172041,0.067547,-0.151950,0.960131,-0.234648,-0.105223,0.220341,0.969731,0.986753,0.022761,-0.160628,-0.072626,0.947331,-0.311912,0.145068,0.319446,0.936435,0.996494,0.002454,-0.083629,-0.002425,0.999997,0.000452,0.083630,-0.000247,0.996497,1.000000,-0.000374,0.000230,0.000371,0.999923,0.012426,-0.000235,-0.012426,0.999923,1.000000,-0.000218,0.000155,0.000218,1.000000,0.000724,-0.000155,-0.000724,1.000000,0.998425,0.049053,-0.027242,-0.050022,0.998096,-0.036087,0.025420,0.037393,0.998977,1.000000,-0.000069,0.000091,0.000069,1.000000,0.000331,-0.000091,-0.000331,1.000000,1.000000,-0.000093,0.000081,0.000093,1.000000,0.000302,-0.000081,-0.000302,1.000000,0.978515,-0.189116,0.082116,0.161725,0.951084,0.263220,-0.127878,-0.244284,0.961235,0.819472,0.573096,0.005147,-0.571832,0.818201,-0.059628,-0.038384,0.045921,0.998207,0.737623,-0.674479,-0.031477,0.669399,0.736582,-0.096708,0.088413,0.050264,0.994815,0.995402,0.079113,-0.053994,-0.094920,0.890234,-0.445505,0.012822,0.448582,0.893650,0.290350,0.951419,0.102462,-0.934181,0.258617,0.245810,0.207369,-0.167089,0.963888,0.414216,-0.908134,0.060976,0.883135,0.417215,0.214487,-0.220222,-0.034994,0.974822,0.549885,-0.824233,0.135153,0.738678,0.404377,-0.539290,0.389848,0.396382,0.831204,0.634165,0.764195,-0.117648,-0.484885,0.274546,-0.830368,-0.602263,0.583636,0.544654,1.000000,-0.000319,-0.000118,0.000319,1.000000,0.000243,0.000118,-0.000243,1.000000,1.000000,0.000137,0.000364,-0.000137,1.000000,0.000219,-0.000364,-0.000219,1.000000,1.000000,-0.000058,-0.000036,0.000058,1.000000,0.000106,0.000036,-0.000106,1.000000,1.000000,0.000017,0.000119,-0.000017,1.000000,0.000096,-0.000119,-0.000096,1.000000
0.050003,0.001942,0.020281,0.001924,0.999960,-0.007671,-0.004605,0.007753,0.999804,0.018243,0.004464,-0.018278,0.999823,0.984324,-0.135764,-0.112583,0.136467,0.990644,-0.001471,0.111730,-0.013916,0.993641,0.987104,-0.072780,0.142579,0.023322,0.946553,0.321705,-0.158373,-0.314231,0.936043,0.999697,0.023517,0.007277,-0.024389,0.986322,0.163017,-0.003344,-0.163146,0.986596,0.978666,0.171411,0.113274,-0.142630,0.963645,-0.225933,-0.147883,0.204956,0.967535,0.983692,0.051306,-0.172387,-0.101608,0.949377,-0.297251,0.148410,0.309920,0.939108,0.996795,-0.006885,-0.079702,0.003987,0.999327,-0.036469,0.079899,0.036034,0.996151,1.000000,-0.000174,-0.000227,0.000175,0.999972,0.007529,0.000226,-0.007529,0.999972,1.000000,-0.000033,-0.000225,0.000033,1.000000,0.000626,0.000225,-0.000626,1.000000,0.998903,0.040252,-0.023924,-0.041007,0.998647,-0.031980,0.022605,0.032926,0.999202,1.000000,-0.000021,-0.000114,0.000021,1.000000,0.000300,0.000114,-0.000300,1.000000,1.000000,-0.000014,-0.000107,0.000014,1.000000,0.000299,0.000107,-0.000299,1.000000,0.977092,-0.166367,0.132717,0.130656,0.961192,0.242978,-0.167990,-0.220072,0.960910,0.795193,0.601790,-0.074273,-0.605712,0.794012,-0.051558,0.027947,0.085986,0.995904,0.701370,-0.712782,-0.004546,0.711344,0.700333,-0.059359,0.045494,0.038398,0.998226,0.992852,0.064955,-0.100128,-0.101138,0.903322,-0.416869,0.063370,0.424017,0.903435,0.330983,0.937884,0.104037,-0.917987,0.294493,0.265658,0.218518,-0.183433,0.958437,0.480777,-0.876796,-0.009102,0.851231,0.464218,0.244762,-0.210381,-0.125424,0.969540,0.586386,-0.797219,0.143503,0.712178,0.422986,-0.560255,0.385946,0.430726,0.815795,0.608213,0.782811,-0.131468,-0.502626,0.251619,-0.827076,-0.614365,0.569117,0.546499,1.000000,-0.000128,-0.000358,0.000128,1.000000,0.000092,0.000358,-0.000092,1.000000,1.000000,0.000248,0.000085,-0.000248,1.000000,0.000327,-0.000085,-0.000327,1.000000,1.000000,-0.000023,-0.000116,0.000023,1.000000,0.000040,0.000116,-0.000040,1.000000,1.000000,0.000044,0.000026,-0.000044,1.000000,0.000141,-0.000026,-0.000141,1.000000
0.066670,0.003577,0.020582,0.001385,0.999928,-0.011432,-0.003736,0.011506,0.999728,0.020308,0.003503,-0.020349,0.999787,0.981101,-0.125888,-0.146943,0.124931,0.992040,-0.015758,0.147757,-0.002898,0.989019,0.985788,-0.073033,0.151291,0.021990,0.948908,0.314785,-0.166551,-0.306984,0.937028,0.999320,0.026683,0.025431,-0.030830,0.983215,0.179827,-0.020205,-0.180488,0.983370,0.972902,0.160949,0.166005,-0.122256,0.967467,-0.221499,-0.196254,0.195201,0.960927,0.979040,0.069837,-0.191318,-0.124079,0.949442,-0.288384,0.161506,0.306078,0.938207,0.997120,-0.011436,-0.074969,0.005582,0.996950,-0.077838,0.075631,0.077195,0.994143,1.000000,-0.000134,-0.000323,0.000138,0.999932,0.011681,0.000322,-0.011681,0.999932,1.000000,0.000117,-0.000329,-0.000117,1.000000,0.000382,0.000329,-0.000382,1.000000,0.999186,0.037592,-0.014601,-0.037919,0.999021,-0.022787,0.013730,0.023322,0.999634,1.000000,0.000031,-0.000176,-0.000030,1.000000,0.000220,0.000176,-0.000220,1.000000,1.000000,0.000050,-0.000159,-0.000050,1.000000,0.000228,0.000159,-0.000228,1.000000,0.979028,-0.132502,0.154751,0.099557,0.973890,0.204028,-0.177744,-0.184343,0.966656,0.784085,0.608217,-0.123622,-0.615763,0.787275,-0.032163,0.077763,0.101341,0.991808,0.694924,-0.718960,0.013307,0.718952,0.694326,-0.031925,0.013714,0.031752,0.999402,0.989537,0.053351,-0.134053,-0.100304,0.922243,-0.373374,0.103710,0.382913,0.917944,0.365999,0.924665,0.105066,-0.905736,0.328007,0.268428,0.213744,-0.193406,0.957553,0.519542,-0.851590,-0.069794,0.832292,0.485901,0.266816,-0.193305,-0.196711,0.961217,0.617240,-0.768920,0.166664,0.684835,0.420792,-0.594925,0.387319,0.481349,0.786312,0.603718,0.786070,-0.132736,-0.500972,0.244571,-0.830188,-0.620122,0.567696,0.541451,1.000000,0.000016,-0.000391,-0.000016,1.000000,0.000024,0.000391,-0.000024,1.000000,1.000000,0.000257,-0.000065,-0.000257,1.000000,0.000264,0.000065,-0.000264,1.000000,1.000000,0.000003,-0.000128,-0.000003,1.000000,0.000010,0.000128,-0.000010,1.000000,1.000000,0.000052,-0.000022,-0.000052,1.000000,0.000113,0.000022,-0.000113,1.000000
0.083338,0.005015,0.020999,0.000743,0.999899,-0.014156,-0.001416,0.014181,0.999714,0.019271,0.001143,-0.019289,0.999813,0.977413,-0.114945,-0.177344,0.112102,0.993357,-0.026000,0.179154,0.005532,0.983805,0.984465,-0.073069,0.159652,0.020254,0.950481,0.310123,-0.174407,-0.302071,0.937195,0.999107,0.025289,0.033854,-0.031494,0.979781,0.197580,-0.028173,-0.198470,0.979702,0.967245,0.146082,0.207601,-0.101663,0.972292,-0.210507,-0.232600,0.182507,0.955295,0.973637,0.077793,-0.214426,-0.138644,0.948298,-0.285499,0.181130,0.307701,0.934084,0.997443,-0.010564,-0.070679,0.002720,0.993909,-0.110172,0.071412,0.109698,0.991396,1.000000,-0.000192,0.000067,0.000191,0.999875,0.015814,-0.000070,-0.015814,0.999875,1.000000,0.000116,-0.000132,-0.000116,1.000000,0.000078,0.000132,-0.000078,1.000000,0.999239,0.038831,-0.003616,-0.038883,0.999120,-0.015697,0.003003,0.015826,0.999870,1.000000,0.000040,-0.000078,-0.000040,1.000000,0.000082,0.000078,-0.000082,1.000000,1.000000,0.000050,-0.000064,-0.000050,1.000000,0.000090,0.000064,-0.000090,1.000000,0.982347,-0.104247,0.155331,0.077546,0.982560,0.169007,-0.170241,-0.153978,0.973298,0.780309,0.608211,-0.145592,-0.616135,0.787546,-0.012239,0.107217,0.099254,0.989269,0.703170,-0.710839,0.016126,0.711015,0.702886,-0.020229,0.003045,0.025691,0.999665,0.986384,0.044262,-0.158390,-0.095364,0.938587,-0.331601,0.133985,0.342191,0.930029,0.392803,0.913626,0.104848,-0.898360,0.356844,0.256147,0.196609,-0.194806,0.960935,0.540549,-0.833550,-0.114027,0.822348,0.494872,0.280795,-0.177628,-0.245553,0.952970,0.633547,-0.753292,0.176548,0.664590,0.413005,-0.622694,0.396155,0.511838,0.762288,0.611133,0.781457,-0.125864,-0.486791,0.245680,-0.838258,-0.624140,0.573556,0.530549,1.000000,0.000061,-0.000178,-0.000061,1.000000,0.000033,0.000178,-0.000033,1.000000,1.000000,0.000119,-0.000047,-0.000119,1.000000,0.000067,0.000047,-0.000067,1.000000,1.000000,0.000010,-0.000058,-0.000010,1.000000,0.000013,0.000058,-0.000013,1.000000,1.000000,0.000028,-0.000016,-0.000028,1.000000,0.000028,0.000016,-0.000028,1.000000
0.100005,0.006186,0.021411,-0.000808,0.999870,-0.016100,-0.000703,0.016110,0.999719,0.017391,0.000423,-0.017400,0.999849,0.974194,-0.104652,-0.199983,0.099945,0.994428,-0.033519,0.202376,0.012667,0.979226,0.982589,-0.077113,0.169033,0.020636,0.949465,0.313194,-0.184642,-0.304253,0.934525,0.999057,0.022616,0.037067,-0.029814,0.977908,0.206898,-0.031569,-0.207808,0.977660,0.963181,0.132274,0.234064,-0.085957,0.976411,-0.198073,-0.254742,0.170661,0.951830,0.968120,0.080642,-0.237150,-0.150758,0.943671,-0.294547,0.200038,0.320909,0.925744,0.997776,-0.007257,-0.066257,-0.001244,0.991856,-0.127362,0.066642,0.127161,0.989641,1.000000,-0.000290,0.000526,0.000280,0.999818,0.019070,-0.000531,-0.019070,0.999818,1.000000,0.000065,0.000042,-0.000065,1.000000,-0.000167,-0.000042,0.000167,1.000000,0.999152,0.040839,0.005168,-0.040769,0.999084,-0.012991,-0.005694,0.012769,0.999902,1.000000,0.000025,0.000011,-0.000025,1.000000,-0.000043,-0.000011,0.000043,1.000000,1.000000,0.000028,0.000020,-0.000028,1.000000,-0.000034,-0.000020,0.000034,1.000000,0.985449,-0.084561,0.147442,0.063059,0.987442,0.144852,-0.157839,-0.133446,0.978406,0.780328,0.606736,-0.151520,-0.613552,0.789651,0.002228,0.121000,0.091227,0.988452,0.716703,-0.697361,0.004882,0.697345,0.716583,-0.014823,0.006838,0.014028,0.999878,0.983695,0.034117,-0.176577,-0.086462,0.950644,-0.297994,0.157695,0.308402,0.938094,0.411767,0.905599,0.101678,-0.893897,0.379692,0.238289,0.177188,-0.189009,0.965857,0.551303,-0.822011,-0.142695,0.817642,0.498319,0.288339,-0.165910,-0.275636,0.946836,0.638409,-0.751163,0.167895,0.651636,0.411377,-0.637291,0.409641,0.516259,0.752111,0.620698,0.776263,-0.110226,-0.467959,0.253984,-0.846467,-0.629085,0.576981,0.520907,1.000000,0.000078,0.000026,-0.000078,1.000000,0.000023,-0.000026,-0.000023,1.000000,1.000000,-0.000021,-0.000016,0.000021,1.000000,-0.000087,0.000016,0.000087,1.000000,1.000000,0.000012,0.000010,-0.000012,1.000000,0.000008,-0.000010,-0.000008,1.000000,1.000000,0.000001,-0.000006,-0.000001,1.000000,-0.000039,0.000006,0.000039,1.000000
0.116673,0.007125,0.021738,-0.004004,0.999838,-0.017865,-0.002226,0.017897,0.999725,0.015129,0.001955,-0.015167,0.999883,0.971807,-0.094356,-0.216076,0.088803,0.995424,-0.035288,0.218417,0.015105,0.975739,0.980029,-0.086428,0.179091,0.023423,0.944512,0.327641,-0.197471,-0.316902,0.927674,0.999072,0.020473,0.037899,-0.027837,0.978293,0.205347,-0.032873,-0.206211,0.977955,0.960670,0.121005,0.249941,-0.073652,0.978860,-0.190810,-0.267746,0.164897,0.949274,0.962577,0.082908,-0.258016,-0.165191,0.934243,-0.316073,0.214845,0.346866,0.912976,0.998110,-0.003819,-0.061331,-0.004277,0.991331,-0.131319,0.061301,0.131333,0.989441,1.000000,-0.000389,0.000827,0.000371,0.999758,0.021989,-0.000835,-0.021989,0.999758,1.000000,0.000023,0.000062,-0.000023,1.000000,-0.000259,-0.000062,0.000259,1.000000,0.999040,0.042420,0.010921,-0.042274,0.999018,-0.013256,-0.011472,0.012781,0.999852,1.000000,0.000006,0.000022,-0.000006,1.000000,-0.000086,-0.000022,0.000086,1.000000,1.000000,0.000010,0.000028,-0.000010,1.000000,-0.000082,-0.000028,0.000082,1.000000,0.987897,-0.069440,0.138698,0.051459,0.990275,0.129257,-0.146324,-0.120556,0.981863,0.782821,0.604044,-0.149406,-0.609646,0.792608,0.010214,0.124590,0.083089,0.988723,0.731964,-0.681200,-0.013991,0.681135,0.732093,-0.009700,0.016850,-0.002430,0.999855,0.981379,0.022528,-0.190758,-0.074921,0.959336,-0.272144,0.176870,0.281368,0.943159,0.423418,0.900868,0.095675,-0.890940,0.394946,0.224148,0.164142,-0.180149,0.969847,0.555367,-0.816244,-0.159103,0.816469,0.498851,0.290733,-0.157940,-0.291367,0.943483,0.639277,-0.754196,0.150047,0.643273,0.417583,-0.641736,0.421337,0.506768,0.752105,0.628323,0.772812,-0.089284,-0.449641,0.267102,-0.852338,-0.634849,0.575689,0.515314,1.000000,0.000076,0.000081,-0.000076,1.000000,-0.000020,-0.000082,0.000020,1.000000,1.000000,-0.000079,-0.000024,0.000079,1.000000,-0.000105,0.000024,0.000105,1.000000,1.000000,0.000012,0.000029,-0.000012,1.000000,-0.000010,-0.000029,0.000010,1.000000,1.000000,-0.000011,-0.000010,0.000011,1.000000,-0.000046,0.000010,0.000046,1.000000
0.133340,0.007848,0.022016,-0.008866,0.999798,-0.019476,-0.004939,0.019536,0.999732,0.012403,0.004696,-0.012497,0.999911,0.970180,-0.083959,-0.227379,0.078924,0.996393,-0.031166,0.229176,0.012291,0.973307,0.976911,-0.100271,0.188653,0.027859,0.935269,0.352840,-0.211820,-0.339438,0.916468,0.999115,0.019016,0.037527,-0.026019,0.980256,0.196014,-0.033058,-0.196817,0.979883,0.959250,0.111586,0.259592,-0.062845,0.979962,-0.189013,-0.275481,0.164996,0.947041,0.956955,0.085297,-0.277421,-0.182467,0.920130,-0.346506,0.225707,0.382210,0.896087,0.998419,-0.001038,-0.056208,-0.006155,0.991799,-0.127659,0.055879,0.127803,0.990224,0.999999,-0.000463,0.000970,0.000439,0.999698,0.024565,-0.000981,-0.024565,0.999698,1.000000,0.000006,-0.000023,-0.000006,1.000000,-0.000247,0.000023,0.000247,1.000000,0.998943,0.043691,0.014277,-0.043484,0.998949,-0.014517,-0.014896,0.013880,0.999793,1.000000,-0.000006,-0.000018,0.000006,1.000000,-0.000072,0.000018,0.000072,1.000000,1.000000,0.000003,-0.000015,-0.000003,1.000000,-0.000074,0.000015,0.000074,1.000000,0.989750,-0.056230,0.131275,0.040610,0.992091,0.118770,-0.136915,-0.112222,0.984206,0.786909,0.600091,-0.143755,-0.604788,0.796274,0.013386,0.122501,0.076408,0.989523,0.747066,-0.663862,-0.034349,0.664141,0.747596,-0.004164,0.028444,-0.019702,0.999401,0.979360,0.010928,-0.201829,-0.062791,0.965582,-0.252407,0.192124,0.259870,0.946338,0.429778,0.898611,0.088252,-0.888626,0.403612,0.217810,0.160107,-0.172033,0.971993,0.554793,-0.814992,-0.167312,0.817761,0.497134,0.290042,-0.153205,-0.297734,0.942275,0.641316,-0.755921,0.131521,0.637178,0.429197,-0.640152,0.427456,0.494342,0.756907,0.633304,0.770925,-0.067821,-0.433856,0.281101,-0.856009,-0.640854,0.571539,0.512493,1.000000,0.000066,0.000032,-0.000066,1.000000,-0.000072,-0.000032,0.000072,1.000000,1.000000,-0.000072,-0.000064,0.000072,1.000000,-0.000040,0.000064,0.000040,1.000000,1.000000,0.000010,0.000012,-0.000010,1.000000,-0.000033,-0.000012,0.000033,1.000000,1.000000,-0.000009,-0.000023,0.000009,1.000000,-0.000019,0.000023,0.000019,1.000000
0.150008,0.008397,0.022276,-0.015010,0.999752,-0.020891,-0.007699,0.020962,0.999737,0.009269,0.007504,-0.009428,0.999927,0.969218,-0.073822,-0.234876,0.070388,0.997255,-0.022982,0.235928,0.005743,0.971754,0.973439,-0.116911,0.196845,0.032674,0.921930,0.385977,-0.226602,-0.369293,0.901262,0.999162,0.018043,0.036732,-0.024472,0.982830,0.182883,-0.032801,-0.183628,0.982448,0.958549,0.103381,0.265513,-0.052898,0.980224,-0.190690,-0.279976,0.168741,0.945061,0.951381,0.086957,-0.295488,-0.201030,0.902128,-0.381775,0.233370,0.422615,0.875748,0.998681,0.000998,-0.051328,-0.007228,0.992587,-0.121323,0.050826,0.121534,0.991285,0.999999,-0.000508,0.001026,0.000481,0.999649,0.026500,-0.001039,-0.026500,0.999648,1.000000,0.000003,-0.000128,-0.000003,1.000000,-0.000200,0.000128,0.000200,1.000000,0.998863,0.044895,0.016034,-0.044647,0.998883,-0.015473,-0.016711,0.014740,0.999752,1.000000,-0.000011,-0.000068,0.000010,1.000000,-0.000040,0.000068,0.000040,1.000000,1.000000,0.000001,-0.000066,-0.000001,1.000000,-0.000049,0.000066,0.000049,1.000000,0.991119,-0.044226,0.125407,0.030238,0.993324,0.111328,-0.129494,-0.106547,0.985839,0.791698,0.595288,-0.137282,-0.599393,0.800336,0.013786,0.118079,0.071371,0.990436,0.760842,-0.646779,-0.052879,0.647726,0.761873,0.001019,0.039628,-0.035027,0.998600,0.977637,0.000510,-0.210297,-0.051577,0.970037,-0.237418,0.203875,0.242955,0.948371,0.433315,0.897619,0.080732,-0.886269,0.408141,0.218971,0.163603,-0.166433,0.972386,0.551356,-0.816646,-0.170577,0.820532,0.493868,0.287786,-0.150777,-0.298636,0.942381,0.646915,-0.753627,0.116395,0.631786,0.444218,-0.635230,0.427022,0.484476,0.763502,0.636536,0.769691,-0.048963,-0.420704,0.293313,-0.858473,-0.646398,0.567047,0.510516,1.000000,0.000060,-0.000045,-0.000060,1.000000,-0.000112,0.000045,0.000112,1.000000,1.000000,-0.000042,-0.000110,0.000042,1.000000,0.000037,0.000110,-0.000037,1.000000,1.000000,0.000008,-0.000013,-0.000008,1.000000,-0.000050,0.000013,0.000050,1.000000,1.000000,-0.000003,-0.000037,0.000003,1.000000,0.000015,0.000037,-0.000015,1.000000
