t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,-0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.981442,-0.135858,0.135328,0.151378,0.982126,-0.111865,-0.117712,0.130275,0.984466,0.969777,0.174662,-0.170371,-0.165812,0.984015,0.064977,0.178996,-0.034763,0.983235,0.999731,-0.010250,-0.020805,0.008714,0.997320,-0.072644,0.021494,0.072443,0.997141,0.982862,0.119612,-0.140266,-0.109873,0.991093,0.075255,0.148018,-0.058554,0.987250,0.982162,-0.149370,0.114225,0.161476,0.981243,-0.105295,-0.096355,0.121861,0.987859,0.992696,-0.041309,-0.113345,0.050607,0.995476,0.080414,0.109511,-0.085563,0.990296,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.999157,-0.039510,-0.011162,0.038181,0.994140,-0.101137,0.015092,0.100625,0.994810,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.983549,0.159456,0.084881,-0.149346,0.982135,-0.114488,-0.101621,0.099928,0.989792,0.985605,-0.168586,0.012675,0.168065,0.985165,0.034688,-0.018335,-0.032058,0.999318,0.997208,0.074173,-0.008656,-0.072885,0.991956,0.103491,0.016263,-0.102572,0.994593,0.999594,-0.018947,0.021270,0.013434,0.972012,0.234545,-0.025118,-0.234164,0.971872,0.991827,-0.125171,0.024739,0.108744,0.930687,0.349280,-0.066744,-0.343735,0.936692,0.997397,-0.067938,-0.024154,0.071542,0.974188,0.214100,0.008985,-0.215270,0.976513,0.914955,0.400092,0.052759,-0.371113,0.885536,-0.279464,-0.158531,0.236118,0.958705,0.981047,0.080559,0.176232,-0.043962,0.978300,-0.202475,-0.188719,0.190890,0.963300,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.016667,-0.002770,0.011718,-0.002264,0.999998,0.001679,-0.000874,-0.001690,0.999919,-0.012653,0.000852,0.012655,0.999920,0.982722,-0.149005,0.109796,0.160478,0.981510,-0.104335,-0.092219,0.120152,0.988463,0.972047,0.178805,-0.152162,-0.170429,0.983122,0.066518,0.161488,-0.038726,0.986115,0.999850,0.001396,-0.017290,-0.002604,0.997542,-0.070018,0.017150,0.070053,0.997396,0.983765,0.131158,-0.122494,-0.121114,0.988893,0.086151,0.132433,-0.069917,0.988723,0.979611,-0.170792,0.105795,0.179758,0.980294,-0.081921,-0.089719,0.099268,0.991008,0.992410,-0.049308,-0.112655,0.058637,0.994983,0.081055,0.108093,-0.087045,0.990323,0.999996,-0.000215,-0.002780,0.000263,0.999855,0.017044,0.002776,-0.017044,0.999851,0.999999,0.000270,0.001713,-0.000291,0.999929,0.011938,-0.001710,-0.011939,0.999927,0.999161,-0.037497,-0.016462,0.036085,0.996221,-0.079010,0.019363,0.078350,0.996738,1.000000,0.000036,-0.000060,-0.000036,1.000000,0.000280,0.000060,-0.000280,1.000000,1.000000,0.000027,-0.000072,-0.000027,1.000000,0.000284,0.000072,-0.000284,1.000000,0.979445,0.181681,0.087633,-0.163882,0.970027,-0.179415,-0.117602,0.161366,0.979863,0.988849,-0.147683,-0.019142,0.148457,0.987720,0.048680,0.011717,-0.050978,0.998631,0.998022,0.062613,-0.005676,-0.062128,0.996047,0.063490,0.009629,-0.063012,0.997966,0.999803,-0.007709,0.018277,0.002702,0.965733,0.259523,-0.019651,-0.259423,0.965564,0.981456,-0.185170,0.049558,0.161234,0.937291,0.309013,-0.103670,-0.295292,0.949766,0.995747,-0.067975,-0.062185,0.078793,0.978132,0.192481,0.047741,-0.196562,0.979328,0.902965,0.427934,0.039069,-0.387782,0.850651,-0.354990,-0.185147,0.305393,0.934053,0.972125,0.078632,0.220883,-0.028038,0.974313,-0.223446,-0.232779,0.211024,0.949359,1.000000,0.000064,-0.000115,-0.000064,1.000000,0.000464,0.000115,-0.000464,1.000000,1.000000,0.000075,-0.000123,-0.000075,1.000000,0.000464,0.000123,-0.000464,1.000000,1.000000,0.000012,-0.000043,-0.000012,1.000000,0.000200,0.000043,-0.000200,1.000000,1.000000,0.000016,-0.000035,-0.000016,1.000000,0.000200,0.000035,-0.000200,1.000000
0.033333,-0.004070,0.013012,-0.005709,1.000000,-0.000715,-0.000397,0.000709,0.999887,-0.015046,0.000408,0.015046,0.999887,0.983296,-0.158474,0.089524,0.166031,0.982501,-0.084410,-0.074581,0.097864,0.992401,0.972053,0.191270,-0.136119,-0.181892,0.980188,0.078398,0.148418,-0.051448,0.987586,0.999932,0.003765,-0.011025,-0.004591,0.997104,-0.075907,0.010707,0.075953,0.997054,0.983417,0.145570,-0.108171,-0.140164,0.988541,0.056046,0.115090,-0.039955,0.992551,0.976281,-0.189264,0.105141,0.199107,0.975590,-0.092635,-0.085042,0.111372,0.990133,0.992507,-0.046237,-0.113102,0.055331,0.995367,0.078635,0.108942,-0.084304,0.990467,0.999991,-0.000128,-0.004160,0.000165,0.999960,0.008902,0.004158,-0.008903,0.999952,0.999998,-0.000101,0.001844,0.000115,0.999970,-0.007801,-0.001843,0.007801,0.999968,0.999301,-0.032056,-0.019237,0.030386,0.996203,-0.081580,0.021779,0.080938,0.996481,1.000000,0.000015,-0.000115,-0.000015,1.000000,-0.000125,0.000115,0.000125,1.000000,1.000000,0.000017,-0.000113,-0.000017,1.000000,-0.000125,0.000113,0.000125,1.000000,0.978254,0.188985,0.085461,-0.168205,0.963942,-0.206213,-0.121351,0.187354,0.974768,0.992795,-0.114249,-0.036123,0.115803,0.992282,0.044335,0.030779,-0.048198,0.998363,0.998447,0.055682,0.001658,-0.055691,0.997018,0.053417,0.001321,-0.053426,0.998571,0.999713,0.000890,0.023959,-0.007734,0.957861,0.287129,-0.022694,-0.287232,0.957592,0.966417,-0.252341,0.048594,0.228081,0.929388,0.290200,-0.118392,-0.269371,0.955731,0.993734,-0.067808,-0.088855,0.083133,0.979771,0.182039,0.074714,-0.188285,0.979268,0.904015,0.423690,0.056956,-0.381033,0.858977,-0.342013,-0.193831,0.287483,0.937967,0.963217,0.100657,0.249162,-0.050855,0.978722,-0.198787,-0.263870,0.178804,0.947841,1.000000,-0.000029,-0.000154,0.000029,1.000000,-0.000221,0.000155,0.000221,1.000000,1.000000,0.000074,-0.000191,-0.000074,1.000000,-0.000209,0.000190,0.000209,1.000000,1.000000,0.000006,-0.000053,-0.000006,1.000000,-0.000090,0.000053,0.000090,1.000000,1.000000,0.000002,-0.000059,-0.000002,1.000000,-0.000086,0.000059,0.000086,1.000000
0.050000,-0.004088,0.012326,-0.008568,0.999992,-0.003557,0.002037,0.003585,0.999900,-0.013676,-0.001988,0.013683,0.999904,0.982360,-0.165251,0.087527,0.171697,0.982510,-0.072065,-0.074087,0.085822,0.993552,0.970055,0.203330,-0.132855,-0.194300,0.977848,0.077855,0.145742,-0.049709,0.988073,0.999992,-0.001117,-0.003782,0.000809,0.996738,-0.080702,0.003860,0.080698,0.996731,0.980502,0.161899,-0.111377,-0.158505,0.986598,0.038738,0.116156,-0.020329,0.993023,0.972730,-0.205378,0.107779,0.214930,0.972835,-0.086004,-0.087188,0.106823,0.990448,0.993039,-0.039703,-0.110895,0.048254,0.995977,0.075514,0.107450,-0.080339,0.990959,0.999989,-0.000160,-0.004782,0.000208,0.999951,0.009868,0.004780,-0.009869,0.999940,0.999997,-0.000202,0.002529,0.000237,0.999903,-0.013931,-0.002526,0.013931,0.999900,0.999505,-0.025168,-0.018865,0.023402,0.995794,-0.088585,0.021015,0.088100,0.995890,1.000000,0.000013,-0.000047,-0.000013,1.000000,-0.000395,0.000047,0.000395,1.000000,1.000000,0.000017,-0.000044,-0.000017,1.000000,-0.000395,0.000044,0.000395,1.000000,0.979906,0.183359,0.078512,-0.162804,0.962663,-0.216275,-0.115237,0.199147,0.973170,0.995156,-0.085120,-0.049183,0.086820,0.995660,0.033531,0.046116,-0.037639,0.998227,0.998922,0.045594,0.008778,-0.045976,0.997695,0.049905,-0.006482,-0.050255,0.998715,0.999404,0.006796,0.033831,-0.016675,0.953452,0.301083,-0.030210,-0.301468,0.952998,0.956090,-0.291123,0.033741,0.270933,0.921885,0.276988,-0.111743,-0.255684,0.960281,0.991070,-0.077450,-0.108543,0.095480,0.980419,0.172225,0.093079,-0.181051,0.979059,0.905869,0.414859,0.085396,-0.374089,0.878195,-0.298045,-0.198641,0.238044,0.950724,0.956385,0.125110,0.263962,-0.085235,0.983836,-0.157486,-0.279398,0.128119,0.951589,1.000000,-0.000018,-0.000056,0.000018,1.000000,-0.000588,0.000056,0.000588,1.000000,1.000000,0.000027,-0.000065,-0.000028,1.000000,-0.000585,0.000065,0.000585,1.000000,1.000000,0.000001,-0.000016,-0.000001,1.000000,-0.000250,0.000016,0.000250,1.000000,1.000000,-0.000000,-0.000023,0.000000,1.000000,-0.000249,0.000023,0.000249,1.000000
0.066667,-0.003946,0.011429,-0.010457,0.999976,-0.005319,0.004362,0.005364,0.999931,-0.010476,-0.004306,0.010499,0.999936,0.980830,-0.169542,0.096058,0.176307,0.982059,-0.066906,-0.082992,0.082559,0.993125,0.967390,0.211173,-0.139863,-0.203076,0.976658,0.069999,0.151380,-0.039313,0.987693,0.999960,-0.008851,0.001198,0.008922,0.996221,-0.086391,-0.000429,0.086398,0.996261,0.977230,0.173219,-0.122543,-0.170464,0.984821,0.032698,0.126347,-0.011065,0.991924,0.969620,-0.217152,0.112611,0.225681,0.971729,-0.069367,-0.094364,0.092673,0.991215,0.993497,-0.033228,-0.108902,0.041931,0.996022,0.078622,0.105857,-0.082677,0.990938,0.999986,-0.000183,-0.005317,0.000246,0.999931,0.011756,0.005314,-0.011758,0.999917,0.999996,-0.000271,0.002770,0.000320,0.999845,-0.017615,-0.002765,0.017616,0.999841,0.999667,-0.020189,-0.016048,0.018553,0.995185,-0.096239,0.017914,0.095909,0.995229,1.000000,0.000016,0.000026,-0.000016,1.000000,-0.000229,-0.000026,0.000229,1.000000,1.000000,0.000018,0.000028,-0.000018,1.000000,-0.000230,-0.000028,0.000230,1.000000,0.982088,0.173865,0.072626,-0.154489,0.963666,-0.217899,-0.107872,0.202776,0.973265,0.995982,-0.064090,-0.062547,0.065380,0.997683,0.018801,0.061197,-0.022815,0.997865,0.999194,0.036747,0.016145,-0.037486,0.998138,0.048114,-0.014347,-0.048680,0.998711,0.998912,0.007293,0.046057,-0.021307,0.949945,0.311690,-0.041479,-0.312332,0.949067,0.952103,-0.305011,0.021643,0.288327,0.919083,0.268616,-0.101822,-0.249510,0.963004,0.988126,-0.091707,-0.123276,0.111730,0.979638,0.166813,0.105468,-0.178606,0.978252,0.910920,0.397531,0.110430,-0.361498,0.898015,-0.250774,-0.198858,0.188515,0.961726,0.948364,0.151228,0.278812,-0.120839,0.984993,-0.123232,-0.293264,0.083177,0.952406,1.000000,0.000008,0.000047,-0.000008,1.000000,-0.000346,-0.000047,0.000346,1.000000,1.000000,0.000022,0.000052,-0.000022,1.000000,-0.000344,-0.000052,0.000344,1.000000,1.000000,0.000003,0.000018,-0.000003,1.000000,-0.000148,-0.000018,0.000148,1.000000,1.000000,0.000002,0.000015,-0.000002,1.000000,-0.000148,-0.000015,0.000148,1.000000
0.083333,-0.004118,0.010634,-0.012294,0.999962,-0.006473,0.005879,0.006515,0.999954,-0.007076,-0.005833,0.007114,0.999958,0.979216,-0.171658,0.108030,0.179260,0.981650,-0.065036,-0.094883,0.083050,0.992018,0.964946,0.214905,-0.150648,-0.208077,0.976277,0.059903,0.159948,-0.026457,0.986771,0.999858,-0.016385,0.003933,0.016682,0.995441,-0.093910,-0.002376,0.093963,0.995573,0.974514,0.179224,-0.134914,-0.176372,0.983774,0.032904,0.138622,-0.008270,0.990311,0.967357,-0.224515,0.117531,0.231391,0.971657,-0.048378,-0.103338,0.073994,0.991890,0.993756,-0.027423,-0.108151,0.036744,0.995690,0.085158,0.105349,-0.088600,0.990480,0.999983,-0.000214,-0.005862,0.000294,0.999906,0.013718,0.005859,-0.013719,0.999889,0.999997,-0.000334,0.002551,0.000387,0.999786,-0.020667,-0.002544,0.020668,0.999783,0.999776,-0.017402,-0.012071,0.016055,0.994463,-0.103850,0.013812,0.103633,0.994520,1.000000,0.000016,0.000044,-0.000016,1.000000,-0.000070,-0.000044,0.000070,1.000000,1.000000,0.000017,0.000045,-0.000017,1.000000,-0.000073,-0.000045,0.000073,1.000000,0.983871,0.165348,0.068251,-0.147206,0.965181,-0.216233,-0.101628,0.202698,0.973953,0.996010,-0.047599,-0.075483,0.048087,0.998832,0.004671,0.075173,-0.008282,0.997136,0.999283,0.028941,0.024416,-0.030006,0.998561,0.044442,-0.023094,-0.045143,0.998714,0.998356,0.003855,0.057193,-0.022157,0.946142,0.322993,-0.052868,-0.323729,0.944672,0.951913,-0.306017,0.014689,0.291506,0.919442,0.263915,-0.094268,-0.246942,0.964434,0.985236,-0.106303,-0.134203,0.128100,0.977783,0.165924,0.113583,-0.180666,0.976964,0.916704,0.378463,0.128143,-0.347223,0.913225,-0.213204,-0.197714,0.150951,0.968568,0.940502,0.175492,0.290960,-0.151764,0.983099,-0.102391,-0.304011,0.052141,0.951240,1.000000,0.000018,0.000074,-0.000018,1.000000,-0.000107,-0.000074,0.000107,1.000000,1.000000,0.000023,0.000075,-0.000023,1.000000,-0.000104,-0.000075,0.000104,1.000000,1.000000,0.000004,0.000025,-0.000004,1.000000,-0.000046,-0.000025,0.000046,1.000000,1.000000,0.000004,0.000024,-0.000004,1.000000,-0.000045,-0.000024,0.000045,1.000000
0.100000,-0.004671,0.009955,-0.014065,0.999950,-0.007343,0.006817,0.007370,0.999965,-0.003940,-0.006788,0.003990,0.999969,0.977708,-0.172578,0.119603,0.181104,0.981350,-0.064443,-0.106251,0.084667,0.990728,0.962893,0.216046,-0.161743,-0.210632,0.976280,0.050116,0.168734,-0.014188,0.985559,0.999721,-0.023032,0.005247,0.023450,0.994409,-0.102962,-0.002846,0.103056,0.994671,0.972364,0.181673,-0.146640,-0.178393,0.983325,0.035330,0.150613,-0.008194,0.988559,0.965723,-0.229011,0.122202,0.233977,0.971845,-0.027771,-0.112402,0.055411,0.992117,0.993819,-0.022377,-0.108738,0.032518,0.995191,0.092401,0.106147,-0.095366,0.989767,0.999980,-0.000261,-0.006355,0.000361,0.999876,0.015767,0.006350,-0.015769,0.999856,0.999998,-0.000395,0.002172,0.000446,0.999732,-0.023146,-0.002162,0.023147,0.999730,0.999838,-0.015968,-0.008277,0.014956,0.993762,-0.110517,0.009990,0.110375,0.993840,1.000000,0.000011,0.000039,-0.000011,1.000000,0.000010,-0.000039,-0.000010,1.000000,1.000000,0.000011,0.000040,-0.000011,1.000000,0.000007,-0.000040,-0.000007,1.000000,0.985071,0.159263,0.065351,-0.142177,0.966701,-0.212780,-0.097063,0.200312,0.974912,0.995625,-0.033200,-0.087346,0.032816,0.999444,-0.005837,0.087492,0.002945,0.996161,0.999207,0.021986,0.033211,-0.023313,0.998923,0.040123,-0.032293,-0.040866,0.998643,0.997852,-0.000809,0.065502,-0.021229,0.941969,0.335028,-0.061972,-0.335699,0.939929,0.953002,-0.302712,0.012371,0.288959,0.920461,0.263163,-0.091049,-0.247220,0.964672,0.982779,-0.118585,-0.141715,0.142098,0.975258,0.169352,0.118126,-0.186573,0.975314,0.921736,0.361654,0.140032,-0.333975,0.923761,-0.187420,-0.197137,0.125985,0.972247,0.934055,0.195090,0.299134,-0.175486,0.980236,-0.091335,-0.311040,0.032818,0.949830,1.000000,0.000014,0.000067,-0.000014,1.000000,0.000011,-0.000067,-0.000011,1.000000,1.000000,0.000017,0.000064,-0.000017,1.000000,0.000014,-0.000064,-0.000014,1.000000,1.000000,0.000003,0.000022,-0.000003,1.000000,0.000005,-0.000022,-0.000005,1.000000,1.000000,0.000003,0.000021,-0.000003,1.000000,0.000006,-0.000021,-0.000006,1.000000
0.116667,-0.005517,0.009361,-0.015699,0.999941,-0.008013,0.007384,0.008023,0.999967,-0.001272,-0.007373,0.001331,0.999972,0.976365,-0.173133,0.129366,0.182492,0.981103,-0.064296,-0.115789,0.086385,0.989510,0.961240,0.215725,-0.171699,-0.211709,0.976447,0.041590,0.176627,-0.003628,0.984271,0.999567,-0.028872,0.005663,0.029326,0.993205,-0.112625,-0.002372,0.112742,0.993621,0.970600,0.182254,-0.157223,-0.178401,0.983208,0.038402,0.161582,-0.009224,0.986816,0.964484,-0.231848,0.126558,0.234890,0.971976,-0.009453,-0.120819,0.038844,0.991914,0.993744,-0.018179,-0.110195,0.029188,0.994646,0.099133,0.107802,-0.101729,0.988954,0.999977,-0.000309,-0.006778,0.000429,0.999843,0.017742,0.006772,-0.017745,0.999820,0.999998,-0.000444,0.001833,0.000490,0.999687,-0.025020,-0.001821,0.025021,0.999685,0.999872,-0.015159,-0.005105,0.014464,0.993133,-0.116096,0.006830,0.116008,0.993225,1.000000,0.000005,0.000028,-0.000005,1.000000,0.000042,-0.000028,-0.000042,1.000000,1.000000,0.000005,0.000029,-0.000005,1.000000,0.000040,-0.000029,-0.000040,1.000000,0.985806,0.155539,0.063197,-0.139330,0.967960,-0.208905,-0.093665,0.197134,0.975892,0.995069,-0.020247,-0.097100,0.019155,0.999743,-0.012157,0.097322,0.010237,0.995200,0.999023,0.015650,0.041334,-0.017160,0.999189,0.036435,-0.040730,-0.037109,0.998481,0.997466,-0.005588,0.070924,-0.019416,0.937687,0.346939,-0.068443,-0.347437,0.935202,0.954363,-0.298354,0.013287,0.284434,0.921600,0.264102,-0.091042,-0.248270,0.964403,0.981038,-0.127732,-0.145773,0.152679,0.972608,0.175277,0.119391,-0.194210,0.973667,0.925616,0.348576,0.147414,-0.323229,0.930707,-0.171194,-0.196873,0.110812,0.974147,0.929280,0.210149,0.303770,-0.193073,0.977447,-0.085560,-0.314900,0.020859,0.948896,1.000000,0.000007,0.000049,-0.000007,1.000000,0.000058,-0.000049,-0.000058,1.000000,1.000000,0.000010,0.000043,-0.000010,1.000000,0.000060,-0.000043,-0.000060,1.000000,1.000000,0.000001,0.000015,-0.000001,1.000000,0.000025,-0.000015,-0.000025,1.000000,1.000000,0.000002,0.000015,-0.000002,1.000000,0.000026,-0.000015,-0.000026,1.000000
0.133333,-0.006591,0.008831,-0.017158,0.999934,-0.008542,0.007678,0.008536,0.999963,0.000838,-0.007685,-0.000773,0.999970,0.975179,-0.173774,0.137215,0.183808,0.980870,-0.064105,-0.123450,0.087735,0.988465,0.959971,0.214512,-0.180109,-0.211800,0.976708,0.034388,0.183290,0.005136,0.983045,0.999412,-0.033865,0.005462,0.034278,0.991932,-0.122053,-0.001284,0.122168,0.992509,0.969110,0.182064,-0.166370,-0.177626,0.983231,0.041308,0.171101,-0.010480,0.985198,0.963520,-0.233605,0.130608,0.234789,0.972025,0.006475,-0.128466,0.024427,0.991413,0.993591,-0.014769,-0.112066,0.026617,0.994118,0.104979,0.109856,-0.107289,0.988140,0.999974,-0.000348,-0.007140,0.000487,0.999810,0.019494,0.007131,-0.019497,0.999784,0.999999,-0.000476,0.001613,0.000518,0.999654,-0.026290,-0.001600,0.026290,0.999653,0.999890,-0.014606,-0.002611,0.014184,0.992568,-0.120860,0.004357,0.120810,0.992666,1.000000,0.000002,0.000016,-0.000002,1.000000,0.000053,-0.000016,-0.000053,1.000000,1.000000,0.000002,0.000017,-0.000002,1.000000,0.000051,-0.000017,-0.000051,1.000000,0.986248,0.153426,0.061439,-0.137930,0.968903,-0.205431,-0.091047,0.194132,0.976741,0.994513,-0.009018,-0.104227,0.007510,0.999861,-0.014857,0.104347,0.013993,0.994443,0.998787,0.010042,0.048201,-0.011675,0.999363,0.033716,-0.047832,-0.034238,0.998268,0.997208,-0.009862,0.074021,-0.017338,0.933577,0.357956,-0.072635,-0.358240,0.930800,0.955608,-0.294217,0.015822,0.279675,0.922653,0.265507,-0.092715,-0.249296,0.963979,0.980019,-0.134330,-0.146692,0.160216,0.970165,0.181963,0.117873,-0.201829,0.972302,0.928196,0.339665,0.151920,-0.315540,0.934910,-0.162411,-0.197197,0.102812,0.974958,0.925999,0.221390,0.305798,-0.205835,0.975091,-0.082643,-0.316477,0.013584,0.948503,1.000000,0.000003,0.000030,-0.000003,1.000000,0.000074,-0.000030,-0.000074,1.000000,1.000000,0.000006,0.000023,-0.000006,1.000000,0.000075,-0.000023,-0.000075,1.000000,1.000000,0.000000,0.000009,-0.000000,1.000000,0.000032,-0.000009,-0.000032,1.000000,1.000000,0.000001,0.000008,-0.000001,1.000000,0.000032,-0.000008,-0.000032,1.000000
0.150000,-0.007873,0.008350,-0.018449,0.999928,-0.009029,0.007856,0.009010,0.999956,0.002420,-0.007877,-0.002349,0.999966,0.974132,-0.174707,0.143331,0.185224,0.980640,-0.063541,-0.129455,0.088446,0.987633,0.959040,0.212738,-0.187042,-0.211221,0.977030,0.028239,0.188753,0.012425,0.981946,0.999276,-0.037719,0.005047,0.038055,0.990691,-0.130704,-0.000070,0.130802,0.991409,0.967829,0.181753,-0.173991,-0.176832,0.983279,0.043510,0.178989,-0.011343,0.983786,0.962777,-0.234618,0.134221,0.234018,0.972017,0.020459,-0.135265,0.011713,0.990740,0.993385,-0.012057,-0.114199,0.024665,0.993665,0.109642,0.112153,-0.111734,0.987389,0.999972,-0.000378,-0.007435,0.000533,0.999781,0.020914,0.007426,-0.020917,0.999754,0.999999,-0.000492,0.001525,0.000533,0.999635,-0.027006,-0.001511,0.027007,0.999634,0.999899,-0.014226,-0.000755,0.014020,0.992059,-0.124990,0.002527,0.124967,0.992158,1.000000,0.000000,0.000007,-0.000000,1.000000,0.000051,-0.000007,-0.000051,1.000000,1.000000,-0.000000,0.000008,0.000000,1.000000,0.000051,-0.000008,-0.000051,1.000000,0.986505,0.152232,0.060272,-0.137252,0.969612,-0.202521,-0.089271,0.191516,0.977421,0.994035,0.000096,-0.109058,-0.001738,0.999887,-0.014963,0.109044,0.015063,0.993923,0.998535,0.005265,0.053859,-0.006989,0.999467,0.031875,-0.053663,-0.032204,0.998040,0.997058,-0.013164,0.075515,-0.015568,0.929837,0.367643,-0.075056,-0.367737,0.926896,0.956494,-0.291167,0.018457,0.275856,0.923165,0.267712,-0.094988,-0.250973,0.963322,0.979584,-0.139250,-0.144997,0.165522,0.968001,0.188617,0.114093,-0.208766,0.971288,0.929325,0.335067,0.155193,-0.311233,0.936918,-0.159116,-0.198717,0.099570,0.974986,0.924099,0.229570,0.305514,-0.214877,0.973245,-0.081371,-0.316020,0.009547,0.948704,1.000000,0.000002,0.000014,-0.000002,1.000000,0.000071,-0.000014,-0.000071,1.000000,1.000000,0.000004,0.000008,-0.000004,1.000000,0.000072,-0.000008,-0.000072,1.000000,1.000000,0.000000,0.000004,-0.000000,1.000000,0.000031,-0.000004,-0.000031,1.000000,1.000000,0.000001,0.000004,-0.000001,1.000000,0.000031,-0.000004,-0.000031,1.000000
