t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
28.100000,0.000000,0.000000,0.000000,0.426362,-0.233922,0.873783,-0.035620,0.960892,0.274623,-0.903851,-0.148213,0.401355,0.988760,-0.077010,0.128152,0.101933,0.974274,-0.200999,-0.109376,0.211803,0.971173,0.976112,0.202325,-0.079177,-0.202085,0.979305,0.011118,0.079788,0.005148,0.996799,0.999643,-0.007326,0.025693,0.010357,0.992735,-0.119877,-0.024628,0.120100,0.992456,0.990298,0.117722,-0.073835,-0.125688,0.985427,-0.114614,0.059266,0.122782,0.990662,0.994027,-0.084307,0.069294,0.105383,0.906509,-0.408823,-0.028349,0.413684,0.909979,0.999509,-0.012242,-0.028830,0.007698,0.988236,-0.152742,0.030361,0.152445,0.987846,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.999913,0.012426,0.004439,-0.012252,0.999235,-0.037153,-0.004898,0.037096,0.999300,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.987006,0.042850,-0.154865,-0.065372,0.987504,-0.143399,0.146785,0.151659,0.977473,0.958447,0.282437,0.040097,-0.277434,0.955585,-0.099443,-0.066403,0.084187,0.994235,0.954102,-0.287811,0.082789,0.294774,0.951331,-0.089875,-0.052893,0.110154,0.992506,0.976179,-0.055415,-0.209773,0.070551,0.995364,0.065366,0.205178,-0.078609,0.975563,0.722404,0.684528,-0.097746,-0.691441,0.716435,-0.092898,0.006438,0.134696,0.990866,0.725433,-0.679728,0.108241,0.685486,0.699298,-0.202711,0.062095,0.221251,0.973238,0.829250,0.057221,-0.555940,-0.216676,0.949859,-0.225433,0.515165,0.307399,0.800069,0.905872,-0.013570,0.423335,0.215702,0.874946,-0.433522,-0.364513,0.484030,0.795516,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
28.116667,-0.002406,0.014809,0.001752,0.422674,-0.238461,0.874347,-0.018830,0.962244,0.271536,-0.906086,-0.131236,0.402225,0.987585,-0.072635,0.139284,0.102941,0.969004,-0.224576,-0.118655,0.236126,0.964451,0.976537,0.201746,-0.075322,-0.201654,0.979416,0.008905,0.075569,0.006493,0.997119,0.999852,0.010330,0.013766,-0.008515,0.992002,-0.125934,-0.014957,0.125798,0.991943,0.985779,0.144914,-0.085086,-0.150033,0.987026,-0.057184,0.075695,0.069136,0.994731,0.993375,-0.080527,0.081985,0.106230,0.915589,-0.387830,-0.043834,0.393970,0.918077,0.999840,-0.006985,-0.016444,0.004697,0.990797,-0.135275,0.017237,0.135176,0.990672,0.999975,-0.000717,-0.007085,0.001145,0.998168,0.060495,0.007029,-0.060502,0.998143,1.000000,-0.000068,-0.000926,0.000044,0.999671,-0.025644,0.000927,0.025644,0.999671,0.999835,0.017704,0.004157,-0.017534,0.999124,-0.037998,-0.004826,0.037919,0.999269,1.000000,0.000164,0.000010,-0.000164,1.000000,-0.000063,-0.000010,0.000063,1.000000,1.000000,0.000170,-0.000017,-0.000170,1.000000,-0.000013,0.000017,0.000013,1.000000,0.982138,0.047085,-0.182176,-0.075418,0.985518,-0.151874,0.172387,0.162900,0.971466,0.957449,0.286853,0.031742,-0.282266,0.953665,-0.104153,-0.060148,0.090761,0.994055,0.955207,-0.282024,0.089681,0.290476,0.951447,-0.101843,-0.056604,0.123331,0.990750,0.980137,-0.056792,-0.190016,0.072828,0.994250,0.078502,0.184465,-0.090781,0.978638,0.730011,0.680786,-0.060112,-0.682588,0.721903,-0.113710,-0.034017,0.124041,0.991694,0.696880,-0.711318,0.091569,0.714076,0.676297,-0.180883,0.066737,0.191441,0.979233,0.802006,0.045520,-0.595579,-0.217859,0.950697,-0.220707,0.556169,0.306761,0.772382,0.908966,0.011385,0.416714,0.188224,0.880721,-0.434629,-0.371957,0.473499,0.798403,1.000000,0.000232,-0.000088,-0.000232,1.000000,0.000156,0.000088,-0.000156,1.000000,1.000000,0.000135,-0.000262,-0.000135,1.000000,-0.000111,0.000262,0.000111,1.000000,1.000000,0.000048,-0.000030,-0.000048,1.000000,0.000067,0.000030,-0.000067,1.000000,1.000000,0.000028,-0.000090,-0.000028,1.000000,-0.000048,0.000090,0.000048,1.000000
28.133333,-0.004600,0.019137,0.002894,0.416080,-0.233087,0.878947,-0.029632,0.962601,0.269299,-0.908845,-0.138095,0.393612,0.986669,-0.080703,0.141323,0.112740,0.965210,-0.235921,-0.117367,0.248709,0.961441,0.976882,0.203963,-0.064034,-0.201760,0.978649,0.039238,0.070670,-0.025411,0.997176,0.999955,0.009338,0.001392,-0.009109,0.992987,-0.117871,-0.002483,0.117853,0.993028,0.986757,0.139554,-0.082674,-0.141848,0.989632,-0.022522,0.078674,0.033951,0.996322,0.991103,-0.102178,0.085290,0.127860,0.908914,-0.396898,-0.036967,0.404272,0.913891,0.999870,-0.013108,-0.009340,0.011816,0.991829,-0.127026,0.010929,0.126899,0.991855,0.999987,-0.000965,-0.004946,0.001067,0.999788,0.020584,0.004925,-0.020589,0.999776,0.999997,-0.000788,-0.002121,0.000769,0.999958,-0.009143,0.002128,0.009141,0.999956,0.999936,0.010814,0.003390,-0.010627,0.998639,-0.051057,-0.003937,0.051018,0.998690,1.000000,-0.000255,-0.000114,0.000255,1.000000,0.000015,0.000114,-0.000015,1.000000,1.000000,-0.000266,-0.000033,0.000266,1.000000,-0.000055,0.000033,0.000055,1.000000,0.979619,0.050783,-0.194338,-0.083983,0.982439,-0.166615,0.182464,0.179540,0.966681,0.962950,0.268449,0.025720,-0.264229,0.958268,-0.109113,-0.053938,0.098274,0.993697,0.960341,-0.266192,0.082988,0.274230,0.955529,-0.108455,-0.050427,0.126912,0.990631,0.981059,-0.073027,-0.179419,0.091922,0.990797,0.099355,0.170512,-0.113966,0.978743,0.736468,0.674022,-0.057525,-0.674628,0.725525,-0.135975,-0.049915,0.138949,0.989041,0.692653,-0.717368,0.074935,0.718139,0.676242,-0.164234,0.067142,0.167570,0.983571,0.785923,0.087077,-0.612163,-0.238733,0.955998,-0.170511,0.570379,0.280152,0.772129,0.901482,0.029741,0.431793,0.182012,0.879085,-0.440547,-0.392685,0.475737,0.787066,1.000000,-0.000327,0.000192,0.000327,1.000000,-0.000381,-0.000192,0.000381,1.000000,1.000000,-0.000309,0.000319,0.000308,1.000000,0.000250,-0.000319,-0.000250,1.000000,1.000000,-0.000063,0.000062,0.000063,1.000000,-0.000162,-0.000062,0.000162,1.000000,1.000000,-0.000061,0.000110,0.000061,1.000000,0.000107,-0.000110,-0.000107,1.000000
28.150000,-0.006432,0.019086,0.005163,0.407469,-0.229368,0.883945,-0.037795,0.962880,0.267272,-0.912436,-0.142314,0.383675,0.985087,-0.093952,0.144140,0.128247,0.959426,-0.251105,-0.114700,0.265846,0.957168,0.976875,0.207508,-0.051527,-0.203152,0.975962,0.078915,0.066664,-0.066622,0.995549,0.999803,0.018073,-0.008176,-0.018807,0.994710,-0.100985,0.006308,0.101118,0.994854,0.984700,0.147095,-0.093431,-0.145735,0.989095,0.021253,0.095539,-0.007311,0.995399,0.989725,-0.121347,0.075626,0.141694,0.903251,-0.405043,-0.019158,0.411597,0.911165,0.999789,-0.020503,-0.001485,0.020154,0.991858,-0.125742,0.004051,0.125685,0.992062,0.999992,-0.000661,-0.003871,0.000688,0.999976,0.006928,0.003867,-0.006931,0.999969,0.999996,-0.000615,-0.002631,0.000605,0.999993,-0.003686,0.002634,0.003684,0.999990,0.999992,0.003835,0.001434,-0.003736,0.997997,-0.063145,-0.001673,0.063139,0.998003,1.000000,-0.000230,-0.000086,0.000230,1.000000,-0.000020,0.000086,0.000020,1.000000,1.000000,-0.000235,-0.000031,0.000235,1.000000,-0.000067,0.000031,0.000067,1.000000,0.979588,0.048105,-0.195175,-0.086693,0.977107,-0.194284,0.181361,0.207239,0.961333,0.969862,0.242085,0.027601,-0.237748,0.965052,-0.110225,-0.053320,0.100341,0.993523,0.964932,-0.250122,0.079656,0.257886,0.959915,-0.109812,-0.048997,0.126504,0.990755,0.979843,-0.082249,-0.182054,0.105004,0.987315,0.119095,0.169949,-0.135811,0.976050,0.740351,0.667983,-0.075358,-0.670042,0.724281,-0.162666,-0.054078,0.170923,0.983799,0.694039,-0.715344,0.081191,0.717496,0.677993,-0.159766,0.059241,0.169138,0.983810,0.786830,0.139823,-0.601122,-0.255022,0.960616,-0.110364,0.562016,0.240136,0.791500,0.903894,0.020714,0.427256,0.183616,0.883336,-0.431281,-0.386344,0.468283,0.794638,1.000000,-0.000282,0.000197,0.000282,1.000000,-0.000347,-0.000197,0.000347,1.000000,1.000000,-0.000297,0.000271,0.000297,1.000000,0.000231,-0.000271,-0.000231,1.000000,1.000000,-0.000055,0.000063,0.000055,1.000000,-0.000148,-0.000063,0.000148,1.000000,1.000000,-0.000058,0.000093,0.000058,1.000000,0.000099,-0.000093,-0.000099,1.000000
28.166667,-0.007283,0.017891,0.008184,0.401997,-0.227621,0.886897,-0.045571,0.962434,0.267663,-0.914506,-0.148016,0.376523,0.982183,-0.106887,0.154573,0.145907,0.952096,-0.268745,-0.118443,0.286510,0.950728,0.976762,0.210208,-0.041816,-0.203702,0.971167,0.123853,0.066645,-0.112457,0.991419,0.999476,0.026122,-0.019127,-0.027579,0.996383,-0.080374,0.016958,0.080859,0.996581,0.981862,0.153646,-0.111081,-0.147163,0.987012,0.064423,0.119537,-0.046907,0.991721,0.988184,-0.139314,0.063903,0.153271,0.897651,-0.413197,0.000201,0.418109,0.908397,0.999613,-0.026768,0.007567,0.027514,0.991495,-0.127206,-0.004098,0.127365,0.991847,0.999995,-0.000203,-0.003163,0.000210,0.999998,0.002013,0.003163,-0.002013,0.999993,0.999997,-0.000202,-0.002359,0.000198,0.999999,-0.001570,0.002359,0.001570,0.999996,0.999999,0.000893,0.001370,-0.000788,0.997209,-0.074657,-0.001433,0.074656,0.997208,1.000000,-0.000072,-0.000033,0.000072,1.000000,-0.000004,0.000033,0.000004,1.000000,1.000000,-0.000074,-0.000014,0.000074,1.000000,-0.000023,0.000014,0.000023,1.000000,0.980194,0.044782,-0.192908,-0.087639,0.971611,-0.219754,0.177591,0.232308,0.956292,0.976523,0.212195,0.037102,-0.207273,0.972478,-0.106414,-0.058661,0.096225,0.993630,0.967765,-0.237976,0.082448,0.246036,0.963273,-0.107569,-0.053821,0.124387,0.990773,0.978199,-0.082908,-0.190403,0.110201,0.984347,0.137540,0.176019,-0.155524,0.972023,0.740239,0.664354,-0.103343,-0.670488,0.718014,-0.186817,-0.049911,0.207580,0.976944,0.697443,-0.709116,0.103581,0.715253,0.679792,-0.162158,0.044576,0.187183,0.981313,0.797010,0.186296,-0.574517,-0.270808,0.960488,-0.064231,0.539851,0.206776,0.815969,0.913053,0.002293,0.407834,0.184512,0.889472,-0.418085,-0.363716,0.456984,0.811712,1.000000,-0.000086,0.000063,0.000086,1.000000,-0.000121,-0.000063,0.000121,1.000000,1.000000,-0.000097,0.000080,0.000097,1.000000,0.000089,-0.000080,-0.000089,1.000000,1.000000,-0.000017,0.000019,0.000017,1.000000,-0.000051,-0.000019,0.000051,1.000000,1.000000,-0.000018,0.000029,0.000018,1.000000,0.000038,-0.000029,-0.000038,1.000000
28.183333,-0.007232,0.016746,0.010714,0.396237,-0.228658,0.889220,-0.052655,0.961239,0.270641,-0.916637,-0.154059,0.368839,0.979119,-0.114952,0.167664,0.159959,0.944643,-0.286466,-0.125453,0.307304,0.943306,0.977143,0.209477,-0.036201,-0.201098,0.966069,0.162083,0.068926,-0.151098,0.986113,0.999035,0.028832,-0.033129,-0.030935,0.997415,-0.064850,0.031174,0.065813,0.997345,0.979722,0.155205,-0.126710,-0.142971,0.984604,0.100573,0.140368,-0.080418,0.986828,0.986404,-0.156019,0.051620,0.163404,0.897754,-0.409068,0.017481,0.411941,0.911043,0.999440,-0.030003,0.014795,0.031615,0.991713,-0.124526,-0.010936,0.124924,0.992106,0.999996,-0.000071,-0.002795,0.000071,1.000000,-0.000057,0.002795,0.000056,0.999996,0.999998,-0.000091,-0.001856,0.000090,1.000000,-0.000652,0.001856,0.000652,0.999998,0.999997,0.001288,0.002021,-0.001108,0.996232,-0.086724,-0.002125,0.086722,0.996230,1.000000,-0.000031,-0.000039,0.000031,1.000000,0.000017,0.000039,-0.000017,1.000000,1.000000,-0.000034,-0.000032,0.000034,1.000000,0.000005,0.000032,-0.000005,1.000000,0.980532,0.041841,-0.191848,-0.086686,0.968909,-0.231734,0.176187,0.243853,0.953674,0.980807,0.187618,0.053074,-0.181778,0.978326,-0.099169,-0.070529,0.087618,0.993654,0.968131,-0.235131,0.086236,0.243397,0.964463,-0.102804,-0.058999,0.120518,0.990956,0.977586,-0.078218,-0.195466,0.109035,0.982312,0.152234,0.180101,-0.170135,0.968823,0.740150,0.659065,-0.133460,-0.671302,0.712642,-0.203705,-0.039146,0.240364,0.969893,0.703698,-0.697913,0.133143,0.709999,0.683710,-0.168647,0.026670,0.213208,0.976643,0.808446,0.222799,-0.544772,-0.288716,0.956692,-0.037191,0.512893,0.187351,0.837759,0.923141,-0.008734,0.384363,0.180600,0.892424,-0.413478,-0.339403,0.451114,0.825410,1.000000,-0.000038,0.000003,0.000038,1.000000,-0.000084,-0.000003,0.000084,1.000000,1.000000,-0.000034,0.000033,0.000034,1.000000,0.000086,-0.000033,-0.000086,1.000000,1.000000,-0.000008,0.000000,0.000008,1.000000,-0.000036,-0.000000,0.000036,1.000000,1.000000,-0.000006,0.000012,0.000006,1.000000,0.000037,-0.000012,-0.000037,1.000000
28.200000,-0.006803,0.016043,0.012655,0.390978,-0.231906,0.890705,-0.058784,0.959470,0.275613,-0.918521,-0.160118,0.361499,0.976537,-0.118747,0.179654,0.169640,0.938072,-0.302065,-0.132660,0.325454,0.936206,0.978727,0.202550,-0.032657,-0.192908,0.962715,0.189648,0.069853,-0.179314,0.981309,0.998554,0.027167,-0.046395,-0.029830,0.997887,-0.057715,0.044729,0.059016,0.997254,0.978877,0.152452,-0.136230,-0.135543,0.982749,0.125829,0.153063,-0.104706,0.982654,0.984696,-0.169918,0.038760,0.171565,0.905944,-0.387080,0.030657,0.387806,0.921231,0.999343,-0.030509,0.019583,0.032593,0.992620,-0.116807,-0.015875,0.117368,0.992962,0.999997,-0.000046,-0.002352,0.000044,1.000000,-0.000773,0.002352,0.000773,0.999997,0.999999,-0.000070,-0.001177,0.000070,1.000000,-0.000212,0.001177,0.000212,0.999999,0.999991,0.003099,0.002797,-0.002809,0.995167,-0.098160,-0.003088,0.098152,0.995167,1.000000,-0.000026,-0.000051,0.000026,1.000000,0.000029,0.000051,-0.000029,1.000000,1.000000,-0.000028,-0.000047,0.000028,1.000000,0.000018,0.000047,-0.000018,1.000000,0.980468,0.039919,-0.192585,-0.084903,0.969156,-0.231361,0.177409,0.243193,0.953616,0.982305,0.173027,0.071689,-0.166167,0.981738,-0.092620,-0.086406,0.079068,0.993117,0.966501,-0.241450,0.087054,0.249435,0.963533,-0.096881,-0.060488,0.115350,0.991482,0.978097,-0.072335,-0.195177,0.104566,0.981522,0.160252,0.179978,-0.177151,0.967587,0.741475,0.651073,-0.162231,-0.670584,0.710742,-0.212515,-0.023059,0.266364,0.963597,0.713206,-0.681634,0.163441,0.700904,0.690706,-0.177928,0.008392,0.241455,0.970376,0.816780,0.250477,-0.519742,-0.305502,0.951953,-0.021329,0.489428,0.176203,0.854057,0.930642,-0.010124,0.365790,0.174327,0.891160,-0.418859,-0.321737,0.453575,0.831117,1.000000,-0.000037,-0.000018,0.000037,1.000000,-0.000092,0.000018,0.000092,1.000000,1.000000,-0.000020,0.000030,0.000020,1.000000,0.000104,-0.000030,-0.000104,1.000000,1.000000,-0.000008,-0.000006,0.000008,1.000000,-0.000039,0.000006,0.000039,1.000000,1.000000,-0.000004,0.000011,0.000004,1.000000,0.000045,-0.000011,-0.000045,1.000000
28.216667,-0.006308,0.015790,0.014113,0.386147,-0.236751,0.891538,-0.063582,0.957372,0.281773,-0.920243,-0.165491,0.354633,0.974696,-0.120246,0.188439,0.175815,0.932988,-0.314043,-0.138049,0.339226,0.930520,0.981427,0.189526,-0.029684,-0.179413,0.961594,0.207720,0.067912,-0.198536,0.977738,0.998129,0.023569,-0.056414,-0.026852,0.997946,-0.058158,0.054928,0.059564,0.996712,0.979016,0.148108,-0.139973,-0.128654,0.981885,0.139106,0.158040,-0.118179,0.980335,0.983324,-0.179806,0.027267,0.177809,0.919070,-0.351702,0.038178,0.350685,0.935715,0.999327,-0.029496,0.021815,0.031655,0.993830,-0.106298,-0.018545,0.106917,0.994095,0.999998,-0.000049,-0.001881,0.000047,1.000000,-0.000732,0.001881,0.000732,0.999998,1.000000,-0.000068,-0.000481,0.000068,1.000000,-0.000022,0.000481,0.000022,1.000000,0.999985,0.004628,0.003073,-0.004270,0.994178,-0.107669,-0.003554,0.107654,0.994182,1.000000,-0.000027,-0.000060,0.000027,1.000000,0.000045,0.000060,-0.000045,1.000000,1.000000,-0.000029,-0.000059,0.000029,1.000000,0.000036,0.000059,-0.000036,1.000000,0.979954,0.039457,-0.195278,-0.083846,0.970838,-0.224598,0.180722,0.236469,0.954684,0.981833,0.168139,0.087935,-0.160332,0.983005,-0.089413,-0.101474,0.073690,0.992105,0.963807,-0.253091,0.083795,0.260318,0.961236,-0.090888,-0.057543,0.109412,0.992329,0.979205,-0.068007,-0.191136,0.099486,0.982049,0.160255,0.176806,-0.175938,0.968393,0.744250,0.640602,-0.189001,-0.667896,0.712753,-0.214238,-0.002530,0.285680,0.958322,0.725330,-0.661467,0.190679,0.688341,0.700558,-0.188162,-0.009119,0.267732,0.963450,0.822007,0.274198,-0.499120,-0.320483,0.947225,-0.007437,0.470740,0.166072,0.866501,0.933906,-0.005386,0.357478,0.169792,0.886611,-0.430223,-0.314626,0.462485,0.828926,1.000000,-0.000048,-0.000038,0.000048,1.000000,-0.000101,0.000038,0.000101,1.000000,1.000000,-0.000010,0.000041,0.000010,1.000000,0.000123,-0.000041,-0.000123,1.000000,1.000000,-0.000010,-0.000013,0.000010,1.000000,-0.000043,0.000013,0.000043,1.000000,1.000000,-0.000002,0.000015,0.000002,1.000000,0.000053,-0.000015,-0.000053,1.000000
28.233333,-0.005831,0.015683,0.015282,0.383884,-0.241621,0.891208,-0.066514,0.955414,0.287679,-0.920983,-0.169713,0.350697,0.973483,-0.121136,0.194055,0.179775,0.929688,-0.321500,-0.141466,0.347861,0.926812,0.984169,0.175082,-0.027518,-0.165003,0.961825,0.218329,0.064693,-0.210332,0.975487,0.997891,0.019608,-0.061883,-0.023521,0.997727,-0.063143,0.060504,0.064466,0.996084,0.979566,0.144825,-0.139556,-0.124972,0.981969,0.141844,0.157582,-0.121505,0.980002,0.982511,-0.185112,0.020117,0.181867,0.930840,-0.316956,0.039946,0.315072,0.948227,0.999357,-0.027764,0.022672,0.029803,0.995009,-0.095230,-0.019915,0.095845,0.995197,0.999999,-0.000048,-0.001273,0.000047,1.000000,-0.000697,0.001273,0.000697,0.999999,1.000000,-0.000066,-0.000187,0.000066,1.000000,0.000049,0.000187,-0.000049,1.000000,0.999978,0.005662,0.003414,-0.005233,0.993389,-0.114675,-0.004041,0.114654,0.993397,1.000000,-0.000026,-0.000032,0.000026,1.000000,0.000050,0.000032,-0.000050,1.000000,1.000000,-0.000028,-0.000033,0.000028,1.000000,0.000046,0.000033,-0.000046,1.000000,0.979032,0.041536,-0.199425,-0.085314,0.972602,-0.216256,0.184979,0.228736,0.955752,0.980366,0.170200,0.099570,-0.161436,0.982740,-0.090339,-0.113227,0.072492,0.990921,0.960760,-0.266365,0.077402,0.272557,0.958371,-0.085079,-0.051517,0.102836,0.993363,0.980657,-0.066046,-0.184254,0.095128,0.983519,0.153754,0.171062,-0.168308,0.970778,0.748128,0.628434,-0.213014,-0.663239,0.718098,-0.210830,0.020472,0.299006,0.954031,0.738237,-0.640187,0.212525,0.674089,0.711704,-0.197690,-0.024696,0.289202,0.956949,0.824252,0.295889,-0.482761,-0.333134,0.942836,0.009090,0.457854,0.153332,0.875705,0.933397,0.002160,0.358838,0.168207,0.880683,-0.442836,-0.316979,0.473701,0.821664,1.000000,-0.000055,-0.000034,0.000055,1.000000,-0.000052,0.000034,0.000052,1.000000,1.000000,0.000000,0.000058,-0.000000,1.000000,0.000076,-0.000058,-0.000076,1.000000,1.000000,-0.000011,-0.000011,0.000011,1.000000,-0.000022,0.000011,0.000022,1.000000,1.000000,0.000000,0.000020,-0.000000,1.000000,0.000032,-0.000020,-0.000032,1.000000
28.250000,-0.005255,0.016027,0.016316,0.378933,-0.246832,0.891899,-0.067923,0.953755,0.292809,-0.922928,-0.171535,0.344644,0.972881,-0.121960,0.196541,0.182019,0.927979,-0.325153,-0.142730,0.352109,0.925012,0.986435,0.161766,-0.027888,-0.151542,0.962720,0.224065,0.063094,-0.216799,0.974175,0.997717,0.017407,-0.065248,-0.022015,0.997263,-0.070584,0.063841,0.071859,0.995370,0.980047,0.143842,-0.137178,-0.124966,0.982585,0.137515,0.154570,-0.117628,0.980955,0.982078,-0.187845,0.015398,0.184369,0.940509,-0.285395,0.039128,0.283119,0.958286,0.999439,-0.025868,0.021296,0.027558,0.996139,-0.083353,-0.019058,0.083893,0.996292,1.000000,-0.000068,-0.000952,0.000068,1.000000,0.000326,0.000952,-0.000326,1.000000,1.000000,-0.000065,-0.000123,0.000065,1.000000,0.000085,0.000123,-0.000085,1.000000,0.999980,0.005903,0.002335,-0.005582,0.992825,-0.119443,-0.003024,0.119428,0.992838,1.000000,-0.000027,-0.000039,0.000027,1.000000,0.000058,0.000039,-0.000058,1.000000,1.000000,-0.000028,-0.000041,0.000028,1.000000,0.000056,0.000041,-0.000056,1.000000,0.977428,0.046638,-0.206056,-0.090524,0.973714,-0.209015,0.190892,0.222950,0.955957,0.978585,0.175265,0.107948,-0.165363,0.981669,-0.094772,-0.122579,0.074892,0.989629,0.957878,-0.279059,0.067788,0.284001,0.955520,-0.079531,-0.042579,0.095432,0.994525,0.982055,-0.065280,-0.176934,0.091303,0.985477,0.143174,0.165018,-0.156759,0.973753,0.753532,0.614739,-0.232993,-0.656039,0.726035,-0.206123,0.042449,0.308172,0.950383,0.749618,-0.621058,0.228822,0.660808,0.721852,-0.205578,-0.037500,0.305313,0.951513,0.822947,0.316584,-0.471735,-0.346536,0.937710,0.024766,0.450191,0.143092,0.881393,0.930855,0.010604,0.365234,0.169073,0.873630,-0.456273,-0.323918,0.486475,0.811430,1.000000,-0.000061,-0.000045,0.000061,1.000000,-0.000059,0.000045,0.000059,1.000000,1.000000,0.000006,0.000064,-0.000006,1.000000,0.000088,-0.000064,-0.000088,1.000000,1.000000,-0.000013,-0.000015,0.000013,1.000000,-0.000026,0.000015,0.000026,1.000000,1.000000,0.000002,0.000022,-0.000002,1.000000,0.000038,-0.000022,-0.000038,1.000000
