t_s,tran_x,tran_y,tran_z,j0_r00,j0_r01,j0_r02,j0_r10,j0_r11,j0_r12,j0_r20,j0_r21,j0_r22,j1_r00,j1_r01,j1_r02,j1_r10,j1_r11,j1_r12,j1_r20,j1_r21,j1_r22,j2_r00,j2_r01,j2_r02,j2_r10,j2_r11,j2_r12,j2_r20,j2_r21,j2_r22,j3_r00,j3_r01,j3_r02,j3_r10,j3_r11,j3_r12,j3_r20,j3_r21,j3_r22,j4_r00,j4_r01,j4_r02,j4_r10,j4_r11,j4_r12,j4_r20,j4_r21,j4_r22,j5_r00,j5_r01,j5_r02,j5_r10,j5_r11,j5_r12,j5_r20,j5_r21,j5_r22,j6_r00,j6_r01,j6_r02,j6_r10,j6_r11,j6_r12,j6_r20,j6_r21,j6_r22,j7_r00,j7_r01,j7_r02,j7_r10,j7_r11,j7_r12,j7_r20,j7_r21,j7_r22,j8_r00,j8_r01,j8_r02,j8_r10,j8_r11,j8_r12,j8_r20,j8_r21,j8_r22,j9_r00,j9_r01,j9_r02,j9_r10,j9_r11,j9_r12,j9_r20,j9_r21,j9_r22,j10_r00,j10_r01,j10_r02,j10_r10,j10_r11,j10_r12,j10_r20,j10_r21,j10_r22,j11_r00,j11_r01,j11_r02,j11_r10,j11_r11,j11_r12,j11_r20,j11_r21,j11_r22,j12_r00,j12_r01,j12_r02,j12_r10,j12_r11,j12_r12,j12_r20,j12_r21,j12_r22,j13_r00,j13_r01,j13_r02,j13_r10,j13_r11,j13_r12,j13_r20,j13_r21,j13_r22,j14_r00,j14_r01,j14_r02,j14_r10,j14_r11,j14_r12,j14_r20,j14_r21,j14_r22,j15_r00,j15_r01,j15_r02,j15_r10,j15_r11,j15_r12,j15_r20,j15_r21,j15_r22,j16_r00,j16_r01,j16_r02,j16_r10,j16_r11,j16_r12,j16_r20,j16_r21,j16_r22,j17_r00,j17_r01,j17_r02,j17_r10,j17_r11,j17_r12,j17_r20,j17_r21,j17_r22,j18_r00,j18_r01,j18_r02,j18_r10,j18_r11,j18_r12,j18_r20,j18_r21,j18_r22,j19_r00,j19_r01,j19_r02,j19_r10,j19_r11,j19_r12,j19_r20,j19_r21,j19_r22,j20_r00,j20_r01,j20_r02,j20_r10,j20_r11,j20_r12,j20_r20,j20_r21,j20_r22,j21_r00,j21_r01,j21_r02,j21_r10,j21_r11,j21_r12,j21_r20,j21_r21,j21_r22,j22_r00,j22_r01,j22_r02,j22_r10,j22_r11,j22_r12,j22_r20,j22_r21,j22_r22,j23_r00,j23_r01,j23_r02,j23_r10,j23_r11,j23_r12,j23_r20,j23_r21,j23_r22
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.966481,-0.256737,0.000307,0.254945,0.959595,-0.119084,0.030279,0.115171,0.992884,0.993799,-0.048833,0.099898,0.036991,0.992427,0.117136,-0.104861,-0.112714,0.988079,0.998750,0.044052,-0.023610,-0.029687,0.902896,0.428832,0.040208,-0.427595,0.903076,0.962416,0.170253,0.211586,-0.151442,0.983162,-0.102260,-0.225434,0.066374,0.971995,0.983555,-0.041473,-0.175780,0.000835,0.974311,-0.225206,0.180605,0.221355,0.958323,0.989614,-0.030321,-0.140513,0.010196,0.989845,-0.141786,0.143385,0.138881,0.979874,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.996817,0.079505,-0.005886,-0.078748,0.993450,0.082798,0.012430,-0.082071,0.996549,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.976762,-0.214208,0.007110,0.204865,0.942878,0.262702,-0.062977,-0.255141,0.964851,0.825184,0.564343,-0.024244,-0.562010,0.824567,0.065065,0.056710,-0.040065,0.997586,0.728045,-0.678049,0.100995,0.685273,0.723860,-0.080173,-0.018745,0.127578,0.991652,0.994713,0.004920,0.102572,0.041524,0.894278,-0.445580,-0.093921,0.447484,0.889346,0.383761,0.922481,-0.041897,-0.908493,0.385292,0.161835,0.165432,-0.024043,0.985928,0.406644,-0.890498,0.204093,0.868632,0.446078,0.215623,-0.283053,0.089600,0.954910,0.497990,-0.798629,0.337930,0.723188,0.167425,-0.670050,0.478544,0.578066,0.660936,0.770331,0.547828,-0.326306,-0.443382,0.092421,-0.891555,-0.458261,0.831471,0.314092,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
0.017000,0.002409,0.013676,-0.007591,0.999721,0.023383,0.003389,-0.023426,0.999640,0.013086,-0.003081,-0.013162,0.999909,0.960200,-0.279307,0.001659,0.277749,0.954182,-0.111323,0.029511,0.107353,0.993783,0.984616,-0.115734,0.130912,0.091570,0.979847,0.177525,-0.148819,-0.162806,0.975370,0.998684,0.040266,-0.031774,-0.024334,0.917254,0.397558,0.045153,-0.396262,0.917027,0.976381,0.161336,0.143705,-0.146513,0.983249,-0.108420,-0.158790,0.084805,0.983664,0.985169,0.000736,-0.171583,-0.047241,0.962506,-0.267117,0.164953,0.271261,0.948266,0.989926,-0.031268,-0.138089,0.011670,0.990010,-0.140515,0.141103,0.137488,0.980402,0.999962,0.000434,0.008710,0.000116,0.998008,-0.063088,-0.008720,0.063086,0.997970,0.999988,0.000912,0.004825,-0.001353,0.995734,0.092259,-0.004721,-0.092264,0.995723,0.997692,0.056022,-0.038362,-0.053247,0.996132,0.069897,0.042129,-0.067693,0.996816,1.000000,-0.000307,0.000157,0.000307,1.000000,0.000171,-0.000157,-0.000171,1.000000,1.000000,-0.000329,0.000108,0.000329,1.000000,-0.000014,-0.000108,0.000014,1.000000,0.966985,-0.254666,0.009196,0.237391,0.913336,0.330852,-0.092655,-0.317746,0.943638,0.828827,0.554367,-0.075647,-0.555534,0.831468,0.006573,0.066542,0.036577,0.997113,0.701155,-0.708283,0.081958,0.713008,0.696294,-0.082429,0.001316,0.116233,0.993221,0.998755,0.028858,0.040703,-0.002798,0.846882,-0.531773,-0.049816,0.530997,0.845908,0.305362,0.952030,-0.019835,-0.914251,0.298941,0.273457,0.266269,-0.065369,0.961680,0.442853,-0.873587,0.201810,0.852718,0.479924,0.206266,-0.277045,0.080741,0.957459,0.550844,-0.750603,0.364920,0.753965,0.260024,-0.603261,0.357921,0.607440,0.709161,0.784716,0.528352,-0.324138,-0.411300,0.052606,-0.909981,-0.463738,0.847394,0.258592,1.000000,-0.000425,0.000103,0.000425,1.000000,-0.000592,-0.000103,0.000592,1.000000,1.000000,-0.000126,0.000365,0.000125,1.000000,0.000658,-0.000365,-0.000658,1.000000,1.000000,-0.000087,0.000040,0.000087,1.000000,-0.000256,-0.000040,0.000256,1.000000,1.000000,-0.000025,0.000128,0.000025,1.000000,0.000283,-0.000128,-0.000283,1.000000
0.033000,0.005187,0.012295,-0.016218,0.999401,0.029470,0.018125,-0.029998,0.999111,0.029623,-0.017236,-0.030149,0.999397,0.950256,-0.311352,-0.008545,0.309256,0.946414,-0.093067,0.037064,0.085795,0.995623,0.975105,-0.162984,0.150352,0.125808,0.964991,0.230141,-0.182597,-0.205496,0.961473,0.998352,0.057345,0.002041,-0.054437,0.935283,0.349688,0.018143,-0.349223,0.936864,0.970569,0.209639,0.118519,-0.190129,0.969097,-0.157166,-0.147804,0.130007,0.980435,0.981907,0.042406,-0.184553,-0.096787,0.950069,-0.296650,0.162759,0.309145,0.936984,0.993367,-0.025317,-0.112168,0.006897,0.986823,-0.161653,0.114782,0.159807,0.980452,0.999976,0.001592,0.006790,-0.001190,0.998267,-0.058829,-0.006872,0.058819,0.998245,0.999997,0.001428,0.002101,-0.001527,0.998843,0.048074,-0.002029,-0.048078,0.998842,0.997927,0.030499,-0.056677,-0.027559,0.998269,0.051952,0.058163,-0.050283,0.997040,1.000000,0.000221,-0.000199,-0.000221,1.000000,0.000094,0.000199,-0.000094,1.000000,1.000000,0.000242,-0.000101,-0.000242,1.000000,0.000150,0.000101,-0.000150,1.000000,0.962570,-0.268646,0.035894,0.240319,0.907208,0.345282,-0.125322,-0.323732,0.937812,0.777339,0.604688,-0.173482,-0.616402,0.787225,-0.018028,0.125668,0.120948,0.984672,0.651599,-0.751105,0.106114,0.757677,0.651199,-0.043189,-0.036662,0.108542,0.993416,0.999058,0.028813,-0.032456,-0.040834,0.877399,-0.478021,0.014704,0.478896,0.877749,0.329676,0.943541,-0.032294,-0.887716,0.321451,0.329590,0.321363,-0.079990,0.943572,0.536395,-0.837239,0.106357,0.812806,0.546399,0.201976,-0.227216,-0.021891,0.973598,0.517422,-0.781917,0.347679,0.757365,0.229316,-0.611401,0.398337,0.579672,0.710850,0.738189,0.637213,-0.221442,-0.428827,0.189850,-0.883213,-0.520754,0.746938,0.413399,1.000000,0.000119,-0.000360,-0.000119,1.000000,0.000436,0.000360,-0.000436,1.000000,1.000000,0.000387,-0.000334,-0.000387,1.000000,-0.000359,0.000333,0.000359,1.000000,1.000000,0.000037,-0.000114,-0.000037,1.000000,0.000191,0.000114,-0.000191,1.000000,1.000000,0.000061,-0.000107,-0.000061,1.000000,-0.000150,0.000107,0.000150,1.000000
0.050000,0.008800,0.009397,-0.020184,0.999005,0.026303,0.036027,-0.027555,0.999018,0.034709,-0.035079,-0.035667,0.998748,0.944124,-0.325537,-0.051528,0.320691,0.943421,-0.084347,0.076071,0.063109,0.995103,0.973196,-0.177175,0.146623,0.136781,0.958457,0.250301,-0.184879,-0.223537,0.957001,0.997443,0.064262,0.031268,-0.070919,0.944034,0.322135,-0.008817,-0.323529,0.946177,0.958139,0.251395,0.137004,-0.222162,0.954675,-0.198089,-0.180593,0.159359,0.970562,0.975383,0.064860,-0.210763,-0.123716,0.952133,-0.279531,0.182544,0.298725,0.936718,0.996140,-0.020754,-0.085294,0.005888,0.985260,-0.170965,0.087585,0.169803,0.981578,0.999990,0.001022,0.004302,-0.000855,0.999256,-0.038546,-0.004338,0.038542,0.999248,0.999999,0.000838,0.001138,-0.000868,0.999652,0.026363,-0.001115,-0.026364,0.999652,0.998276,0.013193,-0.057185,-0.011144,0.999290,0.035997,0.057619,-0.035298,0.997714,1.000000,0.000139,-0.000083,-0.000139,1.000000,-0.000078,0.000083,0.000078,1.000000,1.000000,0.000154,-0.000016,-0.000154,1.000000,-0.000048,0.000016,0.000048,1.000000,0.965875,-0.255807,0.040599,0.229786,0.918636,0.321414,-0.119515,-0.301117,0.946068,0.724089,0.653550,-0.220380,-0.671678,0.740775,-0.010077,0.156666,0.155321,0.975362,0.636987,-0.762643,0.112353,0.768409,0.639817,-0.013489,-0.061598,0.094926,0.993577,0.995109,0.042792,-0.089028,-0.074108,0.919321,-0.386466,0.065308,0.391174,0.917997,0.373694,0.927254,-0.023513,-0.864090,0.357230,0.354592,0.337196,-0.112192,0.934726,0.584042,-0.810384,-0.046611,0.796126,0.560672,0.227664,-0.158362,-0.170074,0.972623,0.511994,-0.798055,0.317758,0.721059,0.198253,-0.663904,0.466835,0.569038,0.676950,0.692567,0.712262,-0.114167,-0.440846,0.292646,-0.848536,-0.570969,0.637998,0.516674,1.000000,0.000187,-0.000080,-0.000187,1.000000,0.000228,0.000080,-0.000228,1.000000,1.000000,0.000100,-0.000192,-0.000100,1.000000,-0.000315,0.000192,0.000315,1.000000,1.000000,0.000042,-0.000028,-0.000042,1.000000,0.000100,0.000028,-0.000100,1.000000,1.000000,0.000015,-0.000063,-0.000015,1.000000,-0.000134,0.000063,0.000134,1.000000
0.067000,0.010561,0.009294,-0.021571,0.998427,0.019979,0.052378,-0.021661,0.999261,0.031746,-0.051705,-0.032831,0.998123,0.939200,-0.327906,-0.101885,0.321161,0.943872,-0.077215,0.121486,0.039799,0.991795,0.975725,-0.172589,0.134812,0.133705,0.956996,0.257452,-0.173448,-0.233177,0.956841,0.996560,0.065911,0.050230,-0.078349,0.946848,0.311994,-0.026997,-0.314856,0.948755,0.945458,0.282000,0.163052,-0.239994,0.941478,-0.236689,-0.220256,0.184648,0.957806,0.968000,0.069274,-0.241201,-0.134504,0.954650,-0.265618,0.211862,0.289560,0.933418,0.997821,-0.018408,-0.063362,0.007160,0.984833,-0.173360,0.065592,0.172528,0.982818,0.999999,0.000387,0.001347,-0.000365,0.999871,-0.016038,-0.001353,0.016037,0.999870,1.000000,0.000221,0.000802,-0.000231,0.999931,0.011720,-0.000799,-0.011720,0.999931,0.998749,0.010597,-0.048877,-0.009299,0.999600,0.026701,0.049140,-0.026213,0.998448,1.000000,0.000040,0.000130,-0.000040,1.000000,0.000077,-0.000130,-0.000077,1.000000,1.000000,0.000005,0.000145,-0.000005,1.000000,0.000089,-0.000145,-0.000089,1.000000,0.970480,-0.239068,0.031853,0.219247,0.929526,0.296501,-0.100492,-0.280765,0.954501,0.685406,0.690406,-0.231426,-0.710204,0.703989,-0.003199,0.160712,0.166552,0.972847,0.641912,-0.761069,0.093397,0.764429,0.644708,-0.000309,-0.059979,0.071594,0.995629,0.988343,0.051792,-0.143162,-0.095519,0.943197,-0.318208,0.118550,0.328173,0.937149,0.412989,0.910482,-0.021513,-0.844432,0.391663,0.365424,0.341138,-0.132750,0.930592,0.600761,-0.774301,-0.198854,0.793386,0.546955,0.267168,-0.098104,-0.318273,0.942909,0.513551,-0.805489,0.295725,0.690316,0.183146,-0.699943,0.509636,0.563600,0.650097,0.653452,0.755944,-0.039355,-0.443686,0.340371,-0.829030,-0.613305,0.559193,0.557817,1.000000,-0.000121,0.000114,0.000121,1.000000,0.000140,-0.000114,-0.000140,1.000000,1.000000,-0.000001,0.000215,0.000001,1.000000,-0.000084,-0.000215,0.000084,1.000000,1.000000,-0.000022,0.000035,0.000022,1.000000,0.000061,-0.000035,-0.000061,1.000000,1.000000,-0.000001,0.000071,0.000001,1.000000,-0.000036,-0.000071,0.000036,1.000000
0.083000,0.010698,0.009559,-0.022767,0.997909,0.014282,0.063044,-0.015860,0.999571,0.024612,-0.062666,-0.025560,0.997707,0.935179,-0.326226,-0.137900,0.320244,0.945159,-0.064181,0.151275,0.015859,0.988365,0.977704,-0.166406,0.128076,0.127164,0.954566,0.269506,-0.167104,-0.247210,0.954444,0.996364,0.060566,0.059927,-0.076189,0.948186,0.308445,-0.038140,-0.311890,0.949353,0.939928,0.289437,0.181001,-0.236727,0.934656,-0.265289,-0.245958,0.206505,0.947027,0.963458,0.064616,-0.259948,-0.136562,0.953362,-0.269168,0.230432,0.294831,0.927349,0.998854,-0.011613,-0.046429,0.003466,0.985118,-0.171846,0.047734,0.171488,0.984029,1.000000,0.000119,0.000524,-0.000116,0.999986,-0.005334,-0.000524,0.005334,0.999986,1.000000,0.000064,0.000385,-0.000066,0.999986,0.005272,-0.000385,-0.005272,0.999986,0.999075,0.018788,-0.038673,-0.018100,0.999673,0.018082,0.039000,-0.017365,0.999088,1.000000,0.000009,0.000079,-0.000009,1.000000,0.000036,-0.000079,-0.000036,1.000000,1.000000,-0.000013,0.000080,0.000013,1.000000,0.000040,-0.000080,-0.000040,1.000000,0.974437,-0.224140,0.015275,0.211298,0.937458,0.276634,-0.076324,-0.266335,0.960854,0.663571,0.713238,-0.225755,-0.733087,0.680107,-0.006103,0.149185,0.169548,0.974165,0.659937,-0.749267,0.055525,0.750254,0.661135,0.004428,-0.040027,0.038736,0.998447,0.980539,0.051049,-0.189570,-0.103553,0.954840,-0.278490,0.166793,0.292701,0.941545,0.437948,0.898641,-0.025431,-0.830890,0.415407,0.370215,0.343254,-0.141005,0.928598,0.598849,-0.738281,-0.310357,0.799437,0.527961,0.286631,-0.047758,-0.419759,0.906378,0.505994,-0.818835,0.271070,0.672340,0.177571,-0.718629,0.540304,0.545873,0.640386,0.622815,0.782199,0.016316,-0.441915,0.368924,-0.817683,-0.645610,0.502055,0.575437,1.000000,-0.000079,0.000081,0.000079,1.000000,0.000040,-0.000081,-0.000040,1.000000,1.000000,-0.000038,0.000126,0.000038,1.000000,-0.000013,-0.000126,0.000013,1.000000,1.000000,-0.000015,0.000026,0.000015,1.000000,0.000018,-0.000026,-0.000018,1.000000,1.000000,-0.000007,0.000042,0.000007,1.000000,-0.000006,-0.000042,0.000006,1.000000
0.100000,0.010228,0.008875,-0.024385,0.997549,0.008657,0.069433,-0.009852,0.999809,0.016893,-0.069273,-0.017535,0.997444,0.934308,-0.317322,-0.162403,0.314218,0.948277,-0.045148,0.168330,-0.008848,0.985691,0.978411,-0.163160,0.126846,0.121327,0.950345,0.286575,-0.167305,-0.264998,0.949624,0.996499,0.052843,0.064783,-0.070327,0.948845,0.307812,-0.045203,-0.311290,0.949239,0.939808,0.283660,0.190521,-0.222748,0.931386,-0.287931,-0.259123,0.228162,0.938508,0.961623,0.058912,-0.267975,-0.136472,0.949990,-0.280880,0.238027,0.306672,0.921572,0.999450,-0.002979,-0.033035,-0.002700,0.985347,-0.170538,0.033059,0.170533,0.984797,1.000000,-0.000062,0.000012,0.000062,0.999998,-0.001865,-0.000012,0.001865,0.999998,1.000000,0.000009,0.000034,-0.000009,0.999992,0.003905,-0.000034,-0.003905,0.999992,0.999106,0.029789,-0.030005,-0.029559,0.999530,0.008093,0.030232,-0.007199,0.999517,1.000000,-0.000040,-0.000060,0.000040,1.000000,-0.000014,0.000060,0.000014,1.000000,1.000000,-0.000027,-0.000073,0.000027,1.000000,-0.000025,0.000073,0.000025,1.000000,0.976907,-0.213662,0.000939,0.206131,0.943612,0.259050,-0.056235,-0.252874,0.965864,0.653565,0.725526,-0.215554,-0.744828,0.667132,-0.012860,0.134473,0.168956,0.976407,0.679858,-0.733207,0.014198,0.733209,0.679977,0.006058,-0.014096,0.006292,0.999881,0.973659,0.043189,-0.223882,-0.101681,0.961101,-0.256801,0.204082,0.272801,0.940176,0.451636,0.891720,-0.029335,-0.823218,0.429168,0.371655,0.344001,-0.143704,0.927908,0.589787,-0.710787,-0.383319,0.807516,0.514163,0.289058,-0.008369,-0.480019,0.877218,0.496979,-0.832070,0.246314,0.662817,0.180787,-0.726629,0.560076,0.524381,0.641358,0.604441,0.794570,0.057529,-0.434625,0.389422,-0.812066,-0.667646,0.465842,0.580723,1.000000,0.000034,-0.000053,-0.000034,1.000000,-0.000130,0.000053,0.000130,1.000000,1.000000,-0.000048,-0.000101,0.000048,1.000000,0.000107,0.000101,-0.000107,1.000000,1.000000,0.000005,-0.000019,-0.000005,1.000000,-0.000056,0.000019,0.000056,1.000000,1.000000,-0.000007,-0.000033,0.000007,1.000000,0.000045,0.000033,-0.000045,1.000000
0.117000,0.009143,0.007697,-0.026696,0.997245,0.002108,0.074155,-0.002813,0.999952,0.009394,-0.074132,-0.009577,0.997203,0.935681,-0.302524,-0.181607,0.303451,0.952561,-0.023341,0.180053,-0.033269,0.983094,0.978534,-0.161675,0.127800,0.116022,0.944693,0.306747,-0.170325,-0.285335,0.943172,0.996602,0.046614,0.067903,-0.065451,0.948694,0.309348,-0.049999,-0.312742,0.948521,0.941407,0.273324,0.197604,-0.205749,0.929643,-0.305665,-0.267247,0.247098,0.931408,0.960730,0.054949,-0.271991,-0.137958,0.945056,-0.296373,0.240762,0.322258,0.915524,0.999756,0.005942,-0.021288,-0.009517,0.985055,-0.171975,0.019948,0.172136,0.984871,1.000000,-0.000132,-0.000243,0.000132,1.000000,-0.000714,0.000243,0.000714,1.000000,1.000000,-0.000007,-0.000170,0.000008,0.999995,0.003041,0.000170,-0.003041,0.999995,0.998928,0.040440,-0.022542,-0.040523,0.999173,-0.003234,0.022392,0.004144,0.999741,1.000000,-0.000061,-0.000148,0.000061,1.000000,-0.000029,0.000148,0.000029,1.000000,1.000000,-0.000028,-0.000164,0.000028,1.000000,-0.000045,0.000164,0.000045,1.000000,0.978532,-0.205888,-0.009243,0.201897,0.948625,0.243615,-0.041389,-0.240252,0.969828,0.651412,0.730111,-0.206398,-0.748736,0.662588,-0.019249,0.122703,0.167077,0.978279,0.698198,-0.715621,-0.020162,0.715852,0.698211,0.007548,0.008676,-0.019703,0.999768,0.968099,0.031767,-0.248545,-0.094091,0.965428,-0.243097,0.232230,0.258728,0.937619,0.458764,0.888007,-0.031299,-0.819076,0.436283,0.372520,0.344456,-0.145263,0.927496,0.578599,-0.692932,-0.430197,0.815385,0.503883,0.285043,0.019254,-0.515702,0.856552,0.491632,-0.841278,0.224831,0.655310,0.187396,-0.731746,0.573469,0.507084,0.643427,0.596439,0.798200,0.084476,-0.424328,0.402895,-0.810938,-0.681326,0.447830,0.579001,1.000000,0.000102,-0.000146,-0.000102,1.000000,-0.000213,0.000146,0.000213,1.000000,1.000000,-0.000033,-0.000233,0.000033,1.000000,0.000177,0.000233,-0.000177,1.000000,1.000000,0.000017,-0.000050,-0.000017,1.000000,-0.000092,0.000050,0.000092,1.000000,1.000000,-0.000002,-0.000077,0.000002,1.000000,0.000075,0.000077,-0.000075,1.000000
0.133000,0.007536,0.006080,-0.029733,0.996834,-0.004981,0.079355,0.004815,0.999986,0.002287,-0.079365,-0.001898,0.996844,0.938180,-0.283943,-0.197975,0.289422,0.957201,-0.001318,0.189876,-0.056062,0.980206,0.978234,-0.161171,0.130702,0.110545,0.937814,0.329068,-0.175611,-0.307457,0.935217,0.996572,0.042654,0.070889,-0.062776,0.947964,0.312126,-0.053887,-0.315506,0.947392,0.943205,0.262000,0.204254,-0.189177,0.929003,-0.318064,-0.273086,0.261359,0.925805,0.959487,0.052156,-0.276885,-0.141456,0.939061,-0.313298,0.243671,0.339772,0.908394,0.999846,0.013920,-0.010681,-0.015582,0.984295,-0.175842,0.008065,0.175981,0.984361,1.000000,-0.000139,-0.000330,0.000139,1.000000,-0.000336,0.000330,0.000336,1.000000,1.000000,-0.000014,-0.000273,0.000015,0.999998,0.001821,0.000273,-0.001821,0.999998,0.998639,0.049570,-0.016203,-0.049825,0.998634,-0.015728,0.015402,0.016514,0.999745,1.000000,-0.000061,-0.000178,0.000061,1.000000,-0.000036,0.000178,0.000036,1.000000,1.000000,-0.000022,-0.000191,0.000022,1.000000,-0.000052,0.000191,0.000052,1.000000,0.979933,-0.198628,-0.016656,0.197053,0.952795,0.230979,-0.030009,-0.229626,0.972816,0.653873,0.729683,-0.200029,-0.747807,0.663474,-0.024224,0.115038,0.165422,0.979490,0.715223,-0.697391,-0.045843,0.698415,0.715626,0.009854,0.025934,-0.039065,0.998900,0.963520,0.019367,-0.266933,-0.084174,0.968694,-0.233551,0.254053,0.247500,0.934987,0.463329,0.885621,-0.031666,-0.816011,0.440302,0.374513,0.345619,-0.147683,0.926681,0.567136,-0.682361,-0.461238,0.822751,0.495154,0.279114,0.037928,-0.537779,0.842232,0.490202,-0.847048,0.205454,0.644044,0.193183,-0.740195,0.587290,0.495166,0.640235,0.595724,0.797301,0.097078,-0.413751,0.408224,-0.813734,-0.688421,0.444594,0.573073,1.000000,0.000134,-0.000170,-0.000134,1.000000,-0.000229,0.000170,0.000229,1.000000,1.000000,-0.000021,-0.000276,0.000021,1.000000,0.000183,0.000276,-0.000183,1.000000,1.000000,0.000023,-0.000058,-0.000023,1.000000,-0.000099,0.000058,0.000099,1.000000,1.000000,0.000001,-0.000091,-0.000001,1.000000,0.000077,0.000091,-0.000077,1.000000
0.150000,0.005466,0.004052,-0.033327,0.996161,-0.012155,0.086692,0.012564,0.999912,-0.004182,-0.086633,0.005255,0.996226,0.941172,-0.263253,-0.211878,0.273281,0.961747,0.018981,0.198776,-0.075767,0.977112,0.977554,-0.160890,0.136023,0.104100,0.930163,0.352079,-0.183170,-0.330016,0.926034,0.996419,0.040840,0.074030,-0.062241,0.946935,0.315342,-0.057223,-0.318821,0.946086,0.945022,0.250544,0.210148,-0.174210,0.929580,-0.324857,-0.276740,0.270387,0.922120,0.957710,0.048755,-0.283574,-0.145032,0.932984,-0.329405,0.248509,0.356601,0.900599,0.999790,0.020441,-0.001209,-0.020322,0.983304,-0.180834,-0.002508,0.180821,0.983513,1.000000,-0.000123,-0.000361,0.000123,1.000000,-0.000254,0.000361,0.000254,1.000000,1.000000,-0.000012,-0.000353,0.000012,1.000000,0.000441,0.000353,-0.000441,1.000000,0.998308,0.057063,-0.011152,-0.057362,0.997943,-0.028634,0.009495,0.029225,0.999528,1.000000,-0.000053,-0.000187,0.000053,1.000000,-0.000062,0.000187,0.000062,1.000000,1.000000,-0.000010,-0.000197,0.000010,1.000000,-0.000075,0.000197,0.000075,1.000000,0.981394,-0.190666,-0.022646,0.190931,0.956634,0.219994,-0.020282,-0.220224,0.975238,0.658513,0.726477,-0.196449,-0.744393,0.667150,-0.028116,0.110636,0.164750,0.980111,0.731494,-0.678775,-0.064660,0.680745,0.732412,0.012641,0.038777,-0.053264,0.997827,0.959664,0.007480,-0.281049,-0.073950,0.971162,-0.226662,0.271249,0.238303,0.932543,0.468381,0.882921,-0.032700,-0.811853,0.444692,0.378342,0.348588,-0.150660,0.925088,0.556122,-0.676417,-0.482897,0.829540,0.487357,0.272664,0.050909,-0.552217,0.832145,0.492190,-0.850589,0.185063,0.627058,0.198986,-0.753129,0.603778,0.486727,0.631307,0.600597,0.793530,0.097946,-0.403846,0.406797,-0.819405,-0.690066,0.452578,0.564785,1.000000,0.000167,-0.000153,-0.000167,1.000000,-0.000232,0.000153,0.000232,1.000000,1.000000,-0.000019,-0.000301,0.000019,1.000000,0.000145,0.000301,-0.000145,1.000000,1.000000,0.000030,-0.000053,-0.000030,1.000000,-0.000100,0.000053,0.000100,1.000000,1.000000,0.000001,-0.000100,-0.000001,1.000000,0.000061,0.000100,-0.000061,1.000000
