timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,eeg_delta,eeg_theta,eeg_alpha,eeg_beta,eeg_gamma
2025-06-01T15:00:00.000,0.000,0,HEAD,Head_main,0x09,2,0,+0.016,-0.958,+0.068,+0.5,-0.1,+1.0,+0.040,-0.958,+0.046,29.04,0.357,0.203,0.220,0.141,0.079
2025-06-01T15:00:00.255,0.255,1,HEAD,Head_main,0x09,2,1,+0.003,-0.966,+0.051,+1.1,-0.9,+1.5,+0.006,-0.982,+0.062,28.99,0.342,0.208,0.215,0.168,0.067
2025-06-01T15:00:00.510,0.510,2,HEAD,Head_main,0x09,2,2,-0.010,-0.966,+0.071,+1.4,-0.2,+3.2,-0.007,-0.958,+0.070,29.12,0.348,0.194,0.203,0.152,0.102
2025-06-01T15:00:00.765,0.765,3,HEAD,Head_main,0x09,2,3,-0.006,-0.963,+0.057,+1.5,+0.0,-2.0,-0.009,-0.947,+0.059,28.95,0.342,0.195,0.232,0.146,0.085
2025-06-01T15:00:01.020,1.020,4,HEAD,Head_main,0x09,2,4,+0.008,-0.989,+0.047,+0.1,+0.6,-1.7,-0.002,-1.004,+0.036,28.93,0.347,0.200,0.234,0.142,0.078
2025-06-01T15:00:01.275,1.275,5,HEAD,Head_main,0x09,2,5,-0.014,-0.985,+0.047,+0.6,-0.0,-2.0,+0.012,-0.992,+0.079,29.01,0.338,0.200,0.230,0.156,0.076
2025-06-01T15:00:01.530,1.530,6,HEAD,Head_main,0x09,2,6,-0.022,-0.956,+0.054,+0.9,+0.6,+1.4,-0.014,-0.938,+0.034,29.07,0.349,0.188,0.213,0.146,0.104
2025-06-01T15:00:01.785,1.785,7,HEAD,Head_main,0x09,2,7,-0.009,-0.979,+0.062,-1.1,-2.0,+2.5,-0.041,-1.009,+0.054,29.00,0.344,0.187,0.218,0.147,0.104
2025-06-01T15:00:02.040,2.040,8,HEAD,Head_main,0x09,2,8,+0.017,-0.971,+0.046,+1.8,-2.5,+1.7,+0.018,-0.953,+0.052,29.05,0.359,0.193,0.228,0.147,0.073
2025-06-01T15:00:02.295,2.295,9,HEAD,Head_main,0x09,2,9,+0.007,-0.981,+0.029,-1.0,+1.7,+0.2,+0.007,-0.987,-0.027,28.97,0.351,0.184,0.228,0.153,0.084
2025-06-01T15:00:02.550,2.550,10,HEAD,Head_main,0x09,2,10,-0.008,-0.988,+0.051,+1.4,+1.8,+2.9,-0.020,-1.008,+0.045,28.94,0.353,0.193,0.214,0.145,0.095
2025-06-01T15:00:02.805,2.805,11,HEAD,Head_main,0x09,2,11,+0.013,-0.967,+0.072,+0.9,+2.0,+2.8,+0.014,-0.940,+0.068,29.07,0.349,0.195,0.222,0.165,0.069
2025-06-01T15:00:03.060,3.060,12,HEAD,Head_main,0x09,2,12,+0.004,-0.992,+0.059,+1.5,+3.8,-2.1,-0.030,-0.969,+0.082,29.08,0.371,0.191,0.222,0.141,0.075
2025-06-01T15:00:03.315,3.315,13,HEAD,Head_main,0x09,2,13,+0.022,-0.967,+0.054,-0.6,+0.1,-2.8,+0.036,-0.983,+0.086,29.08,0.343,0.204,0.219,0.140,0.095
2025-06-01T15:00:03.570,3.570,14,HEAD,Head_main,0x09,2,14,-0.004,-0.978,+0.045,+1.5,+1.4,+0.3,+0.041,-0.966,-0.015,28.98,0.355,0.199,0.214,0.157,0.075
