timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WB,L_Elbow,0x01,2,0,0.501,+0.103,-0.982,+0.059,+2.1,-3.6,+2.8,+0.104,-0.980,+0.041,29.04
2025-06-01T15:00:00.255,0.255,1,WB,L_Elbow,0x01,2,1,0.498,+0.090,-0.950,+0.053,+0.3,+2.2,-0.6,+0.064,-0.967,+0.063,28.99
2025-06-01T15:00:00.510,0.510,2,WB,L_Elbow,0x01,2,2,0.496,+0.126,-0.981,+0.043,-1.6,+0.9,-0.1,+0.122,-0.975,+0.073,29.12
2025-06-01T15:00:00.765,0.765,3,WB,L_Elbow,0x01,2,3,0.500,+0.110,-0.956,+0.060,+1.7,+1.7,-0.1,+0.110,-0.956,+0.073,28.95
2025-06-01T15:00:01.020,1.020,4,WB,L_Elbow,0x01,2,4,0.495,+0.091,-0.982,+0.060,-0.8,-1.5,-1.7,+0.061,-0.974,+0.045,28.93
2025-06-01T15:00:01.275,1.275,5,WB,L_Elbow,0x01,2,5,0.516,+0.098,-0.967,+0.047,-1.6,+0.8,-4.6,+0.118,-0.973,+0.019,29.01
2025-06-01T15:00:01.530,1.530,6,WB,L_Elbow,0x01,2,6,0.503,+0.096,-0.957,+0.053,+1.8,+0.1,+1.2,+0.077,-0.955,+0.055,29.07
2025-06-01T15:00:01.785,1.785,7,WB,L_Elbow,0x01,2,7,0.513,+0.100,-0.976,+0.054,+1.5,-3.1,-1.7,+0.110,-0.992,+0.082,29.00
2025-06-01T15:00:02.040,2.040,8,WB,L_Elbow,0x01,2,8,0.480,+0.074,-0.982,+0.034,-0.8,-0.5,+1.9,+0.064,-1.001,+0.050,29.05
2025-06-01T15:00:02.295,2.295,9,WB,L_Elbow,0x01,2,9,0.501,+0.114,-0.981,+0.043,+0.9,-1.1,-1.0,+0.098,-1.034,+0.073,28.97
2025-06-01T15:00:02.550,2.550,10,WB,L_Elbow,0x01,2,10,0.494,+0.076,-0.962,+0.052,-1.6,-2.1,-2.3,+0.141,-0.960,+0.046,28.94
