timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WC,R_Elbow,0x01,2,0,0.521,-0.113,-0.960,+0.054,-3.1,+1.4,-1.2,-0.091,-0.980,+0.080,29.04
2025-06-01T15:00:00.255,0.255,1,WC,R_Elbow,0x01,2,1,0.491,-0.114,-0.967,+0.043,+0.1,+0.4,+4.8,-0.124,-0.960,+0.062,28.99
2025-06-01T15:00:00.510,0.510,2,WC,R_Elbow,0x01,2,2,0.476,-0.089,-0.967,+0.051,+0.5,+0.7,-1.2,-0.093,-1.034,+0.060,29.12
2025-06-01T15:00:00.765,0.765,3,WC,R_Elbow,0x01,2,3,0.495,-0.094,-0.978,+0.043,-0.1,+1.5,+1.6,-0.107,-0.955,+0.041,28.95
2025-06-01T15:00:01.020,1.020,4,WC,R_Elbow,0x01,2,4,0.494,-0.135,-0.956,+0.051,+0.1,+2.2,-1.4,-0.135,-0.973,+0.031,28.93
2025-06-01T15:00:01.275,1.275,5,WC,R_Elbow,0x01,2,5,0.488,-0.112,-0.993,+0.036,+1.2,-1.2,-2.0,-0.103,-1.011,+0.020,29.01
2025-06-01T15:00:01.530,1.530,6,WC,R_Elbow,0x01,2,6,0.517,-0.095,-0.982,+0.041,-1.2,+0.6,-1.4,-0.094,-0.984,+0.035,29.07
2025-06-01T15:00:01.785,1.785,7,WC,R_Elbow,0x01,2,7,0.521,-0.106,-0.972,+0.028,-0.4,-2.7,-2.4,-0.145,-0.937,+0.009,29.00
2025-06-01T15:00:02.040,2.040,8,WC,R_Elbow,0x01,2,8,0.489,-0.106,-0.969,+0.047,+1.5,+0.1,+1.0,-0.120,-0.967,+0.050,29.05
2025-06-01T15:00:02.295,2.295,9,WC,R_Elbow,0x01,2,9,0.529,-0.106,-0.978,+0.069,-2.5,+1.7,-1.6,-0.117,-0.958,+0.061,28.97
2025-06-01T15:00:02.550,2.550,10,WC,R_Elbow,0x01,2,10,0.513,-0.093,-0.986,+0.055,+0.4,-3.2,-1.4,-0.099,-1.013,+0.051,28.94
2025-06-01T15:00:02.805,2.805,11,WC,R_Elbow,0x01,2,11,0.482,-0.093,-0.959,+0.053,-0.9,-0.1,-2.6,-0.106,-0.973,+0.078,29.07
2025-06-01T15:00:03.060,3.060,12,WC,R_Elbow,0x01,2,12,0.515,-0.112,-0.968,+0.049,+1.0,+0.2,+1.1,-0.120,-0.953,+0.055,29.08
2025-06-01T15:00:03.315,3.315,13,WC,R_Elbow,0x01,2,13,0.505,-0.102,-0.963,+0.079,-1.5,+0.2,-1.0,-0.084,-0.989,+0.094,29.08
2025-06-01T15:00:03.570,3.570,14,WC,R_Elbow,0x01,2,14,0.500,-0.094,-0.965,+0.040,+0.2,+0.3,-0.3,-0.083,-1.020,+0.009,28.98
2025-06-01T15:00:03.825,3.825,15,WC,R_Elbow,0x01,2,15,0.476,-0.096,-0.954,+0.057,-0.4,+0.3,+3.9,-0.068,-0.970,+0.070,28.94
2025-06-01T15:00:04.080,4.080,16,WC,R_Elbow,0x01,2,16,0.506,-0.107,-0.957,+0.042,-2.4,-1.0,+0.7,-0.139,-0.967,+0.028,28.94
2025-06-01T15:00:04.335,4.335,17,WC,R_Elbow,0x01,2,17,0.488,-0.103,-0.978,+0.041,-1.4,-1.6,-1.2,-0.124,-0.985,+0.073,28.99
2025-06-01T15:00:04.590,4.590,18,WC,R_Elbow,0x01,2,18,0.526,-0.129,-0.965,+0.053,+0.1,+1.3,-1.2,-0.154,-0.953,+0.027,29.03
2025-06-01T15:00:04.845,4.845,19,WC,R_Elbow,0x01,2,19,0.484,-0.100,-1.001,+0.052,-0.6,+0.9,+1.6,-0.080,-0.991,+0.039,29.03
2025-06-01T15:00:05.100,5.100,20,WC,R_Elbow,0x01,2,20,0.476,-0.114,-0.878,+0.096,+3.3,+0.4,+6.1,-0.100,-0.890,+0.114,28.93
2025-06-01T15:00:05.355,5.355,21,WC,R_Elbow,0x01,2,21,0.496,-0.103,-0.929,+0.096,+7.7,+4.8,+24.0,-0.114,-0.921,+0.138,29.02
2025-06-01T15:00:05.610,5.610,22,WC,R_Elbow,0x01,2,22,0.454,-0.089,-0.962,+0.108,+8.0,+4.9,+40.9,-0.100,-0.967,+0.082,29.01
2025-06-01T15:00:05.865,5.865,23,WC,R_Elbow,0x01,2,23,0.472,-0.048,-0.985,+0.113,+12.5,+8.5,+36.5,-0.043,-0.985,+0.111,29.02
2025-06-01T15:00:06.120,6.120,24,WC,R_Elbow,0x01,2,24,0.418,-0.031,-1.034,+0.142,+6.0,+2.8,+26.3,-0.005,-1.056,+0.129,29.02
2025-06-01T15:00:06.375,6.375,25,WC,R_Elbow,0x01,2,25,0.432,-0.018,-1.054,+0.134,+6.6,+0.0,+10.8,+0.012,-1.043,+0.167,29.02
2025-06-01T15:00:06.630,6.630,26,WC,R_Elbow,0x01,2,26,0.406,-0.027,-1.056,+0.137,-4.7,-0.1,-9.5,-0.039,-1.066,+0.178,29.06
