timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,emg_rms_ch0,emg_rms_ch1,emg_rms_ch2,emg_rms_ch3
2025-06-01T15:00:00.000,0.000,0,WF,L_Knee,0x21,2,0,0.853,+0.056,-1.007,+0.095,+1.9,-0.6,-2.4,+0.077,-1.017,+0.127,29.04,0.021,0.023,0.022,0.032
2025-06-01T15:00:00.255,0.255,1,WF,L_Knee,0x21,2,1,0.847,+0.066,-0.979,+0.065,-1.1,+0.8,-0.9,+0.105,-1.012,+0.043,28.99,0.013,0.014,0.021,0.030
2025-06-01T15:00:00.510,0.510,2,WF,L_Knee,0x21,2,2,0.841,+0.070,-0.989,+0.090,+1.8,+0.3,+1.2,+0.040,-0.980,+0.055,29.12,0.017,0.017,0.024,0.022
2025-06-01T15:00:00.765,0.765,3,WF,L_Knee,0x21,2,3,0.844,+0.042,-0.964,+0.082,-0.9,+0.1,+2.4,+0.026,-0.962,+0.068,28.95,0.009,0.020,0.026,0.022
2025-06-01T15:00:01.020,1.020,4,WF,L_Knee,0x21,2,4,0.858,+0.048,-0.998,+0.068,+1.9,-0.2,-1.8,+0.053,-1.020,+0.083,28.93,0.012,0.013,0.028,0.029
2025-06-01T15:00:01.275,1.275,5,WF,L_Knee,0x21,2,5,0.835,+0.053,-0.975,+0.087,-0.7,+0.2,+0.4,+0.052,-0.989,+0.070,29.01,0.003,0.011,0.028,0.024
2025-06-01T15:00:01.530,1.530,6,WF,L_Knee,0x21,2,6,0.833,+0.052,-0.977,+0.081,+0.1,-2.0,-1.9,+0.043,-1.017,+0.075,29.07,0.014,0.017,0.025,0.021
2025-06-01T15:00:01.785,1.785,7,WF,L_Knee,0x21,2,7,0.866,+0.065,-0.981,+0.073,+1.4,+3.7,+4.8,+0.073,-0.967,+0.084,29.00,0.018,0.016,0.028,0.033
2025-06-01T15:00:02.040,2.040,8,WF,L_Knee,0x21,2,8,0.840,+0.050,-0.976,+0.070,+1.4,+1.7,-0.9,+0.030,-1.006,+0.033,29.05,0.020,0.029,0.034,0.028
2025-06-01T15:00:02.295,2.295,9,WF,L_Knee,0x21,2,9,0.853,+0.033,-0.990,+0.083,-2.2,+1.5,-0.1,-0.014,-0.994,+0.132,28.97,0.017,0.019,0.020,0.031
2025-06-01T15:00:02.550,2.550,10,WF,L_Knee,0x21,2,10,0.834,+0.043,-0.980,+0.070,+1.2,-0.3,+1.3,+0.070,-0.972,+0.051,28.94,0.025,0.031,0.024,0.031
2025-06-01T15:00:02.805,2.805,11,WF,L_Knee,0x21,2,11,0.848,+0.069,-0.983,+0.082,-3.5,+1.1,+0.9,+0.058,-0.965,+0.116,29.07,0.007,0.014,0.023,0.031
2025-06-01T15:00:03.060,3.060,12,WF,L_Knee,0x21,2,12,0.840,+0.056,-0.987,+0.073,-3.7,+0.1,-1.4,+0.040,-0.986,+0.047,29.08,0.012,0.020,0.030,0.028
