timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WH,L_Ankle,0x01,2,0,1.452,+0.032,-0.996,+0.055,-1.5,+2.9,-2.2,+0.051,-0.978,+0.045,29.04
2025-06-01T15:00:00.255,0.255,1,WH,L_Ankle,0x01,2,1,1.467,+0.039,-0.982,+0.057,+1.1,+1.4,+1.5,+0.064,-0.990,+0.089,28.99
2025-06-01T15:00:00.510,0.510,2,WH,L_Ankle,0x01,2,2,1.431,+0.011,-0.978,+0.070,+0.3,-0.9,-0.6,+0.031,-0.980,+0.085,29.12
2025-06-01T15:00:00.765,0.765,3,WH,L_Ankle,0x01,2,3,1.460,+0.001,-0.978,+0.039,+1.8,+0.5,+2.8,+0.042,-0.969,+0.054,28.95
2025-06-01T15:00:01.020,1.020,4,WH,L_Ankle,0x01,2,4,1.443,+0.016,-0.999,+0.058,-3.4,-1.9,+1.0,-0.000,-0.969,+0.052,28.93
2025-06-01T15:00:01.275,1.275,5,WH,L_Ankle,0x01,2,5,1.447,+0.055,-1.005,+0.070,-1.0,+0.2,+1.4,+0.050,-1.042,+0.081,29.01
2025-06-01T15:00:01.530,1.530,6,WH,L_Ankle,0x01,2,6,1.442,+0.027,-0.991,+0.057,-0.1,+0.5,+1.3,+0.052,-1.012,+0.049,29.07
2025-06-01T15:00:01.785,1.785,7,WH,L_Ankle,0x01,2,7,1.446,+0.025,-0.996,+0.054,-1.4,+0.4,+2.1,+0.042,-1.014,+0.050,29.00
2025-06-01T15:00:02.040,2.040,8,WH,L_Ankle,0x01,2,8,1.456,+0.044,-1.004,+0.053,-0.3,+0.4,+2.4,+0.048,-1.015,+0.085,29.05
2025-06-01T15:00:02.295,2.295,9,WH,L_Ankle,0x01,2,9,1.466,+0.027,-1.003,+0.074,+1.6,+0.1,-0.6,+0.041,-0.974,+0.108,28.97
2025-06-01T15:00:02.550,2.550,10,WH,L_Ankle,0x01,2,10,1.439,+0.016,-0.994,+0.042,-0.3,-0.1,+0.8,+0.030,-0.970,+0.059,28.94
2025-06-01T15:00:02.805,2.805,11,WH,L_Ankle,0x01,2,11,1.453,+0.042,-1.000,+0.059,+0.3,+1.9,-1.5,+0.015,-1.004,+0.049,29.07
2025-06-01T15:00:03.060,3.060,12,WH,L_Ankle,0x01,2,12,1.438,+0.039,-0.979,+0.058,+2.3,-1.5,+1.0,+0.046,-1.011,+0.045,29.08
2025-06-01T15:00:03.315,3.315,13,WH,L_Ankle,0x01,2,13,1.452,+0.026,-0.989,+0.065,+3.1,-2.3,+3.4,+0.018,-0.996,+0.056,29.08
2025-06-01T15:00:03.570,3.570,14,WH,L_Ankle,0x01,2,14,1.441,+0.017,-1.010,+0.065,-0.1,+1.4,-0.9,+0.013,-0.996,+0.065,28.98
2025-06-01T15:00:03.825,3.825,15,WH,L_Ankle,0x01,2,15,1.472,+0.036,-1.009,+0.052,-1.8,-2.3,-0.4,+0.066,-1.006,+0.071,28.94
2025-06-01T15:00:04.080,4.080,16,WH,L_Ankle,0x01,2,16,1.437,+0.056,-0.996,+0.071,-0.5,+1.8,-2.2,+0.050,-0.944,+0.095,28.94
2025-06-01T15:00:04.335,4.335,17,WH,L_Ankle,0x01,2,17,1.440,+0.045,-0.988,+0.045,-1.7,+1.3,+0.6,+0.059,-0.998,+0.063,28.99
2025-06-01T15:00:04.590,4.590,18,WH,L_Ankle,0x01,2,18,1.467,+0.015,-1.007,+0.051,-1.7,+0.0,+4.4,+0.014,-1.011,+0.052,29.03
2025-06-01T15:00:04.845,4.845,19,WH,L_Ankle,0x01,2,19,1.456,+0.035,-1.000,+0.065,-0.8,-1.2,+0.8,+0.027,-0.987,+0.091,29.03
2025-06-01T15:00:05.100,5.100,20,WH,L_Ankle,0x01,2,20,1.441,+0.023,-0.858,+0.089,-2.4,+1.9,+4.6,+0.010,-0.841,+0.137,28.93
2025-06-01T15:00:05.355,5.355,21,WH,L_Ankle,0x01,2,21,1.391,+0.066,-0.916,+0.106,+3.1,+5.1,+22.6,+0.034,-0.907,+0.073,29.02
2025-06-01T15:00:05.610,5.610,22,WH,L_Ankle,0x01,2,22,1.355,+0.081,-0.962,+0.132,+7.1,+5.5,+27.8,+0.076,-0.996,+0.153,29.01
2025-06-01T15:00:05.865,5.865,23,WH,L_Ankle,0x01,2,23,1.235,+0.106,-0.999,+0.141,+8.7,+5.3,+30.2,+0.099,-1.016,+0.145,29.02
2025-06-01T15:00:06.120,6.120,24,WH,L_Ankle,0x01,2,24,1.198,+0.128,-1.069,+0.196,+4.6,+3.0,+22.9,+0.127,-1.057,+0.209,29.02
2025-06-01T15:00:06.375,6.375,25,WH,L_Ankle,0x01,2,25,1.166,+0.145,-1.078,+0.197,+1.3,-0.6,+6.9,+0.125,-1.085,+0.199,29.02
2025-06-01T15:00:06.630,6.630,26,WH,L_Ankle,0x01,2,26,1.153,+0.142,-1.087,+0.169,-9.0,-2.0,-5.2,+0.134,-1.029,+0.179,29.06
2025-06-01T15:00:06.885,6.885,27,WH,L_Ankle,0x01,2,27,1.171,+0.126,-1.056,+0.167,-6.7,-1.2,-20.2,+0.104,-1.033,+0.158,29.04
2025-06-01T15:00:07.140,7.140,28,WH,L_Ankle,0x01,2,28,1.256,+0.083,-1.006,+0.186,-13.5,-4.3,-25.5,+0.083,-1.006,+0.183,29.05
2025-06-01T15:00:07.395,7.395,29,WH,L_Ankle,0x01,2,29,1.318,+0.078,-0.972,+0.123,-10.9,-2.9,-27.3,+0.080,-0.966,+0.125,29.01
2025-06-01T15:00:07.650,7.650,30,WH,L_Ankle,0x01,2,30,1.400,+0.027,-0.899,+0.114,-1.0,-5.0,-18.9,+0.056,-0.897,+0.145,29.07
2025-06-01T15:00:07.905,7.905,31,WH,L_Ankle,0x01,2,31,1.439,+0.050,-0.884,+0.107,-1.1,+1.5,-2.0,+0.059,-0.901,+0.105,29.05
2025-06-01T15:00:08.160,8.160,32,WH,L_Ankle,0x01,2,32,1.433,+0.016,-0.906,+0.094,+7.8,+1.0,+11.9,+0.022,-0.916,+0.103,28.95
2025-06-01T15:00:08.415,8.415,33,WH,L_Ankle,0x01,2,33,1.400,+0.051,-0.929,+0.125,+10.5,+4.1,+20.2,+0.040,-0.967,+0.118,29.09
2025-06-01T15:00:08.670,8.670,34,WH,L_Ankle,0x01,2,34,1.329,+0.085,-0.960,+0.124,+9.7,+6.2,+30.2,+0.126,-0.966,+0.106,29.06
2025-06-01T15:00:08.925,8.925,35,WH,L_Ankle,0x01,2,35,1.244,+0.103,-1.032,+0.171,+6.3,+11.5,+25.9,+0.095,-1.074,+0.176,29.12
2025-06-01T15:00:09.180,9.180,36,WH,L_Ankle,0x01,2,36,1.143,+0.124,-1.065,+0.172,+1.3,+2.9,+16.4,+0.100,-1.097,+0.171,29.07
2025-06-01T15:00:09.435,9.435,37,WH,L_Ankle,0x01,2,37,1.177,+0.134,-1.076,+0.198,+2.8,+1.8,+6.2,+0.156,-1.072,+0.155,29.08
2025-06-01T15:00:09.690,9.690,38,WH,L_Ankle,0x01,2,38,1.133,+0.140,-1.085,+0.209,-5.2,-3.3,-8.7,+0.167,-1.083,+0.206,29.10
2025-06-01T15:00:09.945,9.945,39,WH,L_Ankle,0x01,2,39,1.205,+0.135,-1.054,+0.177,-11.1,-5.6,-22.7,+0.127,-1.078,+0.176,29.09
2025-06-01T15:00:10.200,10.200,40,WH,L_Ankle,0x01,2,40,1.277,+0.069,-1.022,+0.153,-7.0,-5.1,-30.9,+0.106,-0.988,+0.143,29.08
2025-06-01T15:00:10.455,10.455,41,WH,L_Ankle,0x01,2,41,1.365,+0.068,-0.942,+0.135,-6.7,-4.7,-24.6,+0.034,-0.920,+0.132,29.01
2025-06-01T15:00:10.710,10.710,42,WH,L_Ankle,0x01,2,42,1.433,+0.027,-0.904,+0.111,-7.0,-2.4,-20.3,+0.028,-0.894,+0.099,29.20
2025-06-01T15:00:10.965,10.965,43,WH,L_Ankle,0x01,2,43,1.426,+0.033,-0.881,+0.111,-2.5,-0.3,+0.9,+0.036,-0.837,+0.138,29.03
2025-06-01T15:00:11.220,11.220,44,WH,L_Ankle,0x01,2,44,1.423,+0.020,-0.904,+0.091,+0.9,+2.4,+11.4,+0.039,-0.912,+0.095,29.10
2025-06-01T15:00:11.475,11.475,45,WH,L_Ankle,0x01,2,45,1.386,+0.055,-0.935,+0.140,+9.6,+2.4,+30.8,+0.029,-0.958,+0.131,29.15
2025-06-01T15:00:11.730,11.730,46,WH,L_Ankle,0x01,2,46,1.283,+0.085,-0.987,+0.137,+3.8,+3.6,+33.1,+0.095,-0.994,+0.132,29.15
2025-06-01T15:00:11.985,11.985,47,WH,L_Ankle,0x01,2,47,1.210,+0.108,-1.042,+0.194,+6.5,+4.1,+25.1,+0.131,-1.026,+0.203,29.16
2025-06-01T15:00:12.240,12.240,48,WH,L_Ankle,0x01,2,48,1.147,+0.143,-1.062,+0.189,+5.8,+1.0,+15.3,+0.137,-1.033,+0.132,29.17
2025-06-01T15:00:12.495,12.495,49,WH,L_Ankle,0x01,2,49,1.118,+0.150,-1.064,+0.197,-4.4,+0.6,-0.6,+0.171,-1.035,+0.249,29.20
2025-06-01T15:00:12.750,12.750,50,WH,L_Ankle,0x01,2,50,1.157,+0.132,-1.062,+0.201,-6.6,-3.6,-10.9,+0.130,-1.104,+0.234,29.16
2025-06-01T15:00:13.005,13.005,51,WH,L_Ankle,0x01,2,51,1.198,+0.104,-1.050,+0.163,-9.7,-1.9,-28.7,+0.131,-1.068,+0.161,29.30
2025-06-01T15:00:13.260,13.260,52,WH,L_Ankle,0x01,2,52,1.289,+0.085,-0.972,+0.141,-7.0,-4.2,-30.6,+0.065,-0.956,+0.145,29.10
2025-06-01T15:00:13.515,13.515,53,WH,L_Ankle,0x01,2,53,1.394,+0.052,-0.932,+0.095,-8.5,-2.5,-26.1,+0.058,-0.982,+0.092,29.17
2025-06-01T15:00:13.770,13.770,54,WH,L_Ankle,0x01,2,54,1.430,+0.043,-0.905,+0.103,-4.3,-0.7,-12.5,-0.019,-0.897,+0.108,29.15
2025-06-01T15:00:14.025,14.025,55,WH,L_Ankle,0x01,2,55,1.481,+0.012,-0.877,+0.091,-2.6,-1.3,-0.9,+0.007,-0.869,+0.080,29.14
2025-06-01T15:00:14.280,14.280,56,WH,L_Ankle,0x01,2,56,1.401,+0.024,-0.904,+0.120,+4.4,+1.2,+14.8,+0.018,-0.884,+0.158,29.19
2025-06-01T15:00:14.535,14.535,57,WH,L_Ankle,0x01,2,57,1.380,+0.060,-0.962,+0.133,+5.7,+3.5,+26.3,+0.078,-0.959,+0.129,29.25
2025-06-01T15:00:14.790,14.790,58,WH,L_Ankle,0x01,2,58,1.267,+0.094,-0.967,+0.148,+13.0,+1.2,+30.1,+0.057,-0.964,+0.171,29.15
2025-06-01T15:00:15.045,15.045,59,WH,L_Ankle,0x01,2,59,1.193,+0.099,-1.062,+0.172,+7.2,+6.2,+24.4,+0.102,-1.076,+0.191,29.15
2025-06-01T15:00:15.300,15.300,60,WH,L_Ankle,0x01,2,60,1.146,+0.140,-1.075,+0.202,+2.0,+0.7,+12.6,+0.149,-1.034,+0.201,29.23
2025-06-01T15:00:15.555,15.555,61,WH,L_Ankle,0x01,2,61,1.117,+0.145,-1.096,+0.210,+0.2,-0.9,-4.8,+0.184,-1.105,+0.206,29.23
2025-06-01T15:00:15.810,15.810,62,WH,L_Ankle,0x01,2,62,1.173,+0.115,-1.095,+0.187,-9.8,-3.1,-17.5,+0.110,-1.095,+0.175,29.30
2025-06-01T15:00:16.065,16.065,63,WH,L_Ankle,0x01,2,63,1.218,+0.104,-1.037,+0.157,-6.3,-2.0,-30.3,+0.095,-1.033,+0.158,29.26
2025-06-01T15:00:16.320,16.320,64,WH,L_Ankle,0x01,2,64,1.323,+0.087,-0.958,+0.159,-7.1,-5.5,-28.1,+0.100,-0.978,+0.152,29.22
2025-06-01T15:00:16.575,16.575,65,WH,L_Ankle,0x01,2,65,1.387,+0.055,-0.937,+0.139,-8.5,-3.3,-25.5,+0.069,-0.976,+0.136,29.20
2025-06-01T15:00:16.830,16.830,66,WH,L_Ankle,0x01,2,66,1.400,+0.043,-0.906,+0.101,-3.9,-4.1,-15.5,+0.078,-0.913,+0.107,29.23
2025-06-01T15:00:17.085,17.085,67,WH,L_Ankle,0x01,2,67,1.446,+0.027,-0.893,+0.101,+1.9,+0.8,+4.2,+0.010,-0.891,+0.126,29.22
2025-06-01T15:00:17.340,17.340,68,WH,L_Ankle,0x01,2,68,1.407,+0.049,-0.908,+0.119,+7.5,+1.3,+19.6,+0.085,-0.904,+0.118,29.16
2025-06-01T15:00:17.595,17.595,69,WH,L_Ankle,0x01,2,69,1.348,+0.070,-0.949,+0.140,+11.7,+3.8,+28.9,+0.044,-0.980,+0.150,29.24
2025-06-01T15:00:17.850,17.850,70,WH,L_Ankle,0x01,2,70,1.251,+0.098,-1.029,+0.169,+11.2,+2.1,+28.2,+0.103,-1.045,+0.139,29.23
2025-06-01T15:00:18.105,18.105,71,WH,L_Ankle,0x01,2,71,1.188,+0.108,-1.057,+0.173,+7.4,+3.2,+21.2,+0.079,-1.068,+0.188,29.23
2025-06-01T15:00:18.360,18.360,72,WH,L_Ankle,0x01,2,72,1.111,+0.141,-1.101,+0.197,-1.7,+0.8,+11.8,+0.150,-1.089,+0.228,29.23
2025-06-01T15:00:18.615,18.615,73,WH,L_Ankle,0x01,2,73,1.139,+0.167,-1.076,+0.202,-2.8,-2.2,-9.2,+0.179,-1.082,+0.161,29.34
2025-06-01T15:00:18.870,18.870,74,WH,L_Ankle,0x01,2,74,1.173,+0.116,-1.077,+0.170,-5.4,-1.7,-14.7,+0.114,-1.057,+0.174,29.29
2025-06-01T15:00:19.125,19.125,75,WH,L_Ankle,0x01,2,75,1.263,+0.120,-1.036,+0.162,-9.5,-5.7,-28.8,+0.107,-1.046,+0.162,29.31
2025-06-01T15:00:19.380,19.380,76,WH,L_Ankle,0x01,2,76,1.331,+0.067,-0.971,+0.133,-7.8,-5.3,-28.8,+0.056,-0.995,+0.085,29.24
2025-06-01T15:00:19.635,19.635,77,WH,L_Ankle,0x01,2,77,1.375,+0.032,-0.920,+0.102,-3.2,-1.0,-20.7,+0.046,-0.921,+0.153,29.22
2025-06-01T15:00:19.890,19.890,78,WH,L_Ankle,0x01,2,78,1.474,+0.013,-0.878,+0.097,-5.0,-1.5,-8.0,+0.006,-0.891,+0.090,29.27
2025-06-01T15:00:20.145,20.145,79,WH,L_Ankle,0x01,2,79,1.457,+0.034,-0.890,+0.115,+2.4,+0.8,+8.5,+0.033,-0.880,+0.163,29.30
2025-06-01T15:00:20.400,20.400,80,WH,L_Ankle,0x01,2,80,1.385,+0.058,-0.932,+0.097,+8.5,+1.4,+24.4,+0.057,-0.942,+0.099,29.27
2025-06-01T15:00:20.655,20.655,81,WH,L_Ankle,0x01,2,81,1.328,+0.094,-0.967,+0.137,+7.6,+4.7,+29.8,+0.116,-0.970,+0.165,29.28
2025-06-01T15:00:20.910,20.910,82,WH,L_Ankle,0x01,2,82,1.216,+0.110,-1.018,+0.189,+9.8,+4.6,+27.4,+0.102,-0.985,+0.186,29.35
2025-06-01T15:00:21.165,21.165,83,WH,L_Ankle,0x01,2,83,1.156,+0.106,-1.066,+0.168,+4.5,+1.1,+22.4,+0.103,-1.053,+0.182,29.32
2025-06-01T15:00:21.420,21.420,84,WH,L_Ankle,0x01,2,84,1.128,+0.124,-1.102,+0.201,-1.5,+0.7,+2.5,+0.138,-1.129,+0.206,29.26
2025-06-01T15:00:21.675,21.675,85,WH,L_Ankle,0x01,2,85,1.142,+0.123,-1.074,+0.186,-3.8,-0.6,-13.0,+0.133,-1.048,+0.167,29.29
2025-06-01T15:00:21.930,21.930,86,WH,L_Ankle,0x01,2,86,1.151,+0.114,-1.060,+0.177,-9.0,-2.9,-23.7,+0.140,-1.044,+0.159,29.28
2025-06-01T15:00:22.185,22.185,87,WH,L_Ankle,0x01,2,87,1.263,+0.081,-0.993,+0.145,-7.2,-6.1,-28.8,+0.110,-0.994,+0.111,29.33
2025-06-01T15:00:22.440,22.440,88,WH,L_Ankle,0x01,2,88,1.358,+0.071,-0.970,+0.126,-9.1,-4.8,-25.1,+0.079,-0.956,+0.095,29.27
2025-06-01T15:00:22.695,22.695,89,WH,L_Ankle,0x01,2,89,1.428,+0.042,-0.926,+0.102,-9.0,-3.3,-22.0,+0.059,-0.941,+0.109,29.32
2025-06-01T15:00:22.950,22.950,90,WH,L_Ankle,0x01,2,90,1.448,+0.055,-0.874,+0.107,-0.7,-0.2,-4.2,+0.068,-0.855,+0.082,29.37
2025-06-01T15:00:23.205,23.205,91,WH,L_Ankle,0x01,2,91,1.430,+0.036,-0.907,+0.093,-1.0,+1.1,+12.5,+0.024,-0.901,+0.116,29.34
2025-06-01T15:00:23.460,23.460,92,WH,L_Ankle,0x01,2,92,1.379,+0.064,-0.938,+0.119,+2.6,+1.9,+26.6,+0.080,-0.946,+0.092,29.30
2025-06-01T15:00:23.715,23.715,93,WH,L_Ankle,0x01,2,93,1.294,+0.085,-0.972,+0.140,+6.6,+3.8,+29.3,+0.104,-0.971,+0.153,29.32
