timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T15:00:00.000,0.000,0,WI,R_Ankle,0x01,2,0,1.461,-0.015,-0.999,+0.078,-2.2,-2.6,+1.1,+0.009,-0.999,+0.076,29.04
2025-06-01T15:00:00.255,0.255,1,WI,R_Ankle,0x01,2,1,1.470,-0.019,-1.001,+0.073,+2.5,-0.8,-1.4,-0.006,-0.990,+0.023,28.99
2025-06-01T15:00:00.510,0.510,2,WI,R_Ankle,0x01,2,2,1.436,-0.024,-0.992,+0.054,+2.5,-0.8,+0.4,-0.008,-0.981,+0.080,29.12
2025-06-01T15:00:00.765,0.765,3,WI,R_Ankle,0x01,2,3,1.447,-0.026,-0.986,+0.058,-1.8,-0.3,-1.2,-0.001,-0.989,+0.069,28.95
2025-06-01T15:00:01.020,1.020,4,WI,R_Ankle,0x01,2,4,1.470,-0.031,-0.983,+0.065,+2.6,+0.9,+2.6,-0.046,-0.956,+0.056,28.93
2025-06-01T15:00:01.275,1.275,5,WI,R_Ankle,0x01,2,5,1.462,-0.023,-0.999,+0.058,-0.7,+1.4,-2.4,-0.024,-0.965,+0.067,29.01
2025-06-01T15:00:01.530,1.530,6,WI,R_Ankle,0x01,2,6,1.449,-0.028,-0.984,+0.072,-0.6,+1.6,+2.5,+0.019,-0.991,+0.051,29.07
2025-06-01T15:00:01.785,1.785,7,WI,R_Ankle,0x01,2,7,1.431,-0.039,-0.971,+0.068,-0.2,-0.0,+2.7,-0.026,-0.993,+0.063,29.00
2025-06-01T15:00:02.040,2.040,8,WI,R_Ankle,0x01,2,8,1.427,-0.021,-0.989,+0.077,-1.7,-0.1,+0.3,-0.038,-0.991,+0.092,29.05
2025-06-01T15:00:02.295,2.295,9,WI,R_Ankle,0x01,2,9,1.450,-0.027,-0.996,+0.072,-0.7,+1.2,+1.7,-0.020,-0.992,+0.074,28.97
