timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,emg_rms_ch0,emg_rms_ch1,emg_rms_ch2,emg_rms_ch3
2025-06-01T14:30:00.000,0.000,0,WB,L_Elbow,0x21,2,0,0.459,+0.152,+0.049,-0.985,-0.0,-1.7,+1.5,+0.162,+0.094,-0.968,29.00,0.002,0.006,0.029,0.023
2025-06-01T14:30:00.255,0.255,1,WB,L_Elbow,0x21,2,1,0.438,+0.167,+0.067,-0.965,-1.4,+2.3,-1.4,+0.158,+0.109,-0.974,28.97,0.006,0.018,0.024,0.034
2025-06-01T14:30:00.510,0.510,2,WB,L_Elbow,0x21,2,2,0.461,+0.149,+0.068,-0.993,+1.3,+0.4,-0.3,+0.135,+0.045,-0.975,28.98,0.021,0.020,0.025,0.035
2025-06-01T14:30:00.765,0.765,3,WB,L_Elbow,0x21,2,3,0.434,+0.141,+0.054,-0.986,+1.6,+1.8,-2.8,+0.132,+0.043,-1.008,29.00,0.010,0.009,0.020,0.025
2025-06-01T14:30:01.020,1.020,4,WB,L_Elbow,0x21,2,4,0.437,+0.145,+0.047,-0.994,-1.7,+0.1,-0.4,+0.156,+0.021,-0.988,29.00,0.007,0.009,0.024,0.027
2025-06-01T14:30:01.275,1.275,5,WB,L_Elbow,0x21,2,5,0.450,+0.133,+0.045,-0.974,-1.8,-1.4,+3.2,+0.170,+0.021,-1.027,28.97,0.021,0.018,0.026,0.031
2025-06-01T14:30:01.530,1.530,6,WB,L_Elbow,0x21,2,6,0.429,+0.163,+0.034,-0.996,+0.6,-1.8,-0.5,+0.142,+0.044,-1.018,28.98,0.020,0.028,0.020,0.025
2025-06-01T14:30:01.785,1.785,7,WB,L_Elbow,0x21,2,7,0.450,+0.145,+0.056,-1.010,-3.3,-1.8,+2.0,+0.145,+0.036,-0.998,29.06,0.008,0.020,0.033,0.036
2025-06-01T14:30:02.040,2.040,8,WB,L_Elbow,0x21,2,8,0.457,+0.148,+0.033,-0.974,+1.1,-0.4,-0.7,+0.140,+0.012,-0.985,29.01,0.009,0.022,0.031,0.021
2025-06-01T14:30:02.295,2.295,9,WB,L_Elbow,0x21,2,9,0.431,+0.154,+0.062,-0.978,+0.8,-0.1,-0.8,+0.139,+0.056,-0.977,29.04,0.021,0.041,0.036,0.030
2025-06-01T14:30:02.550,2.550,10,WB,L_Elbow,0x21,2,10,0.463,+0.141,+0.053,-0.984,-0.4,+1.4,+1.0,+0.148,+0.068,-1.017,29.06,0.018,0.029,0.022,0.024
2025-06-01T14:30:02.805,2.805,11,WB,L_Elbow,0x21,2,11,0.442,+0.159,+0.034,-0.973,-0.9,-1.2,-1.7,+0.169,+0.027,-0.945,29.03,0.007,0.006,0.027,0.021
2025-06-01T14:30:03.060,3.060,12,WB,L_Elbow,0x21,2,12,0.458,+0.162,+0.058,-0.989,-1.7,+0.0,-0.9,+0.133,+0.051,-0.979,29.11,0.017,0.030,0.023,0.021
2025-06-01T14:30:03.315,3.315,13,WB,L_Elbow,0x21,2,13,0.453,+0.167,+0.035,-1.002,-0.4,+0.0,+0.3,+0.145,+0.053,-1.004,28.96,0.015,0.025,0.036,0.024
2025-06-01T14:30:03.570,3.570,14,WB,L_Elbow,0x21,2,14,0.443,+0.158,+0.071,-0.984,-0.8,-2.6,+0.5,+0.181,+0.079,-0.978,29.04,0.026,0.025,0.024,0.025
2025-06-01T14:30:03.825,3.825,15,WB,L_Elbow,0x21,2,15,0.442,+0.159,+0.047,-0.966,+0.0,+2.3,+0.7,+0.164,+0.056,-0.961,28.98,0.007,0.009,0.025,0.033
2025-06-01T14:30:04.080,4.080,16,WB,L_Elbow,0x21,2,16,0.426,+0.139,+0.044,-0.998,-2.6,+0.4,+1.7,+0.149,+0.062,-0.973,29.09,0.023,0.039,0.025,0.021
2025-06-01T14:30:04.335,4.335,17,WB,L_Elbow,0x21,2,17,0.440,+0.170,+0.049,-0.983,-1.7,+1.5,+0.8,+0.159,+0.029,-0.981,29.09,0.019,0.029,0.024,0.021
2025-06-01T14:30:04.590,4.590,18,WB,L_Elbow,0x21,2,18,0.439,+0.144,+0.057,-0.973,-2.8,+1.1,+0.3,+0.136,+0.061,-1.004,28.90,0.005,0.011,0.026,0.021
2025-06-01T14:30:04.845,4.845,19,WB,L_Elbow,0x21,2,19,0.473,+0.146,+0.046,-0.959,+2.3,+2.7,-2.3,+0.154,+0.033,-0.966,28.95,0.025,0.021,0.035,0.022
2025-06-01T14:30:05.100,5.100,20,WB,L_Elbow,0x21,2,20,0.463,+0.159,+0.091,-0.776,-4.7,+11.0,+25.8,+0.149,+0.111,-0.752,29.03,0.029,0.029,0.032,0.024
2025-06-01T14:30:05.355,5.355,21,WB,L_Elbow,0x21,2,21,0.421,+0.152,+0.080,-0.847,+2.3,+24.8,+76.4,+0.130,+0.096,-0.838,29.05,0.007,0.009,0.035,0.022
2025-06-01T14:30:05.610,5.610,22,WB,L_Elbow,0x21,2,22,0.437,+0.141,+0.065,-0.973,-0.6,+32.6,+90.4,+0.141,+0.044,-0.984,29.05,0.039,0.042,0.028,0.033
2025-06-01T14:30:05.865,5.865,23,WB,L_Elbow,0x21,2,23,0.414,+0.137,+0.030,-1.123,-1.2,+27.8,+79.1,+0.154,+0.055,-1.113,29.01,0.014,0.024,0.033,0.020
2025-06-01T14:30:06.120,6.120,24,WB,L_Elbow,0x21,2,24,0.396,+0.138,+0.007,-1.206,-0.4,+9.5,+29.7,+0.117,-0.017,-1.206,29.04,0.057,0.049,0.022,0.023
2025-06-01T14:30:06.375,6.375,25,WB,L_Elbow,0x21,2,25,0.408,+0.144,+0.003,-1.181,-0.0,-12.0,-30.1,+0.164,+0.026,-1.171,29.06,0.237,0.204,0.038,0.024
2025-06-01T14:30:06.630,6.630,26,WB,L_Elbow,0x21,2,26,0.422,+0.153,-0.001,-1.098,-0.7,-27.4,-80.3,+0.166,+0.002,-1.131,29.02,0.538,0.459,0.027,0.020
2025-06-01T14:30:06.885,6.885,27,WB,L_Elbow,0x21,2,27,0.418,+0.145,+0.057,-0.975,+1.1,-33.9,-92.1,+0.127,+0.039,-0.995,29.08,0.602,0.534,0.023,0.023
2025-06-01T14:30:07.140,7.140,28,WB,L_Elbow,0x21,2,28,0.436,+0.140,+0.089,-0.862,-5.8,-28.0,-74.5,+0.139,+0.066,-0.851,28.92,0.335,0.302,0.026,0.021
2025-06-01T14:30:07.395,7.395,29,WB,L_Elbow,0x21,2,29,0.451,+0.146,+0.105,-0.769,-3.3,-5.4,-24.8,+0.144,+0.098,-0.775,29.07,0.117,0.104,0.022,0.026
2025-06-01T14:30:07.650,7.650,30,WB,L_Elbow,0x21,2,30,0.434,+0.159,+0.109,-0.761,-0.2,+10.8,+37.1,+0.171,+0.108,-0.756,28.99,0.024,0.026,0.025,0.021
2025-06-01T14:30:07.905,7.905,31,WB,L_Elbow,0x21,2,31,0.441,+0.150,+0.081,-0.900,+2.6,+31.0,+77.3,+0.163,+0.067,-0.864,29.10,0.033,0.030,0.023,0.020
2025-06-01T14:30:08.160,8.160,32,WB,L_Elbow,0x21,2,32,0.422,+0.153,+0.051,-0.980,-4.3,+33.2,+96.4,+0.126,+0.061,-0.988,29.04,0.047,0.047,0.025,0.021
2025-06-01T14:30:08.415,8.415,33,WB,L_Elbow,0x21,2,33,0.399,+0.150,+0.032,-1.111,-3.1,+20.9,+70.6,+0.122,+0.004,-1.108,29.01,0.030,0.035,0.024,0.021
2025-06-01T14:30:08.670,8.670,34,WB,L_Elbow,0x21,2,34,0.389,+0.147,-0.005,-1.159,+0.8,+5.2,+19.5,+0.167,-0.005,-1.171,29.08,0.062,0.061,0.025,0.023
2025-06-01T14:30:08.925,8.925,35,WB,L_Elbow,0x21,2,35,0.407,+0.147,-0.001,-1.170,-0.6,-16.0,-40.7,+0.148,-0.001,-1.184,29.02,0.290,0.248,0.021,0.021
2025-06-01T14:30:09.180,9.180,36,WB,L_Elbow,0x21,2,36,0.425,+0.145,+0.036,-1.074,-0.1,-28.9,-79.9,+0.153,-0.002,-1.078,29.02,0.564,0.487,0.031,0.027
