timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,emg_rms_ch0,emg_rms_ch1,emg_rms_ch2,emg_rms_ch3
2025-06-01T14:30:00.000,0.000,0,WC,R_Elbow,0x21,2,0,0.467,-0.179,+0.056,-0.980,-0.9,+1.4,+1.9,-0.177,+0.048,-1.015,29.00,0.000,0.011,0.026,0.020
2025-06-01T14:30:00.255,0.255,1,WC,R_Elbow,0x21,2,1,0.450,-0.171,+0.048,-0.967,-1.0,-0.5,+1.9,-0.166,+0.028,-0.997,28.97,0.000,0.016,0.022,0.028
2025-06-01T14:30:00.510,0.510,2,WC,R_Elbow,0x21,2,2,0.447,-0.153,+0.038,-0.989,-2.0,+0.8,-3.5,-0.131,+0.039,-0.971,28.98,0.018,0.018,0.022,0.026
2025-06-01T14:30:00.765,0.765,3,WC,R_Elbow,0x21,2,3,0.464,-0.140,+0.033,-0.980,-2.2,-0.5,+2.0,-0.142,+0.035,-0.988,29.00,0.014,0.014,0.022,0.028
2025-06-01T14:30:01.020,1.020,4,WC,R_Elbow,0x21,2,4,0.435,-0.139,+0.063,-0.981,+0.1,+0.3,+1.2,-0.162,+0.059,-0.956,29.00,0.000,0.003,0.024,0.029
2025-06-01T14:30:01.275,1.275,5,WC,R_Elbow,0x21,2,5,0.461,-0.154,+0.061,-0.976,+1.7,+0.7,+1.3,-0.132,+0.036,-0.969,28.97,0.000,0.000,0.030,0.027
2025-06-01T14:30:01.530,1.530,6,WC,R_Elbow,0x21,2,6,0.466,-0.158,+0.046,-0.996,-0.5,-0.3,+1.6,-0.149,+0.044,-1.024,28.98,0.012,0.014,0.024,0.025
2025-06-01T14:30:01.785,1.785,7,WC,R_Elbow,0x21,2,7,0.460,-0.163,+0.082,-0.982,+1.8,+1.5,-5.1,-0.155,+0.073,-0.970,29.06,0.014,0.017,0.031,0.020
2025-06-01T14:30:02.040,2.040,8,WC,R_Elbow,0x21,2,8,0.448,-0.153,+0.064,-1.009,+1.1,-1.4,-1.0,-0.179,+0.077,-1.029,29.01,0.021,0.031,0.022,0.030
2025-06-01T14:30:02.295,2.295,9,WC,R_Elbow,0x21,2,9,0.450,-0.148,+0.031,-0.978,-1.0,-1.2,+1.3,-0.148,+0.026,-0.972,29.04,0.003,0.012,0.022,0.028
2025-06-01T14:30:02.550,2.550,10,WC,R_Elbow,0x21,2,10,0.425,-0.115,+0.053,-0.974,-0.1,-1.1,+0.5,-0.151,+0.077,-0.948,29.06,0.021,0.025,0.025,0.027
2025-06-01T14:30:02.805,2.805,11,WC,R_Elbow,0x21,2,11,0.448,-0.135,+0.052,-0.970,-0.4,+3.7,-3.4,-0.176,+0.056,-0.925,29.03,0.012,0.017,0.023,0.032
