timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T14:30:00.000,0.000,0,WH,L_Ankle,0x01,2,0,1.487,+0.055,+0.009,-0.992,+2.1,-0.7,-0.8,+0.042,+0.026,-0.981,29.00
2025-06-01T14:30:00.255,0.255,1,WH,L_Ankle,0x01,2,1,1.491,+0.051,-0.003,-0.981,-4.3,-2.7,-4.4,+0.016,-0.007,-0.955,28.97
2025-06-01T14:30:00.510,0.510,2,WH,L_Ankle,0x01,2,2,1.467,+0.064,+0.008,-0.998,+0.6,-2.7,-0.6,+0.093,+0.034,-1.024,28.98
2025-06-01T14:30:00.765,0.765,3,WH,L_Ankle,0x01,2,3,1.486,+0.065,+0.007,-0.964,-0.8,+1.8,+0.2,+0.071,-0.005,-1.009,29.00
2025-06-01T14:30:01.020,1.020,4,WH,L_Ankle,0x01,2,4,1.483,+0.053,+0.003,-0.981,+2.0,+0.1,+0.8,+0.067,-0.003,-0.998,29.00
2025-06-01T14:30:01.275,1.275,5,WH,L_Ankle,0x01,2,5,1.487,+0.049,+0.003,-1.000,+1.5,+1.1,+0.7,+0.058,+0.002,-0.994,28.97
2025-06-01T14:30:01.530,1.530,6,WH,L_Ankle,0x01,2,6,1.475,+0.050,-0.007,-1.001,-1.7,-1.2,+1.9,+0.056,-0.003,-1.021,28.98
2025-06-01T14:30:01.785,1.785,7,WH,L_Ankle,0x01,2,7,1.495,+0.054,-0.014,-1.002,+2.1,+2.6,+1.8,+0.063,+0.019,-0.981,29.06
2025-06-01T14:30:02.040,2.040,8,WH,L_Ankle,0x01,2,8,1.492,+0.072,-0.007,-0.984,-0.9,+3.4,+0.9,+0.064,-0.029,-0.971,29.01
2025-06-01T14:30:02.295,2.295,9,WH,L_Ankle,0x01,2,9,1.504,+0.055,+0.004,-0.998,-0.0,-3.4,-0.8,+0.013,+0.016,-1.018,29.04
2025-06-01T14:30:02.550,2.550,10,WH,L_Ankle,0x01,2,10,1.497,+0.040,+0.009,-0.973,+0.5,-1.5,-2.1,+0.047,+0.010,-0.958,29.06
2025-06-01T14:30:02.805,2.805,11,WH,L_Ankle,0x01,2,11,1.461,+0.058,-0.002,-0.992,-1.6,+0.5,+0.5,+0.057,+0.022,-1.021,29.03
2025-06-01T14:30:03.060,3.060,12,WH,L_Ankle,0x01,2,12,1.473,+0.059,-0.009,-0.990,-2.1,+0.5,+0.2,+0.048,-0.035,-0.999,29.11
2025-06-01T14:30:03.315,3.315,13,WH,L_Ankle,0x01,2,13,1.487,+0.047,+0.010,-1.005,+2.5,+0.7,+1.3,+0.035,-0.013,-1.000,28.96
2025-06-01T14:30:03.570,3.570,14,WH,L_Ankle,0x01,2,14,1.496,+0.054,-0.006,-0.996,+1.6,+0.1,+0.8,+0.081,+0.028,-0.969,29.04
2025-06-01T14:30:03.825,3.825,15,WH,L_Ankle,0x01,2,15,1.471,+0.047,+0.009,-0.981,-1.9,+3.1,+2.3,+0.033,+0.035,-0.965,28.98
2025-06-01T14:30:04.080,4.080,16,WH,L_Ankle,0x01,2,16,1.481,+0.059,+0.004,-0.990,+1.4,+4.1,-0.0,+0.038,+0.026,-0.959,29.09
2025-06-01T14:30:04.335,4.335,17,WH,L_Ankle,0x01,2,17,1.486,+0.040,+0.001,-0.988,+1.6,-1.7,-0.7,+0.054,-0.001,-1.017,29.09
2025-06-01T14:30:04.590,4.590,18,WH,L_Ankle,0x01,2,18,1.479,+0.048,+0.011,-0.975,+0.4,+1.8,+0.4,+0.078,+0.032,-0.911,28.90
2025-06-01T14:30:04.845,4.845,19,WH,L_Ankle,0x01,2,19,1.496,+0.052,-0.022,-1.000,-1.6,+0.8,+0.3,+0.026,-0.022,-1.018,28.95
