timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2025-06-01T14:30:00.000,0.000,0,WI,R_Ankle,0x01,2,0,1.481,-0.039,-0.010,-1.002,-1.3,+0.5,+0.1,-0.026,+0.009,-0.972,29.00
2025-06-01T14:30:00.255,0.255,1,WI,R_Ankle,0x01,2,1,1.486,-0.053,-0.001,-1.010,-0.2,-0.3,+0.9,-0.057,-0.010,-0.989,28.97
2025-06-01T14:30:00.510,0.510,2,WI,R_Ankle,0x01,2,2,1.477,-0.057,-0.006,-0.988,+3.9,-0.9,+4.0,-0.049,+0.028,-1.009,28.98
2025-06-01T14:30:00.765,0.765,3,WI,R_Ankle,0x01,2,3,1.486,-0.059,+0.000,-1.001,+2.0,+0.2,+0.3,-0.072,-0.003,-1.005,29.00
2025-06-01T14:30:01.020,1.020,4,WI,R_Ankle,0x01,2,4,1.491,-0.040,+0.013,-0.998,+0.3,-0.8,+2.3,-0.055,+0.065,-1.012,29.00
2025-06-01T14:30:01.275,1.275,5,WI,R_Ankle,0x01,2,5,1.478,-0.071,+0.021,-0.993,-3.1,+0.4,-1.7,-0.077,+0.036,-1.016,28.97
2025-06-01T14:30:01.530,1.530,6,WI,R_Ankle,0x01,2,6,1.482,-0.050,+0.001,-0.977,-2.7,+0.6,+2.3,-0.065,+0.000,-0.984,28.98
2025-06-01T14:30:01.785,1.785,7,WI,R_Ankle,0x01,2,7,1.485,-0.063,+0.007,-0.981,-0.8,-2.9,+0.3,-0.066,-0.015,-0.964,29.06
2025-06-01T14:30:02.040,2.040,8,WI,R_Ankle,0x01,2,8,1.452,-0.055,+0.015,-0.993,+1.0,+0.5,+0.4,-0.075,+0.007,-0.992,29.01
2025-06-01T14:30:02.295,2.295,9,WI,R_Ankle,0x01,2,9,1.494,-0.062,-0.007,-0.989,-0.1,-0.2,+1.5,-0.055,+0.032,-0.994,29.04
2025-06-01T14:30:02.550,2.550,10,WI,R_Ankle,0x01,2,10,1.508,-0.050,+0.007,-0.989,+0.5,-0.8,-3.0,-0.034,-0.018,-1.032,29.06
2025-06-01T14:30:02.805,2.805,11,WI,R_Ankle,0x01,2,11,1.493,-0.042,+0.008,-0.982,-1.2,+1.6,+0.2,-0.032,-0.023,-0.938,29.03
2025-06-01T14:30:03.060,3.060,12,WI,R_Ankle,0x01,2,12,1.484,-0.048,-0.007,-0.996,-1.0,+0.5,-1.4,-0.073,-0.001,-1.019,29.11
2025-06-01T14:30:03.315,3.315,13,WI,R_Ankle,0x01,2,13,1.475,-0.050,-0.006,-1.005,+0.1,+0.2,+0.1,-0.025,+0.020,-1.005,28.96
2025-06-01T14:30:03.570,3.570,14,WI,R_Ankle,0x01,2,14,1.486,-0.079,+0.010,-0.990,-1.4,+2.8,+0.0,-0.114,+0.003,-0.974,29.04
2025-06-01T14:30:03.825,3.825,15,WI,R_Ankle,0x01,2,15,1.510,-0.043,+0.001,-1.018,+1.8,-1.7,+2.1,-0.038,-0.016,-1.014,28.98
2025-06-01T14:30:04.080,4.080,16,WI,R_Ankle,0x01,2,16,1.503,-0.051,-0.009,-1.019,-0.7,-1.5,+0.0,-0.049,-0.013,-1.002,29.09
2025-06-01T14:30:04.335,4.335,17,WI,R_Ankle,0x01,2,17,1.471,-0.061,+0.007,-0.996,-0.7,+2.9,+1.5,-0.045,+0.003,-1.043,29.09
2025-06-01T14:30:04.590,4.590,18,WI,R_Ankle,0x01,2,18,1.504,-0.057,+0.003,-1.009,-1.1,-0.3,-1.5,-0.070,+0.026,-1.027,28.90
2025-06-01T14:30:04.845,4.845,19,WI,R_Ankle,0x01,2,19,1.471,-0.060,+0.006,-0.997,-1.2,-0.9,-1.3,-0.070,+0.044,-1.011,28.95
