timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,eeg_delta,eeg_theta,eeg_alpha,eeg_beta,eeg_gamma
2026-06-05T15:00:00.000,0.000,0,HEAD,Head_main,0x09,2,0,-0.008,-1.025,-0.012,-0.1,-0.7,+0.4,+0.007,-1.015,-0.024,28.98,0.335,0.193,0.222,0.138,0.105
2026-06-05T15:00:00.255,0.255,1,HEAD,Head_main,0x09,2,1,+0.004,-1.015,+0.002,+0.0,-0.3,+1.2,+0.007,-1.031,-0.007,29.00,0.348,0.191,0.231,0.126,0.067
2026-06-05T15:00:00.510,0.510,2,HEAD,Head_main,0x09,2,2,+0.010,-1.009,-0.007,+0.7,+0.4,+0.3,-0.012,-0.994,+0.009,29.03,0.357,0.204,0.218,0.133,0.064
2026-06-05T15:00:00.765,0.765,3,HEAD,Head_main,0x09,2,3,+0.000,-1.000,-0.000,+2.3,+0.0,-0.1,+0.004,-0.979,+0.015,29.01,0.353,0.183,0.216,0.142,0.092
2026-06-05T15:00:01.020,1.020,4,HEAD,Head_main,0x09,2,4,-0.012,-0.999,+0.009,+0.4,-0.2,-0.5,-0.006,-1.005,+0.006,28.99,0.336,0.196,0.222,0.150,0.063
2026-06-05T15:00:01.274,1.275,5,HEAD,Head_main,0x09,2,5,-0.000,-0.999,+0.012,-0.4,+0.9,-0.2,+0.006,-1.003,+0.026,28.97,0.342,0.213,0.231,0.145,0.073
2026-06-05T15:00:01.530,1.530,6,HEAD,Head_main,0x09,2,6,+0.005,-0.987,+0.009,-0.4,-1.0,+0.6,+0.006,-0.971,+0.014,28.99,0.344,0.220,0.225,0.138,0.085
2026-06-05T15:00:01.785,1.785,7,HEAD,Head_main,0x09,2,7,+0.014,-0.979,-0.006,-0.2,-0.2,+0.1,+0.030,-0.965,-0.012,29.01,0.345,0.196,0.228,0.142,0.088
2026-06-05T15:00:02.040,2.040,8,HEAD,Head_main,0x09,2,8,-0.003,-1.016,-0.017,-1.0,+0.6,+0.6,+0.004,-0.990,+0.017,28.99,0.364,0.198,0.207,0.146,0.077
2026-06-05T15:00:02.294,2.295,9,HEAD,Head_main,0x09,2,9,-0.002,-1.020,+0.000,+0.9,+0.6,+0.1,+0.011,-0.993,+0.037,29.05,0.334,0.193,0.236,0.138,0.085
2026-06-05T15:00:02.549,2.550,10,HEAD,Head_main,0x09,2,10,-0.025,-1.003,+0.016,+0.5,-0.2,+0.1,-0.019,-0.969,-0.005,29.04,0.360,0.182,0.224,0.141,0.077
2026-06-05T15:00:02.805,2.805,11,HEAD,Head_main,0x09,2,11,-0.011,-0.996,+0.007,-0.9,-0.6,-0.1,-0.009,-0.992,-0.001,29.07,0.357,0.184,0.218,0.144,0.085
2026-06-05T15:00:03.060,3.060,12,HEAD,Head_main,0x09,2,12,+0.000,-0.993,-0.024,+1.1,+1.1,-0.7,-0.012,-0.967,-0.046,28.98,0.362,0.205,0.225,0.142,0.076
2026-06-05T15:00:03.314,3.315,13,HEAD,Head_main,0x09,2,13,-0.008,-0.992,+0.016,-0.0,+0.6,+1.3,-0.021,-0.994,+0.019,29.10,0.373,0.187,0.221,0.154,0.081
2026-06-05T15:00:03.570,3.570,14,HEAD,Head_main,0x09,2,14,-0.011,-0.993,+0.014,+1.0,-0.5,+1.3,+0.003,-0.945,+0.027,29.08,0.351,0.199,0.228,0.145,0.090
2026-06-05T15:00:03.825,3.825,15,HEAD,Head_main,0x09,2,15,+0.007,-1.003,+0.001,+0.8,+0.0,-0.5,+0.030,-1.011,-0.009,29.05,0.351,0.207,0.207,0.133,0.089
2026-06-05T15:00:04.080,4.080,16,HEAD,Head_main,0x09,2,16,+0.000,-1.013,-0.005,+0.6,-0.8,-0.0,-0.003,-0.981,-0.011,29.07,0.357,0.213,0.224,0.133,0.092
2026-06-05T15:00:04.334,4.335,17,HEAD,Head_main,0x09,2,17,-0.001,-1.005,+0.001,+1.2,-0.1,-0.9,+0.002,-1.018,+0.024,29.08,0.350,0.210,0.231,0.161,0.069
2026-06-05T15:00:04.589,4.590,18,HEAD,Head_main,0x09,2,18,+0.012,-0.992,-0.020,-0.8,-0.1,-1.3,-0.004,-0.972,-0.011,29.08,0.352,0.202,0.209,0.146,0.090
2026-06-05T15:00:04.844,4.845,19,HEAD,Head_main,0x09,2,19,+0.005,-1.005,-0.009,-1.2,-1.4,-0.0,+0.009,-0.989,-0.020,29.14,0.347,0.226,0.220,0.141,0.079
2026-06-05T15:00:05.099,5.100,20,HEAD,Head_main,0x09,2,20,+0.006,-0.992,-0.013,+0.9,+0.6,+0.5,+0.010,-0.968,-0.020,29.05,0.351,0.193,0.235,0.136,0.078
2026-06-05T15:00:05.355,5.355,21,HEAD,Head_main,0x09,2,21,+0.016,-1.016,-0.003,-0.4,+0.8,+3.9,-0.008,-0.987,+0.016,29.05,0.349,0.198,0.245,0.156,0.085
2026-06-05T15:00:05.610,5.610,22,HEAD,Head_main,0x09,2,22,+0.024,-0.990,+0.020,-0.1,-0.5,+6.6,+0.039,-0.965,+0.026,29.10,0.347,0.195,0.202,0.148,0.059
2026-06-05T15:00:05.865,5.865,23,HEAD,Head_main,0x09,2,23,+0.051,-0.983,+0.004,-0.8,-0.3,+4.1,+0.032,-0.961,+0.017,29.04,0.348,0.189,0.198,0.149,0.100
2026-06-05T15:00:06.120,6.120,24,HEAD,Head_main,0x09,2,24,+0.082,-0.953,-0.004,-1.7,+1.3,+4.2,+0.053,-0.923,-0.002,29.00,0.328,0.191,0.208,0.161,0.081
2026-06-05T15:00:06.375,6.375,25,HEAD,Head_main,0x09,2,25,+0.088,-0.981,+0.024,-0.1,-0.7,+1.3,+0.088,-0.953,-0.033,29.11,0.359,0.218,0.221,0.132,0.067
2026-06-05T15:00:06.629,6.630,26,HEAD,Head_main,0x09,2,26,+0.093,-1.000,+0.014,-1.2,-0.2,-2.2,+0.064,-0.970,+0.028,29.16,0.357,0.215,0.213,0.148,0.083
