timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,resp_rate_bpm,ecg_hr_bpm,ecg_rmssd_ms,ecg_flags,bia_resistance_ohm,bia_reactance_ohm,bia_phase_deg,bia_impedance_ohm
2026-06-05T15:00:00.000,0.000,0,WA,Chest,0x55,2,0,0.331,-0.002,-0.997,-0.001,-0.0,-1.4,-1.6,+0.007,-0.953,-0.044,28.98,14,64,53,0,509.34,63.21,7.11,513.25
2026-06-05T15:00:00.255,0.255,1,WA,Chest,0x55,2,1,0.318,-0.004,-1.002,-0.019,+1.1,-0.4,-0.3,-0.024,-0.951,-0.043,29.00,14,64,55,0,509.19,63.45,7.15,513.13
2026-06-05T15:00:00.510,0.510,2,WA,Chest,0x55,2,2,0.309,+0.005,-0.998,+0.008,-0.9,-0.4,+1.2,-0.018,-1.000,+0.023,29.03,14,64,53,0,509.47,63.30,7.11,513.39
2026-06-05T15:00:00.765,0.765,3,WA,Chest,0x55,2,3,0.286,-0.004,-0.991,+0.017,-0.8,-0.1,+1.1,+0.003,-0.967,-0.000,29.01,14,64,56,0,510.33,63.22,7.10,514.23
2026-06-05T15:00:01.020,1.020,4,WA,Chest,0x55,2,4,0.294,+0.005,-1.018,-0.016,+0.2,-0.3,+1.8,+0.019,-1.011,+0.002,28.99,14,63,56,0,508.46,63.30,7.07,512.39
2026-06-05T15:00:01.274,1.275,5,WA,Chest,0x55,2,5,0.307,-0.005,-0.995,-0.009,+0.5,+0.1,+0.8,+0.009,-0.958,-0.003,28.97,14,64,53,0,509.21,63.18,7.18,513.12
2026-06-05T15:00:01.530,1.530,6,WA,Chest,0x55,2,6,0.303,+0.004,-1.001,-0.016,-0.1,-0.1,-0.4,-0.039,-0.935,-0.021,28.99,14,63,54,0,510.11,63.20,7.11,514.01
2026-06-05T15:00:01.785,1.785,7,WA,Chest,0x55,2,7,0.302,-0.002,-0.996,-0.006,+0.3,+1.1,+0.1,-0.027,-0.946,-0.049,29.01,14,63,56,0,509.01,63.53,7.09,512.96
2026-06-05T15:00:02.040,2.040,8,WA,Chest,0x55,2,8,0.302,+0.004,-0.991,+0.006,-1.6,+0.4,-0.2,+0.012,-0.979,+0.007,28.99,14,64,52,0,509.89,63.24,7.07,513.80
2026-06-05T15:00:02.294,2.295,9,WA,Chest,0x55,2,9,0.296,+0.012,-1.002,+0.010,-0.5,-1.2,+0.7,+0.010,-0.958,+0.001,29.05,14,64,55,0,508.48,63.30,7.11,512.41
2026-06-05T15:00:02.549,2.550,10,WA,Chest,0x55,2,10,0.287,+0.017,-0.985,-0.025,-0.2,-0.0,-0.1,+0.003,-0.958,-0.010,29.04,14,64,56,0,509.75,63.10,7.07,513.65
2026-06-05T15:00:02.805,2.805,11,WA,Chest,0x55,2,11,0.299,-0.018,-1.002,+0.007,-0.2,-0.2,-0.3,-0.024,-0.963,+0.020,29.07,14,64,53,0,509.98,63.17,7.10,513.87
2026-06-05T15:00:03.060,3.060,12,WA,Chest,0x55,2,12,0.306,+0.002,-1.020,-0.016,+0.8,+0.8,-0.2,-0.007,-0.993,-0.021,28.98,14,65,52,0,509.15,63.32,7.11,513.08
2026-06-05T15:00:03.314,3.315,13,WA,Chest,0x55,2,13,0.287,+0.020,-0.992,-0.013,-0.2,-0.2,-0.4,+0.031,-0.940,-0.005,29.10,14,64,54,0,510.31,63.17,7.12,514.21
2026-06-05T15:00:03.570,3.570,14,WA,Chest,0x55,2,14,0.286,-0.002,-0.987,-0.004,+0.2,+0.6,+0.8,-0.002,-0.978,+0.017,29.08,14,63,56,0,510.21,63.41,7.12,514.13
2026-06-05T15:00:03.825,3.825,15,WA,Chest,0x55,2,15,0.303,-0.008,-1.009,+0.008,+0.9,+1.2,-0.4,+0.038,-0.974,+0.008,29.05,14,65,55,0,509.58,63.22,7.16,513.49
2026-06-05T15:00:04.080,4.080,16,WA,Chest,0x55,2,16,0.287,-0.003,-0.981,-0.013,+0.3,-1.0,+0.7,+0.017,-0.973,+0.003,29.07,14,65,55,0,509.37,63.05,7.04,513.26
2026-06-05T15:00:04.334,4.335,17,WA,Chest,0x55,2,17,0.315,-0.008,-0.999,-0.006,+0.0,-0.1,+2.3,-0.039,-0.951,-0.038,29.08,14,63,54,0,509.40,63.15,7.05,513.30
2026-06-05T15:00:04.589,4.590,18,WA,Chest,0x55,2,18,0.292,-0.007,-1.000,+0.008,-1.2,+1.0,-0.1,-0.035,-0.968,+0.030,29.08,14,64,55,0,509.64,63.85,7.08,513.62
2026-06-05T15:00:04.844,4.845,19,WA,Chest,0x55,2,19,0.302,+0.007,-0.997,-0.000,-0.3,-0.2,+0.1,+0.021,-0.966,-0.001,29.14,14,65,52,0,509.05,63.15,7.15,512.95
2026-06-05T15:00:05.099,5.100,20,WA,Chest,0x55,2,20,0.296,-0.004,-0.983,+0.015,+1.2,+0.2,+5.6,-0.010,-0.948,+0.013,29.05,14,63,56,0,509.97,63.29,7.07,513.89
2026-06-05T15:00:05.355,5.355,21,WA,Chest,0x55,2,21,0.299,+0.036,-0.992,+0.034,-0.3,+0.4,+14.8,+0.029,-0.979,+0.021,29.05,14,64,52,0,508.87,63.27,7.17,512.79
2026-06-05T15:00:05.610,5.610,22,WA,Chest,0x55,2,22,0.297,+0.102,-0.994,+0.095,-0.2,+0.1,+20.7,+0.127,-0.934,+0.099,29.10,14,66,56,0,509.28,63.18,7.13,513.19
2026-06-05T15:00:05.865,5.865,23,WA,Chest,0x55,2,23,0.296,+0.162,-0.966,+0.178,+0.8,-0.1,+21.8,+0.158,-0.948,+0.157,29.04,14,66,55,0,509.35,63.14,7.06,513.25
2026-06-05T15:00:06.120,6.120,24,WA,Chest,0x55,2,24,0.276,+0.220,-0.941,+0.228,+0.4,+1.4,+16.3,+0.261,-0.904,+0.222,29.00,14,66,55,0,508.19,63.05,7.11,512.08
2026-06-05T15:00:06.375,6.375,25,WA,Chest,0x55,2,25,0.267,+0.245,-0.931,+0.254,-0.1,-0.1,+5.5,+0.267,-0.870,+0.230,29.11,14,66,54,0,509.50,63.00,7.09,513.38
2026-06-05T15:00:06.629,6.630,26,WA,Chest,0x55,2,26,0.271,+0.248,-0.936,+0.239,-0.1,+0.3,-5.5,+0.220,-0.883,+0.202,29.16,15,67,53,0,509.05,63.19,7.01,512.96
2026-06-05T15:00:06.884,6.885,27,WA,Chest,0x55,2,27,0.289,+0.221,-0.958,+0.239,-0.9,-0.1,-16.4,+0.216,-0.908,+0.232,29.15,15,67,54,0,508.77,63.20,7.14,512.68
2026-06-05T15:00:07.140,7.140,28,WA,Chest,0x55,2,28,0.297,+0.173,-0.970,+0.186,-0.8,-0.8,-20.3,+0.161,-0.973,+0.181,29.08,15,67,55,0,508.74,63.11,7.05,512.64
2026-06-05T15:00:07.395,7.395,29,WA,Chest,0x55,2,29,0.297,+0.089,-0.995,+0.092,-0.3,+0.0,-20.4,+0.075,-0.969,+0.067,29.17,15,69,54,0,508.98,63.18,7.14,512.88
2026-06-05T15:00:07.650,7.650,30,WA,Chest,0x55,2,30,0.301,+0.030,-1.002,+0.028,-0.8,-0.8,-14.8,+0.024,-0.969,+0.003,29.01,15,72,51,0,508.46,63.15,7.15,512.37
2026-06-05T15:00:07.905,7.905,31,WA,Chest,0x55,2,31,0.292,-0.006,-0.998,+0.003,-0.1,-1.2,-3.5,-0.032,-0.970,-0.002,29.15,16,70,54,0,508.39,63.28,7.10,512.32
2026-06-05T15:00:08.160,8.160,32,WA,Chest,0x55,2,32,0.308,+0.002,-1.006,+0.003,+0.8,+0.2,+7.4,-0.014,-0.925,+0.000,29.07,16,72,49,0,508.26,63.38,7.08,512.20
