timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c
2026-06-05T15:00:00.000,0.000,0,WB,L_Elbow,0x01,2,0,0.500,+0.005,-1.004,-0.027,-1.0,-0.5,-2.4,+0.022,-0.947,-0.005,28.98
2026-06-05T15:00:00.255,0.255,1,WB,L_Elbow,0x01,2,1,0.494,+0.014,-1.015,+0.003,+0.1,+0.2,-1.4,+0.005,-0.931,-0.003,29.00
2026-06-05T15:00:00.510,0.510,2,WB,L_Elbow,0x01,2,2,0.512,+0.016,-1.017,+0.015,+0.9,-0.8,+1.1,+0.014,-0.987,+0.032,29.03
2026-06-05T15:00:00.765,0.765,3,WB,L_Elbow,0x01,2,3,0.503,+0.031,-1.006,-0.028,+0.6,-0.7,-1.8,-0.014,-0.963,-0.028,29.01
2026-06-05T15:00:01.020,1.020,4,WB,L_Elbow,0x01,2,4,0.477,+0.021,-1.015,+0.009,+0.2,-0.8,+0.9,-0.002,-0.981,-0.005,28.99
2026-06-05T15:00:01.274,1.275,5,WB,L_Elbow,0x01,2,5,0.506,-0.027,-1.021,+0.034,-0.7,+0.2,-0.8,-0.007,-0.975,+0.008,28.97
2026-06-05T15:00:01.530,1.530,6,WB,L_Elbow,0x01,2,6,0.500,-0.005,-0.984,+0.011,+0.0,+0.9,-1.7,+0.022,-0.928,-0.021,28.99
2026-06-05T15:00:01.785,1.785,7,WB,L_Elbow,0x01,2,7,0.503,+0.014,-0.993,-0.013,+0.3,+0.6,+0.1,+0.012,-0.963,+0.005,29.01
2026-06-05T15:00:02.040,2.040,8,WB,L_Elbow,0x01,2,8,0.506,-0.022,-1.026,-0.002,-1.2,-0.2,+0.8,-0.024,-0.976,-0.016,28.99
2026-06-05T15:00:02.294,2.295,9,WB,L_Elbow,0x01,2,9,0.507,+0.017,-0.994,-0.030,+0.1,+1.3,+1.5,+0.033,-0.956,-0.017,29.05
2026-06-05T15:00:02.549,2.550,10,WB,L_Elbow,0x01,2,10,0.502,-0.008,-1.015,-0.045,+0.1,+0.0,+0.8,+0.032,-0.968,-0.039,29.04
2026-06-05T15:00:02.805,2.805,11,WB,L_Elbow,0x01,2,11,0.508,+0.000,-0.947,-0.038,+0.3,-2.0,+0.9,+0.001,-0.914,-0.015,29.07
2026-06-05T15:00:03.060,3.060,12,WB,L_Elbow,0x01,2,12,0.482,+0.008,-0.994,-0.035,+0.1,-0.7,-0.8,+0.017,-0.962,-0.028,28.98
2026-06-05T15:00:03.314,3.315,13,WB,L_Elbow,0x01,2,13,0.517,-0.033,-0.996,-0.006,+0.9,-0.2,-2.4,-0.069,-0.965,+0.003,29.10
2026-06-05T15:00:03.570,3.570,14,WB,L_Elbow,0x01,2,14,0.494,-0.011,-1.027,+0.017,+0.7,+1.1,-0.7,-0.005,-1.015,+0.012,29.08
2026-06-05T15:00:03.825,3.825,15,WB,L_Elbow,0x01,2,15,0.491,-0.006,-1.039,+0.007,-0.6,+0.7,+1.0,-0.002,-0.991,-0.012,29.05
2026-06-05T15:00:04.080,4.080,16,WB,L_Elbow,0x01,2,16,0.485,+0.021,-1.012,+0.003,-0.5,-1.1,+1.7,+0.021,-0.964,-0.026,29.07
2026-06-05T15:00:04.334,4.335,17,WB,L_Elbow,0x01,2,17,0.496,-0.020,-1.011,-0.002,+0.5,-0.0,-1.0,-0.023,-0.964,-0.010,29.08
2026-06-05T15:00:04.589,4.590,18,WB,L_Elbow,0x01,2,18,0.496,-0.007,-0.990,-0.032,-0.4,+0.7,-0.5,+0.005,-0.932,-0.025,29.08
2026-06-05T15:00:04.844,4.845,19,WB,L_Elbow,0x01,2,19,0.502,+0.004,-0.998,-0.013,+0.2,+0.0,-1.0,-0.006,-0.957,+0.001,29.14
2026-06-05T15:00:05.099,5.100,20,WB,L_Elbow,0x01,2,20,0.482,+0.012,-1.003,+0.006,+0.9,+0.5,+4.7,+0.005,-0.974,-0.033,29.05
2026-06-05T15:00:05.355,5.355,21,WB,L_Elbow,0x01,2,21,0.488,+0.039,-0.999,-0.004,+1.1,+0.2,+9.4,+0.034,-0.971,+0.003,29.05
2026-06-05T15:00:05.610,5.610,22,WB,L_Elbow,0x01,2,22,0.476,+0.093,-1.001,+0.030,+1.0,+0.1,+15.0,+0.078,-0.983,+0.022,29.10
2026-06-05T15:00:05.865,5.865,23,WB,L_Elbow,0x01,2,23,0.472,+0.182,-0.993,+0.078,+0.9,+0.9,+15.3,+0.180,-0.951,+0.104,29.04
2026-06-05T15:00:06.120,6.120,24,WB,L_Elbow,0x01,2,24,0.500,+0.226,-1.002,+0.059,-0.7,-0.3,+11.0,+0.205,-0.971,+0.062,29.00
2026-06-05T15:00:06.375,6.375,25,WB,L_Elbow,0x01,2,25,0.445,+0.250,-0.982,+0.098,+1.2,-0.2,+1.5,+0.216,-0.876,+0.097,29.11
2026-06-05T15:00:06.629,6.630,26,WB,L_Elbow,0x01,2,26,0.471,+0.244,-0.961,+0.085,+0.5,+0.5,-4.4,+0.193,-0.917,+0.096,29.16
2026-06-05T15:00:06.884,6.885,27,WB,L_Elbow,0x01,2,27,0.472,+0.165,-0.997,+0.088,-0.4,+0.5,-13.0,+0.158,-0.937,+0.082,29.15
2026-06-05T15:00:07.140,7.140,28,WB,L_Elbow,0x01,2,28,0.484,+0.125,-0.982,+0.075,+1.3,-1.0,-14.9,+0.094,-0.953,+0.079,29.08
2026-06-05T15:00:07.395,7.395,29,WB,L_Elbow,0x01,2,29,0.491,+0.086,-1.038,+0.036,-0.5,-0.3,-15.9,+0.103,-1.006,+0.015,29.17
2026-06-05T15:00:07.650,7.650,30,WB,L_Elbow,0x01,2,30,0.497,+0.038,-0.986,-0.023,+0.6,+0.6,-11.8,+0.073,-0.937,-0.045,29.01
2026-06-05T15:00:07.905,7.905,31,WB,L_Elbow,0x01,2,31,0.493,+0.027,-1.004,-0.006,-0.0,-1.5,-1.7,+0.030,-0.952,+0.008,29.15
2026-06-05T15:00:08.160,8.160,32,WB,L_Elbow,0x01,2,32,0.485,+0.008,-1.030,-0.016,-0.1,-0.6,+6.4,+0.030,-0.986,-0.011,29.07
2026-06-05T15:00:08.415,8.415,33,WB,L_Elbow,0x01,2,33,0.488,+0.074,-1.008,+0.033,+1.3,+1.0,+11.8,+0.051,-0.962,+0.037,29.10
2026-06-05T15:00:08.669,8.670,34,WB,L_Elbow,0x01,2,34,0.482,+0.099,-1.027,+0.064,+1.6,+1.2,+17.8,+0.096,-1.014,+0.039,29.09
