timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,emg_rms_ch0,emg_rms_ch1,emg_rms_ch2,emg_rms_ch3
2026-06-05T15:00:00.000,0.000,0,WF,L_Knee,0x21,2,0,0.858,+0.009,-0.992,-0.009,+1.3,+1.5,-1.8,+0.011,-0.992,+0.020,28.98,0.021,0.032,0.021,0.028
2026-06-05T15:00:00.255,0.255,1,WF,L_Knee,0x21,2,1,0.856,+0.037,-0.995,-0.029,+0.2,+1.3,+1.9,+0.020,-0.954,-0.034,29.00,0.022,0.059,0.031,0.035
2026-06-05T15:00:00.510,0.510,2,WF,L_Knee,0x21,2,2,0.869,-0.041,-0.999,-0.000,-0.4,+1.3,-1.1,-0.038,-1.013,+0.004,29.03,0.039,0.042,0.028,0.039
2026-06-05T15:00:00.765,0.765,3,WF,L_Knee,0x21,2,3,0.841,+0.003,-0.998,-0.008,+1.6,-2.7,-0.0,-0.021,-0.933,-0.011,29.01,0.043,0.059,0.040,0.036
2026-06-05T15:00:01.020,1.020,4,WF,L_Knee,0x21,2,4,0.847,-0.008,-0.990,-0.010,+3.1,-1.5,-0.9,-0.008,-0.934,+0.034,28.99,0.044,0.037,0.041,0.032
2026-06-05T15:00:01.274,1.275,5,WF,L_Knee,0x21,2,5,0.835,+0.013,-0.985,+0.010,-3.9,-0.7,-5.0,+0.019,-0.957,+0.045,28.97,0.043,0.036,0.034,0.062
2026-06-05T15:00:01.530,1.530,6,WF,L_Knee,0x21,2,6,0.854,-0.003,-0.986,+0.022,-0.8,+1.7,-1.2,-0.024,-0.960,+0.008,28.99,0.045,0.028,0.035,0.034
2026-06-05T15:00:01.785,1.785,7,WF,L_Knee,0x21,2,7,0.848,-0.019,-1.000,-0.013,+1.4,+2.4,+2.6,-0.004,-0.961,-0.005,29.01,0.036,0.035,0.029,0.056
2026-06-05T15:00:02.040,2.040,8,WF,L_Knee,0x21,2,8,0.872,-0.014,-0.981,+0.014,-1.0,-1.4,-1.5,-0.040,-0.985,+0.033,28.99,0.032,0.045,0.026,0.040
2026-06-05T15:00:02.294,2.295,9,WF,L_Knee,0x21,2,9,0.869,+0.018,-1.002,+0.035,-2.7,+1.8,+0.3,+0.022,-0.936,+0.050,29.05,0.030,0.039,0.036,0.033
2026-06-05T15:00:02.549,2.550,10,WF,L_Knee,0x21,2,10,0.839,+0.013,-0.996,-0.022,-1.2,-1.9,+4.4,+0.007,-0.972,-0.033,29.04,0.027,0.029,0.027,0.050
2026-06-05T15:00:02.805,2.805,11,WF,L_Knee,0x21,2,11,0.867,-0.001,-1.013,-0.007,+3.4,-1.8,-1.2,-0.026,-0.965,-0.028,29.07,0.024,0.025,0.030,0.053
2026-06-05T15:00:03.060,3.060,12,WF,L_Knee,0x21,2,12,0.843,-0.016,-0.984,+0.005,-1.3,-1.9,-3.3,+0.006,-0.942,+0.027,28.98,0.023,0.038,0.025,0.032
