timestamp_iso,t_s,round,node,label,present_mask_hex,version,node_seq,distance_m,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,hx_g,hy_g,hz_g,imu_temp_c,emg_rms_ch0,emg_rms_ch1,emg_rms_ch2,emg_rms_ch3
2026-06-05T15:00:00.000,0.000,0,WG,R_Knee,0x21,2,0,0.873,+0.003,-1.002,-0.018,+0.8,+0.7,+1.8,+0.004,-0.956,-0.045,28.98,0.031,0.024,0.022,0.037
2026-06-05T15:00:00.255,0.255,1,WG,R_Knee,0x21,2,1,0.876,-0.002,-0.983,-0.016,-0.1,-1.1,+5.8,-0.021,-0.970,-0.024,29.00,0.021,0.034,0.034,0.035
2026-06-05T15:00:00.510,0.510,2,WG,R_Knee,0x21,2,2,0.849,-0.012,-0.982,+0.011,+1.0,+1.1,+3.1,+0.018,-0.962,-0.010,29.03,0.039,0.033,0.032,0.062
2026-06-05T15:00:00.765,0.765,3,WG,R_Knee,0x21,2,3,0.854,-0.002,-0.995,-0.017,+0.2,-1.2,+2.5,+0.009,-0.934,+0.029,29.01,0.033,0.036,0.029,0.061
2026-06-05T15:00:01.020,1.020,4,WG,R_Knee,0x21,2,4,0.861,-0.002,-1.017,-0.015,+0.9,+1.2,+3.6,-0.002,-1.005,+0.004,28.99,0.032,0.025,0.036,0.035
2026-06-05T15:00:01.274,1.275,5,WG,R_Knee,0x21,2,5,0.850,-0.013,-1.028,-0.022,-1.4,-0.9,+0.9,+0.009,-0.996,-0.010,28.97,0.030,0.032,0.035,0.049
2026-06-05T15:00:01.530,1.530,6,WG,R_Knee,0x21,2,6,0.851,-0.026,-1.006,-0.028,+3.1,-0.8,+1.8,-0.009,-0.991,-0.013,28.99,0.034,0.049,0.039,0.038
2026-06-05T15:00:01.785,1.785,7,WG,R_Knee,0x21,2,7,0.862,+0.007,-0.998,-0.012,+0.6,+0.6,-5.3,-0.007,-0.950,-0.019,29.01,0.047,0.041,0.046,0.040
2026-06-05T15:00:02.040,2.040,8,WG,R_Knee,0x21,2,8,0.850,+0.004,-0.997,-0.034,+1.3,-2.5,+3.3,-0.040,-0.991,-0.061,28.99,0.045,0.030,0.028,0.041
2026-06-05T15:00:02.294,2.295,9,WG,R_Knee,0x21,2,9,0.850,-0.018,-0.968,-0.022,+0.1,-0.9,-3.6,-0.040,-0.950,-0.019,29.05,0.046,0.034,0.031,0.038
2026-06-05T15:00:02.549,2.550,10,WG,R_Knee,0x21,2,10,0.833,-0.009,-0.983,-0.011,+2.9,+1.8,-1.1,+0.015,-0.929,-0.013,29.04,0.049,0.030,0.033,0.034
2026-06-05T15:00:02.805,2.805,11,WG,R_Knee,0x21,2,11,0.833,+0.017,-0.983,+0.003,-1.4,+0.7,-0.8,-0.013,-0.952,-0.010,29.07,0.028,0.035,0.045,0.043
2026-06-05T15:00:03.060,3.060,12,WG,R_Knee,0x21,2,12,0.832,+0.017,-1.013,-0.008,+0.2,+0.7,+5.9,+0.005,-1.017,+0.042,28.98,0.052,0.025,0.023,0.038
2026-06-05T15:00:03.314,3.315,13,WG,R_Knee,0x21,2,13,0.860,-0.002,-1.026,+0.037,+3.0,+2.2,-1.4,-0.032,-1.021,+0.067,29.10,0.037,0.035,0.022,0.031
2026-06-05T15:00:03.570,3.570,14,WG,R_Knee,0x21,2,14,0.839,+0.022,-1.005,+0.005,+1.1,-2.8,+2.7,+0.006,-0.977,-0.007,29.08,0.036,0.021,0.022,0.027
2026-06-05T15:00:03.825,3.825,15,WG,R_Knee,0x21,2,15,0.855,+0.004,-0.985,-0.016,+1.1,-0.4,-0.6,-0.018,-0.944,-0.018,29.05,0.026,0.031,0.031,0.034
2026-06-05T15:00:04.080,4.080,16,WG,R_Knee,0x21,2,16,0.847,-0.005,-1.009,+0.025,+1.8,-0.1,+2.4,-0.019,-0.979,+0.006,29.07,0.018,0.022,0.020,0.033
2026-06-05T15:00:04.334,4.335,17,WG,R_Knee,0x21,2,17,0.859,+0.001,-0.998,+0.025,+0.2,+1.4,+1.6,+0.070,-0.992,+0.000,29.08,0.030,0.021,0.017,0.034
2026-06-05T15:00:04.589,4.590,18,WG,R_Knee,0x21,2,18,0.858,-0.020,-1.013,-0.068,+1.3,+3.0,+1.0,-0.014,-0.982,-0.077,29.08,0.018,0.031,0.032,0.033
2026-06-05T15:00:04.844,4.845,19,WG,R_Knee,0x21,2,19,0.855,+0.005,-0.997,+0.006,+0.2,+0.3,-0.5,+0.008,-0.978,+0.016,29.14,0.019,0.016,0.019,0.023
2026-06-05T15:00:05.099,5.100,20,WG,R_Knee,0x21,2,20,0.866,+0.009,-0.999,+0.029,+0.9,+1.3,+33.4,+0.052,-0.926,-0.005,29.05,0.072,0.063,0.020,0.036
2026-06-05T15:00:05.355,5.355,21,WG,R_Knee,0x21,2,21,0.826,+0.144,-0.978,+0.214,+4.5,-1.0,+75.7,+0.110,-0.953,+0.186,29.05,0.177,0.161,0.019,0.034
2026-06-05T15:00:05.610,5.610,22,WG,R_Knee,0x21,2,22,0.786,+0.344,-0.800,+0.532,+4.9,+1.0,+106.4,+0.335,-0.779,+0.457,29.10,0.236,0.216,0.022,0.027
2026-06-05T15:00:05.865,5.865,23,WG,R_Knee,0x21,2,23,0.726,+0.549,-0.386,+0.790,+6.9,+0.7,+107.5,+0.558,-0.387,+0.722,29.04,0.230,0.222,0.025,0.029
2026-06-05T15:00:06.120,6.120,24,WG,R_Knee,0x21,2,24,0.676,+0.573,+0.050,+0.850,+4.5,-3.0,+78.8,+0.565,+0.056,+0.795,29.00,0.177,0.174,0.020,0.025
2026-06-05T15:00:06.375,6.375,25,WG,R_Knee,0x21,2,25,0.642,+0.518,+0.291,+0.801,-0.3,+0.4,+25.4,+0.483,+0.285,+0.753,29.11,0.082,0.085,0.030,0.025
2026-06-05T15:00:06.629,6.630,26,WG,R_Knee,0x21,2,26,0.646,+0.589,+0.324,+0.781,-3.6,+0.5,-31.4,+0.528,+0.299,+0.747,29.16,0.206,0.192,0.030,0.024
2026-06-05T15:00:06.884,6.885,27,WG,R_Knee,0x21,2,27,0.684,+0.547,+0.038,+0.817,-3.2,+0.2,-80.7,+0.557,+0.043,+0.773,29.15,0.488,0.450,0.020,0.061
2026-06-05T15:00:07.140,7.140,28,WG,R_Knee,0x21,2,28,0.718,+0.527,-0.377,+0.762,-4.1,+1.5,-105.2,+0.486,-0.364,+0.710,29.08,0.653,0.595,0.025,0.036
2026-06-05T15:00:07.395,7.395,29,WG,R_Knee,0x21,2,29,0.788,+0.344,-0.822,+0.545,-5.0,-0.2,-100.9,+0.340,-0.760,+0.521,29.17,0.647,0.599,0.026,0.043
2026-06-05T15:00:07.650,7.650,30,WG,R_Knee,0x21,2,30,0.834,+0.137,-0.966,+0.188,-2.6,-0.3,-67.6,+0.097,-0.934,+0.190,29.01,0.468,0.435,0.058,0.038
2026-06-05T15:00:07.905,7.905,31,WG,R_Knee,0x21,2,31,0.848,+0.018,-0.972,+0.031,-4.2,-0.1,-18.4,+0.012,-0.941,-0.013,29.15,0.154,0.175,0.025,0.036
